Date,CNRMCCLM,CNRMRCA,ECEARTHCCLM,ECEARTHHIRHAM,ECEARTHRACMO,ECEARTHRCA,HADGEMRCA,IPSLRCA,MPICCLM,MPIRCA
2006-01-01,0.2,4.6,3.8,4.5,26.7,0.0,1.5,0.1,9.8,28.9
2006-01-02,0.0,0.0,0.0,10.5,1.5,0.0,0.4,0.4,7.6,31.8
2006-01-03,14.9,0.0,0.9,22.5,3.4,6.4,0.4,0.3,1.5,1.1
2006-01-04,0.2,0.5,6.6,26.9,0.0,4.2,0.6,6.0,10.2,8.8
2006-01-05,2.7,3.3,44.1,3.0,13.4,15.1,17.5,0.8,29.8,18.6
2006-01-06,1.4,2.2,32.0,17.5,1.6,0.9,25.9,0.1,0.0,8.7
2006-01-07,1.4,3.1,2.2,24.5,0.0,13.1,4.9,0.0,1.7,45.6
2006-01-08,3.3,1.9,0.9,3.4,5.9,23.2,13.8,0.9,21.5,10.9
2006-01-09,6.3,3.8,2.9,7.8,4.4,5.9,32.1,10.2,28.9,11.6
2006-01-10,1.4,4.8,21.2,0.0,6.7,9.1,24.3,24.6,11.7,36.8
2006-01-11,0.4,14.2,11.9,8.2,0.1,8.8,2.9,0.1,36.1,6.7
2006-01-12,0.2,1.0,0.0,2.3,0.0,4.6,0.8,10.6,3.9,32.3
2006-01-13,0.0,0.0,23.0,0.0,0.0,15.6,4.5,10.5,0.0,1.1
2006-01-14,0.0,0.0,0.1,3.0,0.1,3.7,41.2,0.0,0.1,0.1
2006-01-15,0.0,0.0,0.9,11.7,0.0,0.1,1.1,0.0,5.0,4.7
2006-01-16,0.2,0.0,0.0,10.0,1.1,1.7,4.4,0.0,2.1,0.8
2006-01-17,17.9,19.8,21.9,6.3,1.5,25.8,11.5,0.0,0.1,0.8
2006-01-18,7.8,2.2,1.9,0.1,0.1,1.4,8.1,0.0,0.0,3.2
2006-01-19,23.8,11.2,35.8,12.1,0.0,32.3,18.9,1.3,0.0,2.9
2006-01-20,1.6,5.8,2.0,24.6,0.0,5.9,0.8,1.6,4.2,0.1
2006-01-21,0.3,6.7,7.8,0.3,0.2,4.7,5.4,4.8,2.2,0.6
2006-01-22,12.0,17.4,0.0,15.4,0.7,0.0,11.0,1.8,2.5,3.4
2006-01-23,2.8,6.8,0.5,34.5,2.1,0.0,0.5,9.9,0.1,4.0
2006-01-24,13.1,20.6,8.5,31.0,31.9,0.0,32.1,14.8,6.2,0.1
2006-01-25,61.9,21.5,0.0,0.0,25.7,0.0,32.6,4.8,0.0,4.9
2006-01-26,6.0,21.5,0.1,0.1,7.0,0.1,7.8,1.7,35.7,17.4
2006-01-27,6.7,9.7,0.0,9.1,5.6,0.0,9.2,1.2,0.5,0.5
2006-01-28,26.8,63.7,0.1,10.7,40.4,0.0,36.6,0.0,0.7,1.8
2006-01-29,6.6,13.7,0.4,14.0,69.7,0.1,4.5,0.0,0.1,0.1
2006-01-30,32.2,65.4,0.0,3.0,0.6,0.0,8.0,3.2,0.0,0.2
2006-01-31,10.7,16.7,0.0,16.9,0.6,0.0,8.0,10.8,4.7,2.6
2006-02-01,1.1,0.7,0.0,1.0,6.4,0.0,26.2,22.2,0.1,0.5
2006-02-02,0.0,2.0,0.7,0.1,5.1,0.1,19.5,32.4,34.9,37.0
2006-02-03,0.0,7.6,2.4,15.8,1.9,0.0,28.0,33.5,17.6,15.9
2006-02-04,0.1,1.6,0.0,7.6,0.2,0.0,6.0,2.4,4.2,7.1
2006-02-05,0.0,2.1,0.0,0.3,0.0,0.0,1.0,25.9,0.8,0.8
2006-02-06,0.0,0.4,0.0,16.8,1.0,0.0,4.0,12.4,7.5,12.1
2006-02-07,0.0,0.0,0.0,30.1,0.1,0.2,1.5,6.6,1.7,4.1
2006-02-08,20.1,9.8,0.0,3.8,0.0,0.2,0.0,0.2,0.0,1.9
2006-02-09,0.1,0.1,0.3,5.4,0.0,9.1,1.5,2.1,0.0,0.0
2006-02-10,3.9,1.7,0.5,1.4,1.4,8.8,24.6,0.0,0.1,0.3
2006-02-11,0.1,1.6,0.6,0.1,0.2,7.9,21.6,0.0,0.7,1.1
2006-02-12,0.0,0.0,2.3,0.0,4.9,0.8,35.7,0.0,11.8,6.1
2006-02-13,0.1,0.0,11.6,21.8,3.0,0.2,10.9,0.2,16.5,6.5
2006-02-14,0.6,0.1,1.1,0.1,3.4,0.0,19.6,0.0,0.1,0.7
2006-02-15,3.3,0.4,0.0,0.9,0.0,0.0,4.2,0.0,0.0,0.0
2006-02-16,0.7,0.1,0.0,0.1,3.1,0.0,0.0,0.0,0.0,0.1
2006-02-17,17.8,5.3,0.0,5.4,2.5,0.2,0.1,0.1,37.0,38.4
2006-02-18,2.3,5.6,0.1,1.4,2.8,0.1,0.0,0.0,0.8,21.5
2006-02-19,2.9,2.3,2.9,12.0,6.3,0.1,0.0,0.3,1.1,2.6
2006-02-20,20.2,26.0,2.0,0.0,0.1,4.6,5.1,0.1,24.1,24.5
2006-02-21,23.5,39.7,6.4,0.7,0.0,1.3,14.8,2.0,8.0,16.4
2006-02-22,11.7,5.8,5.8,0.1,0.1,0.2,9.2,1.2,0.2,13.9
2006-02-23,7.4,0.9,8.0,0.5,0.0,0.0,34.9,0.0,0.5,5.6
2006-02-24,13.8,42.3,2.7,0.0,0.0,0.0,0.9,0.1,0.3,2.2
2006-02-25,25.2,34.2,6.2,0.0,0.0,0.0,17.1,0.1,10.8,8.3
2006-02-26,1.2,25.7,2.9,0.0,0.0,0.0,0.2,0.0,25.6,20.1
2006-02-27,7.0,4.8,1.2,0.2,0.0,0.0,0.0,0.0,6.5,12.9
2006-02-28,21.8,8.4,0.2,4.3,0.0,0.0,6.7,0.1,0.1,0.0
2006-03-01,5.5,16.0,0.1,2.5,0.0,0.3,5.4,15.3,0.0,0.7
2006-03-02,0.3,7.8,0.1,5.8,0.0,0.1,4.2,1.0,0.4,0.1
2006-03-03,2.3,1.5,10.7,8.6,7.2,0.0,4.9,3.7,5.3,2.4
2006-03-04,28.3,13.2,44.1,0.0,25.6,0.0,0.0,4.4,0.1,0.1
2006-03-05,11.7,17.2,8.6,0.0,5.7,0.0,5.5,0.6,6.5,11.6
2006-03-06,0.2,6.3,10.0,0.0,0.0,14.2,4.9,0.0,0.1,0.2
2006-03-07,0.0,0.0,6.0,2.3,0.0,22.7,11.2,0.6,0.0,0.0
2006-03-08,0.0,0.0,8.8,0.5,0.0,1.1,0.6,0.1,0.0,0.0
2006-03-09,0.0,0.0,1.4,0.0,0.0,4.3,0.4,8.4,0.2,0.5
