Date,CNRMCCLM,CNRMRCA,ECEARTHCCLM,ECEARTHHIRHAM,ECEARTHRACMO,ECEARTHRCA,HADGEMRCA,IPSLRCA,MPICCLM,MPIRCA
1971-01-01,4.8,7.2,0.4,0.0,0.0,6.8,0.0,8.5,0.6,0.6
1971-01-02,0.1,0.1,0.1,0.2,0.0,0.2,3.2,21.2,22.5,15.0
1971-01-03,0.0,0.0,0.1,0.0,0.0,3.5,5.9,4.1,30.7,16.0
1971-01-04,0.1,0.1,15.4,0.0,1.3,12.8,0.0,4.3,0.0,0.8
1971-01-05,49.3,7.8,0.3,16.2,0.1,0.0,0.0,2.5,6.1,0.1
1971-01-06,0.6,2.6,0.1,34.3,0.0,0.1,0.7,0.4,1.0,1.6
1971-01-07,0.0,2.1,0.1,0.7,0.2,0.2,9.1,4.6,16.9,16.4
1971-01-08,0.3,0.6,0.0,2.5,2.4,0.0,1.1,12.4,9.7,9.1
1971-01-09,0.7,0.7,8.0,2.9,3.2,5.1,5.1,2.6,0.4,0.1
1971-01-10,20.6,1.4,0.5,8.3,21.4,0.1,3.7,0.0,0.1,0.1
1971-01-11,23.3,19.1,0.2,8.6,0.0,0.3,2.7,0.0,3.4,5.9
1971-01-12,0.0,6.8,3.2,5.7,3.2,1.8,3.8,0.0,16.7,19.4
1971-01-13,3.3,0.1,19.9,0.5,0.1,2.7,8.6,0.0,0.1,0.1
1971-01-14,2.2,0.1,25.6,13.5,5.6,10.4,0.0,0.0,20.1,0.8
1971-01-15,0.1,0.1,0.0,0.2,0.7,0.0,0.1,0.0,6.2,1.6
1971-01-16,2.3,1.2,0.1,18.9,0.5,0.1,0.1,0.0,0.0,0.1
1971-01-17,7.1,0.4,21.9,14.4,6.3,4.2,0.1,0.0,0.1,0.0
1971-01-18,4.9,6.1,0.0,11.2,1.6,0.4,14.9,0.0,1.0,0.0
1971-01-19,14.9,7.5,5.5,11.3,11.1,7.7,0.1,0.0,1.4,0.1
1971-01-20,0.1,0.6,7.1,9.6,3.7,13.7,3.2,0.4,6.3,16.9
1971-01-21,0.1,0.0,2.7,9.8,11.0,0.5,16.8,0.3,1.4,0.0
1971-01-22,1.7,0.6,31.4,18.4,0.3,29.8,1.2,11.4,0.0,0.0
1971-01-23,22.6,15.8,10.9,6.0,0.1,6.2,6.6,3.7,0.6,16.3
1971-01-24,3.6,14.5,2.1,1.5,0.0,2.1,4.5,0.1,2.8,4.6
1971-01-25,0.0,0.1,3.8,0.0,3.3,21.7,3.4,0.0,18.6,19.7
1971-01-26,0.0,0.0,16.9,0.5,34.8,11.0,2.8,0.0,23.9,0.9
1971-01-27,0.1,0.0,0.9,0.5,10.4,9.3,7.9,0.0,17.2,19.5
1971-01-28,0.0,0.0,0.3,0.0,5.5,0.0,2.3,0.0,4.9,11.5
1971-01-29,0.5,0.4,2.9,0.0,0.1,0.0,0.0,4.7,3.7,0.5
1971-01-30,2.2,0.5,0.0,0.0,0.3,0.5,0.0,2.4,1.5,8.4
1971-01-31,0.0,0.0,13.8,0.2,0.0,7.0,0.0,0.6,9.3,0.2
1971-02-01,0.0,0.1,4.2,0.0,0.2,3.9,0.0,0.1,0.4,0.0
1971-02-02,4.4,4.6,1.2,0.1,26.9,0.6,0.0,16.7,0.1,0.1
1971-02-03,35.9,8.5,0.1,0.0,0.0,0.1,1.2,33.3,13.4,0.9
1971-02-04,2.3,42.8,16.6,0.0,1.6,10.3,0.7,8.3,26.9,7.2
1971-02-05,26.0,7.8,0.1,0.0,0.0,0.7,0.1,7.2,16.7,28.5
1971-02-06,5.3,11.3,16.0,0.3,0.0,9.4,0.1,29.9,0.3,1.1
1971-02-07,0.0,4.8,8.0,0.2,0.2,11.0,0.0,3.7,8.3,1.1
1971-02-08,5.1,19.4,1.3,0.0,0.6,10.5,0.0,4.9,0.0,0.1
1971-02-09,1.3,5.5,5.5,0.3,0.9,3.3,0.1,0.2,0.0,16.5
1971-02-10,22.5,3.4,5.9,0.1,0.0,12.6,0.1,1.3,0.1,7.4
1971-02-11,2.7,0.1,55.7,0.0,0.0,41.1,0.3,17.8,4.9,0.6
