Date	Baseline	delta_cnrmcclm	delta_cnrmrca	delta_ecearthcclm	delta_ecearthhirham	delta_ecearthracmo	delta_ecearthrca	delta_hadgemrca	delta_ipslrca	delta_mpicclm	delta_mpirca
1971-09-02	0.095	0.602	0.872	0.607	0.795	0.88	0.658	0.619	1.061	0.588	0.898
1971-09-03	0.159	0.66	0.988	0.666	0.894	0.998	0.728	0.681	1.218	0.644	1.021
1971-09-04	0.149	0.504	0.803	0.51	0.717	0.812	0.566	0.523	1.012	0.49	0.832
1971-09-05	0.138	0.558	0.916	0.563	0.813	0.929	0.632	0.577	1.165	0.543	0.955
1971-09-06	0.127	0.602	1.012	0.607	0.893	1.027	0.685	0.621	1.295	0.586	1.059
1971-09-07	0.117	0.456	0.826	0.459	0.718	0.84	0.523	0.469	1.083	0.447	0.869
1971-09-08	0.207	0.419	0.656	0.42	0.552	0.669	0.451	0.425	0.89	0.413	0.696
1971-09-09	0.281	0.381	0.525	0.383	0.488	0.531	0.411	0.387	0.713	0.376	0.546
1971-09-10	0.617	0.346	0.484	0.347	0.444	0.489	0.374	0.351	0.57	0.342	0.501
1971-09-11	0.868	0.313	0.439	0.314	0.403	0.445	0.338	0.318	0.524	0.309	0.455
1971-09-12	0.698	0.283	0.399	0.284	0.365	0.404	0.306	0.287	0.475	0.28	0.414
1971-09-13	0.538	0.257	0.362	0.257	0.331	0.367	0.277	0.259	0.432	0.254	0.376
1971-09-14	0.474	0.232	0.328	0.232	0.3	0.333	0.251	0.234	0.392	0.229	0.342
1971-09-15	0.589	0.21	0.298	0.21	0.272	0.303	0.227	0.212	0.357	0.208	0.311
1971-09-16	1.352	0.189	0.271	0.189	0.246	0.274	0.205	0.191	0.323	0.188	0.283
1971-09-17	2.577	0.171	0.245	0.17	0.223	0.248	0.185	0.172	0.293	0.169	0.256
1971-09-18	4.641	0.16	0.232	0.16	0.21	0.236	0.174	0.161	0.279	0.159	0.244
1971-09-19	8.638	0.151	0.222	0.151	0.2	0.225	0.165	0.151	0.267	0.15	0.233
1971-09-20	11.389	0.147	0.219	0.146	0.196	0.222	0.16	0.146	0.266	0.145	0.232
1971-09-21	13.885	0.141	0.214	0.14	0.19	0.217	0.155	0.141	0.26	0.14	0.226
1971-09-22	16.075	0.128	0.195	0.127	0.173	0.197	0.14	0.127	0.237	0.127	0.206
1971-09-23	16.974	0.116	0.177	0.115	0.157	0.179	0.127	0.115	0.216	0.115	0.188
1971-09-24	16.144	0.151	0.284	0.15	0.24	0.287	0.175	0.151	0.374	0.149	0.306
1971-09-25	18.963	0.189	0.367	0.188	0.292	0.371	0.209	0.188	0.514	0.187	0.401
1971-09-26	18.502	0.182	0.303	0.181	0.265	0.305	0.205	0.182	0.414	0.179	0.323
1971-09-27	17.006	0.165	0.281	0.165	0.243	0.284	0.187	0.165	0.361	0.163	0.301
1971-09-28	15.705	0.168	0.291	0.167	0.249	0.293	0.191	0.168	0.375	0.165	0.311
1971-09-29	11.947	0.169	0.295	0.168	0.252	0.297	0.192	0.169	0.381	0.166	0.315
1971-09-30	9.654	0.344	0.647	0.346	0.548	0.65	0.402	0.351	0.862	0.335	0.689
1971-10-01	9.852	0.449	0.908	0.453	0.759	0.912	0.537	0.461	1.236	0.434	0.969
1971-10-02	16.493	0.32	0.732	0.323	0.595	0.736	0.388	0.328	1.033	0.312	0.788
1971-10-03	25.04	0.3	0.584	0.301	0.457	0.588	0.345	0.305	0.863	0.292	0.634
