Date	Baseline	corre_cnrmcclm	corre_cnrmrca	corre_ecearthcclm	corre_ecearthhirham	corre_ecearthracmo	corre_ecearthrca	corre_hadgemrca	corre_ipslrca	corre_mpicclm	corre_mpirca
2071-09-02	0.095	0.548	0.001	0	0	0	0.005	0.005	4.27	1.064	1.293
2071-09-03	0.159	0.98	0.003	0	0	0.017	0.004	0.004	3.789	2.638	3.87
2071-09-04	0.149	0.794	0.007	0	0	0.11	0.004	0.009	3.782	3.307	7.401
2071-09-05	0.138	0.625	0.011	0	0.031	2.282	0.004	0.014	3.834	3.213	11.937
2071-09-06	0.127	0.474	0.01	0	0.65	22.586	0.003	0.013	3.459	2.827	12.396
2071-09-07	0.117	0.365	0.009	0	1.116	48.777	0.003	0.012	3.05	2.476	8.426
2071-09-08	0.207	0.336	0.008	0	2.036	36.305	0.003	0.01	2.676	2.156	6.057
2071-09-09	0.281	0.305	0.011	0	3.663	19.762	0.002	0.009	2.359	2.074	4.773
2071-09-10	0.617	0.275	0.031	0	4.037	14.241	0.004	0.008	3.598	2.012	4.249
2071-09-11	0.868	0.247	0.045	0	3.579	10.537	0.005	0.007	4.668	1.751	4.003
2071-09-12	0.698	0.222	0.04	0	3.163	8.999	0.005	0.007	4.407	1.496	3.75
2071-09-13	0.538	0.199	0.036	0	2.783	7.181	0.005	0.006	4.154	1.262	3.317
2071-09-14	0.474	0.178	0.051	0	2.436	5.103	0.004	0.005	3.691	1.048	2.953
2071-09-15	0.589	0.159	0.063	0	2.119	4.447	0.004	0.005	3.266	0.923	3.58
2071-09-16	1.352	0.141	0.056	0	1.835	3.95	0.003	0.004	3.607	0.802	4.104
2071-09-17	2.577	0.126	0.05	0	7.654	3.496	0.003	0.003	3.898	0.709	3.656
2071-09-18	4.641	0.112	0.045	0	18.813	3.082	0.003	0.005	3.462	0.642	3.24
2071-09-19	8.638	0.099	0.044	0	40.743	2.703	0.002	0.026	3.062	0.581	2.886
2071-09-20	11.389	0.088	0.043	0	45.116	2.358	0.002	0.042	2.7	0.578	2.571
2071-09-21	13.885	0.078	0.038	0	25.761	2.042	0.002	0.047	2.369	0.567	2.445
2071-09-22	16.075	0.068	0.034	0	15.809	1.754	0.043	0.06	2.232	0.518	2.317
2071-09-23	16.974	0.06	0.031	0.011	12.501	1.491	0.08	0.062	3.454	0.469	2.041
2071-09-24	16.144	0.053	0.171	0.023	9.614	1.251	0.239	0.055	4.378	0.554	2.144
2071-09-25	18.963	0.491	1.052	0.022	6.634	1.032	0.426	0.077	3.915	0.846	5.204
2071-09-26	18.502	1.65	1.641	0.02	5.118	1.933	0.917	0.093	3.485	0.933	8.532
2071-09-27	17.006	2.202	1.397	0.017	4.571	16.771	1.248	0.084	5.689	4.489	15.393
2071-09-28	15.705	1.908	1.176	0.015	4.691	29.465	1.042	0.075	8.276	10.317	45.757
2071-09-29	11.947	1.68	0.975	0.014	4.787	17.766	0.854	0.069	5.803	8.142	47.182
2071-09-30	9.654	1.471	1.116	0.012	4.32	35.379	0.694	0.064	14.909	5.602	27.848
2071-10-01	9.852	1.245	1.434	0.011	4.153	50.113	0.552	0.057	20.111	4.697	17.929
2071-10-02	16.493	1.041	5.787	0.009	3.952	33.862	0.507	0.05	14.884	7.189	18.824
2071-10-03	25.04	1.919	10.99	0.008	3.526	18.984	0.464	0.045	12.242	23.566	34.286
2071-10-04	24.089	4.05	12.826	0.007	3.203	13.945	0.423	0.04	8.986	31.641	53.319
2071-10-05	18.175	4.964	13.567	0.006	2.895	10.296	0.385	0.124	6.251	20.279	43.342
2071-10-06	13.231	4.421	9.358	0.006	2.593	7.634	0.349	0.154	5.191	16.5	25.367
2071-10-07	9.314	3.941	6.364	0.005	2.317	5.558	0.317	0.141	4.649	36.19	27.392
2071-10-08	8.173	3.503	4.934	0.004	2.32	4.913	0.287	0.146	4.154	39.934	45.365
2071-10-09	7.16	3.153	7.228	0.004	2.316	4.391	0.259	0.149	3.701	20.998	44.076
2071-10-10	5.523	3.516	8.822	0.026	2.027	3.915	0.498	0.134	3.368	13.675	25.254
2071-10-11	5.458	4.417	7.092	1.258	1.763	3.479	2.146	0.121	4.716	11.186	17.241
2071-10-12	10.149	4.56	6.044	2.278	1.647	3.372	11.165	0.434	13.376	9.239	13.479
2071-10-13	12.15	4.075	5.099	5.35	5.857	3.782	16.998	1.402	16.828	6.391	9.483
2071-10-14	8.517	3.653	4.588	9.216	11.121	8.589	11.648	9.271	21.377	5.199	6.649
2071-10-15	6.092	3.267	4.1	6.357	7.721	20.174	14.852	25.538	31.613	4.657	5.44
2071-10-16	5.288	2.895	3.656	7.938	6.39	21.725	16.332	20.76	23.898	4.175	4.913
2071-10-17	4.761	2.556	3.25	29.801	12.163	15.627	43.248	14.029	14.868	3.735	4.43
2071-10-18	4.28	2.246	2.881	44.199	15.891	12.647	85.182	10.348	10.442	3.363	4.159
2071-10-19	3.842	1.963	2.543	27.555	13.225	16.602	75.319	7.017	12.822	3.023	3.906
2071-10-20	3.443	1.714	2.236	17.342	11.811	17.153	55.693	4.993	14.054	2.672	3.487
2071-10-21	3.078	1.488	1.955	18.075	16.128	12.007	41.509	4.754	10.005	2.351	3.105
2071-10-22	2.88	1.271	1.702	16.344	21.256	28.249	49.284	7.362	19.617	2.058	2.755
2071-10-23	3.417	1.091	1.581	14.8	33.813	34.424	71.118	8.808	32.848	1.975	3.955
2071-10-24	5.964	1.015	1.527	15.953	35.502	44.49	56.542	6.34	27.066	2.192	5.022
2071-10-25	11.077	0.938	1.372	14.642	22.602	51.669	29.227	4.963	19.113	6.429	4.53
2071-10-26	17.523	1.087	1.637	12.221	16.075	33.725	21.548	6.966	15.478	11.598	4.294
2071-10-27	18.438	1.215	1.901	9.363	17.445	19.445	19.16	9.172	30.106	11.117	12.456
2071-10-28	13.663	1.327	2.303	13.453	21.296	13.458	25.547	7.07	36.33	10.476	19.56
2071-10-29	10.295	1.41	2.72	28.601	26.876	9.463	36.368	5.293	25.977	9.41	17.351
2071-10-30	7.315	3.425	4.219	26.945	22.498	6.676	39.681	7.844	34.058	13.958	28.786
2071-10-31	11.778	5.188	5.472	18.998	14.479	6.218	29.55	14.201	43.485	20.583	31.707
2071-11-01	17.157	8.047	8.525	17.685	10.199	9.466	16.968	14.966	31.791	19.747	20.979
2071-11-02	23.06	18.458	17.197	15.142	7.879	13.372	11.871	14.483	17.855	14.639	16.339
2071-11-03	23.873	27.238	24.637	11.655	6.441	13.45	8.341	13.17	12.971	16.259	21.809
2071-11-04	16.761	24.103	27.253	9.774	5.55	12.996	12.853	12.372	10.418	20.337	21.448
2071-11-05	12.977	17.028	20.711	8.261	5.093	19.956	16.966	11.82	10.57	16.712	14.119
2071-11-06	10.954	12.066	16.991	7.156	5.766	20.515	14.747	36.743	9.323	11.789	10.446
2071-11-07	14.87	15.227	27.71	6.42	7.231	14.267	12.959	50.863	6.614	8.624	9.331
2071-11-08	16.629	16.597	26.194	5.36	31.697	23.07	23.279	31.059	5.584	15.873	11.289
2071-11-09	13.257	17.678	22.514	4.896	48.848	29.363	29.79	24.529	5.039	32.385	11.269
2071-11-10	10.397	19.373	20.781	4.518	32.667	18.875	19.319	19.105	4.542	31.477	14.151
2071-11-11	7.366	14.929	15.635	4.432	51.49	18.106	13.674	20.427	4.088	52.899	17.85
2071-11-12	5.826	10.502	11.782	4.436	61.749	17.143	10.362	22.047	3.675	73.474	14.923
2071-11-13	5.308	7.472	14.348	12.427	51.606	12.483	13.094	19.06	3.417	52.394	10.638
2071-11-14	4.855	5.762	15.559	23.88	35.188	15.251	16.886	16.141	3.479	29.59	10.841
2071-11-15	4.413	5.195	11.001	28.789	20.656	17.876	16.34	17.19	4.216	18.852	21.904
2071-11-16	4.192	4.686	7.732	38.613	16.464	14.124	36.967	17.205	7.757	13.029	35.808
2071-11-17	3.98	4.223	5.837	30.378	13.82	9.99	54.111	12.147	10.264	9.22	26.949
2071-11-18	3.596	3.791	5.241	23.065	11.279	7.621	47.857	12.474	7.278	6.569	16.047
2071-11-19	3.264	3.399	4.729	19.134	8.04	16.466	31.774	12.245	5.777	5.559	11.364
2071-11-20	2.962	3.041	4.263	13.246	6.016	23.422	17.623	8.73	6.809	5.016	8.024
2071-11-21	2.673	2.715	3.839	9.502	5.382	16.78	12.725	7.896	7.975	4.521	6.018
2071-11-22	2.491	2.419	3.452	17.249	4.86	12.006	16.281	19.183	11.869	4.07	5.389
2071-11-23	2.449	2.149	3.1	22.821	4.383	8.489	18.126	29.219	23.267	3.659	4.866
2071-11-24	3.089	5.784	2.83	16.066	3.949	6.223	17.209	19.812	31.985	3.284	4.39
2071-11-25	5.956	10.889	2.875	11.585	3.553	5.5	16.016	13.465	43.276	2.99	3.964
2071-11-26	10.213	8.035	3.045	8.516	3.216	5.148	26.579	9.502	59.318	2.72	3.584
2071-11-27	16.433	5.963	3.054	8.31	3.177	4.822	30.725	6.713	78.034	2.429	3.522
2071-11-28	21.15	5.312	2.878	7.775	3.112	4.353	17.9	5.599	63.066	2.187	4.643
2071-11-29	35.832	4.799	2.78	5.93	3.003	3.927	12.576	5.055	41.454	3.998	6.834
2071-11-30	34.607	4.332	2.685	5.337	2.897	3.546	8.894	4.56	30.537	9.465	7.329
2071-12-01	35.419	3.901	2.408	4.832	2.99	3.199	6.411	4.108	25.156	12.564	6.073
2071-12-02	31.811	3.878	2.519	4.375	3.063	2.875	5.568	3.697	20.003	10.806	7.759
2071-12-03	17.493	3.847	2.844	4.144	3.732	2.58	5.033	3.323	18.927	8.642	11.036
2071-12-04	12.389	4.244	3.356	4.814	4.969	2.311	4.546	2.982	18.29	9.091	12.478
2071-12-05	8.796	14.495	11.133	5.748	5.127	2.066	4.186	2.671	15.962	10.696	11.295
2071-12-06	6.429	33.881	54.887	6.02	4.633	1.843	3.855	2.388	18.859	9.371	9.757
2071-12-07	7.7	31.591	66.656	6.92	8.969	1.677	3.499	2.473	17.734	10.765	11.64
2071-12-08	10.854	20.01	39.918	7.499	25.856	1.589	4.563	2.541	12.553	13.252	11.812
2071-12-09	13.402	21.382	30.748	7.539	26.897	1.945	11.872	2.306	8.904	16.962	13.824
2071-12-10	26.285	22.002	25.287	7.373	16.462	2.206	18.656	2.404	6.463	18.288	16.017
2071-12-11	27.494	15.587	16.243	6.345	12.082	1.967	18.223	2.503	5.647	15.002	13.373
2071-12-12	16.331	11.071	11.63	5.92	10.84	1.75	15.364	2.29	5.114	11.655	12.043
2071-12-13	11.62	8.546	9.713	5.779	9.812	1.595	20.655	2.183	4.628	9.602	12.293
2071-12-14	8.261	6.695	8.414	5.498	7.287	1.527	22.285	2.117	4.186	8.343	10.826
2071-12-15	6.227	5.648	6.379	5.173	5.847	3.251	18.836	3.068	3.784	8.982	9.056
2071-12-16	5.594	6.445	5.713	5.394	12.631	4.71	27.237	6.198	3.417	8.81	7.368
2071-12-17	5.077	19.79	29.163	8.176	44.424	4.653	31.658	8.386	3.084	7.788	6.169
2071-12-18	4.622	29.622	45.321	11.529	69.724	4.894	22.703	11.485	2.796	6.963	6.001
2071-12-19	4.208	19.652	25.248	10.584	56.487	4.845	16.079	20.158	2.534	6.098	5.575
2071-12-20	3.819	13.718	16.15	8.857	34.158	4.502	12.534	28.036	2.28	5.827	5.048
2071-12-21	3.465	10.722	13.841	7.05	20.884	4.066	9.13	21.676	2.122	5.623	4.568
2071-12-22	3.144	11.361	13.499	5.909	14.168	3.67	6.583	14.288	2.011	5.453	4.132
2071-12-23	2.914	13.544	12.187	5.464	10.055	3.311	6.034	12.386	3.626	4.962	3.735
2071-12-24	4.576	13.131	11.773	5.86	7.682	2.989	5.889	15.553	7.867	4.493	3.374
2071-12-25	36.056	14.443	16.019	10.67	6.234	2.698	7.023	15.313	9.893	4.067	3.05
2071-12-26	73.963	14.078	18.878	12.911	5.783	2.465	7.605	13.47	7.069	3.681	2.756
2071-12-27	56.368	10.079	15.675	10.224	5.745	2.57	6.016	11.854	5.827	3.473	2.623
2071-12-28	27.989	7.15	11.181	7.603	8.033	2.649	5.539	8.391	5.66	3.32	2.643
2071-12-29	16.489	5.854	8.329	6.034	10.847	2.415	5.071	6.202	5.496	3.043	2.549
2071-12-30	11.747	5.316	6.421	5.474	9.157	2.174	4.596	5.517	4.979	2.753	2.336
2071-12-31	8.365	4.827	5.657	4.968	6.609	1.955	4.165	4.999	4.519	2.49	4.061
2072-01-01	6.389	4.374	5.131	4.508	5.72	1.755	3.773	4.618	4.1	2.362	5.739
2072-01-02	6.413	3.964	4.653	4.098	6.566	1.667	3.418	4.269	3.709	2.48	5.402
2072-01-03	10.254	3.592	4.219	3.725	10.147	1.627	3.097	3.866	3.354	2.474	4.921
2072-01-04	16.517	4.014	4.335	3.38	11.204	1.619	2.805	3.501	3.058	2.24	9.387
2072-01-05	16.893	4.789	4.68	3.066	9.775	1.621	2.539	3.225	2.788	2.374	42.803
2072-01-06	19.402	5.171	4.754	2.809	7.537	1.586	2.678	3.098	2.518	2.855	51.894
2072-01-07	29.478	5.248	4.636	2.633	6.621	1.537	3.036	2.925	2.273	3.266	32.129
2072-01-08	37.56	5.006	4.295	2.812	6.18	3.165	3.6	2.65	2.06	4.047	30.278
2072-01-09	40.839	4.665	3.929	3.405	5.594	4.538	4.388	2.404	2.197	5.265	33.175
2072-01-10	29.054	4.31	3.585	3.589	5.127	4.114	4.709	2.179	2.303	5.867	29.461
2072-01-11	18.654	4.021	3.261	3.273	12.893	4.05	4.48	1.969	2.081	5.681	35.066
2072-01-12	20.425	3.741	2.997	3.301	19.178	3.982	4.991	1.84	1.881	5.699	36.298
2072-01-13	20.979	4.672	3.983	4.696	13.417	3.594	20.06	1.76	1.794	6.043	32.675
2072-01-14	17.112	5.65	4.819	17.486	9.538	3.243	44.695	1.683	1.714	6.582	25.85
2072-01-15	13.007	6.413	5.014	44.437	13.173	2.924	43.629	1.61	1.637	17.192	36.618
2072-01-16	9.269	7.555	5.156	39.426	15.087	2.635	30.602	1.54	2.9	31.094	58.938
2072-01-17	8.528	6.491	4.676	21.303	17.372	2.373	18.408	1.473	5.608	27.378	49.768
2072-01-18	10.096	5.769	4.24	17.006	35.14	3.121	18.253	1.409	8.053	20.157	26.188
2072-01-19	9.257	5.233	3.845	15.246	45.339	4.201	18.393	1.348	7.524	16.07	16.37
2072-01-20	6.817	4.747	3.486	11.817	35.403	4.675	13.75	1.289	8.41	13.48	28.538
2072-01-21	5.995	4.306	3.16	14.989	20.344	7.295	14.272	1.233	8.181	12.736	43.75
2072-01-22	5.513	3.973	2.984	16.701	13.862	40.956	14.656	1.18	6.697	12.454	67.184
