Date	Baseline	delta_cnrmcclm	delta_cnrmrca	delta_ecearthcclm	delta_ecearthhirham	delta_ecearthracmo	delta_ecearthrca	delta_hadgemrca	delta_ipslrca	delta_mpicclm	delta_mpirca
1971-09-02	0.095	0.675	0.767	0.565	1.029	1.016	0.701	0.711	0.859	0.667	1.093
1971-09-03	0.159	0.748	0.86	0.615	1.179	1.163	0.78	0.791	0.972	0.738	1.258
1971-09-04	0.149	0.584	0.687	0.463	0.976	0.962	0.613	0.624	0.788	0.575	1.048
1971-09-05	0.138	0.652	0.776	0.505	1.123	1.105	0.686	0.696	0.892	0.642	1.213
1971-09-06	0.127	0.708	0.85	0.538	1.246	1.225	0.747	0.756	0.98	0.697	1.353
1971-09-07	0.117	0.546	0.678	0.424	1.039	1.02	0.584	0.592	0.796	0.535	1.136
1971-09-08	0.207	0.46	0.521	0.392	0.85	0.832	0.471	0.473	0.628	0.456	0.939
1971-09-09	0.281	0.419	0.472	0.356	0.677	0.66	0.433	0.436	0.514	0.415	0.758
1971-09-10	0.617	0.38	0.429	0.323	0.557	0.552	0.394	0.395	0.47	0.377	0.596
1971-09-11	0.868	0.344	0.389	0.292	0.509	0.502	0.357	0.358	0.426	0.342	0.543
1971-09-12	0.698	0.312	0.353	0.263	0.462	0.455	0.323	0.323	0.386	0.309	0.494
1971-09-13	0.538	0.282	0.32	0.238	0.42	0.413	0.292	0.292	0.35	0.28	0.449
1971-09-14	0.474	0.255	0.289	0.214	0.38	0.375	0.264	0.264	0.316	0.253	0.408
1971-09-15	0.589	0.231	0.263	0.193	0.346	0.341	0.239	0.239	0.287	0.229	0.372
1971-09-16	1.352	0.208	0.238	0.174	0.314	0.309	0.216	0.215	0.259	0.207	0.337
1971-09-17	2.577	0.188	0.215	0.156	0.284	0.279	0.195	0.194	0.234	0.186	0.306
1971-09-18	4.641	0.176	0.203	0.146	0.27	0.265	0.183	0.182	0.221	0.175	0.292
1971-09-19	8.638	0.167	0.193	0.137	0.258	0.253	0.174	0.172	0.21	0.166	0.28
1971-09-20	11.389	0.162	0.188	0.132	0.256	0.251	0.169	0.166	0.206	0.161	0.279
1971-09-21	13.885	0.156	0.183	0.127	0.251	0.245	0.163	0.161	0.201	0.155	0.274
1971-09-22	16.075	0.141	0.166	0.114	0.228	0.223	0.148	0.146	0.182	0.141	0.25
1971-09-23	16.974	0.128	0.151	0.103	0.208	0.203	0.134	0.132	0.165	0.127	0.228
1971-09-24	16.144	0.177	0.227	0.134	0.354	0.344	0.19	0.186	0.262	0.175	0.397
1971-09-25	18.963	0.211	0.272	0.166	0.48	0.465	0.225	0.22	0.333	0.209	0.549
1971-09-26	18.502	0.207	0.253	0.159	0.382	0.369	0.219	0.215	0.285	0.204	0.448
1971-09-27	17.006	0.188	0.231	0.144	0.343	0.335	0.2	0.196	0.262	0.186	0.38
1971-09-28	15.705	0.192	0.238	0.146	0.356	0.348	0.204	0.2	0.271	0.189	0.397
1971-09-29	11.947	0.193	0.24	0.147	0.361	0.353	0.206	0.201	0.274	0.191	0.401
1971-09-30	9.654	0.407	0.519	0.296	0.811	0.794	0.436	0.43	0.611	0.398	0.9
1971-10-01	9.852	0.546	0.716	0.378	1.159	1.135	0.59	0.583	0.858	0.531	1.29
1971-10-02	16.493	0.395	0.556	0.279	0.962	0.94	0.437	0.43	0.686	0.382	1.083
1971-10-03	25.04	0.347	0.432	0.262	0.797	0.776	0.372	0.366	0.535	0.34	0.906
