Date	Baseline	delta_cnrmcclm	delta_cnrmrca	delta_ecearthcclm	delta_ecearthhirham	delta_ecearthracmo	delta_ecearthrca	delta_hadgemrca	delta_ipslrca	delta_mpicclm	delta_mpirca
1971-09-02	0	0	0	0	0	0	0	0	0	0	0
1971-09-03	0	0	0	0	0	0	0	0	0	0	0
1971-09-04	0	0	0	0	0	0	0	0	0	0	0
1971-09-05	0	0	0	0	0	0	0	0	0	0	0
1971-09-06	0	0	0	0	0	0	0	0	0	0	0
1971-09-07	0	0	0	0	0	0	0	0	0	0	0
1971-09-08	0	0	0	0	0	0	0	0	0	0	0
1971-09-09	0	0	0	0	0	0	0	0	0	0	0
1971-09-10	0	0	0	0	0	0	0	0	0	0	0
1971-09-11	0	0	0	0	0	0	0	0	0	0	0
1971-09-12	0	0	0	0	0	0	0	0	0	0	0
1971-09-13	0	0	0	0	0	0	0	0	0	0	0
1971-09-14	0	0	0	0	0	0	0	0	0	0	0
1971-09-15	0	0	0	0	0	0	0	0	0	0	0
1971-09-16	0	0	0	0	0	0	0	0	0	0	0
1971-09-17	0	0	0	0	0	0	0	0	0	0	0
1971-09-18	0	0	0	0	0	0	0	0	0	0	0
1971-09-19	0	0	0	0	0	0	0	0	0	0	0
1971-09-20	0	0	0	0	0	0	0	0	0	0	0
1971-09-21	0	0	0	0	0	0	0	0	0	0	0
1971-09-22	0	0	0	0	0	0	0	0	0	0	0
1971-09-23	0	0	0	0	0	0	0	0	0	0	0
1971-09-24	0	0	0	0	0	0	0	0	0	0	0
1971-09-25	0	0	0	0	0	0	0	0	0	0	0
1971-09-26	0	0	0	0	0	0	0	0	0	0	0
1971-09-27	0	0	0	0	0	0	0	0	0	0	0
1971-09-28	0	0	0	0	0	0	0	0	0	0	0
1971-09-29	0	0	0	0	0	0	0	0	0	0	0
1971-09-30	0	0	0	0	0	0	0	0	0	0	0
1971-10-01	0	0	0	0	0	0	0	0	0	0	0
1971-10-02	0	0	0	0	0	0	0	0	0	0	0
1971-10-03	0	0	0	0	0	0	0	0	0	0	0
1971-10-04	0	0	0	0	0	0	0	0	0	0	0
1971-10-05	0	0	0	0	0	0	0	0	0	0	0
1971-10-06	0	0	0	0	0	0	0	0	0	0	0
1971-10-07	0	0	0	0	0	0	0	0	0	0	0
1971-10-08	0	0	0	0	0	0	0	0	0	0	0
1971-10-09	0	0	0	0	0	0	0	0	0	0	0
1971-10-10	0	0	0	0	0	0	0	0	0	0	0
1971-10-11	0	0	0	0	0	0	0	0	0	0	0
1971-10-12	0	0	0	0	0	0	0	0	0	0	0
1971-10-13	0	0	0	0	0	0	0	0	0	0	0
1971-10-14	0	0	0	0	0	0	0	0	0	0	0
1971-10-15	0	0	0	0	0	0	0	0	0	0	0
1971-10-16	0	0	0	0	0	0	0	0	0	0	0
1971-10-17	0	0	0	0	0	0	0	0	0	0	0
1971-10-18	0	0	0	0	0	0	0	0	0	0	0
1971-10-19	0	0	0	0	0	0	0	0	0	0	0
1971-10-20	0	0	0	0	0	0	0	0	0	0	0
1971-10-21	0	0	0	0	0	0	0	0	0	0	0
1971-10-22	0	0	0	0	0	0	0	0	0	0	0
1971-10-23	0	0	0	0	0	0	0	0	0	0	0
1971-10-24	0	0	0	0	0	0	0	0	0	0	0
1971-10-25	0	0	0	0	0	0	0	0	0	0	0
1971-10-26	0	0	0	0	0	0	0	0	0	0	0
1971-10-27	0	0	0	0	0	0	0	0	0	0	0
1971-10-28	0	0	0	0	0	0	0	0	0	0	0
1971-10-29	0	0	0	0	0	0	0	0	0	0	0
1971-10-30	0	0	0	0	0	0	0	0	0	0	0
1971-10-31	0	0	0	0	0	0	0	0	0	0	0
1971-11-01	0	0	0	0	0	0	0	0	0	0	0
1971-11-02	0	0	0	0	0	0	0	0	0	0	0
1971-11-03	0	0	0	0	0	0	0	0	0	0	0
1971-11-04	0	0	0	0	0	0	0	0	0	0	0
1971-11-05	0	0	0	0	0	0	0	0	0	0	0
1971-11-06	0	0	0	0	0	0	0	0	0	3.055	0
1971-11-07	0	16.787	25.597	17.667	18.643	27.47	22.899	19.632	27.498	22.734	21.195
1971-11-08	0	23.361	36.204	22.105	25.914	37.07	31.527	26.685	38.921	30.996	29.87
1971-11-09	0	23.331	38.934	17.444	26.105	29.633	31.218	25.231	42.225	33.513	31.108
1971-11-10	0	23.331	38.934	17.444	26.105	29.617	31.218	25.231	42.225	33.513	31.108
1971-11-11	0	23.156	38.577	15.989	25.936	27.083	30.348	24.469	41.865	33.362	30.735
1971-11-12	0	14.381	26.051	7.194	17.391	14.361	20.69	16.362	29.768	23.665	20.264
1971-11-13	0	11.948	22.299	5.386	14.283	10.626	17.226	13.092	26.361	21.02	17.059
1971-11-14	0	16.109	31.816	4.363	18.062	6.309	19.75	14.34	37.174	29.307	23.239
1971-11-15	0.11	8.569	21.717	2.015	10.704	1.894	12.309	8.201	26.991	19.656	14.053
1971-11-16	1.745	0.887	7.556	0.242	1.812	0.033	2.99	1.331	10.343	7.572	3.005
1971-11-17	1.745	1.491	5.674	0.016	0.761	0	1.714	0.393	7.853	8.368	2.032
1971-11-18	5.652	1.491	5.674	0.016	0.761	0	1.714	0.393	7.853	8.368	2.032
1971-11-19	5.477	1.491	5.674	0.016	0.761	0	1.714	0.393	7.853	8.368	2.032
1971-11-20	5.477	1.924	6.479	0.495	1.248	0.746	2.391	0.951	8.777	8.876	2.593
1971-11-21	5.566	14.007	24.897	13.842	14.681	21.536	18.94	15.18	28.563	23.036	17.843
1971-11-22	7.464	24.886	41.512	25.2	26.765	39.423	33.783	27.897	46.411	35.817	31.599
1971-11-23	12.256	24.886	41.512	25.2	26.765	39.423	33.783	27.897	46.411	35.817	31.599
1971-11-24	6.548	24.886	41.512	25.2	26.765	39.423	33.783	27.897	46.411	35.817	31.599
1971-11-25	0.613	25.444	42.362	25.816	27.385	40.235	34.546	28.554	47.324	36.47	32.303
1971-11-26	0.013	18.202	36.151	15.225	19.79	27.923	26.334	19.987	41.296	30.975	25.631
1971-11-27	0	6.841	21.929	3.657	7.393	11.929	12.19	7.094	26.791	18.954	12.44
1971-11-28	0	1.64	9.796	0.147	1.401	1.968	3.245	0.993	13.502	9.413	3.536
1971-11-29	0	0.699	5.131	0	0.464	0.161	1.352	0.275	7.517	6.457	1.57
1971-11-30	0	0.335	3.447	0	0.188	0	0.78	0.055	5.265	5.315	0.982
