Date	Baseline	corre_cnrmcclm
2041-09-02	0.095	0.087
2041-09-03	0.159	0.089
2041-09-04	0.149	0.273
2041-09-05	0.138	0.419
2041-09-06	0.127	0.318
2041-09-07	0.117	0.993
2041-09-08	0.207	1.552
2041-09-09	0.281	1.319
2041-09-10	0.617	1.139
2041-09-11	0.868	1.188
2041-09-12	0.698	1.196
2041-09-13	0.538	0.995
2041-09-14	0.474	0.811
2041-09-15	0.589	0.669
2041-09-16	1.352	0.614
2041-09-17	2.577	0.558
2041-09-18	4.641	0.506
2041-09-19	8.638	0.457
2041-09-20	11.389	0.413
2041-09-21	13.885	0.372
2041-09-22	16.075	0.335
2041-09-23	16.974	2.377
2041-09-24	16.144	10.652
2041-09-25	18.963	14.528
2041-09-26	18.502	11.299
2041-09-27	17.006	8.653
2041-09-28	15.705	5.991
2041-09-29	11.947	4.762
2041-09-30	9.654	4.244
2041-10-01	9.852	3.772
2041-10-02	16.493	3.402
2041-10-03	25.04	3.304
2041-10-04	24.089	3.152
2041-10-05	18.175	2.78
2041-10-06	13.231	2.441
2041-10-07	9.314	2.263
2041-10-08	8.173	3.557
2041-10-09	7.16	4.618
2041-10-10	5.523	4.22
2041-10-11	5.458	3.888
2041-10-12	10.149	3.539
2041-10-13	12.15	3.145
2041-10-14	8.517	3.167
2041-10-15	6.092	3.617
2041-10-16	5.288	4.27
2041-10-17	4.761	4.422
2041-10-18	4.28	3.958
2041-10-19	3.842	16.821
2041-10-20	3.443	44.031
2041-10-21	3.078	43.821
2041-10-22	2.88	28.183
2041-10-23	3.417	22.429
2041-10-24	5.964	18.95
2041-10-25	11.077	17.943
2041-10-26	17.523	16.96
2041-10-27	18.438	11.894
2041-10-28	13.663	8.321
2041-10-29	10.295	5.975
2041-10-30	7.315	5.761
2041-10-31	11.778	6.958
2041-11-01	17.157	6.448
2041-11-02	23.06	5.409
2041-11-03	23.873	4.879
2041-11-04	16.761	4.397
2041-11-05	12.977	3.961
2041-11-06	10.954	3.666
2041-11-07	14.87	4.551
2041-11-08	16.629	6.218
2041-11-09	13.257	6.729
2041-11-10	10.397	5.867
2041-11-11	7.366	5.435
2041-11-12	5.826	4.907
2041-11-13	5.308	4.427
2041-11-14	4.855	3.989
2041-11-15	4.413	3.59
2041-11-16	4.192	3.227
2041-11-17	3.98	3.469
2041-11-18	3.596	13.112
2041-11-19	3.264	40.954
2041-11-20	2.962	41.294
2041-11-21	2.673	28.23
2041-11-22	2.491	18.917
2041-11-23	2.449	14.338
2041-11-24	3.089	11.237
2041-11-25	5.956	8.41
2041-11-26	10.213	6.345
2041-11-27	16.433	5.665
2041-11-28	21.15	6.288
2041-11-29	35.832	6.841
2041-11-30	34.607	5.785
2041-12-01	35.419	5.235
2041-12-02	31.811	4.734
2041-12-03	17.493	4.279
2041-12-04	12.389	6.181
2041-12-05	8.796	9.679
2041-12-06	6.429	8.3
2041-12-07	7.7	6.33
2041-12-08	10.854	5.571
2041-12-09	13.402	5.13
2041-12-10	26.285	4.726
2041-12-11	27.494	4.303
2041-12-12	16.331	4.062
2041-12-13	11.62	4.275
2041-12-14	8.261	5.204
2041-12-15	6.227	5.982
2041-12-16	5.594	5.824
2041-12-17	5.077	11.019
2041-12-18	4.622	15.281
2041-12-19	4.208	11.513
2041-12-20	3.819	8.176
2041-12-21	3.465	6.157
2041-12-22	3.144	5.53
2041-12-23	2.914	5.014
2041-12-24	4.576	4.545
2041-12-25	36.056	4.12
2041-12-26	73.963	3.734
2041-12-27	56.368	3.384
2041-12-28	27.989	3.066
2041-12-29	16.489	2.777
2041-12-30	11.747	2.515
2041-12-31	8.365	2.278
2042-01-01	6.389	2.062
2042-01-02	6.413	1.892
2042-01-03	10.254	1.99
2042-01-04	16.517	3.42
2042-01-05	16.893	6.838
2042-01-06	19.402	11.124
2042-01-07	29.478	11.558
2042-01-08	37.56	9.699
2042-01-09	40.839	6.925
2042-01-10	29.054	7.757
2042-01-11	18.654	12.677
2042-01-12	20.425	38.045
2042-01-13	20.979	43.796
2042-01-14	17.112	22.943
2042-01-15	13.007	14.886
2042-01-16	9.269	32.047
2042-01-17	8.528	41.177
2042-01-18	10.096	33.357
2042-01-19	9.257	26.601
2042-01-20	6.817	17.099
2042-01-21	5.995	12.228
2042-01-22	5.513	9.109
2042-01-23	5.006	6.86
2042-01-24	4.545	5.892
2042-01-25	4.126	5.477
2042-01-26	3.746	5.059
2042-01-27	3.487	4.593
2042-01-28	3.607	4.169
2042-01-29	3.844	3.785
2042-01-30	6.672	3.435
2042-01-31	9.802	3.118
2042-02-01	7.028	2.83
2042-02-02	5.932	2.569
2042-02-03	5.402	2.331
2042-02-04	4.961	2.143
2042-02-05	5.536	2.66
2042-02-06	9.307	3.658
2042-02-07	18.322	4.092
2042-02-08	26.035	3.928
2042-02-09	21.074	3.937
2042-02-10	16.194	5.257
2042-02-11	22.55	7.795
2042-02-12	33.91	9.053
2042-02-13	27.603	14.954
2042-02-14	17.518	17.448
2042-02-15	12.474	28.594
2042-02-16	8.892	33.805
2042-02-17	6.541	20.335
2042-02-18	5.778	15.813
2042-02-19	5.248	12.784
2042-02-20	4.767	9.492
2042-02-21	4.33	8.126
2042-02-22	3.933	9.028
2042-02-23	3.572	9.398
2042-02-24	3.248	7.491
2042-02-25	3.086	6.055
2042-02-26	3.055	5.499
2042-02-27	3.239	4.994
2042-02-28	12.986	4.535
2042-03-01	30.454	4.119
2042-03-02	22.557	3.74
2042-03-03	15.275	3.396
2042-03-04	11.152	3.085
2042-03-05	8.063	2.951
2042-03-06	6.226	3.98
2042-03-07	5.685	5.114
2042-03-08	8.616	5.518
2042-03-09	12.65	5.68
2042-03-10	12.578	5.853
2042-03-11	10.796	5.946
2042-03-12	7.697	5.561
2042-03-13	6.11	5.344
2042-03-14	5.782	5.549
2042-03-15	6.013	5.819
2042-03-16	6.037	5.93
2042-03-17	5.539	5.725
2042-03-18	5.127	5.534
2042-03-19	5.44	6.365
2042-03-20	6.033	8.652
2042-03-21	6.971	11.237
2042-03-22	9.406	15.536
2042-03-23	10.207	15.75
2042-03-24	8.346	11.976
2042-03-25	6.311	9.72
2042-03-26	5.666	9.419
2042-03-27	5.254	13.003
2042-03-28	4.912	16.939
2042-03-29	4.49	17.083
2042-03-30	4.066	14.527
2042-03-31	3.725	10.994
2042-04-01	3.841	8.047
2042-04-02	4.506	6.219
2042-04-03	5.111	5.704
2042-04-04	5.189	5.375
2042-04-05	4.849	5.237
2042-04-06	4.41	5.723
2042-04-07	3.996	6.042
2042-04-08	4.085	5.857
2042-04-09	5.173	5.944
2042-04-10	6.123	6.883
2042-04-11	6.376	7.911
2042-04-12	6.862	7.809
2042-04-13	7.866	7.771
2042-04-14	9.11	13.522
2042-04-15	11.065	16.631
2042-04-16	11.39	14.041
2042-04-17	9.384	14.079
2042-04-18	7.902	16.68
2042-04-19	12.173	16.265
2042-04-20	17.1	12.433
2042-04-21	18.605	9.424
2042-04-22	25.456	7.105
2042-04-23	36.639	5.904
2042-04-24	36.113	5.446
2042-04-25	25.311	5.03
2042-04-26	17.573	4.652
2042-04-27	14.858	4.297
2042-04-28	14.279	3.952
2042-04-29	14.512	3.644
2042-04-30	14.174	3.495
2042-05-01	13.427	5.556
2042-05-02	12.683	9.699
2042-05-03	14.312	8.674
2042-05-04	14.079	6.344
2042-05-05	10.794	5.496
2042-05-06	8.571	4.979
2042-05-07	7.155	7.866
2042-05-08	6.231	13.277
2042-05-09	5.856	12.979
2042-05-10	5.589	12.564
2042-05-11	5.321	11.097
2042-05-12	5.022	7.918
2042-05-13	4.688	5.883
2042-05-14	4.337	5.226
2042-05-15	4.029	4.68
2042-05-16	3.758	4.178
2042-05-17	3.486	3.787
2042-05-18	3.257	3.424
2042-05-19	4.373	3.21
2042-05-20	5.712	3.01
2042-05-21	5.705	2.952
2042-05-22	5.273	2.892
2042-05-23	4.765	2.547
2042-05-24	4.302	2.231
2042-05-25	4.368	1.939
2042-05-26	4.413	1.667
2042-05-27	3.976	1.421
2042-05-28	3.825	1.201
2042-05-29	10.322	1.088
2042-05-30	20.844	1.233
2042-05-31	18.38	1.568
2042-06-01	13.503	1.821
2042-06-02	9.539	1.802
2042-06-03	9.67	1.675
2042-06-04	9.554	1.807
2042-06-05	6.799	1.801
2042-06-06	5.441	1.574
2042-06-07	4.863	1.362
2042-06-08	4.362	1.38
2042-06-09	3.902	1.39
2042-06-10	3.449	1.169
2042-06-11	3.034	1.018
2042-06-12	2.666	0.921
2042-06-13	2.504	0.831
2042-06-14	2.84	0.748
2042-06-15	3.509	0.67
2042-06-16	3.635	0.599
2042-06-17	3.259	0.534
2042-06-18	2.905	0.476
2042-06-19	2.549	0.422
2042-06-20	2.22	0.383
2042-06-21	1.922	0.348
2042-06-22	1.648	0.309
2042-06-23	2.063	0.274
2042-06-24	4.508	0.242
2042-06-25	10.855	0.214
2042-06-26	11.942	0.2
2042-06-27	9.287	0.19
2042-06-28	7.014	0.251
2042-06-29	5.339	0.274
2042-06-30	4.797	2.298
2042-07-01	4.351	4.234
2042-07-02	4.409	3.975
2042-07-03	4.416	3.81
2042-07-04	3.938	3.726
2042-07-05	3.488	3.384
2042-07-06	3.074	2.997
2042-07-07	2.693	2.758
2042-07-08	2.343	2.746
2042-07-09	2.023	2.874
2042-07-10	1.729	3.138
2042-07-11	1.86	3.113
2042-07-12	3.932	2.737
2042-07-13	8.106	2.391
2042-07-14	8.234	2.072
2042-07-15	5.783	1.778
2042-07-16	4.955	1.508
2042-07-17	4.429	1.26
2042-07-18	3.944	1.049
2042-07-19	3.496	0.855
2042-07-20	3.106	0.774
2042-07-21	2.739	0.706
2042-07-22	2.384	0.631
2042-07-23	2.059	0.562
2042-07-24	1.762	0.5
2042-07-25	1.497	0.443
2042-07-26	1.418	0.395
2042-07-27	1.634	0.354
2042-07-28	2.927	0.318
2042-07-29	4.222	0.322
2042-07-30	4.271	0.321
2042-07-31	3.897	0.292
2042-08-01	3.477	0.72
2042-08-02	3.09	2.256
2042-08-03	2.722	3.131
2042-08-04	2.413	2.755
2042-08-05	2.125	2.411
2042-08-06	1.834	2.096
2042-08-07	1.566	1.836
2042-08-08	1.321	1.596
2042-08-09	1.091	1.348
2042-08-10	0.965	1.128
2042-08-11	0.878	0.927
2042-08-12	2.013	0.735
2042-08-13	2.961	0.778
2042-08-14	2.614	2.035
2042-08-15	2.672	6.638
2042-08-16	6.907	24.631
2042-08-17	11.319	29.148
2042-08-18	7.979	22.255
2042-08-19	5.851	18.061
2042-08-20	5.085	12.864
2042-08-21	12.339	9.068
2042-08-22	17.223	9.762
2042-08-23	12.174	10.019
2042-08-24	8.453	7.125
2042-08-25	5.942	5.279
2042-08-26	5.142	5.309
2042-08-27	4.677	5.308
2042-08-28	4.173	4.725
2042-08-29	3.867	4.213
2042-08-30	3.784	3.739
2042-08-31	3.56	3.304
2042-09-01	3.295	2.905
2042-09-02	3.05	2.54
2042-09-03	2.699	2.207
2042-09-04	2.373	2.026
2042-09-05	2.074	2.322
2042-09-06	1.801	4.157
2042-09-07	2.116	6.315
2042-09-08	6.105	5.667
2042-09-09	11.386	4.914
2042-09-10	9.395	4.391
2042-09-11	6.977	3.911
2042-09-12	5.397	3.489
2042-09-13	4.846	3.102
2042-09-14	4.436	2.729
2042-09-15	4.06	2.387
2042-09-16	4.017	2.075
2042-09-17	6.504	1.788
2042-09-18	8.696	1.527
2042-09-19	7.857	1.287
2042-09-20	10.923	1.071
2042-09-21	11.074	0.97
2042-09-22	7.739	0.877
2042-09-23	5.734	0.793
2042-09-24	5.181	0.716
2042-09-25	4.727	0.645
2042-09-26	4.243	0.581
2042-09-27	3.802	0.523
2042-09-28	3.412	0.47
2042-09-29	7.287	0.422
2042-09-30	30.593	0.379
2042-10-01	34.505	0.345
2042-10-02	18.573	0.314
2042-10-03	12.829	0.282
2042-10-04	10.026	0.252
2042-10-05	8.086	0.225
2042-10-06	8.099	0.201
2042-10-07	9.324	0.18
2042-10-08	8.131	0.942
2042-10-09	6.577	1.565
2042-10-10	6.549	1.352
2042-10-11	7.251	1.159
2042-10-12	15.014	1.625
2042-10-13	35.973	2.086
2042-10-14	36.192	1.97
2042-10-15	31.091	1.81
2042-10-16	24.537	1.561
2042-10-17	16.5	2.801
2042-10-18	14.607	7.807
2042-10-19	13.15	11.285
2042-10-20	21.856	8.303
2042-10-21	31.748	5.722
2042-10-22	22.63	4.809
2042-10-23	21.992	4.332
2042-10-24	20.698	4.018
2042-10-25	21.177	4.458
2042-10-26	21.129	6.513
2042-10-27	26.512	9.099
2042-10-28	24.819	14.503
2042-10-29	18.968	16.328
2042-10-30	32.968	11.769
2042-10-31	42.597	8.183
2042-11-01	65.895	6.218
2042-11-02	65.505	25.072
2042-11-03	50.641	33.925
2042-11-04	52.374	17.798
2042-11-05	55.916	12.351
2042-11-06	46.708	8.634
2042-11-07	36.235	15.144
2042-11-08	27.319	27.629
2042-11-09	27.215	25.25
2042-11-10	32.952	17.372
2042-11-11	35.764	12.353
2042-11-12	26.703	10.001
2042-11-13	35.491	8.722
2042-11-14	62.173	7.666
2042-11-15	60.246	6.709
2042-11-16	40.118	5.803
2042-11-17	26.612	5.815
2042-11-18	33.152	6.354
2042-11-19	36.644	6.292
2042-11-20	30.984	9.363
2042-11-21	28.739	11.66
2042-11-22	50.451	9.336
2042-11-23	55.752	6.716
2042-11-24	68.621	5.625
2042-11-25	66.522	5.273
2042-11-26	51.358	5.351
2042-11-27	40.176	10.59
2042-11-28	29.343	18.544
2042-11-29	23.711	19.341
2042-11-30	24.006	15.961
2042-12-01	26.945	12.01
2042-12-02	20.375	8.688
2042-12-03	22.762	6.324
2042-12-04	22.163	5.557
2042-12-05	15.068	5.035
2042-12-06	17.243	4.743
2042-12-07	27.638	4.521
2042-12-08	25.773	4.142
2042-12-09	17.769	3.749
2042-12-10	19.596	3.393
2042-12-11	33.926	3.07
2042-12-12	34.674	2.797
2042-12-13	23.93	2.903
2042-12-14	35.399	3.074
2042-12-15	49.614	2.883
2042-12-16	43.558	3.394
2042-12-17	27.004	4.455
2042-12-18	16.271	5.776
2042-12-19	11.592	7.658
2042-12-20	8.254	7.024
2042-12-21	6.256	11.824
2042-12-22	5.629	21.904
2042-12-23	5.108	20.544
