Year	Baseline	delta_cnrmcclm	delta_cnrmrca	delta_ecearthcclm	delta_ecearthhirham	delta_ecearthracmo	delta_ecearthrca	delta_hadgemrca	delta_ipslrca	delta_mpicclm	delta_mpirca
2071	0.141714285714286	0.0797142857142857	0.15	0.113	0.157428571428571	0.203142857142857	0.157714285714286	0.138142857142857	0.281714285714286	0.177285714285714	0.313571428571429
2072	1.38114285714286	0.144857142857143	0.0755714285714286	0.0464285714285714	0.0707142857142857	0.0935714285714286	0.0758571428571429	0.0621428571428571	0.122	0.0834285714285714	0.134
2073	0.886428571428571	0.334857142857143	0.325142857142857	0.106428571428571	0.245	0.351714285714286	0.207428571428571	0.258714285714286	0.281142857142857	0.227428571428571	0.281285714285714
2074	0.502	0.371	0.007	0.0118571428571429	0.0114285714285714	0.00928571428571429	0.00771428571428571	0.0117142857142857	0.008	0.0141428571428571	0.0105714285714286
2075	0.364857142857143	0.068	0.0437142857142857	0.0232857142857143	0.0387142857142857	0.0221428571428571	0.026	0.0372857142857143	0.0294285714285714	0.0365714285714286	0.0335714285714286
2076	0.392428571428571	0.181	0.0241428571428571	0.00385714285714286	0.011	0.0158571428571429	0.00757142857142857	0.0157142857142857	0.0107142857142857	0.008	0.0108571428571429
2077	0.294142857142857	0.00171428571428571	0.195285714285714	0.0524285714285714	0.113285714285714	0.108571428571429	0.0847142857142857	0.142142857142857	0.108428571428571	0.106857142857143	0.110285714285714
2078	0.329714285714286	0.264857142857143	0.222428571428571	0.277571428571429	0.365428571428571	0.237142857142857	0.250285714285714	0.327857142857143	0.278857142857143	0.430285714285714	0.386
2079	0.442571428571429	0.271142857142857	0.420142857142857	0.164428571428571	0.325428571428571	0.259428571428571	0.252	0.331714285714286	0.297714285714286	0.290285714285714	0.292428571428571
2080	0.555714285714286	0.113857142857143	0.035	0.0454285714285714	0.0534285714285714	0.0624285714285714	0.0242857142857143	0.0325714285714286	0.041	0.196285714285714	0.064
2081	0.687142857142857	0.212285714285714	0.0525714285714286	0.0141428571428571	0.0227142857142857	0.0521428571428571	0.0324285714285714	0.0315714285714286	0.0574285714285714	0.0447142857142857	0.0462857142857143
2082	0.0722857142857143	0.245857142857143	0.0767142857142857	0.0197142857142857	0.0471428571428571	0.0508571428571429	0.0354285714285714	0.0551428571428571	0.0507142857142857	0.0447142857142857	0.0458571428571429
2083	0.468285714285714	0.101571428571429	0.0181428571428571	0.00442857142857143	0.00657142857142857	0.0148571428571429	0.00971428571428571	0.00957142857142857	0.0165714285714286	0.0138571428571429	0.0125714285714286
2084	0.715571428571429	0.290857142857143	0.0815714285714286	0.0191428571428571	0.0292857142857143	0.065	0.0418571428571429	0.0437142857142857	0.0705714285714286	0.0595714285714286	0.0544285714285714
2085	0.249571428571429	0.182	0.477571428571429	0.280571428571429	0.575857142857143	0.441428571428571	0.406142857142857	0.619428571428571	0.498285714285714	0.507571428571429	0.507857142857143
2086	0.148857142857143	0.08	0.0801428571428571	0.0245714285714286	0.0524285714285714	0.0444285714285714	0.0357142857142857	0.0572857142857143	0.0444285714285714	0.044	0.046
2087	0.343857142857143	0.097	0.345571428571429	0.115571428571429	0.271428571428571	0.149285714285714	0.164714285714286	0.263428571428571	0.224857142857143	0.240428571428571	0.216285714285714
2088	1.04342857142857	0.106142857142857	0.0741428571428571	0.081	0.109428571428571	0.0572857142857143	0.0768571428571429	0.108285714285714	0.074	0.110285714285714	0.107
2089	0.770857142857143	0.109571428571429	0.192857142857143	0.0931428571428571	0.209142857142857	0.131571428571429	0.148857142857143	0.219285714285714	0.193428571428571	0.181	0.177142857142857
2090	0.0664285714285714	0.169285714285714	0.178857142857143	0.0957142857142857	0.133857142857143	0.149142857142857	0.117	0.145428571428571	0.129285714285714	0.125	0.131857142857143
2091	1.00071428571429	0.250571428571429	0.0395714285714286	0.0588571428571429	0.0574285714285714	0.0575714285714286	0.0445714285714286	0.0584285714285714	0.0502857142857143	0.0934285714285714	0.0627142857142857
2092	1.66885714285714	0.026	0.00557142857142857	0.00628571428571429	0.00757142857142857	0.00614285714285714	0.006	0.008	0.00557142857142857	0.00771428571428571	0.00757142857142857
2093	0.282285714285714	0.770142857142857	0.0701428571428571	0.0307142857142857	0.066	0.03	0.0381428571428571	0.0634285714285714	0.0507142857142857	0.0585714285714286	0.053
2094	0.134285714285714	0.299142857142857	0.184285714285714	0.0427142857142857	0.134571428571429	0.093	0.076	0.144857142857143	0.113714285714286	0.103857142857143	0.101857142857143
2095	0.112142857142857	0.139285714285714	0.0662857142857143	0.0112857142857143	0.0332857142857143	0.0427142857142857	0.0221428571428571	0.0441428571428571	0.0304285714285714	0.0248571428571429	0.0302857142857143
2096	1.38114285714286	0.0777142857142857	0.243285714285714	0.0552857142857143	0.119285714285714	0.141	0.0944285714285714	0.160285714285714	0.121285714285714	0.115285714285714	0.127142857142857
2097	0.886428571428571	0.421857142857143	0.142857142857143	0.035	0.097	0.137285714285714	0.072	0.132857142857143	0.101285714285714	0.0822857142857143	0.0967142857142857
2098	0.502	0.103285714285714	0.443285714285714	0.322285714285714	0.430571428571429	0.607857142857143	0.591285714285714	0.552142857142857	0.580857142857143	0.763	0.757714285714286
2099	0.364857142857143	0.236714285714286	0.343285714285714	0.0751428571428571	0.173571428571429	0.231	0.137	0.220142857142857	0.187285714285714	0.160142857142857	0.179857142857143
2100	0.392428571428571	0.822571428571429	0.923857142857143	0.349571428571429	0.802571428571429	1.11728571428571	0.620285714285714	1.08485714285714	0.787714285714286	0.644	0.793142857142857
