"","DayMonth","corre_cnrmcclm","corre_cnrmrca","corre_ecearthcclm","corre_ecearthhirham","corre_ecearthracmo","corre_ecearthrca","corre_hadgemrca","corre_ipslrca","corre_mpicclm","corre_mpirca","Baseline"
"1","01-01",13.8332068965517,15.0411034482759,13.041724137931,11.6734827586207,12.8102413793103,15.9345172413793,19.9507586206897,14.4121724137931,9.2871724137931,9.40755172413793,9.82862068965517
"2","01-02",11.9888620689655,12.2613103448276,11.3835517241379,11.6826551724138,10.8525517241379,14.6727931034483,19.0562068965517,13.5288620689655,8.69827586206897,9.26234482758621,9.54806896551724
"3","01-03",11.3178620689655,11.9171724137931,10.4284482758621,11.2501379310345,10.6492068965517,13.7115517241379,16.9628620689655,14.2205862068966,8.83096551724138,9.72903448275862,9.14162068965517
"4","01-04",11.4850344827586,13.2850689655172,11.2640689655172,13.1731379310345,10.2459310344828,13.6821034482759,16.3079655172414,14.6243103448276,10.5767931034483,12.2598275862069,9.80731034482759
"5","01-05",11.6161034482759,14.1320689655172,11.3510689655172,16.7027586206897,9.14924137931034,13.9331379310345,15.9671724137931,14.0750344827586,12.0240689655172,14.4111724137931,9.52855172413793
"6","01-06",12.2000344827586,14.3945862068966,10.5985172413793,19.7333793103448,8.80075862068965,14.0695862068966,16.7913103448276,13.9571034482759,11.8257586206897,14.0403793103448,8.57527586206897
"7","01-07",11.4068275862069,13.0184827586207,11.222,20.0656551724138,9.42296551724138,16.197,15.4174827586207,13.2939310344828,10.786275862069,12.6964482758621,9.49551724137931
"8","01-08",10.4866551724138,13.9758620689655,12.2218275862069,16.2214137931034,8.86006896551724,18.2101724137931,15.1511034482759,12.7953793103448,10.5622413793103,12.5858965517241,11.1055517241379
"9","01-09",10.6256206896552,15.959275862069,12.7962413793103,12.2922068965517,7.65489655172414,19.1319655172414,16.5270689655172,14.0766551724138,10.5613103448276,13.6655862068966,11.434
"10","01-10",11.3794137931034,17.4852068965517,12.052,10.1751724137931,7.53993103448276,16.9199310344828,15.1417586206897,15.1757931034483,14.0602413793103,16.4420689655172,10.0679655172414
"11","01-11",12.3023448275862,19.0355862068966,12.7828620689655,10.5378620689655,7.81127586206897,13.9983793103448,13.8198965517241,14.4471724137931,15.4074137931034,16.3625172413793,8.93206896551724
"12","01-12",11.6510344827586,17.2188965517241,13.1949310344828,9.88927586206897,8.26855172413793,13.3072413793103,13.2907586206897,15.8495517241379,14.4193448275862,15.5801034482759,10.1418965517241
"13","01-13",11.0456551724138,16.2935517241379,11.1220689655172,7.88268965517241,8.95675862068966,13.5901034482759,13.5113103448276,15.3813103448276,13.9659310344828,15.8592068965517,11.4650344827586
"14","01-14",11.8038275862069,17.3425862068966,10.7704482758621,6.84420689655172,8.28265517241379,13.6257586206897,12.9165862068966,12.484,12.232275862069,15.1616551724138,10.3934482758621
"15","01-15",11.9188965517241,16.9581724137931,11.8878965517241,6.89020689655172,7.8058275862069,13.5684482758621,12.548,13.2748275862069,12.8836896551724,17.265275862069,9.87986206896552
"16","01-16",12.0227586206897,17.3505517241379,12.8434137931034,7.37403448275862,8.30165517241379,14.1498965517241,13.3714827586207,16.6458965517241,14.5657586206897,19.4821724137931,11.5707586206897
"17","01-17",12.1597586206897,17.5845172413793,12.9974482758621,8.11427586206896,10.171724137931,14.5424137931034,12.4919655172414,17.3341379310345,14.2511724137931,19.0389310344828,11.9358965517241
"18","01-18",12.2615172413793,17.1705517241379,12.5934827586207,8.67510344827586,12.507275862069,15.143,10.7232068965517,16.7228620689655,12.4144137931034,16.1868620689655,11.0961379310345
"19","01-19",12.2024482758621,16.0625862068966,12.1074827586207,8.4181724137931,11.9571379310345,14.8334827586207,11.2856551724138,17.5909310344828,11.2271724137931,14.2346206896552,10.1708620689655
"20","01-20",12.7125517241379,17.1464827586207,13.1058620689655,8.14355172413793,10.1291034482759,16.898275862069,12.8920689655172,18.4718965517241,13.4444137931034,15.2984482758621,7.94051724137931
"21","01-21",14.4640689655172,16.7474482758621,14.5632068965517,8.36920689655172,8.48051724137931,19.7659310344828,13.0740344827586,17.9114137931034,15.055724137931,18.0384482758621,7.8818275862069
"22","01-22",16.0673448275862,16.2632068965517,12.9577931034483,7.96058620689655,9.82968965517241,17.9961034482759,13.753724137931,16.7961379310345,12.7383103448276,16.7181379310345,8.62637931034483
"23","01-23",16.4137931034483,17.2674482758621,12.0369310344828,8.71289655172414,11.1458965517241,18.2410344827586,12.9064827586207,15.3639655172414,12.6583448275862,13.2602413793103,8.19413793103448
"24","01-24",14.39,17.684275862069,13.6783793103448,8.90865517241379,10.0955172413793,19.774724137931,10.9144827586207,15.4034827586207,13.6267931034483,11.3826206896552,6.52379310344828
"25","01-25",13.260275862069,15.2426206896552,13.8175517241379,8.21386206896552,8.84924137931034,17.6256896551724,10.3467931034483,14.957724137931,12.8227931034483,10.5203793103448,5.43731034482759
"26","01-26",12.5018965517241,12.9112068965517,16.7538275862069,11.8068620689655,8.45310344827586,17.5410689655172,13.785,14.6288620689655,11.3026206896552,10.5956206896552,6.05589655172414
"27","01-27",10.7961724137931,13.4320344827586,17.5333103448276,15.2679310344828,9.06241379310345,17.4311379310345,14.726,13.8553793103448,10.4403448275862,10.261,6.78086206896552
"28","01-28",11.2645517241379,14.2699655172414,17.6009310344828,14.2323793103448,10.8899655172414,17.6533103448276,12.2356551724138,14.54,10.2228965517241,9.66306896551724,6.83365517241379
"29","01-29",11.6452413793103,16.5856206896552,17.8865862068966,11.3314482758621,11.1070344827586,18.856724137931,11.3468965517241,17.7076896551724,11.1940344827586,10.9870344827586,6.58196551724138
"30","01-30",11.5944482758621,19.715275862069,17.2878965517241,11.171,10.1673793103448,19.4674827586207,13.0779655172414,16.8951724137931,13.0085517241379,12.5882068965517,6.97724137931034
"31","01-31",11.5195517241379,19.0532413793103,16.1583793103448,11.2671724137931,10.7370344827586,16.600275862069,15.6761379310345,14.6135862068966,12.9822068965517,12.5066896551724,6.6791724137931
"32","02-01",12.8972413793103,18.6150689655172,11.9104137931034,9.30120689655172,13.9430689655172,13.5295862068966,14.386724137931,13.6486551724138,11.3054827586207,10.5138620689655,5.30275862068966
"33","02-02",11.946724137931,17.5008965517241,10.2177586206897,9.50337931034483,16.5987931034483,14.1777931034483,11.0048965517241,12.4971379310345,9.62789655172414,9.47368965517241,5.61044827586207
"34","02-03",9.78127586206897,15.0238965517241,10.0258965517241,11.2464482758621,14.9737931034483,14.2270344827586,11.5956551724138,12.0621379310345,9.94472413793103,9.44244827586207,7.46937931034483
"35","02-04",9.31424137931035,13.5747586206897,8.61655172413793,11.9265517241379,13.247275862069,13.9857931034483,11.0335862068966,11.5772068965517,11.356,10.1593448275862,8.18103448275862
"36","02-05",9.79748275862069,13.4462068965517,7.89579310344828,14.4210689655172,12.374,14.1503448275862,8.98851724137931,11.7775862068966,11.4294137931034,10.7514827586207,7.68727586206897
"37","02-06",11.5308620689655,14.4361034482759,8.20220689655172,14.6122413793103,11.154,12.8827931034483,10.7856896551724,14.3027586206897,14.5996551724138,12.4126206896552,7.15513793103448
"38","02-07",11.9655862068966,16.4260344827586,9.13103448275862,13.6123793103448,10.098724137931,13.7950689655172,11.4769310344828,18.6147931034483,18.5224137931034,13.1346551724138,7.53013793103448
"39","02-08",12.4997586206897,18.0010344827586,10.107724137931,14.5199655172414,9.35193103448276,14.5035172413793,11.8200689655172,19.3648275862069,18.8165517241379,15.270724137931,8.16920689655172
"40","02-09",11.7867586206897,16.1921724137931,10.6650344827586,13.289724137931,9.11593103448276,14.8055172413793,12.7355172413793,17.4982068965517,20.0531034482759,18.7515172413793,8.24851724137931
"41","02-10",9.67841379310345,14.2999310344828,12.5348965517241,11.7418275862069,10.2010689655172,17.0095517241379,11.3521379310345,17.0168275862069,18.7807586206897,21.009275862069,9.35141379310345
"42","02-11",8.73003448275862,15.0401034482759,13.7723103448276,10.0679310344828,11.3126206896552,15.3516896551724,9.28620689655172,16.6518275862069,16.509724137931,20.1977586206897,9.08179310344828
"43","02-12",8.65503448275862,16.5285862068966,12.4284827586207,9.16341379310345,10.0569655172414,12.5752068965517,8.95396551724138,17.5529655172414,16.539724137931,18.9765862068966,8.12189655172414
"44","02-13",8.50886206896552,15.8476551724138,11.440275862069,9.81886206896552,10.4584827586207,11.6701034482759,10.0254827586207,18.2821034482759,15.886724137931,17.4488275862069,6.9778275862069
"45","02-14",8.75941379310345,15.8734827586207,12.6477931034483,9.96655172413793,11.2488965517241,12.0238275862069,10.2058965517241,19.9102413793103,13.957724137931,16.0190344827586,5.98072413793103
"46","02-15",9.57248275862069,17.178,12.6082068965517,9.16386206896552,11.1873448275862,12.3969655172414,9.53403448275862,20.2757586206897,12.3885172413793,15.049275862069,5.34544827586207
"47","02-16",11.1494482758621,18.2492068965517,10.9155517241379,9.13737931034483,11.3029655172414,12.526,9.40665517241379,17.5669310344828,11.2753793103448,12.9418275862069,5.92520689655172
