"","DayMonth","delta_cnrmcclm","delta_cnrmrca","delta_ecearthcclm","delta_ecearthhirham","delta_ecearthracmo","delta_ecearthrca","delta_hadgemrca","delta_ipslrca","delta_mpicclm","delta_mpirca","Baseline"
"1","01-01",10.4926896551724,11.9738620689655,10.0488620689655,10.4153103448276,9.40948275862069,11.4806206896552,11.4042413793103,11.2864827586207,9.10251724137931,9.03589655172414,9.82862068965517
"2","01-02",11.5668620689655,12.3176551724138,10.2514482758621,11.3705172413793,11.022,11.3025862068966,13.8345862068966,13.8141379310345,8.87720689655172,8.99610344827586,9.54806896551724
"3","01-03",12.7232413793103,13.2838620689655,11.0232068965517,12.2774482758621,12.5755862068966,11.9693448275862,15.481275862069,15.4871379310345,9.06834482758621,9.34748275862069,9.14162068965517
"4","01-04",12.5837931034483,13.1376896551724,10.8406896551724,11.8645172413793,12.8219310344828,11.7049310344828,15.2695862068966,15.3425862068966,8.7021724137931,9.13055172413793,9.80731034482759
"5","01-05",11.5885517241379,11.915724137931,9.96196551724138,10.6921724137931,11.6346896551724,10.6818275862069,13.5924482758621,13.6771724137931,8.11562068965517,8.64079310344828,9.52855172413793
"6","01-06",11.3968275862069,11.6133103448276,9.82362068965517,10.250275862069,11.2168275862069,10.5488275862069,12.8974137931034,12.962,7.76303448275862,8.39234482758621,8.57527586206897
"7","01-07",10.8806206896552,11.0447931034483,9.37765517241379,10.0527586206897,10.8912413793103,10.0466551724138,12.7999310344828,13.0052068965517,7.51165517241379,8.11989655172414,9.49551724137931
"8","01-08",9.59720689655172,9.75627586206897,8.11531034482759,9.26058620689655,9.78679310344828,8.6658275862069,11.832,12.3488965517241,6.79886206896552,7.20465517241379,11.1055517241379
"9","01-09",8.89096551724138,9.10162068965517,7.54272413793103,8.70644827586207,9.12393103448276,8.04241379310345,10.9435862068966,11.402275862069,6.1331724137931,6.50434482758621,11.434
"10","01-10",9.77941379310345,9.87931034482759,8.07413793103448,9.5488275862069,9.9338275862069,8.61944827586207,12.119275862069,12.2495862068966,6.10768965517241,6.62962068965517,10.0679655172414
"11","01-11",10.6385862068966,10.7433103448276,8.87520689655172,10.6417931034483,10.706724137931,9.47313793103448,13.6138275862069,13.5881724137931,6.74289655172414,7.24337931034483,8.93206896551724
"12","01-12",9.76910344827586,10.015724137931,8.17389655172414,10.1489655172414,10.0405862068966,8.77231034482759,12.8595517241379,12.6654137931034,6.62551724137931,7.01762068965517,10.1418965517241
"13","01-13",10.3888620689655,10.3585517241379,8.15679310344828,10.9047586206897,10.4125172413793,8.77644827586207,14.1599310344828,13.4377586206897,6.61996551724138,7.01765517241379,11.4650344827586
"14","01-14",12.5156206896552,12.0651034482759,9.16503448275862,13.2027586206897,12.0530344827586,9.85955172413793,17.1843448275862,16.1283793103448,6.8618275862069,7.39468965517241,10.3934482758621
"15","01-15",14.3288620689655,13.8396551724138,11.3312068965517,13.9275172413793,13.0080689655172,12.1513448275862,18.0433103448276,16.9458275862069,8.27237931034483,8.98368965517241,9.87986206896552
"16","01-16",15.0464482758621,14.6120344827586,13.101275862069,13.4371034482759,13.2263793103448,13.7903103448276,17.3395517241379,16.2428620689655,10.2964827586207,10.7113793103448,11.5707586206897
"17","01-17",12.5420689655172,12.1953103448276,11.2374137931034,11.2789655172414,11.1245172413793,11.7110344827586,14.3621379310345,13.5152068965517,9.37810344827586,9.52762068965517,11.9358965517241
