"","DayMonth","corre_cnrmcclm","corre_cnrmrca","corre_ecearthcclm","corre_ecearthhirham","corre_ecearthracmo","corre_ecearthrca","corre_hadgemrca","corre_ipslrca","corre_mpicclm","corre_mpirca","Baseline"
"1","01-01",32.7958275862069,26.1574827586207,35.181724137931,23.1138275862069,39.6496206896552,29.5468965517241,38.3333103448276,38.5402413793103,59.2440344827586,37.8555172413793,71.596724137931
"2","01-02",34.5194137931034,25.1419655172414,38.035275862069,24.4931724137931,40.5867586206897,32.5540689655172,39.2425517241379,40.3603793103448,60.8604827586207,39.1156551724138,71.863
"3","01-03",34.0538275862069,25.3033448275862,38.8366206896552,28.2652068965517,41.6854482758621,34.3085172413793,38.8361724137931,41.9812413793103,63.0973448275862,40.2979655172414,74.7613793103448
"4","01-04",34.4939310344828,25.8443103448276,39.0980344827586,28.0671724137931,43.405,35.8537931034483,41.1487931034483,43.4895517241379,66.8194827586207,41.9174827586207,78.6490689655172
"5","01-05",36.9694827586207,28.3136551724138,42.9631724137931,30.2036551724138,48.0954137931034,37.8771379310345,40.7683793103448,46.0316896551724,67.8274137931034,42.7578965517241,80.5268620689655
"6","01-06",39.4232068965517,30.525275862069,44.1307586206897,29.8072068965517,50.8613103448276,37.9787586206897,42.3683793103448,44.8946896551724,69.2225172413793,42.7145517241379,83.9851034482759
"7","01-07",42.9096206896552,32.1653793103448,46.9774827586207,30.5264137931034,53.3988275862069,42.3381724137931,41.8739310344828,45.1417586206897,70.4740689655172,42.9096206896552,85.7320689655172
"8","01-08",45.9441379310345,34.2348620689655,48.2096896551724,30.7091379310345,53.8821379310345,44.950275862069,43.4737586206897,47.2736206896552,72.448,44.5296551724138,87.6942413793103
"9","01-09",48.5922068965517,38.1178965517241,49.9814482758621,29.7848965517241,54.7418275862069,48.2276206896552,41.569275862069,48.3522068965517,74.0817931034483,45.2415517241379,88.8174137931034
"10","01-10",50.6241724137931,38.9866206896552,51.659,30.2124482758621,55.1706206896552,48.8306551724138,40.7316551724138,48.6036551724138,76.0718965517241,44.7538620689655,92.411
"11","01-11",53.9919310344828,39.4815862068966,53.2505172413793,29.9917931034483,55.2355862068965,50.055724137931,43.0218965517241,48.1901379310345,76.5087931034483,45.0401034482759,96.114724137931
"12","01-12",55.5653103448276,40.8114827586207,54.4541379310345,28.2046551724138,55.4234482758621,50.1350344827586,42.6779310344828,49.8139655172414,80.9108620689655,46.8174827586207,98.0198620689655
"13","01-13",56.3172413793103,41.1259310344828,53.8502413793103,28.9907586206897,55.8125517241379,49.8680689655172,43.5063448275862,51.7254827586207,82.9383448275862,47.733275862069,98.1174482758621
"14","01-14",57.7921724137931,43.384724137931,57.4714482758621,30.7994137931034,57.8146896551724,51.7318275862069,44.1328965517241,51.9761034482759,82.0903103448276,47.6397931034483,98.6877586206896
"15","01-15",59.0066551724138,45.7626551724138,62.8310689655172,32.3796896551724,58.9086896551724,55.9285172413793,44.1036206896552,52.907,83.953,48.7769655172414,99.0415517241379
"16","01-16",62.3730689655172,47.1333793103448,67.7863793103448,33.2421724137931,60.5360344827586,58.315724137931,45.1175862068966,54.5047931034483,84.9036896551724,49.6885862068966,99.0069655172414
"17","01-17",64.5645172413793,47.9624827586207,70.4556206896552,35.1094137931034,62.7216551724138,61.1661034482759,45.986724137931,55.7285862068966,90.4954482758621,51.7604827586207,101.555793103448
"18","01-18",65.7469655172414,47.5576551724138,74.2647931034483,37.9602413793103,65.174724137931,63.4825517241379,47.1489655172414,59.9193793103448,95.009724137931,55.353275862069,102.093655172414
"19","01-19",66.4452413793103,49.3641724137931,76.8865517241379,41.2454482758621,66.8051379310345,65.2463103448276,49.5115862068966,61.2600689655172,97.0844827586207,58.0806206896552,105.575206896552
"20","01-20",68.2745517241379,50.587,79.7796206896552,42.7670344827586,71.218275862069,68.6301379310345,51.6966206896552,62.4252068965517,101.957965517241,59.9781034482759,110.502551724138
"21","01-21",70.9471724137931,51.0301379310345,82.2571034482759,45.3989310344828,73.735275862069,70.4067586206897,53.1225172413793,62.9808275862069,105.516310344828,63.7406896551724,115.207103448276
"22","01-22",74.1525862068966,52.9873103448276,86.5496896551724,46.2138965517241,75.9365862068965,72.5514137931034,54.6062413793103,63.2746206896552,107.110034482759,65.9204137931034,118.397034482759
"23","01-23",73.8821034482759,52.982724137931,88.4088965517241,47.3459655172414,77.5871379310345,74.7685172413793,57.1865862068965,66.4642413793104,107.120137931034,65.8455517241379,120.599551724138
"24","01-24",74.755,52.9428620689655,92.6856896551724,46.2034482758621,78.9431379310345,79.2692068965517,60.2866206896552,65.585,108.616275862069,66.8878965517241,123.166586206897
"25","01-25",74.3066551724138,53.0860689655172,95.1023448275862,46.7339655172414,80.7085517241379,80.938724137931,60.2436206896552,66.7723103448276,109.470206896552,66.944724137931,128.18075862069
"26","01-26",74.432,52.9630689655172,97.2025862068966,45.9466896551724,82.4015517241379,82.5291034482759,63.117275862069,68.9414482758621,109.76,67.7792413793103,131.46024137931
