"","DayMonth","delta_cnrmcclm","delta_cnrmrca","delta_ecearthcclm","delta_ecearthhirham","delta_ecearthracmo","delta_ecearthrca","delta_hadgemrca","delta_ipslrca","delta_mpicclm","delta_mpirca","Baseline"
"1","01-01",22.4078275862069,44.2808275862069,24.8204482758621,15.5006551724138,39.5329310344828,36.1167931034483,15.2796551724138,31.2043448275862,27.075,30.1159655172414,72.3126551724138
"2","01-02",24.8449310344828,45.9531724137931,25.7029310344828,16.5168620689655,40.4080689655172,37.4375172413793,17.0348620689655,31.7054482758621,29.1727931034483,32.1901034482759,73.8565862068966
"3","01-03",26.7328620689655,47.3728620689655,26.9631379310345,17.708,41.1146551724138,38.7493103448276,18.5247586206897,32.7376551724138,30.678275862069,33.4953448275862,76.5205172413793
"4","01-04",28.1347586206897,48.2874827586207,27.5178965517241,18.2174482758621,41.5227931034483,39.5303103448276,19.579275862069,32.8316551724138,31.9641379310345,34.7603793103448,78.9943793103448
"5","01-05",31.3215172413793,51.1988620689655,30.3435172413793,20.7206206896552,43.7875862068965,42.2372413793103,22.0842068965517,35.8663448275862,34.508724137931,37.2841724137931,80.3267586206897
"6","01-06",32.9275517241379,51.9691379310345,30.9073793103448,21.2632413793103,44.280275862069,42.8515172413793,23.0121379310345,35.9815862068966,35.7464827586207,38.421724137931,84.4636206896552
"7","01-07",36.274275862069,54.6944827586207,32.8084827586207,22.7786206896552,46.1094827586207,45.0575172413793,25.5328965517241,36.5723448275862,38.213,40.7865172413793,86.4613793103448
"8","01-08",39.627,57.2796206896552,34.8095862068965,24.3991724137931,48.0669310344828,47.4234482758621,28.0385172413793,37.8767586206897,40.727724137931,43.2625862068966,87.9221034482759
"9","01-09",41.277275862069,58.2812413793103,35.6123103448276,24.8897931034483,48.4163448275862,48.1395172413793,28.912275862069,38.357724137931,41.824,44.2277586206897,88.6460344827586
"10","01-10",42.8176896551724,59.2213448275862,36.0772413793103,25.2024827586207,48.8438965517241,48.8059310344828,29.8685517241379,38.2267586206897,43.3226206896552,45.6878275862069,92.1998275862069
"11","01-11",48.4100344827586,64.0264827586207,40.0880344827586,28.6964137931034,52.610724137931,53.0904827586207,34.0745517241379,43.1395517241379,47.7502068965517,49.9995172413793,95.919724137931
"12","01-12",51.0098275862069,66.0650689655172,41.8926551724138,29.8786896551724,54.1290689655172,54.9287931034483,35.9341034482759,43.648724137931,49.8276896551724,52.0672068965517,98.101275862069
"13","01-13",52.4775517241379,66.837275862069,41.7437586206897,29.3621379310345,54.6383448275862,55.1622413793103,36.4979655172414,42.4354827586207,51.6535862068965,53.8601379310345,97.4036206896552
"14","01-14",53.7049310344828,67.7123793103448,41.7515862068966,28.8756551724138,55.1553448275862,55.6831379310345,36.960275862069,41.8341034482759,52.9801379310345,55.1291034482759,98.2807931034483
"15","01-15",52.7672413793103,66.6426896551724,40.8573103448276,28.0928275862069,54.1818620689655,54.7568620689655,36.0994827586207,40.9946551724138,51.904275862069,53.9183793103448,98.9292413793103
"16","01-16",54.451724137931,68.2458965517241,42.3691724137931,29.4782413793103,55.4607931034483,56.2476551724138,37.5604827586207,42.6871724137931,52.9416896551724,54.9361724137931,102.002068965517
"17","01-17",55.593,69.1050689655172,42.844,29.8682413793103,56.2510689655172,56.8784827586207,38.3448620689655,43.0436551724138,54.0151034482759,56.035,102.064689655172
"18","01-18",57.3359310344828,70.5521379310345,43.8683103448276,30.5541034482759,57.2480344827586,58.1133448275862,39.4451724137931,43.5791379310345,55.3226896551724,57.392275862069,104.952931034483
"19","01-19",57.4034827586207,70.4845517241379,43.4725517241379,30.0832068965517,56.9699310344828,57.8659655172414,39.2162068965517,43.1532068965517,55.5925172413793,57.7411724137931,107.185172413793
"20","01-20",59.4472413793103,72.0272068965517,44.1765862068966,30.5130344827586,58.1763103448276,58.8973793103448,40.4262068965517,43.4946206896552,57.5909310344828,59.848724137931,114.318620689655
"21","01-21",61.4651034482759,73.6962068965517,45.5484482758621,31.4934482758621,59.3664482758621,60.4536551724138,41.7097931034483,44.1790344827586,58.4554137931034,60.6582413793103,118.143965517241
"22","01-22",63.7835172413793,75.8165517241379,47.4841034482759,33.297724137931,61.0027586206897,62.2438275862069,43.6073103448276,46.5125172413793,60.2084827586207,62.4829310344828,120.18024137931
"23","01-23",67.8853448275862,79.3053103448276,49.2905862068965,34.3483103448276,63.5659310344828,65.1361379310345,46.3355517241379,47.8352413793103,63.6893103448276,66.0933448275862,121.407137931034
"24","01-24",71.0342413793103,82.0105862068965,50.9657586206897,35.0521724137931,65.6552068965517,67.5571379310345,48.310724137931,48.2988620689655,66.2650344827586,68.8326206896552,127.390862068966
"25","01-25",72.7325172413793,83.4509655172414,52.0867586206897,35.8013793103448,66.7759310344828,68.7330689655172,49.3083793103448,49.6004137931034,67.6974137931035,70.4106206896552,130.828827586207
"26","01-26",77.6095517241379,87.9808965517241,56.1127931034483,38.8174827586207,70.2767931034483,72.6854827586207,53.0314482758621,52.4073448275862,71.1929655172414,73.9538965517241,132.12875862069
"27","01-27",78.608724137931,88.7014137931035,56.7621034482759,39.3225172413793,70.6992068965517,73.2249655172414,53.5984827586207,53.2331379310345,71.8266206896552,74.5924137931034,134.815931034483
"28","01-28",80.7674482758621,90.6736551724138,57.847275862069,40.032275862069,72.2144482758621,74.8252413793103,55.2846206896552,53.6743448275862,73.4826206896552,76.2405517241379,138.561034482759
"29","01-29",85.3155862068966,94.4748620689655,60.7123448275862,42.3414827586207,75.3839310344828,77.9556206896552,58.5456551724138,56.9156206896552,77.6,80.4822068965517,141.514551724138
"30","01-30",89.0140689655172,97.8314482758621,63.6892068965517,45.2277586206897,77.9622068965517,80.8890344827586,61.2436206896552,60.7773793103448,80.4076206896552,83.4904482758621,143.378103448276
"31","01-31",91.2749310344828,99.7332068965517,65.0676896551724,46.1245517241379,79.4033793103448,82.5521724137931,62.6942068965517,62.1868275862069,82.1808275862069,85.3335862068966,147.158793103448
"32","02-01",92.3665862068966,100.698551724138,66.0306896551724,48.1407586206897,81.6454137931034,83.2551034482759,63.7834827586207,65.0912413793103,82.7788620689655,86.9468620689655,150.953172413793
"33","02-02",94.7646206896552,102.665896551724,67.8866206896552,51.3392413793103,85.6987931034483,84.9887931034483,66.8318965517241,69.0422413793103,85.0602068965517,90.6707931034483,154.851620689655
"34","02-03",94.4785172413793,102.144689655172,68.2057931034483,51.9374827586207,87.0511034482759,84.7987586206897,67.0649655172414,70.3480689655172,84.7978620689655,91.1845862068966,156.811551724138
"35","02-04",94.2989310344828,101.81475862069,68.681275862069,52.5228965517241,87.8513448275862,85.0526896551724,67.1852413793103,71.778724137931,84.4741379310345,91.3935862068966,157.339413793103
"36","02-05",93.593724137931,100.89675862069,68.4429310344828,52.7297931034483,88.5452413793103,84.5485862068965,67.1531379310345,72.1032413793103,83.7163793103448,91.643,158.578862068966
"37","02-06",93.0142068965517,100.40375862069,68.3980689655172,52.8612413793103,89.3801724137931,84.2654137931034,67.0956551724138,72.5281379310345,83.0319655172414,91.9955517241379,159.118
"38","02-07",91.8337931034483,99.1258965517241,67.5907931034483,52.2693448275862,89.2179310344828,83.2336551724138,66.3923103448276,71.8421379310345,81.9335517241379,91.4221379310345,161.998793103448
"39","02-08",91.6988275862069,98.8554482758621,67.5721724137931,52.3542068965517,89.2922413793103,83.1444827586207,66.3702068965517,71.9291379310345,81.7997586206897,91.3158275862069,165.546931034483
"40","02-09",91.8322413793103,98.8838620689655,67.7994827586207,52.7061034482759,89.7064827586207,83.255,66.6797931034483,72.2288275862069,81.9093448275862,91.6285517241379,167.780689655172
"41","02-10",95.3625517241379,101.870344827586,71.072,56.3291379310345,93.5428620689655,86.489275862069,69.8995517241379,76.7912068965517,84.9543793103448,95.5693103448276,170.794551724138
"42","02-11",96.2528965517241,102.490827586207,71.6623103448276,57.2725862068966,96.4868620689655,86.9702413793104,71.1193448275862,78.054275862069,85.5924482758621,98.0638965517241,174.143965517241
"43","02-12",98.8184827586207,104.805172413793,74.1528965517241,60.0226206896552,99.8794827586207,89.4579310344828,73.5472413793103,81.6798620689655,87.737275862069,101.102689655172,176.071103448276
"44","02-13",99.0771724137931,104.667827586207,73.8745517241379,60.2108620689655,102.637103448276,89.1095517241379,74.0257931034483,81.8717931034483,87.697724137931,102.962103448276,177.041827586207
"45","02-14",100.11075862069,105.444413793103,74.8750689655172,61.2653793103448,105.004517241379,89.974,75.0982068965517,83.3926896551724,88.4527586206897,104.717034482759,177.29524137931
"46","02-15",99.8596551724138,105.068137931034,74.4481379310345,61.0734482758621,105.505344827586,89.6076206896552,75.0256206896552,83.3984137931034,88.1730689655172,104.947137931034,179.134551724138
"47","02-16",98.5953448275862,103.693793103448,73.0508965517241,59.9495517241379,105.356931034483,88.2166896551724,74.1061034482759,82.2025862068966,86.9268965517241,104.321793103448,181.316551724138
"48","02-17",98.2316551724138,103.198586206897,72.2601379310345,59.7455172413793,105.847620689655,87.536724137931,74.1298620689655,81.6747586206897,86.4746206896552,104.575068965517,182.192482758621
"49","02-18",101.450448275862,106.146103448276,75.3332068965517,62.8630344827586,109.942620689655,90.6240344827586,77.3221724137931,85.7376551724138,89.386275862069,108.749413793103,181.150896551724
"50","02-19",101.841689655172,106.382827586207,75.7387586206897,63.2524827586207,111.375586206897,90.9141379310345,77.7318965517241,86.4486896551724,89.5919310344828,109.460517241379,182.500862068966
"51","02-20",101.266689655172,105.774034482759,75.1442068965517,62.6603103448276,111.952137931034,90.2906896551724,77.3844827586207,85.9325172413793,88.9867586206897,109.259931034483,182.491068965517
"52","02-21",100.066034482759,104.459517241379,74.1073103448276,61.6868620689655,110.846206896552,89.0581379310345,76.3164137931035,84.8598275862069,87.7920689655172,108.107965517241,183.07424137931
"53","02-22",99.162,103.490379310345,73.414275862069,61.4203793103448,110.608413793103,88.1796551724138,75.6618620689655,84.465,86.8546896551724,107.321724137931,184.650482758621
"54","02-23",98.4959655172414,102.639793103448,72.8351034482759,61.388275862069,111.814482758621,87.4303793103448,75.3836206896552,84.0729655172414,86.288724137931,107.938862068966,185.991655172414
"55","02-24",98.1903793103448,102.241344827586,72.5463793103448,61.5956206896552,113.492344827586,87.0409655172414,75.6100689655172,84.1319310344828,86.0467931034483,108.81224137931,187.276413793103
"56","02-25",97.9028275862069,101.927517241379,72.6593793103448,61.9170344827586,114.032448275862,86.9322068965517,75.6632413793103,84.5960344827586,85.7140344827586,109.006448275862,186.223310344828
"57","02-26",99.5028275862069,103.373896551724,74.0867931034483,63.9198620689655,117.254586206897,88.427275862069,77.6181034482759,86.8676206896552,87.2660689655172,111.377,187.578482758621
"58","02-27",98.7305862068965,102.549862068966,73.2514482758621,63.1769310344828,117.488310344828,87.688275862069,76.893,86.346,86.4755517241379,111.073586206897,188.654655172414
"59","02-28",98.4449655172414,102.12424137931,72.790275862069,62.9386206896552,119.609689655172,87.328724137931,76.8462068965517,86.2295172413793,86.3606896551724,111.901379310345,187.963586206897
"61","03-01",95.0084137931034,98.7361034482759,70.6768275862069,59.7283448275862,118.343724137931,84.0651034482759,73.5171034482759,82.7813103448276,85.6217931034483,110.803482758621,193.825931034483
"62","03-02",94.3387931034483,98.2521379310345,70.6240344827586,59.2694827586207,117.684379310345,83.6814827586207,72.8755862068966,82.3920344827586,85.8165517241379,110.708724137931,195.329344827586
"63","03-03",95.4930344827586,99.5965517241379,72.7343793103448,60.224275862069,119.631517241379,84.8138620689655,74.2090689655172,84.0998965517241,89.5665862068966,115.042482758621,198.567103448276
"64","03-04",95.7306206896552,100.091137931034,74.7165517241379,60.5239655172414,121.812862068966,85.1561379310345,74.6165172413793,84.8115862068965,93.3688275862069,119.339620689655,198.932620689655
"65","03-05",97.4233448275862,101.717068965517,78.2163103448276,61.8953103448276,124.547206896552,86.5501379310345,76.4486206896552,87.8323448275862,98.6136551724138,125.311724137931,199.645620689655
"66","03-06",94.4362413793103,99.0074137931035,76.5888275862069,59.3578620689655,123.534206896552,83.8004482758621,73.6419655172414,85.533,98.0278275862069,124.582172413793,204.942
"67","03-07",91.5285172413793,96.0425517241379,75.1013103448276,56.780724137931,121.680655172414,80.9626206896552,70.782275862069,82.9644482758621,97.0905172413793,123.480206896552,206.038482758621
"68","03-08",89.3593793103448,94.2754482758621,74.1378965517241,55.3590344827586,120.657448275862,79.2393103448276,68.9434827586207,81.385275862069,96.7808620689655,123.102482758621,208.165896551724
"69","03-09",86.5017931034483,91.4580689655172,72.097,53.0757931034483,119.353724137931,76.5756206896552,66.4012413793103,78.8326551724138,95.5892413793103,121.947275862069,209.430655172414
"70","03-10",84.2276896551724,89.1243448275862,70.5215862068966,51.1834827586207,117.976517241379,74.3254137931035,64.3056896551724,76.8576206896552,94.7134827586207,120.96375862069,208.602862068966
"71","03-11",82.9485862068966,88.0587931034483,70.2869655172414,50.3494827586207,118.269827586207,73.2465172413793,63.2714137931034,75.9610689655172,95.677275862069,122.199517241379,209.731379310345
"72","03-12",82.3545862068966,87.8630689655172,70.4108965517241,50.3547931034483,118.422310344828,73.0783103448276,63.059275862069,76.0048275862069,96.4827931034483,123.065827586207,208.749344827586
"73","03-13",82.1841379310345,88.3119310344828,71.1132413793103,50.7680689655172,118.795413793103,73.421,63.2541724137931,76.4295862068965,97.7884137931034,124.532896551724,210.591965517241
"74","03-14",80.039724137931,86.0699310344828,69.658275862069,48.9220689655172,117.979620689655,71.3400344827586,61.2411034482759,74.417,96.7743448275862,123.315551724138,211.89824137931
"75","03-15",79.3100689655172,84.8878275862069,69.7614827586207,47.930275862069,118.465689655172,70.197,60.5103793103448,73.7221724137931,97.5926896551724,124.234482758621,211.65175862069
"76","03-16",77.6608965517241,83.2142413793103,68.7108965517241,46.696,117.977068965517,68.6505517241379,59.1236206896552,72.3628275862069,97.2025862068966,123.838689655172,209.631
"77","03-17",76.1050344827586,81.5699655172414,67.9288275862069,45.5071379310345,118.202896551724,67.2448275862069,57.8135517241379,70.9852413793103,97.7700689655172,124.235517241379,208.966586206897
"78","03-18",75.1015517241379,80.7825862068966,66.8944137931035,44.9974482758621,116.815413793103,66.5868965517241,57.0191034482759,70.1770689655172,96.6141034482759,122.814172413793,206.558793103448
"79","03-19",75.1922413793103,81.1863103448276,67.4307586206897,45.5854482758621,117.280310344828,67.0244827586207,57.5680344827586,70.8361034482759,97.8280689655172,124.176517241379,203.576379310345
"80","03-20",74.4623793103448,80.7077931034483,67.0528275862069,45.4847586206897,116.106448275862,66.6375172413793,57.1862068965517,70.6635862068966,97.0063103448276,123.209413793103,200.529137931034
"81","03-21",73.7941034482759,80.1905517241379,67.0682413793104,45.1640344827586,115.90224137931,66.1839655172414,56.7936206896552,70.370275862069,97.4968965517241,123.871206896552,198.187724137931
"82","03-22",73.283724137931,79.847724137931,67.4443793103448,44.9776896551724,116.177862068966,65.8636206896552,56.6128620689655,70.3985862068966,98.6998965517241,125.354689655172,195.624689655172
"83","03-23",73.9409655172414,81.0666551724138,68.8082068965517,46.0565172413793,117.078172413793,66.9585172413793,57.6890344827586,71.8225517241379,101.351793103448,127.961137931034,194.093310344828
