Date	Baseline	corre_cnrmcclm	corre_cnrmrca	corre_ecearthcclm	corre_ecearthhirham	corre_ecearthracmo	corre_ecearthrca	corre_hadgemrca	corre_ipslrca	corre_mpicclm	corre_mpirca
2071-09-02	0.095	0.589	0	0.064	11.593	0	0	1.35	0.144	0	2.388
2071-09-03	0.159	0.486	1.762	0.059	38.627	0	0.004	2.397	0.22	0.279	2.44
2071-09-04	0.149	0.614	3.271	0.054	40.734	0.078	0.009	2.94	0.158	0.474	2.451
2071-09-05	0.138	20.543	3.317	0.049	19.708	4.705	0.008	2.579	0.145	0.334	2.183
2071-09-06	0.127	38.493	4.224	0.045	13.467	11.141	0.007	2.251	0.132	0.239	1.937
2071-09-07	0.117	19.849	8.449	0.04	9.813	17.326	0.007	1.952	0.12	0.223	1.666
2071-09-08	0.207	13.687	10.218	0.036	6.641	19.376	0.006	1.678	0.108	0.202	1.419
2071-09-09	0.281	9.386	7.606	0.033	7.995	12.601	0.005	1.936	0.097	0.183	1.198
2071-09-10	0.617	6.327	5.186	0.029	9.207	8.587	0.005	30.167	0.087	0.6	1.652
2071-09-11	0.868	4.77	4.397	0.139	6.791	5.752	0.015	62.893	0.087	0.917	2.254
2071-09-12	0.698	4.241	3.907	0.379	4.942	4.599	0.044	49.511	0.244	0.738	2.166
2071-09-13	0.538	3.76	3.459	0.442	4.376	4.121	0.059	30.436	0.781	0.602	1.882
2071-09-14	0.474	3.322	3.051	3.026	3.887	3.653	1.037	16.358	1.093	0.475	1.627
2071-09-15	0.589	2.921	2.678	9.542	3.442	3.225	2.337	11.322	1.303	0.429	1.392
2071-09-16	1.352	2.556	2.338	9.847	3.034	2.835	3.604	7.768	2.237	0.391	1.201
2071-09-17	2.577	2.222	2.027	6.655	2.673	2.479	4.25	5.438	2.708	0.355	1.024
2071-09-18	4.641	2.242	1.746	4.786	2.376	2.156	3.772	4.709	2.435	1.404	1.713
2071-09-19	8.638	2.257	1.668	4.228	2.172	1.865	3.338	4.208	2.198	2.292	4.416
2071-09-20	11.389	1.961	1.594	3.753	3.014	1.597	2.944	3.924	2.206	2.018	6.88
2071-09-21	13.885	1.69	1.355	3.321	3.682	1.349	3.307	3.661	2.881	1.771	5.618
2071-09-22	16.075	1.442	1.137	2.926	3.27	1.257	4.167	3.238	5.797	1.545	6.511
2071-09-23	16.974	1.215	0.931	2.569	2.894	1.245	4.519	2.858	8.173	1.323	6.524
2071-09-24	16.144	1.005	0.824	2.252	2.548	1.818	4.822	2.511	6.636	1.11	5.106
2071-09-25	18.963	0.872	0.75	1.959	2.232	2.462	4.809	2.187	5.654	0.916	4.607
2071-09-26	18.502	0.792	0.682	1.835	1.942	2.394	4.292	1.895	4.81	1.14	6.45
2071-09-27	17.006	0.718	0.618	1.721	1.676	2.137	3.82	1.627	4.294	1.896	10.074
2071-09-28	15.705	0.665	0.561	1.474	1.433	1.988	35.055	1.383	3.823	2.246	8.851
2071-09-29	11.947	0.745	0.775	1.248	1.21	2.662	63.055	1.175	5.16	2.022	6.246
2071-09-30	9.654	0.765	0.914	1.039	1.014	3.82	45.918	0.987	11.345	1.757	5.139
2071-10-01	9.852	0.763	0.777	0.863	0.929	6.812	30.015	2.148	12.552	1.524	8.394
2071-10-02	16.493	0.872	0.733	0.79	0.846	9.427	17.5	6.237	9.097	1.325	14.346
2071-10-03	25.04	1.664	2.114	0.717	0.791	6.982	12.406	10.354	6.263	1.133	13.583
2071-10-04	24.089	2.258	4.018	0.651	0.74	5.295	9.447	8.553	5.086	2.375	20.408
2071-10-05	18.175	2.04	4.677	0.59	0.674	4.736	7.487	11.255	4.552	3.546	22.8
2071-10-06	13.231	1.911	4.524	0.534	0.613	4.447	6.308	17.545	5.575	5.169	25.865
2071-10-07	9.314	1.752	4.04	0.483	1.426	4.538	5.558	16.905	7.103	7.38	25.667
2071-10-08	8.173	3.697	6.104	0.436	2.252	14.805	5.037	11.857	5.63	6.963	16.725
2071-10-09	7.16	7.677	29.471	0.393	2.116	21.436	4.508	8.282	4.938	8.069	13.118
2071-10-10	5.523	7.353	55.14	0.354	1.841	15.147	4.025	6.039	8.182	7.436	10.022
2071-10-11	5.458	5.353	41.358	0.319	1.59	15.175	3.583	5.214	13.792	5.53	6.976
2071-10-12	10.149	4.744	20.332	0.287	1.362	13.924	3.196	4.672	12.344	4.909	5.481
2071-10-13	12.15	4.405	17.972	0.258	1.153	9.918	2.929	4.177	8.635	4.813	4.921
2071-10-14	8.517	4.09	16.562	0.231	0.962	6.886	2.668	5.149	6.752	7.836	4.878
2071-10-15	6.092	3.649	11.565	0.208	0.84	5.413	2.41	7.179	6.623	12.551	9.525
2071-10-16	5.288	3.246	8.045	1.573	0.774	4.946	3.636	6.226	5.89	11.935	14.642
2071-10-17	4.761	2.908	5.745	3.513	0.712	4.544	19.151	19.713	8.54	8.816	12.245
2071-10-18	4.28	2.599	5.109	3.864	0.674	4.092	28.335	27.811	13.069	6.174	8.607
2071-10-19	3.842	2.287	4.838	3.425	1.34	3.654	17.017	28.698	14.681	5.206	6.148
2071-10-20	3.443	2.003	4.486	3.027	2.19	3.253	13.018	25.131	12.847	8.225	10.005
2071-10-21	3.078	1.743	4.019	2.666	2.231	4.706	10.27	15.26	19.179	10.504	12.237
2071-10-22	2.88	1.506	3.588	2.338	1.951	9.693	7.674	10.721	26.335	10.916	11.99
2071-10-23	3.417	1.29	3.195	2.844	1.979	10.091	9.448	9.088	18.302	15.881	13.971
2071-10-24	5.964	1.14	2.855	13.418	2.526	15.725	40.813	7.995	12.877	15.726	12.079
