Date	Baseline	delta_cnrmcclm	delta_cnrmrca	delta_ecearthcclm	delta_ecearthhirham	delta_ecearthracmo	delta_ecearthrca	delta_hadgemrca	delta_ipslrca	delta_mpicclm	delta_mpirca
2071-09-02	0.095	0.548	0.647	0.515	0.708	0.891	0.692	0.669	1.211	0.761	1.263
2071-09-03	0.159	0.98	0.714	0.554	0.787	1.01	0.768	0.738	1.399	0.852	1.465
2071-09-04	0.149	0.794	0.553	0.408	0.619	0.822	0.602	0.575	1.176	0.679	1.236
2071-09-05	0.138	0.625	0.613	0.438	0.687	0.929	0.67	0.628	1.352	0.762	1.435
2071-09-06	0.127	0.474	0.662	0.455	0.743	1.019	0.725	0.671	1.501	0.83	1.605
2071-09-07	0.117	0.365	0.501	0.395	0.58	0.831	0.563	0.509	1.27	0.66	1.366
2071-09-08	0.207	0.336	0.441	0.36	0.468	0.66	0.464	0.442	1.06	0.507	1.147
2071-09-09	0.281	0.305	0.402	0.326	0.429	0.524	0.423	0.401	0.866	0.463	0.947
2071-09-10	0.617	0.275	0.365	0.295	0.389	0.481	0.384	0.363	0.688	0.421	0.764
2071-09-11	0.868	0.247	0.33	0.266	0.352	0.436	0.347	0.327	0.58	0.381	0.611
2071-09-12	0.698	0.222	0.298	0.24	0.318	0.394	0.314	0.294	0.525	0.344	0.561
2071-09-13	0.538	0.199	0.27	0.216	0.287	0.357	0.284	0.265	0.476	0.312	0.51
2071-09-14	0.474	0.178	0.243	0.194	0.258	0.322	0.256	0.238	0.431	0.281	0.463
2071-09-15	0.589	0.159	0.22	0.175	0.234	0.291	0.232	0.214	0.391	0.255	0.422
2071-09-16	1.352	0.141	0.199	0.157	0.21	0.263	0.209	0.192	0.354	0.23	0.383
2071-09-17	2.577	0.126	0.179	0.141	0.189	0.237	0.188	0.172	0.32	0.207	0.348
2071-09-18	4.641	0.112	0.168	0.131	0.177	0.223	0.176	0.16	0.303	0.195	0.333
2071-09-19	8.638	0.099	0.159	0.123	0.166	0.211	0.166	0.149	0.289	0.185	0.321
2071-09-20	11.389	0.088	0.154	0.117	0.161	0.206	0.161	0.143	0.288	0.179	0.321
2071-09-21	13.885	0.078	0.148	0.112	0.155	0.2	0.155	0.136	0.281	0.174	0.317
2071-09-22	16.075	0.068	0.134	0.101	0.14	0.181	0.141	0.123	0.257	0.158	0.29
2071-09-23	16.974	0.06	0.121	0.091	0.126	0.164	0.127	0.111	0.234	0.143	0.265
2071-09-24	16.144	0.053	0.166	0.116	0.177	0.26	0.178	0.145	0.425	0.211	0.489
2071-09-25	18.963	0.491	0.201	0.143	0.211	0.332	0.212	0.184	0.604	0.25	0.703
2071-09-26	18.502	1.65	0.197	0.136	0.207	0.284	0.208	0.177	0.509	0.239	0.607
2071-09-27	17.006	2.202	0.179	0.123	0.188	0.26	0.189	0.161	0.403	0.218	0.463
2071-09-28	15.705	1.908	0.183	0.123	0.193	0.269	0.193	0.163	0.427	0.223	0.492
2071-09-29	11.947	1.68	0.184	0.123	0.194	0.272	0.195	0.165	0.431	0.225	0.489
2071-09-30	9.654	1.471	0.388	0.243	0.421	0.615	0.417	0.357	1.016	0.49	1.127
2071-10-01	9.852	1.245	0.518	0.293	0.571	0.868	0.564	0.477	1.479	0.674	1.635
2071-10-02	16.493	1.041	0.371	0.24	0.418	0.694	0.411	0.337	1.256	0.517	1.4
2071-10-03	25.04	1.919	0.334	0.221	0.358	0.548	0.357	0.309	1.065	0.406	1.199
2071-10-04	24.089	4.05	0.308	0.204	0.331	0.473	0.331	0.285	0.89	0.38	1.016
2071-10-05	18.175	4.964	0.281	0.184	0.302	0.433	0.302	0.259	0.714	0.347	0.835
2071-10-06	13.231	4.421	0.256	0.167	0.275	0.397	0.276	0.236	0.645	0.317	0.715
2071-10-07	9.314	3.941	0.257	0.175	0.279	0.406	0.289	0.241	0.633	0.313	0.708
2071-10-08	8.173	3.503	0.255	0.18	0.278	0.406	0.296	0.242	0.616	0.306	0.691
2071-10-09	7.16	3.153	0.233	0.163	0.254	0.372	0.271	0.221	0.567	0.279	0.637
2071-10-10	5.523	3.516	0.387	0.353	0.457	0.701	0.586	0.432	0.818	0.422	0.937
2071-10-11	5.458	4.417	0.712	0.772	0.89	1.387	1.25	0.893	1.333	0.727	1.544
2071-10-12	10.149	4.56	0.785	0.898	1.01	1.603	1.468	1.033	1.459	0.789	1.702
2071-10-13	12.15	4.075	0.638	0.745	0.848	1.401	1.275	0.87	1.266	0.641	1.493
2071-10-14	8.517	3.653	0.505	0.605	0.7	1.216	1.1	0.72	1.09	0.516	1.301
2071-10-15	6.092	3.267	0.464	0.478	0.553	1.017	0.911	0.56	0.906	0.478	1.1
2071-10-16	5.288	2.895	0.518	0.571	0.638	1.087	0.99	0.644	0.935	0.519	1.138
2071-10-17	4.761	2.556	0.756	0.907	0.96	1.571	1.485	0.997	1.281	0.725	1.532
2071-10-18	4.28	2.246	1.431	1.828	1.836	2.81	2.747	1.961	2.184	1.339	2.542
2071-10-19	3.842	1.963	3.173	4.357	4.128	7.745	7.794	4.732	4.509	2.962	5.57
2071-10-20	3.443	1.714	6.891	12.062	11.086	19.658	19.997	13.001	11.46	5.997	13.978
2071-10-21	3.078	1.488	13.295	21.026	19.06	32.935	33.45	22.771	19.027	12.008	23.442
2071-10-22	2.88	1.271	28.187	42.53	39.667	55.218	55.888	44.644	38.861	25.543	44.241
