"","DayMonth","corre_cnrmcclm","corre_cnrmrca","corre_ecearthcclm","corre_ecearthhirham","corre_ecearthracmo","corre_ecearthrca","corre_hadgemrca","corre_ipslrca","corre_mpicclm","corre_mpirca","Baseline"
"1","01-01",36.4972413793103,17.3274137931034,34.8340689655172,31.8167931034483,28.4929655172414,19.8483448275862,12.1115172413793,28.0245862068966,51.1443448275862,38.9769310344828,72.3126551724138
"2","01-02",37.1795517241379,17.8096896551724,36.0494827586207,32.5776206896552,29.6821379310345,21.8964137931034,11.915,26.597724137931,51.4256206896552,39.2541034482759,73.8565862068966
"3","01-03",37.0756896551724,18.1803448275862,37.5663448275862,35.2426206896552,31.3234482758621,22.5558275862069,11.8676206896552,28.1310689655172,50.5494827586207,39.6963448275862,76.5205172413793
"4","01-04",39.3164482758621,19.7449310344828,37.5135862068966,36.9758275862069,35.0285517241379,22.7282413793103,13.2821724137931,28.8419310344828,52.706,40.0255517241379,78.9943793103448
"5","01-05",40.8288620689655,22.2849655172414,39.4101034482759,37.8294827586207,35.7483448275862,22.4695862068966,14.0884137931034,29.2148620689655,53.408275862069,41.9864482758621,80.3267586206897
"6","01-06",41.7670689655172,22.6623103448276,41.3654827586207,38.115724137931,36.6692413793103,24.0414827586207,15.1236551724138,29.4814482758621,55.2462413793103,45.5651379310345,84.4636206896552
"7","01-07",42.2372413793103,22.7032068965517,42.6490344827586,41.0284827586207,38.1843793103448,25.0343793103448,16.1277586206897,29.0991724137931,57.2813103448276,46.2046206896552,86.4613793103448
"8","01-08",45.4956551724138,24.0092068965517,45.8308275862069,42.2478620689655,40.2713448275862,27.0889310344828,16.8392068965517,30.9275172413793,59.8080689655172,47.845724137931,87.9221034482759
"9","01-09",50.0816896551724,26.1874482758621,46.8004482758621,46.0912413793103,39.5195862068965,27.1026551724138,16.7253448275862,30.6420689655172,60.9568620689655,48.4353793103448,88.6460344827586
"10","01-10",51.7917586206897,27.2899655172414,48.3051379310345,47.8143448275862,38.2687931034483,28.3875517241379,16.6111724137931,30.9729310344828,61.494275862069,48.3160344827586,92.1998275862069
"11","01-11",52.6369655172414,26.949275862069,47.601275862069,48.8848275862069,36.4815517241379,28.3087931034483,16.9405862068966,31.2922068965517,63.3215862068965,52.1224137931034,95.919724137931
"12","01-12",53.6652413793103,27.0975172413793,51.359,48.3539310344828,36.3640344827586,28.7353448275862,17.0601379310345,33.5751724137931,62.6196206896552,54.0176206896552,98.101275862069
"13","01-13",61.0635172413793,33.2732068965517,52.7068620689655,49.6272068965517,36.0079655172414,27.5036551724138,18.9146206896552,33.844275862069,63.1245172413793,56.018724137931,97.4036206896552
"14","01-14",60.0554137931034,31.9896896551724,54.9144137931034,52.7883793103448,38.3504137931034,29.0298620689655,19.6896206896552,34.3503448275862,62.4775517241379,56.2884137931034,98.2807931034483
"15","01-15",60.8936206896552,31.5413448275862,54.9876551724138,53.9562068965517,42.4897586206897,30.1885172413793,19.8500689655172,34.5917586206897,62.0103793103448,56.360724137931,98.9292413793103
"16","01-16",62.8398275862069,35.7017931034483,55.3404827586207,56.0021034482759,44.4255517241379,30.976275862069,21.3556206896552,36.4683103448276,64.0145172413793,59.0483103448276,102.002068965517
"17","01-17",66.2001724137931,39.0509310344828,55.4088620689655,55.988275862069,44.9174482758621,30.7043448275862,20.9572068965517,37.3775517241379,67.6574137931034,61.6813448275862,102.064689655172
"18","01-18",64.7915862068966,38.5929310344828,55.9249310344828,55.8842068965517,47.9249310344828,31.9411034482759,21.982724137931,39.1786896551724,70.3653103448276,62.3145172413793,104.952931034483
"19","01-19",63.5252068965517,38.6498620689655,58.9863103448276,56.4038965517241,49.6864482758621,34.2499310344828,21.3463793103448,41.209724137931,72.6681034482759,65.9631724137931,107.185172413793
"20","01-20",61.9076896551724,38.8831724137931,62.8321034482759,57.0313793103448,49.6863103448276,38.6200689655172,22.0868620689655,42.5083793103448,76.9046896551724,68.8990689655172,114.318620689655
"21","01-21",62.2588965517241,40.1896206896552,63.8278965517241,57.6144137931035,49.324275862069,38.6404827586207,24.6576551724138,44.6815862068966,82.2741724137931,72.7605172413793,118.143965517241
"22","01-22",62.1095517241379,41.1438275862069,64.7726206896552,58.5300344827586,49.3730689655172,38.9087586206897,25.3996551724138,44.917275862069,85.4050689655172,74.4400344827586,120.18024137931
"23","01-23",62.4983793103448,42.1826206896552,66.1129655172414,59.4668620689655,51.6947586206897,39.7420344827586,29.3077931034483,45.7191379310345,86.9465172413793,75.2096206896552,121.407137931034
"24","01-24",63.1111379310345,43.7351379310345,66.7599310344828,61.2764827586207,53.1915862068966,40.8403793103448,29.8378620689655,46.9160689655172,85.9852068965517,76.4227586206896,127.390862068966
"25","01-25",62.3818620689655,43.8863103448276,66.9804827586207,60.3816896551724,56.4062068965517,42.3652413793103,31.9447931034483,47.5079655172414,87.2531724137931,77.3151034482759,130.828827586207
"26","01-26",62.8900689655172,44.7634482758621,68.1291379310345,60.305724137931,59.0226896551724,45.0684827586207,33.6293103448276,48.9406551724138,90.7687931034483,80.5856551724138,132.12875862069
"27","01-27",62.4161034482759,44.8929655172414,68.5763448275862,63.4989655172414,59.5912068965517,47.5364482758621,34.1133448275862,51.7556896551724,92.2443103448276,82.3585172413793,134.815931034483
"28","01-28",62.3568620689655,43.895724137931,70.1542068965517,64.1854137931035,60.0101034482759,48.2329655172414,39.2646896551724,53.9781724137931,94.0141379310345,84.7405172413793,138.561034482759
"29","01-29",64.3180344827586,45.0059310344828,70.6660344827586,68.0694482758621,59.8200344827586,47.8345517241379,40.0522413793103,56.570724137931,95.7858965517241,85.4135172413793,141.514551724138
"30","01-30",66.5957586206897,45.1779310344828,70.4298965517241,70.0938965517241,61.2663448275862,47.628,43.8087586206897,55.7728620689655,98.4753103448276,90.7254137931035,143.378103448276
"31","01-31",68.5965517241379,45.4639655172414,71.3809310344828,70.8582068965517,61.7217586206897,47.9943103448276,47.6200344827586,56.1230689655172,101.761482758621,93.7089310344828,147.158793103448
"32","02-01",68.0375862068965,45.0371034482759,72.8611724137931,70.3930689655172,60.418,48.7540344827586,49.9655172413793,55.585,104.530620689655,99.2507931034483,150.953172413793
"33","02-02",68.1333793103448,45.8826206896552,72.4145862068966,70.767724137931,59.7240689655172,48.0313448275862,50.2318965517241,55.133724137931,104.572413793103,100.000655172414,154.851620689655
"34","02-03",68.0481379310345,45.841724137931,73.3969655172414,71.5066206896552,59.0183793103448,47.0916551724138,52.7638620689655,54.9331379310345,106.807689655172,101.368448275862,156.811551724138
"35","02-04",72.0669655172414,48.0705172413793,73.4825862068966,70.0904137931035,59.1803793103448,46.6585862068966,52.6661034482759,55.1055862068966,108.142793103448,102.658172413793,157.339413793103
"36","02-05",76.2074137931034,48.7481034482759,75.1853103448276,70.5781724137931,58.5713793103448,47.2356896551724,54.0018275862069,54.9364482758621,108.005379310345,103.285448275862,158.578862068966
"37","02-06",76.626,50.0510344827586,75.9244482758621,69.7293793103448,60.5263103448276,46.9051034482759,53.4301034482759,54.8073793103448,107.826103448276,103.764103448276,159.118
"38","02-07",75.5668620689655,50.867275862069,77.4301379310345,68.669724137931,63.5754827586207,47.8826896551724,54.8146896551724,54.629,109.494517241379,106.508482758621,161.998793103448
"39","02-08",76.6596896551724,52.6895517241379,77.1573103448276,66.572724137931,65.0799655172414,48.2403103448276,58.5983448275862,55.1268275862069,111.239448275862,108.549793103448,165.546931034483
"40","02-09",79.9165517241379,52.1248620689655,77.5811034482759,68.8479655172414,65.9170689655172,48.7070689655172,60.741724137931,54.8497931034483,112.113689655172,109.282137931034,167.780689655172
"41","02-10",84.5603448275862,52.8797931034483,79.1882068965517,69.4552413793104,67.2243448275862,50.3591379310345,60.3101034482759,55.4245517241379,111.474,109.122517241379,170.794551724138
"42","02-11",85.9511724137931,53.7324827586207,80.8041034482759,71.4596896551724,67.5841034482759,50.7007931034483,61.4390344827586,55.9076896551724,112.119137931034,108.911689655172,174.143965517241
"43","02-12",88.6818965517241,55.1182413793103,79.3503448275862,71.6604482758621,69.0036896551724,51.1188620689655,63.2845172413793,56.2322413793103,113.364068965517,110.466137931034,176.071103448276
"44","02-13",93.6897586206897,56.86,78.4018275862069,69.3183103448276,70.2653793103448,52.8434137931034,63.2533448275862,56.8372413793103,113.690379310345,111.239172413793,177.041827586207
"45","02-14",95.3640689655172,57.6148965517241,79.8607931034483,75.1245517241379,70.5428620689655,54.1882068965517,62.3593103448276,56.7943103448276,116.389655172414,113.730793103448,177.29524137931
"46","02-15",94.9521724137931,57.0948965517241,81.5849310344828,75.7235172413793,72.7017931034483,56.8537931034483,62.479724137931,57.2425517241379,119.451448275862,115.998034482759,179.134551724138
"47","02-16",93.476,57.3591034482759,82.6493448275862,77.015275862069,73.6701724137931,57.8735517241379,65.2329655172414,58.5764482758621,122.320689655172,118.539,181.316551724138
"48","02-17",94.2352068965517,57.7656896551724,82.2030689655172,76.191,75.1837931034483,57.6714137931034,67.8943448275862,57.8839655172414,124.435724137931,120.330172413793,182.192482758621
"49","02-18",94.0368965517241,56.4668275862069,85.6384137931035,77.1895517241379,75.044724137931,58.1111724137931,69.2977931034483,57.6410344827586,125.426586206897,121.233551724138,181.150896551724
