"","DayMonth","delta_cnrmcclm","delta_cnrmrca","delta_ecearthcclm","delta_ecearthhirham","delta_ecearthracmo","delta_ecearthrca","delta_hadgemrca","delta_ipslrca","delta_mpicclm","delta_mpirca","Baseline"
"1","01-01",8.87041379310345,10.8481034482759,10.2776206896552,11.4648275862069,8.00544827586207,11.1583793103448,10.8064137931034,10.2419655172414,10.6216896551724,10.913275862069,9.09175862068965
"2","01-02",9.16862068965517,11.5245517241379,10.5968620689655,11.2013793103448,6.97531034482759,10.5070344827586,10.3576551724138,8.88865517241379,10.3867931034483,10.8167931034483,9.83968965517241
"3","01-03",9.42420689655172,11.711,10.799275862069,10.4501724137931,7.57151724137931,10.1586896551724,9.86220689655172,9.838,9.85727586206897,9.62024137931034,9.43934482758621
"4","01-04",10.7923448275862,11.7988275862069,10.0571379310345,10.3111034482759,6.9728275862069,10.201275862069,11.1357586206897,11.5831034482759,11.045,8.90348275862069,9.43886206896552
"5","01-05",10.7018620689655,12.1875862068966,10.9758275862069,11.2721379310345,6.64448275862069,11.2468275862069,10.3774482758621,12.2691034482759,10.9129655172414,7.75513793103448,9.58179310344828
"6","01-06",8.52948275862069,10.988,12.2498620689655,12.4459655172414,7.12241379310345,12.6362068965517,10.0000344827586,12.4379310344828,10.0619655172414,7.51989655172414,8.93868965517241
"7","01-07",7.29668965517241,10.8420344827586,11.9101379310345,12.2269655172414,6.63796551724138,12.0916551724138,10.2171724137931,12.0764137931034,9.32603448275862,8.07855172413793,9.01096551724138
"8","01-08",7.68472413793103,12.9690344827586,11.187724137931,12.4243103448276,5.83362068965517,11.0837931034483,9.56034482758621,11.284,8.56251724137931,8.10193103448276,10.7419655172414
"9","01-09",7.65486206896552,13.6820689655172,10.749275862069,12.3390344827586,5.86910344827586,11.513275862069,11.3814827586207,11.062275862069,10.0046206896552,8.94010344827586,11.779275862069
"10","01-10",7.64889655172414,12.3771034482759,10.1571034482759,10.2953793103448,5.53765517241379,12.4936551724138,12.462,13.2974482758621,11.1103103448276,8.91524137931034,10.320275862069
"11","01-11",7.81527586206897,11.9154827586207,9.08779310344828,8.15493103448276,4.8068275862069,11.3914137931034,11.5518965517241,13.946,11.0290344827586,8.3581724137931,8.92051724137931
"12","01-12",9.19072413793103,13.3964482758621,7.59834482758621,7.59996551724138,4.78537931034483,9.59486206896552,10.6271724137931,13.7073793103448,10.3143793103448,8.28996551724138,9.89675862068965
"13","01-13",9.40931034482759,13.2818965517241,6.74189655172414,10.3442068965517,5.75493103448276,7.841,11.1023793103448,16.4925862068966,8.74551724137931,8.07689655172414,11.122
"14","01-14",7.86627586206897,11.9677931034483,8.61344827586207,12.7581034482759,6.85951724137931,9.09634482758621,12.4111379310345,17.6389655172414,8.01534482758621,8.91593103448276,11.3429310344828
"15","01-15",7.82279310344828,12.2996206896552,9.50331034482759,11.7775862068966,7.67189655172414,9.8208275862069,13.0343793103448,17.4833103448276,7.12289655172414,9.74565517241379,10.7753103448276
"16","01-16",10.4945862068966,13.3696896551724,8.34889655172414,10.5178275862069,8.02837931034483,9.52355172413793,12.7440344827586,16.6257586206897,6.80986206896552,9.16810344827586,12.1268620689655
"17","01-17",10.2136206896552,12.7130344827586,8.15355172413793,9.643,8.08741379310345,10.6355517241379,12.2944137931034,17.2322413793103,7.4988275862069,8.05765517241379,12.1679655172414
"18","01-18",8.39965517241379,11.1095862068966,8.08910344827586,10.2801724137931,8.42462068965517,11.1154827586207,11.0943103448276,17.2446551724138,7.13362068965517,6.41734482758621,10.7545862068966
"19","01-19",8.6568275862069,12.5109310344828,8.24244827586207,9.7088275862069,9.66393103448276,11.2928965517241,10.4255517241379,14.6042413793103,6.0411724137931,5.45003448275862,10.0223448275862
"20","01-20",8.31189655172414,13.3274827586207,9.51986206896552,8.96134482758621,9.44837931034483,11.9825862068966,9.88410344827586,12.8768275862069,6.37724137931034,6.23331034482759,8.26437931034483
"21","01-21",7.50420689655172,11.4105862068966,12.2386551724138,8.57541379310345,8.20627586206897,12.5788620689655,8.74051724137931,13.0545517241379,6.78062068965517,6.2828275862069,7.76141379310345
"22","01-22",7.49096551724138,10.6096896551724,12.4196206896552,8.24327586206897,7.60565517241379,13.1013793103448,7.67627586206897,13.9604827586207,6.59251724137931,5.29337931034483,8.201
"23","01-23",7.6071724137931,11.0689310344828,11.1480689655172,10.4283793103448,6.78586206896552,12.9398620689655,7.45196551724138,13.8493448275862,5.87062068965517,5.09696551724138,7.50431034482759
"24","01-24",7.14565517241379,10.9131379310345,9.21058620689655,12.123275862069,5.94613793103448,11.2937586206897,7.32720689655172,14.7882413793103,7.02065517241379,6.06406896551724,6.88772413793103
"25","01-25",6.93044827586207,11.6603793103448,7.95906896551724,10.9113793103448,6.14868965517241,9.73155172413793,6.99048275862069,14.1955862068966,8.86603448275862,7.88610344827586,6.06989655172414
"26","01-26",6.78568965517241,10.8849655172414,7.65075862068965,11.1868620689655,5.73779310344828,9.35344827586207,7.41006896551724,12.2268620689655,8.58527586206896,7.71241379310345,5.90686206896552
"27","01-27",6.21731034482759,9.43631034482759,7.38893103448276,10.6321724137931,5.74710344827586,8.72120689655172,7.35358620689655,12.7620344827586,8.58824137931034,7.54803448275862,6.74168965517241
"28","01-28",6.20168965517241,8.97020689655172,7.13951724137931,8.26003448275862,6.69810344827586,8.04310344827586,7.10210344827586,12.4371034482759,8.55951724137931,7.22227586206897,7.17079310344828
"29","01-29",6.08744827586207,8.57286206896552,7.00789655172414,7.01003448275862,6.28451724137931,8.358,7.79344827586207,11.3859655172414,8.11110344827586,8.01106896551724,6.71058620689655
"30","01-30",6.88762068965517,9.16434482758621,7.85144827586207,6.6908275862069,5.81672413793103,10.4089310344828,8.81410344827586,11.5362068965517,7.52851724137931,8.06044827586207,6.91213793103448
"31","01-31",6.81227586206897,9.31393103448276,7.43003448275862,6.80986206896552,6.88062068965517,9.97920689655172,8.86693103448276,12.5487931034483,6.51855172413793,6.59620689655172,6.73579310344828
"32","02-01",6.18465517241379,10.5054827586207,7.36334482758621,10.0668620689655,7.01872413793103,8.91,10.0836896551724,12.9036551724138,5.62331034482759,5.73458620689655,5.5751724137931
"33","02-02",6.08972413793103,10.3487586206897,8.36572413793103,11.8513793103448,6.48079310344828,10.7093793103448,12.5718620689655,13.3030689655172,5.69779310344828,7.28189655172414,5.07368965517241
"34","02-03",6.50737931034483,8.61768965517241,8.44568965517241,12.1574137931034,6.58262068965517,11.7071724137931,11.6917931034483,14.9293793103448,6.81527586206897,8.53348275862069,5.7091724137931
"35","02-04",8.27927586206897,9.82872413793103,8.96841379310345,12.7264827586207,8.17710344827586,11.5333793103448,9.60048275862069,16.2687586206897,7.2768275862069,8.52775862068965,7.35565517241379
"36","02-05",11.0088965517241,13.624724137931,10.0063103448276,12.412724137931,9.69055172413793,11.9619310344828,9.20779310344828,16.9968620689655,6.45420689655172,8.35079310344828,7.96303448275862
"37","02-06",11.6238965517241,13.9811379310345,9.91244827586207,13.0295517241379,11.230275862069,13.1367586206897,7.93165517241379,17.3701379310345,6.09203448275862,8.25272413793103,8.04610344827586
"38","02-07",11.636724137931,12.969275862069,8.63344827586207,14.4691379310345,10.9863448275862,12.1122413793103,7.23848275862069,18.2866206896552,5.87224137931034,7.64037931034483,8.61586206896552
