"","DayMonth","delta_cnrmcclm","delta_cnrmrca","delta_ecearthcclm","delta_ecearthhirham","delta_ecearthracmo","delta_ecearthrca","delta_hadgemrca","delta_ipslrca","delta_mpicclm","delta_mpirca","Baseline"
"1","01-01",27.9843793103448,13.3752068965517,22.5947586206897,14.7814482758621,16.8623448275862,8.09862068965517,11.6881724137931,8.79310344827586,30.0843103448276,15.3565172413793,72.3126551724138
"2","01-02",28.4757931034483,15.4823103448276,23.5974827586207,15.914,19.1439310344828,7.73524137931034,11.4740689655172,9.18413793103448,32.836,15.487275862069,73.8565862068966
"3","01-03",29.0434827586207,14.8693103448276,26.2412068965517,15.7245517241379,21.7285517241379,8.91944827586207,12.1088275862069,9.84234482758621,32.2672068965517,14.6802068965517,76.5205172413793
"4","01-04",29.6660689655172,15.9060689655172,29.0257586206897,16.4737931034483,24.722,9.72448275862069,14.441724137931,9.69110344827586,36.1913793103448,15.7805517241379,78.9943793103448
"5","01-05",32.1119310344828,15.3985172413793,30.3185517241379,15.519275862069,25.4875172413793,10.0131379310345,16.1605172413793,10.2404827586207,35.4163448275862,15.7832068965517,80.3267586206897
"6","01-06",32.8128965517241,16.5154482758621,32.600724137931,14.8181379310345,28.0357586206897,11.4926896551724,17.2442413793103,10.6188620689655,34.3568965517241,15.3706206896552,84.4636206896552
"7","01-07",35.0014827586207,17.4111724137931,32.9950689655172,14.0253793103448,27.9906206896552,11.0407931034483,18.1799655172414,10.7807931034483,35.9477586206897,15.3048965517241,86.4613793103448
"8","01-08",35.4778620689655,17.0457931034483,34.1652413793103,14.4982068965517,30.8482413793103,10.3715517241379,18.1093793103448,11.3301724137931,37.316275862069,15.8409655172414,87.9221034482759
"9","01-09",35.4396206896552,18.2937931034483,34.4104827586207,15.3870689655172,32.4656206896552,9.38551724137931,18.9044482758621,11.9746896551724,39.9038965517241,16.475724137931,88.6460344827586
"10","01-10",34.7705172413793,16.5942068965517,34.6765862068966,16.6833793103448,34.1771379310345,9.67406896551724,17.5942413793103,14.1170689655172,40.1470344827586,18.9026896551724,92.1998275862069
"11","01-11",33.6474137931034,15.022,33.2598275862069,17.6456551724138,35.5857931034483,9.71934482758621,17.465724137931,13.0425517241379,42.7104137931034,20.1368275862069,95.919724137931
"12","01-12",33.0274137931034,16.0243793103448,32.0903793103448,20.1750689655172,38.6804482758621,11.7474137931034,16.6222413793103,13.2361034482759,44.5063103448276,20.1825172413793,98.101275862069
"13","01-13",34.9138275862069,16.1055862068966,32.332,22.5869310344828,42.2303448275862,11.6438275862069,16.4342068965517,12.8047931034483,46.5742413793103,20.8364137931034,97.4036206896552
"14","01-14",34.1281724137931,15.389275862069,30.4623103448276,23.624724137931,42.8503103448276,10.8522413793103,16.9518620689655,14.7014827586207,45.9386551724138,20.3115172413793,98.2807931034483
"15","01-15",35.2585517241379,15.8885862068966,28.7683448275862,23.306,43.0142413793103,10.3434827586207,17.7394827586207,17.2022413793103,44.412,20.6045862068966,98.9292413793103
"16","01-16",35.6246896551724,15.605275862069,28.103,21.7195172413793,42.9504482758621,10.4100344827586,17.0875172413793,18.3898275862069,45.3254482758621,21.4971034482759,102.002068965517
