Year	Baseline	corre_cnrmcclm	corre_cnrmrca	corre_ecearthcclm	corre_ecearthhirham	corre_ecearthracmo	corre_ecearthrca	corre_hadgemrca	corre_ipslrca	corre_mpicclm	corre_mpirca
2041	0.141714285714286	0.465	0.157	0.111857142857143	1.44657142857143	0.222142857142857	0.0418571428571429	0.699714285714286	0.00285714285714286	0	0.0202857142857143
2042	1.38114285714286	0.235	0.153142857142857	0.237	0.307571428571429	0.270142857142857	0.540285714285714	0.0165714285714286	0.700285714285714	0.377857142857143	0.506
2043	0.886428571428571	0.0415714285714286	0.585142857142857	0.342571428571429	0.322714285714286	0.115142857142857	0.480571428571429	0.782142857142857	0.599142857142857	0.728714285714286	0.518571428571429
2044	0.502	0.869428571428571	1.087	0.118142857142857	0.486142857142857	0.264142857142857	0.069	0.416	0.345428571428571	0.727	0.870571428571429
2045	0.364857142857143	0.376571428571429	0.329428571428571	0.180857142857143	0.106857142857143	0.168714285714286	0.109714285714286	0.412571428571429	1.00428571428571	0.574142857142857	0.698714285714286
2046	0.392428571428571	0.0707142857142857	0.200571428571429	0.124	0.0464285714285714	0.282142857142857	0.533857142857143	0.242714285714286	0.702571428571429	0.413571428571429	0.356
2047	0.294142857142857	0.467857142857143	0.100857142857143	0.0814285714285714	0.125857142857143	0.0427142857142857	0.275142857142857	0.398571428571429	0.257571428571429	0.536714285714286	0.645142857142857
2048	0.329714285714286	0.0368571428571429	0.184	0.0341428571428571	0.0271428571428571	0.854142857142857	0.0462857142857143	0.147714285714286	0.168714285714286	0.876428571428571	0.712428571428571
2049	0.442571428571429	0.0877142857142857	0.229571428571429	0.259857142857143	0.363142857142857	0.191714285714286	0.555714285714286	0.249714285714286	0.932285714285714	0.0548571428571429	0.0798571428571429
2050	0.555714285714286	0.155142857142857	0.0874285714285714	0.087	0.292714285714286	0.167571428571429	0.0452857142857143	0.121428571428571	0.867428571428571	0.438857142857143	0.260142857142857
2051	0.687142857142857	0.0741428571428571	0.217285714285714	0.569285714285714	0.460142857142857	0.731857142857143	0.109857142857143	0.0474285714285714	0.193857142857143	0.731714285714286	0.429714285714286
2052	0.0722857142857143	0.0348571428571429	0.258428571428571	0.00842857142857143	0.524428571428571	0.508857142857143	0.0715714285714286	0.0374285714285714	0.712714285714286	0.674714285714286	0.332857142857143
2053	0.468285714285714	0.0965714285714286	0.266285714285714	0.407857142857143	0.603857142857143	0.171142857142857	0.401285714285714	0.120714285714286	0.408571428571429	0.0982857142857143	0.334428571428571
2054	0.715571428571429	0.16	0.0794285714285714	0.0865714285714286	0.455714285714286	0.702285714285714	0.326142857142857	0.463142857142857	0.454285714285714	0.0511428571428571	0.480428571428571
2055	0.249571428571429	0.251857142857143	1.01985714285714	0.327857142857143	0.0537142857142857	0.0704285714285714	0.370142857142857	0.195285714285714	0.0207142857142857	0.0165714285714286	0.140714285714286
2056	0.148857142857143	0.156571428571429	0.364	0.286428571428571	0.304428571428571	0.393857142857143	0.364142857142857	0.283571428571429	0.505	0.702142857142857	0.369714285714286
2057	0.343857142857143	0.214428571428571	0.847	0.01	0.149714285714286	0.0985714285714286	0.00157142857142857	0.2	0.198571428571429	0.0538571428571429	0.117571428571429
2058	1.04342857142857	0.340285714285714	0.511857142857143	0.309714285714286	0.436	0.0791428571428571	0.331714285714286	0.0444285714285714	0.344714285714286	0.0561428571428571	0.133285714285714
2059	0.770857142857143	0.881714285714286	0.130285714285714	0.354428571428571	0.0488571428571429	0.0514285714285714	0.773285714285714	0.0285714285714286	0.168571428571429	0.333571428571429	0.256285714285714
2060	0.0664285714285714	0.397857142857143	0.558571428571429	0.0717142857142857	0.022	0.028	0.0487142857142857	0.202428571428571	0.895571428571429	0.0335714285714286	0.0777142857142857
2061	1.00071428571429	0.247857142857143	0.208428571428571	0.113285714285714	0.472142857142857	0.0295714285714286	0.188142857142857	0.0431428571428571	0.195571428571429	0.00628571428571429	0.0435714285714286
2062	1.66885714285714	0.191	0.314571428571429	0.485714285714286	0.0825714285714286	1.02128571428571	0.328	0.373142857142857	0.315142857142857	0.344285714285714	0.784714285714286
2063	0.282285714285714	0.104571428571429	0.334	0.440714285714286	0.130285714285714	0.336571428571429	0.109285714285714	0.0762857142857143	0.438714285714286	0.182714285714286	0.397
2064	0.134285714285714	0.191285714285714	0.599428571428571	0.156285714285714	0.0284285714285714	0.824285714285714	0.0198571428571429	0.214	0.203857142857143	0.171571428571429	0.135714285714286
2065	0.112142857142857	0.137714285714286	0.513571428571429	0.0162857142857143	0.560428571428571	0.257571428571429	0.0831428571428571	0.00742857142857143	0.337714285714286	1.029	0.968428571428571
2066	1.38114285714286	0.649142857142857	0.120428571428571	0.0591428571428571	0.0328571428571429	0.207571428571429	0.0862857142857143	0.870857142857143	0.193857142857143	0.340714285714286	0.271
2067	0.886428571428571	0.0482857142857143	0.0812857142857143	0.179857142857143	0.226428571428571	0.250428571428571	0.170714285714286	0.423	0.210857142857143	0.537	0.292428571428571
2068	0.502	0.269428571428571	0.023	0.492142857142857	0.0618571428571429	0.104571428571429	0.333142857142857	0.0561428571428571	1.817	0.218142857142857	0.305142857142857
2069	0.364857142857143	0.126428571428571	0.146714285714286	0.610714285714286	0.152142857142857	0.691571428571429	0.114285714285714	0.157428571428571	0.185571428571429	0.171142857142857	0.480142857142857
2070	0.392428571428571	1.03071428571429	0.277857142857143	0.0962857142857143	0.0652857142857143	0.0811428571428571	0.0298571428571429	0.150714285714286	0.374	0.023	0.0997142857142857
