Year	Baseline	delta_cnrmcclm	delta_cnrmrca	delta_ecearthcclm	delta_ecearthhirham	delta_ecearthracmo	delta_ecearthrca	delta_hadgemrca	delta_ipslrca	delta_mpicclm	delta_mpirca
1971	0.141714285714286	0.158142857142857	0.185571428571429	0.127571428571429	0.250714285714286	0.245571428571429	0.165857142857143	0.163571428571429	0.202714285714286	0.157142857142857	0.272714285714286
1972	1.38114285714286	0.0747142857142857	0.0942857142857143	0.0551428571428571	0.109285714285714	0.115285714285714	0.0804285714285714	0.0741428571428571	0.0992857142857143	0.0751428571428571	0.120285714285714
1973	0.886428571428571	0.182	0.421428571428571	0.198857142857143	0.300285714285714	0.414142857142857	0.264285714285714	0.278285714285714	0.417857142857143	0.303428571428571	0.384571428571429
1974	0.502	0.069	0.109428571428571	0.0404285714285714	0.0192857142857143	0.116285714285714	0.0334285714285714	0.0325714285714286	0.0247142857142857	0.116857142857143	0.156
1975	0.364857142857143	0.0432857142857143	0.0361428571428571	0.034	0.0342857142857143	0.0292857142857143	0.0321428571428571	0.0352857142857143	0.0327142857142857	0.035	0.0422857142857143
1976	0.392428571428571	0.00628571428571429	0.0168571428571429	0.007	0.0112857142857143	0.0222857142857143	0.00957142857142857	0.0148571428571429	0.0158571428571429	0.011	0.0145714285714286
1977	0.294142857142857	0.102285714285714	0.145571428571429	0.0828571428571429	0.116285714285714	0.156285714285714	0.111	0.139142857142857	0.135	0.119857142857143	0.146714285714286
1978	0.329714285714286	0.545142857142857	0.583714285714286	0.315428571428571	0.440285714285714	0.505285714285714	0.454857142857143	0.376857142857143	0.483142857142857	0.638857142857143	0.63
1979	0.442571428571429	0.272857142857143	0.248285714285714	0.282142857142857	0.303857142857143	0.205285714285714	0.247857142857143	0.307	0.317428571428571	0.214428571428571	0.194714285714286
1980	0.555714285714286	0.287285714285714	0.554714285714286	0.269428571428571	0.170571428571429	0.334857142857143	0.229	0.112285714285714	0.338571428571429	0.415571428571429	0.360142857142857
1981	0.687142857142857	0.0332857142857143	0.0747142857142857	0.0182857142857143	0.028	0.0847142857142857	0.0411428571428571	0.0314285714285714	0.0691428571428571	0.0488571428571429	0.0548571428571429
1982	0.0722857142857143	0.043	0.0684285714285714	0.0362857142857143	0.044	0.0715714285714286	0.0464285714285714	0.055	0.0618571428571429	0.0482857142857143	0.0592857142857143
1983	0.468285714285714	0.0104285714285714	0.0231428571428571	0.00542857142857143	0.00742857142857143	0.0242857142857143	0.012	0.00885714285714286	0.0205714285714286	0.0148571428571429	0.0148571428571429
1984	0.715571428571429	0.0465714285714286	0.101285714285714	0.0245714285714286	0.0321428571428571	0.104285714285714	0.0537142857142857	0.0401428571428571	0.089	0.0657142857142857	0.0662857142857143
1985	0.249571428571429	0.537428571428571	0.625	0.479428571428571	0.521	0.450285714285714	0.502714285714286	0.596142857142857	0.567714285714286	0.515714285714286	0.465714285714286
1986	0.148857142857143	0.0444285714285714	0.0584285714285714	0.0412857142857143	0.0485714285714286	0.0597142857142857	0.046	0.0577142857142857	0.0532857142857143	0.0475714285714286	0.0595714285714286
1987	0.343857142857143	0.303857142857143	0.274714285714286	0.229285714285714	0.222428571428571	0.205571428571429	0.231857142857143	0.258142857142857	0.231	0.219714285714286	0.302
1988	1.04342857142857	0.134428571428571	0.114857142857143	0.105285714285714	0.115428571428571	0.0978571428571429	0.0887142857142857	0.0942857142857143	0.104285714285714	0.169142857142857	0.172142857142857
1989	0.770857142857143	0.178	0.222714285714286	0.176142857142857	0.179285714285714	0.168	0.188714285714286	0.215714285714286	0.202	0.164571428571429	0.219428571428571
1990	0.0664285714285714	0.118571428571429	0.160857142857143	0.118	0.136428571428571	0.175428571428571	0.131	0.149571428571429	0.152428571428571	0.141571428571429	0.152428571428571
1991	1.00071428571429	0.0847142857142857	0.0777142857142857	0.0751428571428571	0.0714285714285714	0.107714285714286	0.0598571428571429	0.0597142857142857	0.0812857142857143	0.127285714285714	0.130714285714286
1992	1.66885714285714	0.00614285714285714	0.00714285714285714	0.00685714285714286	0.008	0.00714285714285714	0.00628571428571429	0.007	0.00742857142857143	0.00871428571428571	0.00828571428571429
1993	0.282285714285714	0.07	0.0581428571428571	0.051	0.0518571428571429	0.0395714285714286	0.0508571428571429	0.0562857142857143	0.0515714285714286	0.053	0.0698571428571429
1994	0.134285714285714	0.137142857142857	0.153285714285714	0.100857142857143	0.106142857142857	0.133571428571429	0.111714285714286	0.141428571428571	0.126142857142857	0.105285714285714	0.152285714285714
1995	0.112142857142857	0.0198571428571429	0.0488571428571429	0.0212857142857143	0.0322857142857143	0.0597142857142857	0.0288571428571429	0.0428571428571429	0.0445714285714286	0.0334285714285714	0.0417142857142857
1996	1.38114285714286	0.111	0.171714285714286	0.0932857142857143	0.119428571428571	0.187857142857143	0.121714285714286	0.146714285714286	0.156714285714286	0.13	0.168
1997	0.886428571428571	0.0661428571428571	0.164	0.0632857142857143	0.0955714285714286	0.197428571428571	0.0934285714285714	0.129142857142857	0.148428571428571	0.108	0.132857142857143
1998	0.502	0.619714285714286	0.753857142857143	0.375571428571429	0.527428571428571	0.665142857142857	0.623571428571429	0.539285714285714	0.774142857142857	0.805428571428571	0.837142857142857
1999	0.364857142857143	0.142714285714286	0.276	0.125857142857143	0.168857142857143	0.315285714285714	0.175428571428571	0.215142857142857	0.251	0.193857142857143	0.235714285714286
2000	0.392428571428571	0.533	1.21771428571429	0.574714285714286	0.799428571428571	1.26142857142857	0.751	1.01	1.14585714285714	0.838857142857143	1.00814285714286
