"","DayMonth","corre_cnrmcclm","Baseline"
"1","01-01",12.4086206896552,9.09175862068965
"2","01-02",13.8095862068966,9.83968965517241
"3","01-03",12.7296206896552,9.43934482758621
"4","01-04",10.0181724137931,9.43886206896552
"5","01-05",8.31613793103448,9.58179310344828
"6","01-06",7.40203448275862,8.93868965517241
"7","01-07",6.37924137931035,9.01096551724138
"8","01-08",5.70806896551724,10.7419655172414
"9","01-09",6.35193103448276,11.779275862069
"10","01-10",6.81293103448276,10.320275862069
"11","01-11",7.01351724137931,8.92051724137931
"12","01-12",8.47562068965517,9.89675862068965
"13","01-13",9.06062068965517,11.122
"14","01-14",7.60065517241379,11.3429310344828
"15","01-15",5.79586206896552,10.7753103448276
"16","01-16",5.29244827586207,12.1268620689655
"17","01-17",5.4981724137931,12.1679655172414
"18","01-18",5.34727586206897,10.7545862068966
"19","01-19",5.90134482758621,10.0223448275862
"20","01-20",5.95627586206897,8.26437931034483
"21","01-21",5.72986206896552,7.76141379310345
"22","01-22",6.18658620689655,8.201
"23","01-23",6.16910344827586,7.50431034482759
"24","01-24",6.952,6.88772413793103
"25","01-25",7.97303448275862,6.06989655172414
"26","01-26",7.67613793103448,5.90686206896552
"27","01-27",8.397,6.74168965517241
"28","01-28",9.61334482758621,7.17079310344828
"29","01-29",9.49679310344828,6.71058620689655
"30","01-30",8.93558620689655,6.91213793103448
"31","01-31",7.62206896551724,6.73579310344828
"32","02-01",6.49096551724138,5.5751724137931
"33","02-02",7.126,5.07368965517241
"34","02-03",7.73320689655172,5.7091724137931
"35","02-04",7.24372413793103,7.35565517241379
"36","02-05",6.46027586206897,7.96303448275862
"37","02-06",5.94234482758621,8.04610344827586
"38","02-07",5.70062068965517,8.61586206896552
"39","02-08",5.26624137931034,8.93872413793103
"40","02-09",5.2381724137931,7.87524137931034
"41","02-10",6.50786206896552,8.39386206896552
"42","02-11",7.06834482758621,9.46479310344828
"43","02-12",7.0441724137931,8.88037931034483
"44","02-13",7.83779310344828,7.1988275862069
"45","02-14",8.91503448275862,5.91510344827586
"46","02-15",9.52575862068966,5.35096551724138
"47","02-16",9.28437931034483,5.67262068965517
"48","02-17",8.86975862068966,6.86686206896552
"49","02-18",7.86027586206897,7.2471724137931
"50","02-19",6.70986206896552,6.82706896551724
"51","02-20",6.20096551724138,6.32493103448276
"52","02-21",5.80524137931034,6.00213793103448
"53","02-22",5.67955172413793,6.50196551724138
"54","02-23",5.52031034482759,7.51368965517241
"55","02-24",5.39579310344828,7.14172413793103
"56","02-25",4.93186206896552,6.57913793103448
"57","02-26",5.21110344827586,6.50010344827586
"58","02-27",6.16889655172414,6.44924137931034
"59","02-28",6.42551724137931,6.93465517241379
"61","03-01",6.26334482758621,7.90103448275862
"62","03-02",6.00862068965517,6.91686206896552
"63","03-03",5.94531034482759,5.73658620689655
"64","03-04",7.38037931034483,4.95768965517241
"65","03-05",10.0216896551724,4.44141379310345
"66","03-06",10.0767931034483,4.41689655172414
"67","03-07",8.60024137931035,5.13655172413793
"68","03-08",7.28789655172414,6.32224137931034
"69","03-09",7.31575862068965,6.39027586206897
"70","03-10",7.97468965517241,6.63879310344828
"71","03-11",9.14675862068965,7.64231034482759
"72","03-12",9.97158620689655,8.23293103448276
"73","03-13",9.6271724137931,8.54896551724138
"74","03-14",11.0766896551724,7.57293103448276
"75","03-15",12.3059655172414,6.55862068965517
"76","03-16",11.8216896551724,6.30462068965517
"77","03-17",10.5334482758621,7.04465517241379
"78","03-18",10.5891034482759,8.43120689655172
"79","03-19",10.9533103448276,8.8891724137931
"80","03-20",10.8788965517241,9.34641379310345
"81","03-21",11.1581379310345,9.1811724137931
"82","03-22",10.3842068965517,8.35789655172414
"83","03-23",8.76724137931035,7.67827586206897
"84","03-24",8.06575862068965,7.34941379310345
"85","03-25",8.37920689655172,7.24068965517241
"86","03-26",9.61037931034483,7.18772413793103
"87","03-27",10.4274137931034,7.02003448275862
"88","03-28",10.7778275862069,7.53196551724138
"89","03-29",10.5250344827586,8.22396551724138
"90","03-30",10.2160689655172,8.66606896551724
"91","03-31",9.40048275862069,8.39179310344828
"92","04-01",8.70024137931035,8.35465517241379
"93","04-02",9.77479310344828,8.93803448275862
"94","04-03",10.184,9.29931034482759
"95","04-04",9.49879310344828,9.24544827586207
"96","04-05",9.89058620689655,9.46872413793103
"97","04-06",10.3013793103448,12.3245172413793
"98","04-07",9.79924137931035,14.2108965517241
"99","04-08",9.47293103448276,13.0351379310345
"100","04-09",11.4246551724138,12.2192413793103
"101","04-10",13.7283448275862,11.733275862069
"102","04-11",13.1030344827586,11.6322068965517
"103","04-12",11.7159655172414,11.8374137931034
"104","04-13",11.026724137931,11.6754827586207
"105","04-14",12.3555517241379,11.9799310344828
"106","04-15",13.4451379310345,12.0897931034483
"107","04-16",12.8580689655172,12.0104137931034
"108","04-17",11.8250344827586,11.9566551724138
"109","04-18",11.0890689655172,11.6239655172414
"110","04-19",10.2911034482759,12.0961379310345
"111","04-20",9.26603448275862,12.6174827586207
"112","04-21",9.34510344827586,12.9232413793103
"113","04-22",9.63731034482759,13.2452068965517
"114","04-23",9.85227586206897,14.033724137931
"115","04-24",10.1867931034483,14.0138620689655
"116","04-25",9.9258275862069,13.2151724137931
"117","04-26",9.8388275862069,12.515724137931
"118","04-27",9.73362068965517,12.4138965517241
"119","04-28",9.46789655172414,12.29
"120","04-29",9.52768965517241,12.187724137931
"121","04-30",8.90213793103448,13.7047586206897
"122","05-01",8.66972413793103,17.4384827586207
"123","05-02",9.47489655172414,17.2208275862069
"124","05-03",9.05044827586207,14.3926206896552
"125","05-04",8.30013793103448,12.4031034482759
"126","05-05",7.90827586206897,11.0327931034483
"127","05-06",7.41513793103448,10.6737586206897
"128","05-07",6.87206896551724,10.6765862068966
"129","05-08",6.6161724137931,10.4380689655172
"130","05-09",6.12313793103448,10.181724137931
"131","05-10",5.57331034482759,11.2643103448276
"132","05-11",5.20631034482759,11.8172068965517
"133","05-12",4.97320689655172,11.2996896551724
"134","05-13",5.04389655172414,10.5716896551724
"135","05-14",5.32006896551724,10.7108965517241
"136","05-15",5.26796551724138,10.0321034482759
"137","05-16",4.64048275862069,8.30296551724138
"138","05-17",4.13734482758621,7.78703448275862
"139","05-18",3.77941379310345,7.45655172413793
"140","05-19",3.87655172413793,7.65065517241379
"141","05-20",4.57424137931034,7.86948275862069
"142","05-21",5.22544827586207,7.00120689655172
"143","05-22",4.82910344827586,6.62127586206897
"144","05-23",4.07531034482759,6.97120689655172
"145","05-24",3.53148275862069,7.47010344827586
"146","05-25",3.34603448275862,7.45768965517241
"147","05-26",3.67720689655172,7.01455172413793
"148","05-27",3.76541379310345,6.37531034482759
"149","05-28",3.92734482758621,5.30472413793103
"150","05-29",3.90772413793103,5.09151724137931
"151","05-30",3.58148275862069,5.50255172413793
"152","05-31",3.29334482758621,5.22927586206897
"153","06-01",2.90441379310345,4.8378275862069
"154","06-02",2.73051724137931,4.37893103448276
"155","06-03",2.76141379310345,4.26355172413793
"156","06-04",2.76072413793103,4.00513793103448
"157","06-05",3.06334482758621,3.45389655172414
"158","06-06",3.34875862068966,3.1838275862069
"159","06-07",2.9211724137931,3.18744827586207
"160","06-08",2.83941379310345,3.10451724137931
"161","06-09",3.98768965517241,3.01927586206897
"162","06-10",4.9961724137931,3.08924137931034
"163","06-11",4.13724137931035,2.85775862068966
"164","06-12",3.67313793103448,2.84937931034483
"165","06-13",3.80027586206897,2.729
"166","06-14",3.857,2.596
"167","06-15",3.41703448275862,2.55220689655172
"168","06-16",3.27465517241379,2.40279310344828
"169","06-17",3.16386206896552,2.47665517241379
"170","06-18",2.65289655172414,2.5251724137931
"171","06-19",2.44968965517241,2.39465517241379
"172","06-20",3.16544827586207,2.31410344827586
"173","06-21",4.18031034482759,2.32158620689655
"174","06-22",4.17320689655172,2.49948275862069
"175","06-23",3.72551724137931,2.89310344827586
"176","06-24",3.204,3.35624137931034
