"","DayMonth","delta_cnrmcclm","delta_cnrmrca","delta_ecearthcclm","delta_ecearthhirham","delta_ecearthracmo","delta_ecearthrca","delta_hadgemrca","delta_ipslrca","delta_mpicclm","delta_mpirca","Baseline"
"1","01-01",11.1301034482759,14.0809655172414,11.7114827586207,10.5324137931034,10.2041034482759,12.3517586206897,9.69848275862069,12.0526896551724,10.8083448275862,9.87931034482759,9.82862068965517
"2","01-02",12.358275862069,14.2372068965517,13.611275862069,11.9434482758621,11.2498965517241,13.0573793103448,10.5222068965517,16.245,10.6010689655172,10.1005517241379,9.54806896551724
"3","01-03",13.7808620689655,15.0436896551724,14.9993448275862,13.0593103448276,12.5392068965517,14.0104482758621,11.5196551724138,18.5285517241379,11.1845862068966,10.8660689655172,9.14162068965517
"4","01-04",13.6110344827586,14.6480689655172,14.6304137931034,12.7027931034483,12.5057931034483,13.6348620689655,11.2724482758621,18.486275862069,10.8191724137931,10.7104137931034,9.80731034482759
"5","01-05",12.3234482758621,13.0317586206897,12.9432068965517,11.3618965517241,11.308275862069,12.1631724137931,10.3398275862069,16.3821034482759,9.87441379310345,9.83503448275862,9.52855172413793
"6","01-06",11.9197586206897,12.6107586206897,12.2375517241379,10.7750689655172,10.8863103448276,11.7456551724138,10.068724137931,15.4595517241379,9.70765517241379,9.73496551724138,8.57527586206897
"7","01-07",11.2789655172414,12.1166896551724,12.3106551724138,10.956275862069,10.5193448275862,11.4378620689655,9.58286206896552,16.5419655172414,9.22610344827586,9.35589655172414,9.49551724137931
"8","01-08",9.96737931034483,10.8812068965517,11.6428275862069,10.4072068965517,9.41168965517241,10.3250344827586,8.44910344827586,16.2150689655172,8.0048275862069,8.13527586206897,11.1055517241379
"9","01-09",9.16831034482759,10.1231034482759,10.7290689655172,9.71768965517241,8.79365517241379,9.57024137931034,7.92493103448276,14.9989310344828,7.49110344827586,7.61558620689655,11.434
"10","01-10",10.2429310344828,11.1062068965517,11.6548275862069,10.4734137931034,9.549,10.5724482758621,8.79644827586207,16.3294137931034,8.06524137931035,8.1448275862069,10.0679655172414
"11","01-11",11.3056551724138,12.1101724137931,13.0596206896552,11.716275862069,10.4100344827586,11.5323793103448,9.65875862068965,17.847724137931,8.73862068965517,8.85462068965517,8.93206896551724
"12","01-12",10.5522068965517,11.384,12.3010689655172,11.1964137931034,9.76813793103448,10.8684827586207,9.10744827586207,16.8921379310345,8.10362068965517,8.2231724137931,10.1418965517241
"13","01-13",11.4181034482759,12.1813103448276,13.361724137931,12.2042413793103,10.1573448275862,11.7501379310345,9.7841724137931,18.4664827586207,8.24486206896552,8.33796551724138,11.4650344827586
"14","01-14",13.907275862069,14.5897931034483,16.2782413793103,14.9542413793103,11.9557931034483,14.0045862068966,11.8514827586207,22.4876896551724,9.52293103448276,9.57637931034483,10.3934482758621
"15","01-15",15.685275862069,15.998,17.0723103448276,15.5004827586207,13.0699655172414,15.0856551724138,13.0794482758621,22.6904482758621,11.3424827586207,11.4066206896552,9.87986206896552
"16","01-16",16.2406551724138,16.1880689655172,16.2966551724138,14.537724137931,13.3241034482759,15.096724137931,13.2905862068966,20.4313448275862,12.3875517241379,12.5231034482759,11.5707586206897
"17","01-17",13.5085862068966,13.4023793103448,13.4806551724138,12.0558275862069,11.1182413793103,12.5491034482759,11.1085172413793,16.7196896551724,10.5065172413793,10.5750344827586,11.9358965517241
"18","01-18",11.3311724137931,11.3659310344828,11.8835172413793,10.8459310344828,9.62120689655172,10.8076206896552,9.63637931034483,15.2761034482759,8.90562068965517,8.88093103448276,11.0961379310345
"19","01-19",12.2443448275862,12.277275862069,13.0022068965517,11.9145517241379,10.4103448275862,11.7412068965517,10.4814827586207,16.6424482758621,9.27241379310345,9.16665517241379,10.1708620689655
"20","01-20",13.1460689655172,13.2373793103448,14.2254137931034,13.0698275862069,11.0879655172414,12.7727586206897,11.3125517241379,18.0231034482759,9.58137931034483,9.41358620689655,7.94051724137931
"21","01-21",15.007,15.0280689655172,16.0403448275862,14.699275862069,12.5421034482759,14.3863103448276,12.8495172413793,20.9013448275862,11.1341034482759,10.9666551724138,7.8818275862069
"22","01-22",16.2260344827586,16.0118620689655,16.8116206896552,15.2486896551724,13.3449310344828,15.1640344827586,13.607724137931,21.8362413793103,12.4711379310345,12.3331379310345,8.62637931034483
"23","01-23",15.0061724137931,14.9572068965517,16.2653103448276,14.7931379310345,12.4213448275862,14.310724137931,12.658275862069,21.2190344827586,11.4068275862069,11.229,8.19413793103448
"24","01-24",13.5653103448276,13.6251379310345,15.3469310344828,14.3079655172414,11.4194827586207,13.1448620689655,11.702,20.452275862069,10.1642068965517,9.93558620689655,6.52379310344828
"25","01-25",11.0221379310345,11.1166551724138,12.4544482758621,11.8284137931034,9.48151724137931,10.7344482758621,9.72303448275862,16.6867931034483,8.43013793103448,8.21306896551724,5.43731034482759
"26","01-26",8.67013793103448,8.86993103448276,10.3905862068966,10.0885862068966,7.67679310344828,8.73675862068966,7.84496551724138,14.5963793103448,6.80748275862069,6.64603448275862,6.05589655172414
"27","01-27",7.83124137931035,8.12503448275862,9.34496551724138,9.05062068965517,7.07272413793103,7.98689655172414,7.08920689655172,13.3250689655172,6.4,6.26648275862069,6.78086206896552
"28","01-28",7.09479310344828,7.36737931034483,8.49079310344828,8.19113793103448,6.47068965517241,7.28165517241379,6.41213793103448,11.7371724137931,5.84344827586207,5.75106896551724,6.83365517241379
"29","01-29",7.06189655172414,7.47627586206897,9.11131034482759,8.75358620689655,6.41537931034483,7.48579310344828,6.41841379310345,12.3223103448276,5.448,5.32493103448276,6.58196551724138
"30","01-30",8.74637931034483,9.14293103448276,10.6499310344828,9.89906896551724,7.6211724137931,9.05858620689655,7.76424137931035,13.9533793103448,6.22179310344828,5.91631034482759,6.97724137931034
"31","01-31",10.0955517241379,10.2843793103448,11.5334482758621,10.6197931034483,8.65248275862069,10.039724137931,8.86793103448276,14.6249655172414,7.49227586206897,7.16748275862069,6.6791724137931
"32","02-01",11.0136206896552,11.0810689655172,12.1563793103448,10.8872068965517,9.29344827586207,11.165724137931,9.73524137931035,14.314275862069,8.86837931034483,8.48068965517241,5.30275862068966
"33","02-02",11.0980689655172,11.1566551724138,12.6217931034483,10.1023448275862,8.58496551724138,11.8616551724138,9.33451724137931,13.9604137931034,9.34755172413793,8.70151724137931,5.61044827586207
"34","02-03",12.200724137931,12.4456551724138,14.003724137931,10.7700344827586,8.48072413793103,13.3981034482759,9.782,15.1576551724138,10.3766551724138,9.38379310344828,7.46937931034483
"35","02-04",12.8357931034483,12.9529310344828,13.8917931034483,11.2266206896552,8.826,13.5422068965517,10.3071379310345,15.2936551724138,11.1131379310345,10.241724137931,8.18103448275862
"36","02-05",14.3956551724138,14.3906551724138,15.1534482758621,12.4871379310345,10.2479655172414,14.8061724137931,11.6340344827586,17.0398275862069,12.6276206896552,12.0740344827586,7.68727586206897
"37","02-06",14.8919310344828,14.7868620689655,15.4373793103448,12.8915172413793,10.4723448275862,15.1410689655172,11.9840344827586,17.614275862069,13.1604137931034,12.332724137931,7.15513793103448
"38","02-07",13.4001724137931,13.0774827586207,13.4627586206897,11.2755517241379,9.25872413793103,13.3557586206897,10.5603793103448,15.5146896551724,11.7701724137931,10.9222068965517,7.53013793103448
"39","02-08",12.1464827586207,11.8701034482759,12.1946551724138,10.4421034482759,8.84934482758621,12.0709310344828,9.83324137931034,14.1497586206897,10.6683793103448,10.2728275862069,8.16920689655172
"40","02-09",10.0017586206897,9.9771724137931,10.3192413793103,8.96431034482759,7.75106896551724,10.1393448275862,8.44051724137931,11.8451379310345,8.97306896551724,8.76113793103448,8.24851724137931
"41","02-10",8.12210344827586,8.24568965517241,8.62241379310345,7.34648275862069,6.41431034482759,8.39362068965517,6.94006896551724,9.60389655172414,7.37568965517241,7.1348275862069,9.35141379310345
"42","02-11",9.16068965517241,9.38644827586207,10.4225862068966,8.3138275862069,6.71772413793103,9.99737931034483,7.53024137931035,11.8484827586207,8.2128275862069,7.62996551724138,9.08179310344828
"43","02-12",11.0122068965517,11.250724137931,12.749724137931,10.2716551724138,7.40937931034483,12.1850689655172,8.97172413793103,14.5194137931034,9.88341379310345,8.74327586206897,8.12189655172414
"44","02-13",11.4347586206897,11.7596896551724,13.287,10.7456206896552,7.27006896551724,12.7385517241379,9.47320689655172,15.0665517241379,10.3576551724138,8.95810344827586,6.9778275862069
"45","02-14",11.603,11.8832068965517,13.4173448275862,10.9858965517241,6.63758620689655,12.9064827586207,9.53658620689655,15.3373793103448,10.5367586206897,8.62589655172414,5.98072413793103
"46","02-15",10.9066896551724,11.0493103448276,12.345,10.3418275862069,6.68751724137931,11.8704482758621,9.10010344827586,13.958,9.91427586206897,8.48793103448276,5.34544827586207
"47","02-16",9.47296551724138,9.4948275862069,10.5149655172414,8.97720689655172,6.29955172413793,10.1237586206897,8.02410344827586,11.7157586206897,8.633,7.76351724137931,5.92520689655172
"48","02-17",8.23537931034483,8.30558620689655,9.28924137931035,7.78444827586207,5.51534482758621,8.90255172413793,6.93431034482759,10.1736896551724,7.57313793103448,6.73458620689655,7.04465517241379
