"","DayMonth","corre_cnrmcclm","Baseline"
"1","01-01",32.7958275862069,71.596724137931
"2","01-02",34.5194137931034,71.863
"3","01-03",34.0538275862069,74.7613793103448
"4","01-04",34.4939310344828,78.6490689655172
"5","01-05",36.9694827586207,80.5268620689655
"6","01-06",39.4232068965517,83.9851034482759
"7","01-07",42.9096206896552,85.7320689655172
"8","01-08",45.9441379310345,87.6942413793103
"9","01-09",48.5922068965517,88.8174137931034
"10","01-10",50.6241724137931,92.411
"11","01-11",53.9919310344828,96.114724137931
"12","01-12",55.5653103448276,98.0198620689655
"13","01-13",56.3172413793103,98.1174482758621
"14","01-14",57.7921724137931,98.6877586206896
"15","01-15",59.0066551724138,99.0415517241379
"16","01-16",62.3730689655172,99.0069655172414
"17","01-17",64.5645172413793,101.555793103448
"18","01-18",65.7469655172414,102.093655172414
"19","01-19",66.4452413793103,105.575206896552
"20","01-20",68.2745517241379,110.502551724138
"21","01-21",70.9471724137931,115.207103448276
"22","01-22",74.1525862068966,118.397034482759
"23","01-23",73.8821034482759,120.599551724138
"24","01-24",74.755,123.166586206897
"25","01-25",74.3066551724138,128.18075862069
"26","01-26",74.432,131.46024137931
"27","01-27",75.6373793103448,132.562517241379
"28","01-28",74.987724137931,134.772
"29","01-29",76.1425517241379,139.551310344828
"30","01-30",80.373275862069,141.543103448276
"31","01-31",84.9403448275862,146.140689655172
"32","02-01",86.6168965517241,149.656862068966
"33","02-02",88.6200344827586,154.110724137931
"34","02-03",89.2434827586207,157.65424137931
"35","02-04",92.0689310344828,157.630965517241
"36","02-05",94.3715172413793,157.627827586207
"37","02-06",96.7809655172414,158.548448275862
"38","02-07",98.5391724137931,158.432724137931
"39","02-08",100.409379310345,163.283068965517
"40","02-09",102.250068965517,166.664896551724
"41","02-10",102.935310344828,168.565965517241
"42","02-11",105.813482758621,170.649655172414
"43","02-12",108.029827586207,173.24375862069
"44","02-13",107.47975862069,176.114965517241
"45","02-14",106.918034482759,177.121413793103
"46","02-15",108.577896551724,178.014275862069
"47","02-16",110.03575862069,179.088275862069
"48","02-17",110.572827586207,180.701379310345
"49","02-18",112.283965517241,180.734793103448
"50","02-19",112.225862068966,180.60675862069
"51","02-20",112.971275862069,182.862620689655
"52","02-21",112.415448275862,182.932034482759
"53","02-22",112.171620689655,182.364689655172
"54","02-23",111.959,185.202275862069
"55","02-24",112.37324137931,187.768
"56","02-25",115.652413793103,187.076620689655
"57","02-26",116.668965517241,186.802103448276
"58","02-27",115.576413793103,188.054517241379
"59","02-28",114.29124137931,188.022793103448
"61","03-01",114.332862068966,189.623517241379
"62","03-02",115.295206896552,194.782
"63","03-03",114.492034482759,196.128103448276
"64","03-04",115.847413793103,198.246275862069
"65","03-05",116.02024137931,198.880344827586
"66","03-06",116.567068965517,203.773103448276
"67","03-07",118.037827586207,206.534965517241
"68","03-08",117.344413793103,205.714965517241
"69","03-09",117.625482758621,209.382413793103
"70","03-10",117.98424137931,209.114517241379
"71","03-11",117.044448275862,208.447172413793
"72","03-12",116.244137931034,209.116862068966
"73","03-13",114.998931034483,209.601172413793
"74","03-14",113.754931034483,210.842068965517
"75","03-15",112.542034482759,211.047827586207
"76","03-16",113.824965517241,210.954655172414
"77","03-17",113.43924137931,211.292206896552
"78","03-18",111.566862068966,209.402931034483
"79","03-19",110.256137931034,205.501068965517
"80","03-20",110.151551724138,201.334103448276
"81","03-21",110.840310344828,198.645931034483
"82","03-22",108.91975862069,196.988413793103
"83","03-23",107.823413793103,195.008206896552
"84","03-24",105.838931034483,192.958137931034
"85","03-25",103.352517241379,190.69924137931
"86","03-26",102.241620689655,188.149689655172
"87","03-27",101.527862068966,186.199344827586
"88","03-28",100.048034482759,184.002724137931
"89","03-29",99.2342068965517,181.230379310345
"90","03-30",97.944724137931,178.887
"91","03-31",96.0958275862069,178.390862068966
"92","04-01",94.8920344827586,175.146862068966
"93","04-02",92.415275862069,172.677413793103
"94","04-03",90.2737931034483,169.246034482759
"95","04-04",87.9876551724138,166.982551724138
"96","04-05",86.3657931034483,165.047448275862
"97","04-06",83.603724137931,162.459344827586
"98","04-07",80.8755862068966,158.693586206897
"99","04-08",78.158,154.905793103448
"100","04-09",75.3013448275862,151.509275862069
"101","04-10",71.7111034482759,147.577172413793
"102","04-11",68.1253103448276,143.001448275862
"103","04-12",65.6764482758621,139.51375862069
"104","04-13",62.3065517241379,135.098172413793
"105","04-14",59.1228620689655,130.767482758621
"106","04-15",55.6288275862069,126.192655172414
"107","04-16",51.9678620689655,121.844931034483
"108","04-17",48.852724137931,117.206275862069
"109","04-18",46.0672068965517,112.46175862069
"110","04-19",43.2921034482759,107.033896551724
"111","04-20",40.8935517241379,101.656068965517
"112","04-21",38.4791379310345,96.0040344827586
"113","04-22",36.3888275862069,90.9884827586207
"114","04-23",33.9982068965517,85.4803448275862
"115","04-24",32.0279310344828,80.5159655172414
"116","04-25",29.6326551724138,75.6225862068966
"117","04-26",27.2954827586207,71.5214827586207
"118","04-27",25.0983448275862,67.9931724137931
"119","04-28",22.9836896551724,64.6959655172414
"120","04-29",20.9420344827586,61.2954137931034
"121","04-30",19.0234482758621,58.7154482758621
"122","05-01",17.2586206896552,55.1340689655172
"123","05-02",15.5316206896552,52.2612413793103
"124","05-03",13.9442413793103,49.1691034482759
"125","05-04",12.5682068965517,45.9796551724138
"126","05-05",11.3723793103448,42.7363448275862
"127","05-06",10.2555172413793,39.4568275862069
"128","05-07",9.17706896551724,36.1318620689655
"129","05-08",8.21851724137931,32.6394827586207
"130","05-09",7.34627586206897,28.9156206896552
"131","05-10",6.57713793103448,25.3961034482759
"132","05-11",5.81568965517241,22.1915862068966
"133","05-12",5.06803448275862,19.4375862068966
"134","05-13",4.4248275862069,17.0586896551724
"135","05-14",3.85620689655172,15.0204137931034
"136","05-15",3.37213793103448,13.2495862068966
"137","05-16",2.93089655172414,11.6588275862069
"138","05-17",2.55972413793103,10.3070689655172
"139","05-18",2.23962068965517,9.18834482758621
"140","05-19",1.93248275862069,8.00451724137931
"141","05-20",1.63955172413793,6.94796551724138
"142","05-21",1.39544827586207,6.04241379310345
"143","05-22",1.17106896551724,5.23193103448276
"144","05-23",0.943034482758621,4.4908275862069
"145","05-24",0.737896551724138,3.95868965517241
"146","05-25",0.563620689655172,3.4921724137931
"147","05-26",0.41348275862069,3.10572413793103
"148","05-27",0.302448275862069,2.73706896551724
"149","05-28",0.226620689655172,2.36203448275862
"150","05-29",0.159241379310345,2.07575862068966
"151","05-30",0.105931034482759,1.77134482758621
"152","05-31",0.0617586206896552,1.45134482758621
"153","06-01",0.0348965517241379,1.2048275862069
"154","06-02",0.0160344827586207,1.02162068965517
"155","06-03",0.00489655172413793,0.875793103448276
"156","06-04",0.000413793103448276,0.725551724137931
"157","06-05",0,0.603827586206897
"158","06-06",0,0.49351724137931
"159","06-07",0,0.394586206896552
"160","06-08",0,0.319034482758621
"161","06-09",0,0.258068965517241
"162","06-10",0,0.21451724137931
"163","06-11",0,0.179310344827586
"164","06-12",0,0.147448275862069
"165","06-13",0,0.117241379310345
"166","06-14",0,0.0846896551724138
"167","06-15",0,0.0575862068965517
"168","06-16",0,0.0309655172413793
"169","06-17",0,0.0153448275862069
"170","06-18",0,0.00424137931034483
"171","06-19",0,0.000103448275862069
"172","06-20",0,0
"173","06-21",0,0
"174","06-22",0,0
"175","06-23",0,0
"176","06-24",0,0
"177","06-25",0,0
"178","06-26",0,0
"179","06-27",0,0
"180","06-28",0,0
"181","06-29",0,0
"182","06-30",0,0
"183","07-01",0,0
"184","07-02",0,0
