"","DayMonth","delta_cnrmcclm","delta_cnrmrca","delta_ecearthcclm","delta_ecearthhirham","delta_ecearthracmo","delta_ecearthrca","delta_hadgemrca","delta_ipslrca","delta_mpicclm","delta_mpirca","Baseline"
"1","01-01",24.5601724137931,37.4543448275862,22.8568275862069,21.9251034482759,29.882,30.2164137931034,15.0419655172414,30.325,36.0574482758621,39.1060689655172,72.3126551724138
"2","01-02",25.5649310344828,38.0977931034483,24.0552413793103,23.2545172413793,30.070724137931,30.8420344827586,16.362,30.5541034482759,36.467724137931,39.7709655172414,73.8565862068966
"3","01-03",26.9420689655172,39.3746206896552,25.4114137931034,24.5488620689655,30.6667931034483,31.9780689655172,17.9795862068966,31.3794137931034,37.0187586206897,40.7454482758621,76.5205172413793
"4","01-04",27.3401724137931,39.7875862068965,26.0866896551724,25.4556206896552,30.5665517241379,32.3105862068966,18.7090689655172,31.3891034482759,37.1756206896552,41.0877586206897,78.9943793103448
"5","01-05",30.3117586206897,42.8085172413793,28.8360689655172,28.1073103448276,32.7792068965517,35.0008620689655,21.8623793103448,34.2474827586207,39.359724137931,43.798,80.3267586206897
"6","01-06",30.693724137931,43.2915172413793,29.5740689655172,28.8766206896552,32.5640344827586,35.3406206896552,22.8130689655172,34.0563448275862,39.5063103448276,44.2169655172414,84.4636206896552
"7","01-07",31.9787586206897,45.1514482758621,31.9305862068965,31.3502413793103,32.8328965517241,37.3521034482759,25.0715517241379,34.0091034482759,41.2427931034483,46.4394827586207,86.4613793103448
"8","01-08",33.6639655172414,47.5064482758621,34.0949310344828,33.59,33.1229655172414,39.4282413793103,27.4795517241379,33.3748620689655,42.8043103448276,48.6554482758621,87.9221034482759
"9","01-09",34.3491034482759,48.3456206896552,35.0310344827586,34.339724137931,32.996724137931,40.1478965517241,28.6651724137931,32.9069655172414,42.9507931034483,49.342275862069,88.6460344827586
"10","01-10",34.5656206896552,48.5596896551724,35.4947931034483,35.0607586206897,32.6355862068966,40.3473103448276,29.3624137931034,32.7331379310345,43.1066551724138,49.6071724137931,92.1998275862069
"11","01-11",38.8995862068966,52.9601034482759,39.6234137931034,39.1895862068965,36.019275862069,44.4734137931034,33.8438965517241,37.0636896551724,46.6473448275862,53.940275862069,95.919724137931
"12","01-12",39.8706206896552,54.7254137931034,41.5482413793103,41.0534827586207,36.3201034482759,46.4703103448276,35.7110689655172,36.6323793103448,48.2422413793103,55.924,98.101275862069
"13","01-13",38.9779310344828,54.6456896551724,41.5467931034483,41.3503793103448,35.0179655172414,46.4666206896552,35.612724137931,35.0387931034483,48.560724137931,56.0494137931034,97.4036206896552
"14","01-14",38.5870344827586,54.6649310344828,41.8855172413793,41.7568965517241,34.0561034482759,46.8547586206897,35.3952068965517,33.4971034482759,48.9096551724138,56.4046896551724,98.2807931034483
"15","01-15",37.810724137931,53.7395862068966,41.0382413793103,40.920275862069,33.0675862068966,45.9883448275862,34.5885172413793,32.4266551724138,47.8965862068966,55.4334137931034,98.9292413793103
"16","01-16",39.4076896551724,55.3749655172414,42.6134482758621,42.3363448275862,34.3568275862069,47.5123793103448,36.1508620689655,33.9946551724138,49.1617931034483,57.0201379310345,102.002068965517
"17","01-17",39.8365862068965,55.8748275862069,43.1968620689655,42.9118275862069,34.4333448275862,48.0433448275862,36.6994827586207,34.124,49.656275862069,57.6114137931034,102.064689655172
"18","01-18",40.5167931034483,56.8260689655172,44.4291379310345,44.0958275862069,34.5336551724138,49.2001724137931,37.7652413793103,34.2786896551724,50.5620344827586,58.8501034482759,104.952931034483
"19","01-19",40.2011379310345,56.394,44.0413103448276,43.8284482758621,34.1644827586207,48.7759655172414,37.3684827586207,33.9572413793103,50.2245517241379,58.4444137931035,107.185172413793
"20","01-20",40.6543793103448,57.1824827586207,44.9633448275862,44.8231034482759,34.349275862069,49.5814482758621,38.168724137931,34.1688620689655,51.0980689655172,59.4378275862069,114.318620689655
"21","01-21",41.5856896551724,58.6891724137931,46.5579655172414,46.3665862068965,34.6215172413793,51.2655862068966,39.756,34.4838965517241,52.3527931034483,61.181,118.143965517241
"22","01-22",44.0451379310345,60.7107931034483,48.4621724137931,48.1654137931034,36.4344827586207,53.134724137931,41.8901724137931,35.7919655172414,53.8518965517241,63.155,120.18024137931
"23","01-23",45.2108965517241,62.7051379310345,50.7714137931034,50.7045172413793,37.0610344827586,55.3785517241379,43.6538275862069,36.5726551724138,56.1401034482759,65.8412068965517,121.407137931034
