"","fut","CNRM_CCLM","CNRM_RCA","EC.EARTH_CCLM","EC.EARTH_HIRHAM","EC.EARTH_RACMO","EC.EARTH_RCA","HADGEM_RCA","IPSL_RCA","MPI_CCLM","MPI_RCA"
"1",2071-01-01,1.74016666666666,3.05,-0.15,4.95,-10.4700303030303,1.45,7.25,9.55,-5.18654096228868,-2.71666666666667
"2",2071-01-02,0.183333333333333,1.83033333333333,-1.18333333333333,0.15,-17.5717661691542,2.4,2.45,8.55,-1.7,-1.25
"3",2071-01-03,1.35,3.85,-0.75,-0.35,-4.425,2.8,0.65,3.95,0.25,1.15
"4",2071-01-04,1,2.95,-0.95,-2.55,-2,5.65,5.95,1.05,-2.25,1.15
"5",2071-01-05,-2.58333333333333,-1.15,-0.75,-3.25,-5.55,6.95,5.55,-0.25,-3.75,3.05
"6",2071-01-06,0.35,0.25,-0.15,-2.95,-9.43286363636364,3.95,4.65,3.25,-1.7,2.15
"7",2071-01-07,2.6,4.25,1.25,2.05,-3.35,2.6,2.75,3.65,0.75,4.45
"8",2071-01-08,2.91666666666667,3.95,1.25,-4.05,-0.55,-0.35,3.25,7.45,2.75,5.41666666666667
"9",2071-01-09,2.45,3.65,2.4,-2.35,0.85,-1.45,4.25,3.65,6.61749156355456,7.81666666666667
"10",2071-01-10,2.6,2.45,2.75,2.95,-0.35,3.65,6.05,5.55,5.65,6.44595375722546
"11",2071-01-11,2.15,3.65,1.95,1.05,-2.15,5.95,5.65,7.05,0.65,1.45
"12",2071-01-12,2.45,3.65,4.65,3.35,0.15,1.25,6.61666666666667,3.95,-2.58333333333333,-1.4
"13",2071-01-13,3.35,5.7,4.95,1.89016666666666,2.4,5.41666666666667,2.95,8.68333333333333,-3.35,-2.05
"14",2071-01-14,2.98333333333333,5.7,2.15,-0.75,0.75,3.85,6.9,8.25,-2.35,-1.55
"15",2071-01-15,5.08333333333333,4.45,2.45,-1.35,1.83033333333333,4.25,8.65,3.05,-0.95,-1.05
"16",2071-01-16,4.35881458966567,5.15,5.05,-0.55,1.83033333333333,5.55,5.75,6.61666666666667,0.85,-1.85
"17",2071-01-17,1.89016666666666,2.4,3.25,-1.95,-1.85,6.05,7.45,10.35,-1.05,-6.5375
"18",2071-01-18,2.35,4.15,3.85,1.35,-2.65,3.35,5.65,7.81666666666667,-3.85,-10.3509298245614
"19",2071-01-19,1.45,4.55,2.45,2.95,-4.76428571428571,2.15,1.74016666666666,4.05,-5.59616384915473,-7.6
"20",2071-01-20,0.183333333333333,1.83033333333333,1.25,-1.05,-3.45,2.15,1.45,3.85,-8.41666666666667,-5.28333333333333
"21",2071-01-21,2.45,4.05,1.83033333333333,-0.616666666666667,-1.25,1.45,3.35,2.75,-1.85,0.85
"22",2071-01-22,2.75,2.95,4.15,1.95,-1.56518987341768,4.95,0.75,0.85,4.65,3.75
"23",2071-01-23,2.85,2.25,4.05,4.05,-6.85,4.8,-0.35,-0.35,6.68498312710912,4.55
"24",2071-01-24,1,-0.15,6.61666666666667,5.23253094910595,-12.2822388059702,6.95,-2.15,2.45,3.35,2.45
"25",2071-01-25,1.83033333333333,1.83033333333333,3.15,1.83033333333333,-4.97857142857143,2.4,-2.35,3.45,5.45,4.65
"26",2071-01-26,2.75,3.25,4.25,-2.65,-0.683333333333333,5.85,-0.0166666666666667,2.45,4.05,1.65
"27",2071-01-27,1.83033333333333,1.74016666666666,2.25,-4.3,-1.45737327188938,2.15,-1.35,2.6,4.55,2.95
"28",2071-01-28,1.45,1.15,-1.11666666666667,-5.63333333333333,-1.45737327188938,-0.483333333333333,5.01666666666667,3.85,5.01666666666667,3.85
"29",2071-01-29,1.45,1.15,-1.75,-3.05,0.55,-0.65,2.45,4.05,4.95,3.75
