"","out","CNRM_CCLM","CNRM_RCA","EC.EARTH_CCLM","EC.EARTH_HIRHAM","EC.EARTH_RACMO","EC.EARTH_RCA","HADGEM_RCA","IPSL_RCA","MPI_CCLM","MPI_RCA","Observed"
"1",1971-01-01,3.83333333333333,6.4,0.1,0,0,6.1,0,7.7,0.2,0.2,0
"2",1971-01-02,0,0,0,0,0,0,2.35,20.6623536566824,20.4177962962963,13.9191693290735,0
"3",1971-01-03,0,0,0,0,0,2.8,5.1,3.6,29.5931782135824,15.0148264984227,0
"4",1971-01-04,0,0,14.1157575757575,0,0.7,11.9129346314326,0,3.76666666666667,0,0.4,0.2
"5",1971-01-05,48.7930747509768,7,0.1,14.8034852546917,0,0,0,1.8,4.925,0,0.1
"6",1971-01-06,0.2,1.8,0,34.2765935269175,0,0,0.2,0.1,0.4,1,0
"7",1971-01-07,0,1.4,0,0.3,0,0,8.2,4.03333333333333,15.036111111111,15.4526813880126,5.7
"8",1971-01-08,0.0666666666666667,0.2,0,1.72516666666661,1.72516666666661,0,0.5,11.4,8.28571428571428,8.2,32.2
"9",1971-01-09,0.2,0.2,7.2,2.11749999999997,2.4,4.43333333333333,4.3,1.91749999999997,0.1,0,4.2
"10",1971-01-10,18.7745714285714,0.7,0.2,7.36666666666667,20.0517574683212,0,2.90216666666665,0,0,0,2.8
"11",1971-01-11,21.3636363636364,18.6516904761904,0.025,7.61666666666667,0,0.1,1.87833333333332,0,2.4,5.13333333333333,0
"12",1971-01-12,0,6,2.65,4.8,2.4,1.2,3.00433333333331,0,14.8433333333332,18.3752083333333,0
"13",1971-01-13,2.35,0,18.7167450980392,0.2,0,2,7.7,0,0,0,0
"14",1971-01-14,1.5,0,23.665,12.1,4.7,9.6,0,0,18.3119607843137,0.4,0
"15",1971-01-15,0,0,0,0,0.2,0,0,0,5,1,0
"16",1971-01-16,1.55011111111107,0.6,0,17.2071428571429,0.15,0,0,0,0,0,0
"17",1971-01-17,6.1,0.1,20.1571667168826,13.1,5.4,3.60109890109892,0,0,0,0,0.3
"18",1971-01-18,3.9,5.3,0,9.90450281425891,1,0.1,14.043,0,0.4,0,2.3
"19",1971-01-19,13.6,6.7,4.775,10.0030018761726,9.85,7,0,0,0.7,0,2
"20",1971-01-20,0,0.2,6.3,8.5,2.9362222222222,12.8974971983564,2.35,0.1,5.13333333333333,16,20.9
"21",1971-01-21,0,0,2.11749999999997,8.7,9.7625,0.2,15.8347619047619,0.1,0.7,0,11.3
"22",1971-01-22,1,0.2,30.0267055819044,16.7428571428571,0.1,29.2964,0.6,10.4625,0,0,2.8
"23",1971-01-23,20.7590909090909,15.1716180371353,9.9375,5.1,0,5.56,5.8,3.00433333333331,0.2,15.3432176656151,0.8
"24",1971-01-24,2.7,13.8559566676838,1.57516666666661,0.95,0,1.5,3.7,0,1.87833333333331,3.8,13.8
"25",1971-01-25,0,0,3.2681111111111,0,2.5,20.4129607843137,2.6,0,16.7583333333333,18.6977708333333,10.7
"26",1971-01-26,0,0,15.6144444444444,0.2,34.2933103176687,10.2,1.95666666666663,0,21.8,0.4,11.7
"27",1971-01-27,0,0,0.4,0.2,9.2,8.4,7,0,15.3252777777777,18.4827291666666,0.5
"28",1971-01-28,0,0,0.1,0,4.6,0,1.57516666666661,0,3.8,10.7,0
"29",1971-01-29,0.1,0.1,2.3,0,0,0,0,4.16666666666667,2.8,0.15,0
"30",1971-01-30,1.5,0.15,0,0,0.1,0.2,0,1.72516666666661,0.9,7.5,0
"31",1971-01-31,0,0,12.5090909090909,0,0,6.3,0,0.2,7.95,0,17.4
"32",1971-02-01,0,0,3.7,0,0,3.27107490636707,0,0,0.1,0,1.9
"33",1971-02-02,3.5,3.83333333333333,0.7,0,25.696654746799,0.2,0,16,0,0,0
"34",1971-02-03,34.7302403388589,7.7,0,0,0,0,0.6,32.585958485796,11.7818181818182,0.4,2.9
"35",1971-02-04,1.55011111111107,44.2311910408431,15.3252777777777,0,1,9.5,0.2,7.55714285714286,24.7,6.325,0
"36",1971-02-05,24.0449459631279,7,0,0,0,0.3,0,6.575,14.8433333333332,26.3875,0
"37",1971-02-06,4.4,10.4625,14.7393939393939,0.1,0,8.5,0,29.2051854168053,0.0666666666666667,0.55,0
"38",1971-02-07,0,4,7.2,0,0,10.2,0,3.00433333333331,7.1,0.55,0
"39",1971-02-08,4.16666666666667,19.0203333333333,0.8,0,0.2,9.7,0,4.4,0,0,0
"40",1971-02-09,0.6,4.775,4.775,0.1,0.4,2.6,0,0,0,15.5621451104101,0
"41",1971-02-10,20.6727272727273,2.5,5.1,0,0,11.7043115438109,0,0.8,0,6.575,0
"42",1971-02-11,1.8,0,51.6505804493017,0,0,43.5228458861675,0.1,17.0768072289156,3.8,0.2,0.1
"43",1971-02-12,9.85,10.725,0,0.2,0,7.36666666666667,1.05,4.775,2.9362222222222,2.33657056145681,4
"44",1971-02-13,0,8.8,0.1,0.1,0,0.1,10.6805491990847,12.7222222222222,2.3,0,27.3
"45",1971-02-14,0,0.6,2.8681111111111,0,0,4.3,0,0.7,0,2.69298454221169,21.3
"46",1971-02-15,0,0,47.0159459623557,0,6.1,48.8024818774717,0,6.9,1.87833333333331,0,19.4
"47",1971-02-16,0,0,20.0902941649091,0,0,4.2,0,11.8222222222222,0,0,53.7
"48",1971-02-17,0,0,4.7,0,0.7,13.9279343474779,0,0,0,0,42.2
"49",1971-02-18,0,5.7,13.9078787878788,0,0,25.996,0,0.1,0,0,17.6
"50",1971-02-19,18.7745714285714,10,10.1125,0,0,47.7465546792108,0,0,0.4,0,3.9
"51",1971-02-20,5.4,10.4625,3.8,0,0,0.55,0,0,1.36666666666667,0,0
"52",1971-02-21,5,10.1,4.3,0,0.2,1.72516666666661,0,0,0,0,9.8
"53",1971-02-22,2.7,8.1,0.5,6.8,0.5,14.4771737389911,0,0.2,0,1.4,2.9
"54",1971-02-23,0.4,0,0,7.1,13.5777777777778,0,0.6,1.1,0,10.9,0
"55",1971-02-24,3.00433333333331,0,0,0.6,0.1,0,0,8.03333333333333,0.5,1.1,0
"56",1971-02-25,1.60022222222215,0.4,0,0,0,0,3.30108333333333,1.3,3.10324999999998,3.85,0
"57",1971-02-26,26.1822985355829,24.1989106753813,0.8,5.98376722817767,5.2,0,0.1,0,0.2,3.2681111111111,0
"58",1971-02-27,2.35,0.0666666666666667,0.7,4.9,17.3,0.4,0,0,0,5.76832412523024,0
"59",1971-02-28,0,0,1.72516666666661,2.7,2.4,0,0,1.57516666666661,0,0,0
"60",1971-03-01,0,0,1.5,10.1015009380863,2.8,1.9,0.2,4.3,0,0,0
"61",1971-03-02,0,0,4.2,0,4.9,2.35,14.7289999999999,0.7,0,0,0
"62",1971-03-03,0,0,0.025,0,0,0,5.2,0.2,0,0,0.4
"63",1971-03-04,0,0,0,0,0,0,1.95666666666663,0,0,0,0
"64",1971-03-05,0.1,3.1362222222222,0,0,12.9666666666667,0,2.6,0.1,2.03499999999995,0.55,0
"65",1971-03-06,0.2,2.65,0,0,0.7,0,4.03333333333333,7.41428571428571,0.4,3.4,0
"66",1971-03-07,0.3,0.1,0,0,0,0,11.2645367412141,0.2,0,0.9,0
"67",1971-03-08,0,0,0,0,0.2,0,6.7,0,0.5,3.00433333333331,0
"68",1971-03-09,0.3,0.1,0,0,0,0,0,0,0,0,0.1
"69",1971-03-10,2.5,4.56666666666667,0,0,0,0,0,0,21.2,19.252417683281,0
"70",1971-03-11,7.2,13.2462984723854,0,0,0,0,0,0.1,4.775,9.0625,1.3
"71",1971-03-12,46.0772239414397,41.6743333333332,0,0,6.3,0,0,0,2.8,0,1.3
"72",1971-03-13,7.78333333333333,2.9362222222222,0,0,0,0,0.4,2.11749999999997,0,0,11.5
"73",1971-03-14,9.26666666666667,2.08999999999996,1.3,0,0.2,2.8,11.376357827476,8.03333333333333,0,0,0
"74",1971-03-15,1,5.3,0.2,6.16753445635535,0.2,0.9,5.6,0,0,0,3.8
"75",1971-03-16,0.3,0,0.4,0,0,0.3,0,0,0.4,0,4.1
"76",1971-03-17,2.6,0,0,0,0,0.2,1.65033333333322,0,0.15,0.1,22.3
"77",1971-03-18,3.9,4.56666666666667,0.9,0.9,0,0.1,3.83333333333333,0,0.1,5.62099447513815,3.5
"78",1971-03-19,0,0,0,0,0,0,0,0,0.1,0,6.6
"79",1971-03-20,0,0,0,0,0,0,0,0.1,0,0,29.8
"80",1971-03-21,0.1,0,0,0.2,0,0,0,0,0,0,0
"81",1971-03-22,3.7,0,0,0.4,0,0,0,0,0,0,0
"82",1971-03-23,0,0,0,0.5,0,0,0,0,0,0.1,0
"83",1971-03-24,0,0,0,0,0,0,0,0,6.7,2.69298454221169,4.1
"84",1971-03-25,0,0,0.025,0,0,0,0,0,7.78333333333333,13.9191693290735,2.8
"85",1971-03-26,2.2,0,0,0,0,0,0,1.72516666666661,8.9,7.6,0
"86",1971-03-27,23.8256198347109,0,0,0,0,0.1,0,0,12.4181818181818,13.7,0
"87",1971-03-28,8.54285714285714,0,0,0,0,0,0,0,5.64,4.16666666666667,0
"88",1971-03-29,0.5,0,0,0,0,0,0,0.6,1.43333333333333,7.03333333333333,0
"89",1971-03-30,0,0,0,0,0,0,0,0,5.56,0.1,0
"90",1971-03-31,0.0666666666666667,0.0666666666666667,0.025,0,0,0,0,0,0,0,0
"91",1971-04-01,4.9,1.8,1.57516666666661,0,5.3,2,0,0,0,0,0.7
"92",1971-04-02,23.7159567705023,8.2,0.4,0,13.0888888888889,0.2,0,0,0,0,5.7
"93",1971-04-03,7.62857142857143,3.4,0.2,0,20.8054457292055,4.925,0,5.5,0,0,0.2
"94",1971-04-04,24.1546090273365,40.6396621004565,1,1.2,0,1.65033333333322,0,0.4,0.6,1.4,0
"95",1971-04-05,0.3,0.2,0,0,0,0,0,1.05,6.1,8.1,0
"96",1971-04-06,0,0,0,1,0,0,0,0,1.2,0.25,0
"97",1971-04-07,0,0,0,0,0,0,0.1,0,22.8791666666667,14.9053627760252,1.9
"98",1971-04-08,0,0,0,0,0,0.1,2.03499999999995,0,4.33227783452523,0.4,5.6
"99",1971-04-09,0,0,0,0.6,0.2,0,7.8,6.325,3.8,0.15,0
