"","out","CNRM_CCLM","CNRM_RCA","EC.EARTH_CCLM","EC.EARTH_HIRHAM","EC.EARTH_RACMO","EC.EARTH_RCA","HADGEM_RCA","IPSL_RCA","MPI_CCLM","MPI_RCA","Observed"
"1",1971-01-01,-2.05,-0.55,1.45,-7.15,-9.33857575757576,1.95,-9.68931972561486,-1.25,-2.71666666666667,-2.85,-9.05
"2",1971-01-02,-3.65,-4.23939393939394,-0.483333333333333,-7.07222222222222,-14.7003084577114,-0.65,-8.71801619433198,0.45,-0.25,-0.05,-9.55
"3",1971-01-03,-1.55,-6.21666666666667,-1.45,-10.258382029632,-15.7582139303483,-1.25,3.45,-0.416666666666667,2.6,2.6,-8.65
"4",1971-01-04,-3.42077363896847,-5.28333333333333,-0.25,-11.0514997610323,-2.15,0.25,-2.85,2.15,1,2.15,-2.95
"5",1971-01-05,1.74016666666666,-1.95,-7.24,-3.97,4.51666666666667,-6.45,-5.51666666666667,-0.35,1.74016666666666,-0.15,-0.15
"6",1971-01-06,-0.416666666666667,-0.15,-9.72620370370371,-1.25,1.25,-8.47307692307692,-8.86646423751687,-2.85,-0.483333333333333,-1.75,-7.25
"7",1971-01-07,-0.9,0.7,-7.24,-3.25,-0.55,-5.86666666666667,-1.62860262008733,-0.65,2.6,2.35,-7.65
"8",1971-01-08,3.35,4.95,-12.0185032679739,-3.65,3.45,-10.2481764705882,-0.15,0.75,1.35,1.95,0.95
"9",1971-01-09,1.25,4.45,-5.63333333333333,-2.35,4.45,-5.98333333333333,-1.86727748691096,0.75,-0.25,-2.25,4.35
"10",1971-01-10,1.35,2.35,-2.55,-0.55,1.83033333333333,-1.85,-2.35,-1.55,-1.35,-3.85,4.55
"11",1971-01-11,1.89016666666666,1.05,-2.75,2.28333333333333,-7.87,-1.95,-0.0833333333333333,-5.75,-0.483333333333333,-0.75,3.25
"12",1971-01-12,-0.25,-0.75,3.55,2.75,-6.33333333333333,4.25,0.65,-8.44285714285714,1.74016666666666,0.55,1.45
"13",1971-01-13,0.183333333333333,-2.95,1.89016666666666,0.05,-1.56518987341768,1.55,-0.35,-8.83571428571429,0.45,-1.25,0.15
"14",1971-01-14,1.05,-4.52348484848484,2.85,0.95,0.45,3.55,-6.45,-11.6377513828053,-1.35,-2.95,-1.85
"15",1971-01-15,-3.85,-3.15,-6.1,-1.11666666666667,-0.483333333333333,-6.1,-6.55,-16.1053857467148,-2.05,-2.85,-2.95
"16",1971-01-16,-3.91666666666667,-4.3340909090909,-11.7206895424837,2.35,-3.45,-10.3701960784314,-5.63333333333333,-17.8535904978099,-6.95,-4.55,-1.15
"17",1971-01-17,-2.05,-1.75,-0.55,3.45,-3.45,-0.25,-5.98333333333333,-19.2133053042172,-3.55,-6.8,-0.75
"18",1971-01-18,-1.45,-1.85,0.85,3.75,2.8,0.95,-2.58333333333333,-20.8643875691403,-2.05,-7.15,1.35
"19",1971-01-19,2.85,1.74016666666666,-0.483333333333333,3.75,0.45,1,-6.21666666666667,-21.35,-2.95,-6.8,2.25
"20",1971-01-20,1.25,-0.55,-3.05,2.35,-0.416666666666667,-1.45,-5.98333333333333,-17.4651005531221,-2.71666666666667,-2.05,1.65
"21",1971-01-21,-2.58333333333333,-2.58333333333333,-5.28333333333333,3.05,1.45,-5.4,-0.25,-13.6773235924162,-4.55,-3.75,1.55
"22",1971-01-22,-3.71666666666667,-3.65,0.45,1.25,-0.15,0.65,-0.55,-6.75,-9.4205652173913,-8.25,0.45
"23",1971-01-23,1.83033333333333,-0.15,1.55,0.35,-9.15,1.83033333333333,-2.85,-1.05,-11.1341449275362,-5.98333333333333,0.45
"24",1971-01-24,1.74016666666666,1.15,1.05,4.8,-20.8966119402985,0.65,-1.70720524017466,-1.55,-6.24631425800194,0.35,0.75
"25",1971-01-25,-0.05,-1.55,0.7,3.75,-9.07142857142857,1.05,0.95,-6.75,-1.7,-0.95,2.15
"26",1971-01-26,-3.42077363896847,-2.25,-1.05,3.65,-3.45,-0.25,-2.15,-9.5691701468409,-0.483333333333333,-2.05,2.85
"27",1971-01-27,-5.55,-6.33333333333333,-2.95,4.25,-2,-0.95,-4.35,-10.7428465579954,-0.416666666666667,-0.85,0.25
"28",1971-01-28,-6.68333333333333,-4.52348484848484,-2.95,2.35,-3.45,-6.68333333333333,-4.05,-6.65,0.55,0.65,-0.65
"29",1971-01-29,-6.1,-5.4,-3.89,-0.55,-7.96,-10.9802941176471,-11.0428248285093,-0.416666666666667,-1.7,-1.75,-2.15
"30",1971-01-30,-3.91666666666667,-4.14469696969697,-7.96,3.35,-11.1300454545455,-13.6225175438597,-11.3463839242894,0.25,-3.25,-3.05,-4.65
"31",1971-01-31,-4.75,-6.60555555555556,-9.84144444444444,3.65,-14.3980497512438,-6.8,-11.3463839242894,-1.45,-0.95,-1.95,-5.45
"32",1971-02-01,-8.73642745709828,-7.69,-12.0185032679739,-1.55,-6.95,-1.55,-10.1057828341978,-3.75,-0.25,-7.225,-6.45
"33",1971-02-02,-4.45,-0.65,-10.1871666666667,0.45,0.55,-2.3,-12.123363813665,-0.95,-1.45,-8.15,-8.05
"34",1971-02-03,-2.05,-1.35,-6.45,3.15,0.35,-10.1261568627451,-8.86646423751687,3.35,-4.25,-5.05,-2.15
"35",1971-02-04,0.65,1.15,-1.45,3.15,0.45,0.25,-6.65,1.74016666666666,2.15,2.4,2.85
"36",1971-02-05,0.35,-0.45,-1.65,2.21666666666667,-2.35,-1.05,-8.5695681511471,1.83033333333333,2.28333333333333,2.35,4.05
"37",1971-02-06,0.35,-0.216666666666667,-2.65,3.91666666666667,-7.78,-1.75,-5.86666666666667,1.83033333333333,1,0.85,3.85
"38",1971-02-07,-2.05,0.65,0.75,3.25,-6.55,0.75,-7.23181818181818,2.15,-0.35,-1.11666666666667,3.95
"39",1971-02-08,-0.483333333333333,1.15,-0.483333333333333,4.15,-3.55,0.7,-8.19844804318489,2.6,-4.35,-3.05,4.05
"40",1971-02-09,0.7,1.35,-0.15,4.35,-3.85,0.25,-9.01491228070175,0.35,-6.65,-3.15,4.55
"41",1971-02-10,2.15,1.35,-0.95,5.3150618982119,-8.44285714285714,0.35,-0.95,-0.416666666666667,-7.4875,-1.85,1.95
"42",1971-02-11,0.65,-0.65,2.75,2.85,-10.7528939393939,5.15,-3.89,1.95,-6.45,-1.75,0.85
"43",1971-02-12,1.05,-0.75,1.74016666666666,2.45,-7.78,2.15,-5.63333333333333,3.45,-2.85,-3.65,2.15
"44",1971-02-13,-2.35,1.95,0.65,3.05,-4.55,-0.95,-4.15,5.05,-5.83894277400581,-5.75,3.55
"45",1971-02-14,-3.53538681948423,-0.85,0.75,5.05,-0.616666666666667,-1.25,-4.75,3.45,-8.41666666666667,-3.51666666666667,2.35
"46",1971-02-15,-3.78333333333333,-0.85,2.25,2.95,0.75,3.95,-7.96818181818182,0.45,-9.05833333333333,-5.16666666666667,0.05
"47",1971-02-16,-5.65,-3.05,-0.05,2.45,2.25,0.55,-12.026241327493,1.25,-8.325,-10.4601052631579,1.05
"48",1971-02-17,-7.96,-8.66875,-2.075,2.85,2.75,-0.55,-10.9387090513636,-1.55,-8.50833333333333,-12.4102222222222,0.75
"49",1971-02-18,-5.15,-8.05,-0.75,-0.683333333333333,3.05,0.45,-12.5118537583528,-4.88333333333333,-8.41666666666667,-11.5892222222222,0.15
"50",1971-02-19,0.35,2.15,-0.75,-1.11666666666667,-0.25,1.55,-9.01491228070175,-4.05,-7.6,-11.498,0.25
"51",1971-02-20,3.55,4.95,0.55,2.35,-0.55,0.95,-9.27285661703196,-5.47,-4.65,-11.5892222222222,-2.85
"52",1971-02-21,3.55,4.95,-0.05,2.8,1.74016666666666,1.05,-10.8345932742178,-5.19,-6.65,-9.58670175438597,-3.35
"53",1971-02-22,3.65,3.45,-4.21666666666667,0.15,1.95,1.89016666666666,-11.0428248285093,-8.44285714285714,-7.825,-6.21666666666667,-0.25
"54",1971-02-23,2.85,0.95,-6.45,-2.75,2.6,-1.05,-5.63333333333333,-3.65,-7.6,-2.85,-1.65
"55",1971-02-24,1.05,-1.55,-7.87,-6.52777777777778,1.83033333333333,-4.15,-6.95,-2.85,-6.45,-2.25,-0.65
