"","out","CNRM_CCLM","CNRM_RCA","EC.EARTH_CCLM","EC.EARTH_HIRHAM","EC.EARTH_RACMO","EC.EARTH_RCA","HADGEM_RCA","IPSL_RCA","MPI_CCLM","MPI_RCA","Observed"
"1",1971-01-01,4,6.43999999999995,0.116666666666606,0,0,6.2,0,7.81428571428571,0.2,0.2,0
"2",1971-01-02,0,0,0,0,0,0,2.5,20.7919540229885,20.6263157894737,14.02,0
"3",1971-01-03,0,0,0,0,0,2.9,5.275,3.6,29.9075593952484,15.21,0
"4",1971-01-04,0,0,14.2272727272727,0,0.8,12.0222222222222,0,3.8,0,0.4,0.2
"5",1971-01-05,48.6557653061223,7.1,0.1,15,0,0,0,1.9,5.1,0,0.1
"6",1971-01-06,0.2,1.9,0,34.155303030303,0,0,0.3,0.1,0.5,1,0
"7",1971-01-07,0,1.4,0,0.3,0,0,8.4,4.1,15.3538461538462,15.65,5.7
"8",1971-01-08,0.0666666666666667,0.2,0,1.8,1.8,0,0.7,11.5,8.4,8.3,32.2
"9",1971-01-09,0.3,0.3,7.3,2.2,2.6,4.53333333333333,4.4,2,0.1,0,4.2
"10",1971-01-10,19.1866666666667,0.8,0.2,7.42,20.5,0,3.1,0,0,0,2.8
"11",1971-01-11,21.6090909090909,18.8822857142857,0,7.78,0,0.1,2,0,2.5,5.275,0
"12",1971-01-12,0,6.06551724137929,2.75,4.93333333333333,2.6,1.25,3.2,0,15.1846153846154,18.62,0
"13",1971-01-13,2.45,0,18.875,0.2,0,2.01428571428574,7.98333333333333,0,0,0,0
"14",1971-01-14,1.5,0,23.95,12.2947368421053,4.93333333333333,9.7,0,0,18.6625,0.4,0
"15",1971-01-15,0,0,0,0,0.3,0,0,0,5.2,1,0
"16",1971-01-16,1.56666666666667,0.7,0,17.4,0.166666666666606,0,0,0,0,0,0
"17",1971-01-17,6.2,0.1,20.2739130434783,13.2583333333333,5.58,3.72173913043479,0,0,0,0,0.3
"18",1971-01-18,4.1,5.425,0,10,1,0.116666666666606,14.26,0,0.5,0,2.3
"19",1971-01-19,13.9,6.8,4.8,10.1,10.075,7.1,0,0,0.8,0,2
"20",1971-01-20,0,0.2,6.3,8.65714285714286,3.2,13.02,2.5,0.1,5.3,16.2,20.9
"21",1971-01-21,0,0,2.1,8.82857142857143,10,0.2,16.0428571428571,0.1,0.8,0,11.3
"22",1971-01-22,1,0.2,30.0622083981338,16.9,0.1,29.3794871794872,0.75,10.5,0,0,2.8
"23",1971-01-23,20.9727272727273,15.375,10,5.275,0,5.66,5.9,3.2,0.2,15.54,0.8
"24",1971-01-24,2.8,14.0090909090909,1.5,0.95,0,1.5,3.9,0,1.96666666666667,3.9,13.8
"25",1971-01-25,0,0,3.3,0,2.75,20.5352941176471,2.75,0,17.0166666666667,18.96,10.7
"26",1971-01-26,0,0,15.7416666666667,0.2,34.6627202643172,10.2204819277109,2.1,0,22.0684210526316,0.5,11.7
"27",1971-01-27,0,0,0.5,0.2,9.5,8.6,7.175,0,15.6076923076923,18.7333333333333,0.5
"28",1971-01-28,0,0,0.1,0,4.8,0,1.6,0,3.95,10.7571428571429,0
"29",1971-01-29,0.116666666666606,0.1,2.3,0,0,0,0,4.2,2.9,0.166666666666606,0
"30",1971-01-30,1.5,0.166666666666606,0,0,0.1,0.2,0,1.8,0.9,7.54,0
"31",1971-01-31,0,0,12.6181818181818,0,0,6.4,0,0.25,8.06666666666667,0,17.4
"32",1971-02-01,0,0,3.7,0,0,3.47692307692315,0,0,0.1,0,1.9
"33",1971-02-02,3.6,4,0.75,0,26.3160349854229,0.25,0,16.2,0,0,0
"34",1971-02-03,34.7318702290076,7.9,0,0,0,0,0.75,32.42,11.9755725190841,0.5,2.9
"35",1971-02-04,1.56666666666667,44.1023148148147,15.4666666666667,0,1,9.6,0.3,7.64285714285714,25.2,6.3,0
"36",1971-02-05,24.4857142857143,7.1,0,0,0,0.3,0,6.55999999999996,15.1846153846154,26.7509138381201,0
"37",1971-02-06,4.5,10.6,14.8818181818182,0.1,0,8.7,0,29.2466666666667,0.0666666666666667,0.6,0
"38",1971-02-07,0,4.2,7.3,0,0,10.2204819277109,0,3.2,7.1,0.6,0
"39",1971-02-08,4.3,19.2319999999999,0.8,0,0.2,9.78674698795181,0,4.4,0,0,0
"40",1971-02-09,0.7,4.9,4.8,0.1,0.5,2.7,0,0,0,15.76,0
"41",1971-02-10,20.8818181818182,2.6,5.275,0,0,11.8,0,0.8,0,6.55,0
"42",1971-02-11,1.9,0,51.6767152398299,0,0,43.1530623712306,0.1,17.3846153846154,3.95,0.2,0.1
"43",1971-02-12,10,10.9,0,0.25,0,7.5,1.1,4.8,3.1,2.4,4
"44",1971-02-13,0,9,0.116666666666606,0.1,0,0.1,10.9,12.8440000000001,2.4,0,27.3
"45",1971-02-14,0,0.7,2.975,0,0,4.4,0,0.75,0,2.75,21.3
"46",1971-02-15,0,0,47.0457346690952,0,6.3,48.4799962539801,0,6.9,1.96666666666667,0,19.4
"47",1971-02-16,0,0,20.2130434782609,0,0,4.325,0,11.9153846153846,0,0,53.7
"48",1971-02-17,0,0,4.7,0,0.8,13.9935064935065,0,0,0,0,42.2
"49",1971-02-18,0,5.8,14.0090909090909,0,0,26.3423076923077,0,0.1,0,0,17.6
"50",1971-02-19,19.1866666666667,10.1285714285714,10.15,0,0,47.4146094774302,0,0,0.4,0,3.9
"51",1971-02-20,5.5,10.6,3.875,0,0,0.65,0,0,1.3,0,0
"52",1971-02-21,5.2,10.2142857142857,4.325,0,0.3,1.77500000000002,0,0,0,0,9.8
"53",1971-02-22,2.8,8.3,0.6,6.88333333333333,0.6,14.5545454545454,0,0.166666666666606,0,1.4,2.9
"54",1971-02-23,0.4,0,0,7.13333333333333,13.9,0,0.75,1.2,0,10.9857142857143,0
"55",1971-02-24,3.2,0,0,0.7,0.1,0,0,8.2,0.6,1.1,0
"56",1971-02-25,1.63333333333333,0.5,0,0,0,0,3.5,1.3,3.275,4,0
"57",1971-02-26,26.52,24.6318181818182,0.8,6,5.425,0,0.1,0,0.3,3.35,0
"58",1971-02-27,2.45,0.0666666666666667,0.75,5.06666666666667,17.8125,0.5,0,0,0,5.82,0
"59",1971-02-28,0,0,1.7,2.8,2.6,0,0,1.6,0,0,0
"60",1971-03-01,0,0,1.4,10.2,3,1.92857142857147,0.2,4.3,0,0,0
"61",1971-03-02,0,0,4.25,0,5.2,2.45,14.98,0.75,0,0,0
"62",1971-03-03,0,0,0,0,0,0,5.35,0.166666666666606,0,0,0.4
"63",1971-03-04,0,0,0,0,0,0,2.1,0,0,0,0
"64",1971-03-05,0.116666666666606,3.35,0,0,13.2888888888889,0,2.75,0.1,2.1,0.6,0
"65",1971-03-06,0.3,2.75,0,0,0.8,0,4.25,7.47142857142857,0.4,3.425,0
"66",1971-03-07,0.3,0.1,0,0,0,0,11.4952941176471,0.166666666666606,0,0.9,0
"67",1971-03-08,0,0,0,0,0.3,0,6.8,0,0.6,3.2,0
"68",1971-03-09,0.3,0.1,0,0,0,0,0,0,0,0,0.1
"69",1971-03-10,2.6,4.7,0,0,0,0,0,0,21.4368421052632,19.51,0
"70",1971-03-11,7.3,13.4111111111111,0,0,0,0,0,0.1,4.9,9.175,1.3
"71",1971-03-12,45.9295578231291,41.4837837837837,0,0,6.5,0,0,0,2.9,0,1.3
"72",1971-03-13,7.98333333333333,3.1,0,0,0,0,0.6,2.16666666666667,0,0,11.5
"73",1971-03-14,9.46666666666667,2.16666666666667,1.25,0,0.2,2.9,11.5941176470589,8.2,0,0,0
"74",1971-03-15,1,5.425,0.2,6.2,0.3,0.9,5.7,0,0,0,3.8
"75",1971-03-16,0.3,0,0.5,0,0,0.3,0,0,0.4,0,4.1
"76",1971-03-17,2.7,0,0,0,0,0.2,1.7,0,0.166666666666606,0.1,22.3
"77",1971-03-18,4.1,4.7,0.9,0.9,0,0.1,4.1,0,0.1,5.66,3.5
"78",1971-03-19,0,0,0,0,0,0,0,0,0.1,0,6.6
"79",1971-03-20,0,0,0,0,0,0,0,0.1,0,0,29.8
"80",1971-03-21,0.116666666666606,0,0,0.25,0,0,0,0,0,0,0
"81",1971-03-22,3.8,0,0,0.5,0,0,0,0,0,0,0
"82",1971-03-23,0,0,0,0.6,0,0,0,0,0,0.1,0
"83",1971-03-24,0,0,0,0,0,0,0,0,6.71666666666667,2.75,4.1
"84",1971-03-25,0,0,0,0,0,0,0,0,7.9,14.02,2.8
"85",1971-03-26,2.3,0,0,0,0,0,0,1.8,9.1,7.66,0
"86",1971-03-27,24.247619047619,0,0,0,0,0.1,0,0,12.6167938931298,13.8083333333333,0
"87",1971-03-28,8.74285714285714,0,0,0,0,0,0,0,5.74,4.3,0
"88",1971-03-29,0.6,0,0,0,0,0,0,0.7,1.4,7.05,0
"89",1971-03-30,0,0,0,0,0,0,0,0,5.66,0.1,0
"90",1971-03-31,0.0666666666666667,0.0666666666666667,0,0,0,0,0,0,0,0,0
"91",1971-04-01,5.06666666666667,1.9,1.5,0,5.5,2.01428571428574,0,0,0,0,0.7
