"","fut","CNRM_CCLM","CNRM_RCA","EC.EARTH_CCLM","EC.EARTH_HIRHAM","EC.EARTH_RACMO","EC.EARTH_RCA","HADGEM_RCA","IPSL_RCA","MPI_CCLM","MPI_RCA"
"1",2071-01-01,0,0,18.45,0,0.7,31.2641025641026,0,0,1.2,3.275
"2",2071-01-02,0,0.3,9.5,0.95,0,5.3,5.6,2.23333333333333,0.8,0.3
"3",2071-01-03,0.0666666666666667,2.5,0,15.1785714285714,0,1.4,0,2.1,0.166666666666606,1.6
"4",2071-01-04,0.95,2.23333333333333,0,21.5421052631579,5.82,4.25,32.3830188679245,0.1,15.1846153846154,30.7877221324718
"5",2071-01-05,0,0,0,6.1,12.55,0,4.93333333333333,4.6,0,0
"6",2071-01-06,0,0,0,10.1,28.6092624356776,0,8.15,3,6.63333333333333,7.3
"7",2071-01-07,0,0,4.6,7.05,8.9,20.2882352941176,4.6,17.6,16.3166666666667,21.2
"8",2071-01-08,6.5,24.5181818181818,3.2,0,32.1392795883362,1.5,17.8,0,3,10.5285714285714
"9",2071-01-09,38.917748091603,27.29,8.8,0,10.5285714285714,16.3866666666667,12.1949579831934,0,0,0.1
"10",2071-01-10,22.1545454545455,24.5181818181818,3.8,0,0.166666666666606,0.95,0,7.55714285714286,0.1,0
"11",2071-01-11,0,9.4,1.3,0,9.7,16.2933333333333,0,20.1105263157895,0,0
"12",2071-01-12,0,0.3,6.55,11.1,0,40.9435056746532,7.05,83.8186162870946,2.9,0.9
"13",2071-01-13,0,0.2,4.025,0,15.1846153846154,0,22.1,2.9,0,0
"14",2071-01-14,0.116666666666606,0.2,4.175,0.3,10.9857142857143,2.01428571428574,6.3,0.6,0,0.95
"15",2071-01-15,1.25217391304352,4.3,0.3,1.1,0.3,0.116666666666606,0,28.17,0,8.1
"16",2071-01-16,10,19.3355329949238,4.6,3.1,0.5,0,0,8,0,0
"17",2071-01-17,16.9246231155779,38.0032657657657,2.2,0.3,0,0.116666666666606,0,2.75,0,0
"18",2071-01-18,7.47142857142857,5.35,0.4,0,0.2,2.8,0,7.64285714285714,0,0
"19",2071-01-19,0,0.7,16.3076923076923,0.3,0,44.1215958044578,0,5.05945945945941,0,1.4
"20",2071-01-20,33.7171119592875,53.250744047619,22.95,4.15454545454554,0,52.4509833302116,0,0,0.6,0.9
"21",2071-01-21,0.65,0,2.975,46.0515645586297,0,4.9,1.7,0,4.25,8.76
"22",2071-01-22,1.56666666666667,0,0,52.1831851119894,0,13.57,21.2,8.5,0.95,11.52
"23",2071-01-23,0,0,6.55,3.6,0,20.8,1.7,3.7,0,0.1
"24",2071-01-24,26.52,7.78,0,15.7285714285714,0,0,14.62,13.9,0,0
"25",2071-01-25,0,0.1,0,3.8,0,0,16.6307692307692,0,0,0
"26",2071-01-26,8.82857142857143,11.3,0,0,0,0,40.4211267605633,0,0,0
"27",2071-01-27,9.8,34.6350225225225,0,0,0,0,27.4897959183674,0,0,1.3
"28",2071-01-28,9,17.7165714285714,0,0,0,0,3.2,0,0,5.5
"29",2071-01-29,0,0,0,21.7526315789474,1.4,0.116666666666606,0,0,0,0.3
"30",2071-01-30,1.31538461538487,0.1,8.4,0.6,3.5,7.3,73.2671680497925,0,6.2,13.35
"31",2071-01-31,0.5,0.2,1.5,3.4,1,3.33846153846158,73.2671680497925,6.9,2.6,7.05
"32",2071-02-01,0.8,24.5181818181818,0,0.2,10.7571428571429,0.5,17.0615384615385,9.4,0,7.05
"33",2071-02-02,0,0.7,0,0,8.5,0,10.8,0,0,26.4407310704961
"34",2071-02-03,0,0,4.5,0,15,0.9,28.9622641509434,15.7769230769231,0,1.4
"35",2071-02-04,2.45,14.2272727272727,0.1,0,27.2396501457727,4.4,5.06666666666667,4.2,0,3.1
"36",2071-02-05,0,22.4142857142857,0,1.9,0.1,15.1164179104477,0.75,50.808436853002,0.0666666666666667,8.76
"37",2071-02-06,0,10.2142857142857,0,0,0.9,0,4,4.7,4.9,10.8714285714286
"38",2071-02-07,0,0,0,3.1,4.175,0,15.65,7.64285714285714,3.8,6.8
"39",2071-02-08,0,0,0,0,16.0307692307692,0,0.75,16.1153846153846,1.2,0
"40",2071-02-09,7.1,0,0,0,22.2966386554622,0,11.4952941176471,0.25,6.3,1.1
"41",2071-02-10,0.95,1.5,0.4,8.82857142857143,0,0,0,0.7,7.4,3.5
"42",2071-02-11,0.3,0,7.98333333333333,0,0,1.77500000000002,23.3176470588236,0.1,25.4452012383901,0.7
"43",2071-02-12,0,0,0.4,0,3.3,0,0,11.9153846153846,8.23333333333333,0.1
"44",2071-02-13,0,7.2,3.125,0,0.55,0,24.8176470588236,1.9,33.4643225806452,0
"45",2071-02-14,0,0.6,0.3,17.7133333333333,0,0,8.52,0,0.3,3.9
"46",2071-02-15,0.65,9.1,0,4.5,0.9,0,14.26,0,15.4384615384615,11.24
"47",2071-02-16,0,0.166666666666606,0,14.9,0,0,13.9,23.9610619469027,0,2.2
"48",2071-02-17,0,0,0.4,7.54,0,2.9,11.6929411764707,1.7,0,0
"49",2071-02-18,0,0,11.3625,6.1,0,6.1,8.23333333333333,0,0,0
"50",2071-02-19,0,0,0,44.9444664031619,0,0,23.7588235294118,0,0,0.166666666666606
"51",2071-02-20,0,0,0,20.6176470588235,0,0,4.325,0,0,0.1
"52",2071-02-21,0,0,0,0,0,0,0,0.1,0,0
"53",2071-02-22,0,0.8,0,0,0,0,0,31.7666666666667,21.0157894736842,9.9
"54",2071-02-23,20.525,15.2833333333333,0,0,0.95,0,10.5,4.92972972972971,1.4,0.2
"55",2071-02-24,48.1281122448979,5.425,0,0,0,0,53.8669778699861,10.7,0,0
"56",2071-02-25,3.2,1.1,0,0,0,0,10.9,0,0,0
"57",2071-02-26,16.0931428571429,19.2319999999999,0,0,0,0,0,10.15,0.5,0
"58",2071-02-27,3.9,8.3,0,0,0,0,0,0.1,0,10.7571428571429
"59",2071-02-28,0.8,1.2,0,0,0,0,31.1811320754717,3.3,0,4.2
"60",2071-03-01,10.2,5.1,0,0.25,4.175,0,4.25,16.2,0,0
"61",2071-03-02,8.4,14.5545454545455,0,0.4,15.3538461538462,0,2.6,0,0,0
"62",2071-03-03,2.1,3.6,0,0.116666666666606,6.3,0,0,0,0,0.8
"63",2071-03-04,13.3,11.5,0,0,11.8,0.5,0,0,0,1.5
"64",2071-03-05,9.9,15.8333333333333,0,0,6.88333333333333,0,6.46666666666667,2.16666666666667,0,0
"65",2071-03-06,0,0,0,5.275,0.95,0,21.3,0.4,0,0.8
"66",2071-03-07,0,0,0,4.5,3,0,40.6551643192487,8.8,0,0
"67",2071-03-08,0,0.0666666666666667,0,7.3,3.4,1.6,28.3989795918367,0.6,0,0
"68",2071-03-09,0,0,0,3.89000000000003,0,0,1.6,13.636,0,0
"69",2071-03-10,0,0,9.2,2.2,0,6.6,5.8,15.4384615384615,9.7,0
"70",2071-03-11,0.4,0.75,0.116666666666606,2.1,4.6,0.8,11.9932773109245,10.5,14.6,0.4
"71",2071-03-12,1.5,0,0,17.2,0,0,2.3,13.504,0.1,0
"72",2071-03-13,0,0,0,7.54,0,0,31.1811320754717,4.2,0,0
"73",2071-03-14,0,0,0,2.5,0,0,12.4974789915967,0.1,0,0
"74",2071-03-15,0,2.1,0,3.5,0,0,3.5,0,0,0
"75",2071-03-16,0,0.1,0,0.8,0,0,0.1,2.3,0,0
"76",2071-03-17,0.3,8.8,0,0.6,0,0,2.4,50.5407867494823,0,0
"77",2071-03-18,2.45,1.3,0,0.95,0,0,0,13.504,0,0
"78",2071-03-19,0,0,0,1.2,3.58000000000004,0,0,0.95,0,0
"79",2071-03-20,0.0666666666666667,0.1,0.9,0.2,3.74000000000012,1.7,0,3.3,0,0
"80",2071-03-21,0,0,7,0,0,9.1,0.1,21.251724137931,0,0
"81",2071-03-22,0,0,5.35,0,22.1957983193277,4.9,0,1.2,20.8052631578947,8.3
"82",2071-03-23,0,0,1.2,0.6,23.5571428571429,0,0.3,0,8.31666666666667,6.55
"83",2071-03-24,1,1,2.2,1.8,4.175,0,1.8,0,0,0
"84",2071-03-25,0,0,0,3.2,0.3,2.1,10.4,0,0,0
"85",2071-03-26,5.6,0.75,0,0.116666666666606,0.55,5.58,0,0,0,0
"86",2071-03-27,1.63333333333333,0.0666666666666667,0.1,17.6,0,5.66,0,0,0,0
"87",2071-03-28,0,0,0,30.0770114942529,0,1.4,8.23333333333333,10.8,0,0
