"","fut","CNRM_CCLM","CNRM_RCA","EC.EARTH_CCLM","EC.EARTH_HIRHAM","EC.EARTH_RACMO","EC.EARTH_RCA","HADGEM_RCA","IPSL_RCA","MPI_CCLM","MPI_RCA"
"1",2071-01-01,0.4,-0.25,4.55,5.45,0.4,6.7,1.45,1.6,8.55,8.35
"2",2071-01-02,-4.25,-2.55,5.65,5.55,-0.45,4.75,1.75,2.35,2.3,4.08333333333333
"3",2071-01-03,2.15,1.55,1.95,6.35,-1.45,4.45,0.05,4.25,2.35,3.25
"4",2071-01-04,0.65,0.75,1.15,6.55,-0.372580645161281,1.85,1.55,1.65,3.85,6.35
"5",2071-01-05,-1.75,-2.05,0.35,5.31666666666667,0.4,-0.05,5.85,5.55,0.4,0.05
"6",2071-01-06,-3.225,-2.65,-1.55,4.08333333333333,1.15,-2.25,4.07631578947371,7.48333333333333,0.35,-0.25
"7",2071-01-07,-3.45,-3.375,0.15,1.55,2.68333333333333,0.75,7,8.35,6.35,7.25
"8",2071-01-08,0.45,0.35,0.4,-2.375,1.85,2.65,7.41666666666667,1.85,6.55,6.41666666666667
"9",2071-01-09,3.75,3.25,4.25,-2.525,1.98333333333333,5.51666666666667,7.35,-0.05,2.3,2.95
"10",2071-01-10,5.18333333333333,2.75,1.85,-2.675,-3.95,1.65,3.05,3.15,1.95,-0.95
"11",2071-01-11,7.02586206896553,4.25,5.65,-3.575,-1.85,5.35,3.05,7.75,0.95,-0.05
"12",2071-01-12,3.55,3.75,6.47258064516131,0.75,-0.516666666666667,7.35,4.55,8.35,0.35,-0.55
"13",2071-01-13,1.95,1.85,1.55,0.95,1.05,1.65,7.35,2.95,-3.15,-1.15
"14",2071-01-14,3.35,3.55,3.35,4.01666666666667,1.65,3.45,2.35,3.55,-3.375,-1.15
"15",2071-01-15,5.11666666666667,3.15,-0.21551724137929,3.05,0.25,-0.05,-0.05,3.45,-5.53333333333333,0.15
"16",2071-01-16,7.02586206896553,6.28333333333333,-0.132758620689645,3.45,3.15,1.6,1.85,5.38333333333333,-3.45,-0.45
"17",2071-01-17,7.02586206896553,6.28333333333333,0.45,1.65,1.91666666666667,1.35,8.7,4.55,-3.45,-3.225
"18",2071-01-18,4.35,4.55,2.35,0.283333333333333,0.05,4.15,7.35,2.55,-5.18333333333333,-5.45
"19",2071-01-19,2.15,2.15,7.15,0.35,-0.8,7.05,1.15,2.3,-4.55,-6.525
"20",2071-01-20,2.75,3.65,8.41666666666667,0.35,-5.55561797752809,8.35,-0.05,0.45,-1.88333333333333,-4.075
"21",2071-01-21,1.65,2.05,7,0.9,-9.41377358490566,6.55,4.65,1.35,-1.05,-0.65
"22",2071-01-22,-0.65,-0.05,7.28333333333333,3.95,-6,7.52142857142866,3.75,1.55,-1.35,-0.316666666666667
"23",2071-01-23,-1.45,-0.55,7.52142857142866,4.55,-0.8,7.67500000000003,0.4,4.25,-5.76666666666667,-0.55
"24",2071-01-24,-1.15,0.05,2.65,5.38333333333333,-2.85,3.15,6.41666666666667,3.45,-6.4375,-1.55
"25",2071-01-25,-2.45,-3.85,3.25,3.75,-3.05,4.05,8.48333333333333,0.35,-5.65,-1.38333333333333
"26",2071-01-26,-1.45,1.85,6.85,2.65,-5.27247191011236,2.95,7.35,-0.45,-5.41666666666667,-2.525
"27",2071-01-27,-0.516666666666667,1.55,6.47258064516131,1.6,-6.45,4.9,5.65,0.4,-2.45,-1.95
"28",2071-01-28,-2.01666666666667,1.25,2.3,0.402173913043482,-6.55,0.45,4.75,0.85,-3.225,-0.25
"29",2071-01-29,-4.99545454545455,-0.116666666666667,2.65,3.75,-4.98932584269664,0.35,-0.65,0.4,-5.18333333333333,0.65
"30",2071-01-30,-3.45,-1.38333333333333,4.15,-0.35,-3.05,4.15,4.75,-0.15,-2.95,0.95
"31",2071-01-31,-2.01666666666667,-0.183333333333333,3.45,0.75,-3.05,2.85,4.75,1.6,-6.35,1.35
"32",2071-02-01,-2.6,2.25,0.25,2.95,-2.675,0.85,2.35,2.85,-9.13731884057971,1.6
"33",2071-02-02,-2.35,-0.183333333333333,-2.45,0.85,-1.31666666666667,-0.15,4.35,2.55,-7.05,1.45
"34",2071-02-03,0.4,-4.7,-0.85,0.283333333333333,-0.295161290322562,-1.1,6,2.85,-4.55,0.9
"35",2071-02-04,-3.225,-0.25,0.9,-1.65,2.25,-1.1,7,2.55,-5.18333333333333,0.9
"36",2071-02-05,-7.32,1.85,1.35,1.35,2.05,1.65,7.48333333333333,3.25,-4.05,1.05
"37",2071-02-06,-8.79615384615385,2.25,0.65,3.25,0.25,0.15,7.75,2.45,-1.05,-0.05
"38",2071-02-07,-6.25,1.75,-3.375,4.55,-2.35,-2.55,7.85,1.6,-2.01666666666667,-0.8
"39",2071-02-08,-2.95,-1.85,-1.85,1.85,-0.8,-0.25,7.15,0.65,-2.25,-0.8
