"Date","CNRMCCLM","CNRMRCA","ECEARTHCCLM","ECEARTHHIRHAM","ECEARTHRACMO","ECEARTHRCA","HADGEMRCA","IPSLRCA","MPICCLM","MPIRCA"
"Jan",0.0380784879763681,0.0355255902113292,0.0123900638009471,0,0.0211499534492058,0.0407393759179987,0.0534311717891331,0.110585501234236,0,0
"Feb",0.00387863431085868,0.0276981002947088,0.0171360009566718,0,0.037579114544158,0.0330112990500334,0,0.0584763918169236,0,0
"Mar",0.351057640915968,0.321171049099975,0.334913249085942,0.226113547488802,0.353572612885494,0.331822901848711,0.34243596375792,0.246954356932331,0.273348498332463,0.29666446387851
"Apr",1.24634425428783,1.21363619901048,1.20597355138019,1.2147381647452,1.32725988258871,1.42011531545101,1.31574376717558,1.22374296863713,1.12453388802817,1.26769890641976
"May",2.48181814621082,3.09071367611919,2.56846393294566,2.63357609021447,2.78155165889781,2.96542183818443,2.81886088847934,3.0393320668189,2.48689636332848,2.69175919714941
"Jun",3.78015416401123,4.23587997865499,3.86868519620264,3.72391759177107,3.96231941133729,4.00912707371738,3.88662386700361,4.30319430416831,3.77447648596748,3.87574331750631
"Jul",4.27382694740802,4.2569946781322,4.20399008914497,4.13105881218257,4.20325624981978,4.28760723934766,4.29940344175635,4.4545765744562,4.05379611305965,4.05019529728371
"Aug",3.34278978838597,3.31036757191196,3.44960909660311,3.48353530781809,3.35810152357206,3.42959403778143,3.64145992286258,3.60074052405095,3.3065816360003,3.3165347955968
"Sep",2.15376590939861,2.05275283287051,2.26547401844082,2.19000617110847,2.12400438939228,2.15831713259035,2.30744716108612,2.18429871802175,2.16259694144877,2.07905339000451
"Oct",1.16444554697054,1.08443057489064,1.20747340181094,1.18277545739128,1.18839597563221,1.18550383219307,1.17420421020733,1.1530180786915,1.22092855109053,1.18033476672782
"Nov",0.482126991342664,0.411585854045761,0.540697300971029,0.485392608681246,0.506546970677352,0.466295764857039,0.533694624125067,0.364141981579101,0.420285075858496,0.424455613909421
"Dec",0.122937512957522,0.0958745300116339,0.141769514923873,0.136374806484606,0.139391180439134,0.0991350777590718,0.219299016055174,0.141793409617912,0.0236083157523065,0.0694514456897256
