"","Month","CNRMCCLM","CNRMRCA","ECEARTHCCLM","ECEARTHHIRHAM","ECEARTHRACMO","ECEARTHRCA","HADGEMRCA","IPSLRCA","MPICCLM","MPIRCA"
"1","Jan",2.593,2.196,1.867,1.708,2.881,1.97,2.244,3.459,1.678,1.848
"2","Feb",2.211,2.37,3.023,1.745,1.867,2.57,1.819,2.529,2.557,1.89
"3","Mar",2.72,2.487,2.383,2.22,2.436,2.592,2.974,1.891,1.292,1.65
"4","Apr",2.647,2.577,2.363,2.23,3.546,4.119,3.943,3.154,1.364,2.624
"5","May",1.846,5.522,2.124,2.383,2.999,5.005,4.205,5.755,1.33,2.686
"6","Jun",1.338,4.247,2.311,1.789,3.093,3.232,2.508,5.198,1.374,1.864
"7","Jul",2.092,2.273,2.332,1.665,2.237,2.476,3.382,3.317,1.102,1.289
"8","Aug",1.615,1.34,2.601,2.404,1.956,2.578,3.611,3.019,1.46,1.317
"9","Sep",1.489,1.461,2.618,1.958,1.849,2.367,3.259,3.056,1.198,1.366
"10","Oct",1.794,1.722,2.722,2.149,2.084,2.901,3.255,2.753,2.206,1.884
"11","Nov",2.007,1.868,2.917,2.092,3.321,2.357,2.388,1.872,1.49,1.89
"12","Dec",2.211,1.829,1.99,2.261,1.805,1.638,3.643,2.022,1.107,1.285
