"","Month","CNRM_CCLM","CNRM_RCA","EC.EARTH_CCLM","EC.EARTH_HIRHAM","EC.EARTH_RACMO","EC.EARTH_RCA","HADGEM_RCA","IPSL_RCA","MPI_CCLM","MPI_RCA"
"1","Jan",1.313,1.378,1.179,1.046,1.106,1.231,1.273,1.429,0.992,1.246
"2","Feb",1.271,1.291,1.135,1.182,1.071,1.167,1.023,1.076,1.081,1.296
"3","Mar",1.029,1.214,0.959,1.297,1.137,1.218,1.282,1,1.014,1.093
"4","Apr",1.068,1.177,1.203,0.918,1.17,1.191,1.078,1.162,1.043,1.058
"5","May",0.939,1.016,1.021,1.259,0.975,0.995,1.42,1.279,1.222,1.29
"6","Jun",0.968,1.271,0.93,1.145,0.986,0.901,1.284,1.114,1.182,1
"7","Jul",0.586,1.06,0.768,0.789,1.269,0.786,1.077,1.016,0.868,0.923
"8","Aug",0.687,1.011,0.582,0.537,0.933,0.837,0.839,0.983,0.924,0.924
"9","Sep",0.891,0.872,0.586,0.79,1.05,0.688,0.711,1.049,0.673,1.046
"10","Oct",0.542,0.738,0.938,0.932,0.998,1.097,0.826,0.866,0.687,0.803
"11","Nov",0.693,1.087,0.77,0.788,1.191,0.945,0.81,1.169,0.811,0.869
"12","Dec",1.154,1.261,1.013,1.07,1.086,1.066,1.265,1.208,0.931,1.051
