"","Month","CNRM_CCLM","CNRM_RCA","EC.EARTH_CCLM","EC.EARTH_HIRHAM","EC.EARTH_RACMO","EC.EARTH_RCA","HADGEM_RCA","IPSL_RCA","MPI_CCLM","MPI_RCA"
"1","Jan",2.832,2.358,1.959,1.703,2.869,2.07,2.453,3.46,1.735,1.891
"2","Feb",2.085,2.362,2.968,1.857,1.906,2.57,1.989,2.648,2.565,1.946
"3","Mar",2.689,2.511,2.329,2.274,2.458,2.563,3.245,1.969,1.399,1.802
"4","Apr",2.623,2.553,2.34,2.289,3.527,4.094,4.077,3.266,1.435,2.772
"5","May",1.87,5.611,2.141,2.384,3.082,5.101,4.386,5.913,1.317,2.702
"6","Jun",1.498,4.423,2.308,1.889,3.259,3.277,2.594,5.363,1.304,1.853
"7","Jul",2.167,2.312,2.376,1.783,2.356,2.58,3.403,3.405,1.066,1.228
"8","Aug",1.633,1.35,2.649,2.486,2.158,2.575,3.644,3.076,1.441,1.313
"9","Sep",1.527,1.502,2.684,2.061,1.898,2.407,3.296,3.087,1.181,1.342
"10","Oct",1.757,1.674,2.778,2.203,2.228,2.888,3.289,2.779,2.204,1.874
"11","Nov",1.999,1.91,3.019,2.057,3.437,2.443,2.389,1.936,1.48,1.855
"12","Dec",2.13,1.735,1.938,2.325,1.701,1.629,3.596,2.05,1.119,1.307
