"","Date","Obs","Month","CNRM_CCLM","CNRM_RCA","EC.EARTH_CCLM","EC.EARTH_HIRHAM","EC.EARTH_RACMO","EC.EARTH_RCA","HADGEM_RCA","IPSL_RCA","MPI_CCLM","MPI_RCA"
"5114",1971-01-01,0,"01",0,0,0,0,0,0,0,0,0,0
"5115",1971-01-02,0,"01",0,0,0,0,0,0,0,0,0,0
"5116",1971-01-03,0,"01",0,0,0,0,0,0,0,0,0,0
"5117",1971-01-04,0.2,"01",0.2512,0.2408,0.238,0.2104,0.1958,0.2228,0.2014,0.2922,0.1932,0.1924
"5118",1971-01-05,0.1,"01",0.1256,0.1204,0.119,0.1052,0.0979,0.1114,0.1007,0.1461,0.0966,0.0962
"5119",1971-01-06,0,"01",0,0,0,0,0,0,0,0,0,0
"5120",1971-01-07,5.7,"01",7.1592,6.8628,6.783,5.9964,5.5803,6.3498,5.7399,8.3277,5.5062,5.4834
"5121",1971-01-08,32.2,"01",40.4432,38.7688,38.318,33.8744,31.5238,35.8708,32.4254,47.0442,31.1052,30.9764
"5122",1971-01-09,4.2,"01",5.2752,5.0568,4.998,4.4184,4.1118,4.6788,4.2294,6.1362,4.0572,4.0404
"5123",1971-01-10,2.8,"01",3.5168,3.3712,3.332,2.9456,2.7412,3.1192,2.8196,4.0908,2.7048,2.6936
"5124",1971-01-11,0,"01",0,0,0,0,0,0,0,0,0,0
"5125",1971-01-12,0,"01",0,0,0,0,0,0,0,0,0,0
"5126",1971-01-13,0,"01",0,0,0,0,0,0,0,0,0,0
"5127",1971-01-14,0,"01",0,0,0,0,0,0,0,0,0,0
"5128",1971-01-15,0,"01",0,0,0,0,0,0,0,0,0,0
"5129",1971-01-16,0,"01",0,0,0,0,0,0,0,0,0,0
"5130",1971-01-17,0.3,"01",0.3768,0.3612,0.357,0.3156,0.2937,0.3342,0.3021,0.4383,0.2898,0.2886
"5131",1971-01-18,2.3,"01",2.8888,2.7692,2.737,2.4196,2.2517,2.5622,2.3161,3.3603,2.2218,2.2126
"5132",1971-01-19,2,"01",2.512,2.408,2.38,2.104,1.958,2.228,2.014,2.922,1.932,1.924
"5133",1971-01-20,20.9,"01",26.2504,25.1636,24.871,21.9868,20.4611,23.2826,21.0463,30.5349,20.1894,20.1058
"5134",1971-01-21,11.3,"01",14.1928,13.6052,13.447,11.8876,11.0627,12.5882,11.3791,16.5093,10.9158,10.8706
"5135",1971-01-22,2.8,"01",3.5168,3.3712,3.332,2.9456,2.7412,3.1192,2.8196,4.0908,2.7048,2.6936
"5136",1971-01-23,0.8,"01",1.0048,0.9632,0.952,0.8416,0.7832,0.8912,0.8056,1.1688,0.7728,0.7696
"5137",1971-01-24,13.8,"01",17.3328,16.6152,16.422,14.5176,13.5102,15.3732,13.8966,20.1618,13.3308,13.2756
"5138",1971-01-25,10.7,"01",13.4392,12.8828,12.733,11.2564,10.4753,11.9198,10.7749,15.6327,10.3362,10.2934
"5139",1971-01-26,11.7,"01",14.6952,14.0868,13.923,12.3084,11.4543,13.0338,11.7819,17.0937,11.3022,11.2554
