"","Date","Observed","CNRM_CCLM","CNRM_RCA","EC.EARTH_CCLM","EC.EARTH_HIRHAM","EC.EARTH_RACMO","EC.EARTH_RCA","HADGEM_RCA","IPSL_RCA","MPI_CCLM","MPI_RCA"
"1","Jan",191.306896551724,140.562776860393,157.381629282742,143.08694008261,180.049986180271,163.098684344836,160.53098537683,168.553752401333,157.673591070986,174.694174127798,161.92636072943
"2","Feb",132.762068965517,136.784464957945,150.58623973415,117.202691950534,137.226746022746,124.454660433655,134.873645478933,132.649236356165,129.023069229577,128.933693475093,130.359721650629
"3","Mar",137.58275862069,98.2812208850868,90.0178713572136,111.547716413817,96.9534841193962,102.322742747409,101.473619047907,95.8546974721685,113.224139635976,106.475526131559,104.600305605902
"4","Apr",73.7310344827586,86.0378028425584,94.4911605383885,87.4215335666747,89.0484856997265,84.8934164234721,88.0673278302974,96.7670498701274,82.5686973075523,75.0773350740902,88.7924051686177
"5","May",80.2103448275862,106.209165206209,102.916983713061,89.6845345591317,81.1342282542313,97.08781849454,85.2246664877227,80.1143702350244,81.4197734253354,85.5900128424065,72.3265649943638
"6","Jun",88.3551724137931,73.3398901269726,75.232390020059,91.2562993408538,91.4546899902931,102.435675744971,84.9370963986999,75.6029840268041,92.3384487366619,83.043390343903,93.3368353804491
"7","Jul",85.1310344827586,119.96588758129,112.130698344916,131.826963530553,119.582824856717,91.8170155346259,124.455668976272,118.800771424427,102.10148829367,117.165382715546,111.296707267415
"8","Aug",126.413793103448,146.71049480675,140.77794030988,132.985381503031,141.946025804494,139.403938416441,130.603015218444,127.336615822054,151.59502670783,126.534003387023,129.480329426138
"9","Sep",157.534482758621,139.02703388709,150.656767473352,160.85808164619,145.590200115474,166.520896379599,165.935604117141,140.147041750415,120.624235688916,154.434233817361,150.583192848176
"10","Oct",181.741379310345,210.206078832802,207.353162701215,167.961088437829,175.073061258137,209.673466577578,174.52956496603,190.031214954641,219.575668708351,210.142661515126,220.031205949249
"11","Nov",185.555172413793,188.664551812023,175.702036415668,199.010538281695,186.775908095173,170.021645393096,204.048428335398,207.949179341674,173.166445220892,184.206622357095,172.302250175214
"12","Dec",181.444827586207,169.419724020396,156.157599006496,174.992084661387,174.437654495586,160.721066816511,166.447659304769,180.815973684748,195.059289679044,167.580756796973,187.230401176932
