"","Date","Observed","CNRMCCLM","CNRMRCA","ECEARTHCCLM","ECEARTHHIRHAM","ECEARTHRACMO","ECEARTHRCA","HADGEMRCA","IPSLRCA","MPICCLM","MPIRCA"
"1","Jan",191.61,142.861174634495,164.38264661506,149.185789966344,180.208489660763,163.891608146515,169.423289685125,170.612606766379,161.100046835568,178.397166008958,164.026642911264
"2","Feb",135.463333333333,138.097524722798,150.714518660841,114.752944598593,142.802033613666,127.467748156261,132.09826557814,137.063045436612,136.139312288036,135.300657806534,138.446549972885
"3","Mar",136.193333333333,103.263083122645,92.4996630855189,113.214801965155,98.7014188808148,104.405426072998,105.662689601944,98.5390676844607,115.209481486967,109.965306067294,110.553144807499
"4","Apr",75.4566666666667,86.4574567961986,94.3706382877501,90.1256405398412,91.0184606883688,85.6752429978975,89.9502378755072,97.5063810538627,83.880483869122,75.0729874633086,90.2249760999458
"5","May",81.1566666666667,109.538047796195,102.546468532786,91.5261871616106,81.1333755323075,100.235488359524,88.8008075070378,84.1604485568481,80.5860753379081,86.5644064908848,74.7755054539574
"6","Jun",89.04,73.234163172413,74.2342361174482,94.3085189580578,93.2428287171998,106.143692308855,88.7505499519043,75.863703086173,92.8159296754696,86.8239875678441,97.6719536762499
"7","Jul",85.81,122.944464240709,114.435190600346,131.131388291321,122.138218269254,93.1322319734343,122.973089583473,120.57863576279,101.1277151835,117.582503737146,108.962284096078
"8","Aug",126.066666666667,150.10928074123,143.930462911183,132.112115424718,143.093565693179,140.179774728503,130.402536378413,134.908154721876,151.332658492966,129.006551003831,131.589554315482
"9","Sep",157.98,143.137801223012,153.997700781153,165.923430594135,145.04100711516,170.432750830958,166.650628013624,145.451892508743,120.151431147299,155.080021996008,151.208205897313
"10","Oct",187.723333333333,209.714495222481,208.474403081191,168.782814966737,177.797868392483,213.192328941329,175.789751155986,190.552576754748,222.733448366196,210.730080774589,219.81240503783
"11","Nov",197.45,190.310730314841,181.781065937621,200.094257289958,191.806260961795,172.250296973709,203.654704899611,208.159460426661,178.17770311642,185.383727768207,171.491809656856
"12","Dec",182.673333333333,170.858839198974,157.81981772833,179.968319053367,177.623363213466,161.286494748761,172.733668953849,178.088739695131,198.996871644581,168.8288103917,186.672116883989
