"","Date","CNRMCCLM","CNRMRCA","ECEARTHCCLM","ECEARTHHIRHAM","ECEARTHRACMO","ECEARTHRCA","HADGEMRCA","IPSLRCA","MPICCLM","MPIRCA"
"1","Jan",195.567537311027,243.247253021793,208.141353079048,186.400141754865,189.285024591852,248.237367212571,214.908910399005,234.687597821204,213.210983560095,217.126177417547
"2","Feb",155.162702975307,219.533148675502,150.406517768389,160.975815258805,139.899819368028,177.377537812888,143.702594777922,199.686945192275,184.461158306703,213.811714775751
"3","Mar",117.398247945579,128.049961506591,140.762438411502,106.327463225429,136.698909700674,139.658765105446,141.143600240722,154.753524643666,138.728483710416,159.793895640254
"4","Apr",91.3236949911854,94.8102361309021,96.3145234835668,95.1305407241264,104.863126635937,100.539127831014,113.685221016769,107.334352180429,104.267609154703,121.157669302802
"5","May",89.3959077388702,93.7668205884732,118.030725163843,102.988108855007,96.848413753874,109.750448782154,114.947373295754,91.2279733597612,109.229418950283,103.939530772093
"6","Jun",94.35520603205,115.558917090951,70.7167197727888,108.334266666444,89.9031250067148,83.1281709428742,89.0074413967484,106.587483578916,89.9089142531733,97.5490265426019
"7","Jul",76.2840686700002,142.160233707261,75.9922489501202,109.633818220157,96.2981716699104,94.7915364109111,128.926792599047,88.0183529750646,89.0581271808596,93.2913076928557
"8","Aug",114.904884667321,127.089235691856,75.1066591076489,82.5812056302466,125.085327630485,100.62107965919,96.441199225765,148.762782209949,114.031119756123,109.702112556465
"9","Sep",98.9546978901097,108.04345485916,99.430304398457,109.559349758313,152.948049183828,123.112402284869,106.615389664298,136.840873297001,122.879070421941,175.850832143701
"10","Oct",120.263112491124,150.979732934519,152.888963703161,153.703133305037,229.214174559027,190.702676525572,178.3767456422,186.524842929322,147.617994299285,199.333033128745
"11","Nov",141.528167085601,187.051617883846,166.832352315223,163.001582898454,212.52655742928,200.331028941255,190.879148213689,226.491922162921,190.442503504076,186.559553864727
"12","Dec",190.067164099278,219.200051461666,195.195286147998,231.547282077108,203.2786722583,208.196787223154,264.302274108297,233.993667710109,224.853891860525,249.960234137148
