"","Date","CNRMCCLM","CNRMRCA","ECEARTHCCLM","ECEARTHHIRHAM","ECEARTHRACMO","ECEARTHRCA","HADGEMRCA","IPSLRCA","MPICCLM","MPIRCA"
"5114",1971-01-01,0,0,0,0,0,0,0,0,0,0
"5115",1971-01-02,0,0,0,0,0,0,0,0,0,0
"5116",1971-01-03,0,0,0,0,0,0,0,0,0,0
"5117",1971-01-04,0.2616,0.2666,0.2278,0.2108,0.2254,0.2352,0.255,0.2814,0.1972,0.248
"5118",1971-01-05,0.1308,0.1333,0.1139,0.1054,0.1127,0.1176,0.1275,0.1407,0.0986,0.124
"5119",1971-01-06,0,0,0,0,0,0,0,0,0,0
"5120",1971-01-07,7.4556,7.5981,6.4923,6.0078,6.4239,6.7032,7.2675,8.0199,5.6202,7.068
"5121",1971-01-08,42.1176,42.9226,36.6758,33.9388,36.2894,37.8672,41.055,45.3054,31.7492,39.928
"5122",1971-01-09,5.4936,5.5986,4.7838,4.4268,4.7334,4.9392,5.355,5.9094,4.1412,5.208
"5123",1971-01-10,3.6624,3.7324,3.1892,2.9512,3.1556,3.2928,3.57,3.9396,2.7608,3.472
"5124",1971-01-11,0,0,0,0,0,0,0,0,0,0
"5125",1971-01-12,0,0,0,0,0,0,0,0,0,0
"5126",1971-01-13,0,0,0,0,0,0,0,0,0,0
"5127",1971-01-14,0,0,0,0,0,0,0,0,0,0
"5128",1971-01-15,0,0,0,0,0,0,0,0,0,0
"5129",1971-01-16,0,0,0,0,0,0,0,0,0,0
"5130",1971-01-17,0.3924,0.3999,0.3417,0.3162,0.3381,0.3528,0.3825,0.4221,0.2958,0.372
"5131",1971-01-18,3.0084,3.0659,2.6197,2.4242,2.5921,2.7048,2.9325,3.2361,2.2678,2.852
"5132",1971-01-19,2.616,2.666,2.278,2.108,2.254,2.352,2.55,2.814,1.972,2.48
"5133",1971-01-20,27.3372,27.8597,23.8051,22.0286,23.5543,24.5784,26.6475,29.4063,20.6074,25.916
"5134",1971-01-21,14.7804,15.0629,12.8707,11.9102,12.7351,13.2888,14.4075,15.8991,11.1418,14.012
"5135",1971-01-22,3.6624,3.7324,3.1892,2.9512,3.1556,3.2928,3.57,3.9396,2.7608,3.472
"5136",1971-01-23,1.0464,1.0664,0.9112,0.8432,0.9016,0.9408,1.02,1.1256,0.7888,0.992
"5137",1971-01-24,18.0504,18.3954,15.7182,14.5452,15.5526,16.2288,17.595,19.4166,13.6068,17.112
"5138",1971-01-25,13.9956,14.2631,12.1873,11.2778,12.0589,12.5832,13.6425,15.0549,10.5502,13.268
"5139",1971-01-26,15.3036,15.5961,13.3263,12.3318,13.1859,13.7592,14.9175,16.4619,11.5362,14.508
"5140",1971-01-27,0.654,0.6665,0.5695,0.527,0.5635,0.588,0.6375,0.7035,0.493,0.62
"5141",1971-01-28,0,0,0,0,0,0,0,0,0,0
"5142",1971-01-29,0,0,0,0,0,0,0,0,0,0
"5143",1971-01-30,0,0,0,0,0,0,0,0,0,0
"5144",1971-01-31,22.7592,23.1942,19.8186,18.3396,19.6098,20.4624,22.185,24.4818,17.1564,21.576
"5145",1971-02-01,2.4206,2.4757,2.2211,2.1774,2.0387,2.2838,1.9114,1.9532,1.9855,2.337
"5146",1971-02-02,0,0,0,0,0,0,0,0,0,0
"5147",1971-02-03,3.6946,3.7787,3.3901,3.3234,3.1117,3.4858,2.9174,2.9812,3.0305,3.567
"5148",1971-02-04,0,0,0,0,0,0,0,0,0,0
"5149",1971-02-05,0,0,0,0,0,0,0,0,0,0
"5150",1971-02-06,0,0,0,0,0,0,0,0,0,0
"5151",1971-02-07,0,0,0,0,0,0,0,0,0,0
"5152",1971-02-08,0,0,0,0,0,0,0,0,0,0
"5153",1971-02-09,0,0,0,0,0,0,0,0,0,0
"5154",1971-02-10,0,0,0,0,0,0,0,0,0,0
"5155",1971-02-11,0.1274,0.1303,0.1169,0.1146,0.1073,0.1202,0.1006,0.1028,0.1045,0.123
"5156",1971-02-12,5.096,5.212,4.676,4.584,4.292,4.808,4.024,4.112,4.18,4.92
"5157",1971-02-13,34.7802,35.5719,31.9137,31.2858,29.2929,32.8146,27.4638,28.0644,28.5285,33.579
"5158",1971-02-14,27.1362,27.7539,24.8997,24.4098,22.8549,25.6026,21.4278,21.8964,22.2585,26.199
"5159",1971-02-15,24.7156,25.2782,22.6786,22.2324,20.8162,23.3188,19.5164,19.9432,20.273,23.862
"5160",1971-02-16,68.4138,69.9711,62.7753,61.5402,57.6201,64.5474,54.0222,55.2036,56.1165,66.051
"5161",1971-02-17,53.7628,54.9866,49.3318,48.3612,45.2806,50.7244,42.4532,43.3816,44.099,51.906
"5162",1971-02-18,22.4224,22.9328,20.5744,20.1696,18.8848,21.1552,17.7056,18.0928,18.392,21.648
"5163",1971-02-19,4.9686,5.0817,4.5591,4.4694,4.1847,4.6878,3.9234,4.0092,4.0755,4.797
"5164",1971-02-20,0,0,0,0,0,0,0,0,0,0
"5165",1971-02-21,12.4852,12.7694,11.4562,11.2308,10.5154,11.7796,9.8588,10.0744,10.241,12.054
