"","Date","CNRMCCLM","CNRMRCA","ECEARTHCCLM","ECEARTHHIRHAM","ECEARTHRACMO","ECEARTHRCA","HADGEMRCA","IPSLRCA","MPICCLM","MPIRCA"
"5114",1971-01-01,-7.807,-7.87,-8.296,-6.995,-7.475,-8.266,-7.02,-6.911,-8.83,-8.658
"5115",1971-01-02,-8.307,-8.37,-8.796,-7.495,-7.975,-8.766,-7.52,-7.411,-9.33,-9.158
"5116",1971-01-03,-7.407,-7.47,-7.896,-6.595,-7.075,-7.866,-6.62,-6.511,-8.43,-8.258
"5117",1971-01-04,-1.707,-1.77,-2.196,-0.895,-1.375,-2.166,-0.92,-0.811,-2.73,-2.558
"5118",1971-01-05,1.093,1.03,0.604,1.905,1.425,0.634,1.88,1.989,0.07,0.242
"5119",1971-01-06,-6.007,-6.07,-6.496,-5.195,-5.675,-6.466,-5.22,-5.111,-7.03,-6.858
"5120",1971-01-07,-6.407,-6.47,-6.896,-5.595,-6.075,-6.866,-5.62,-5.511,-7.43,-7.258
"5121",1971-01-08,2.193,2.13,1.704,3.005,2.525,1.734,2.98,3.089,1.17,1.342
"5122",1971-01-09,5.593,5.53,5.104,6.405,5.925,5.134,6.38,6.489,4.57,4.742
"5123",1971-01-10,5.793,5.73,5.304,6.605,6.125,5.334,6.58,6.689,4.77,4.942
"5124",1971-01-11,4.493,4.43,4.004,5.305,4.825,4.034,5.28,5.389,3.47,3.642
"5125",1971-01-12,2.693,2.63,2.204,3.505,3.025,2.234,3.48,3.589,1.67,1.842
"5126",1971-01-13,1.393,1.33,0.904,2.205,1.725,0.934,2.18,2.289,0.37,0.542
"5127",1971-01-14,-0.607,-0.67,-1.096,0.205,-0.275,-1.066,0.18,0.289,-1.63,-1.458
"5128",1971-01-15,-1.707,-1.77,-2.196,-0.895,-1.375,-2.166,-0.92,-0.811,-2.73,-2.558
"5129",1971-01-16,0.0930000000000002,0.03,-0.396,0.905,0.425,-0.366,0.88,0.989,-0.93,-0.758
"5130",1971-01-17,0.493,0.43,0.004,1.305,0.825,0.034,1.28,1.389,-0.53,-0.358
"5131",1971-01-18,2.593,2.53,2.104,3.405,2.925,2.134,3.38,3.489,1.57,1.742
"5132",1971-01-19,3.493,3.43,3.004,4.305,3.825,3.034,4.28,4.389,2.47,2.642
"5133",1971-01-20,2.893,2.83,2.404,3.705,3.225,2.434,3.68,3.789,1.87,2.042
"5134",1971-01-21,2.793,2.73,2.304,3.605,3.125,2.334,3.58,3.689,1.77,1.942
"5135",1971-01-22,1.693,1.63,1.204,2.505,2.025,1.234,2.48,2.589,0.67,0.842
"5136",1971-01-23,1.693,1.63,1.204,2.505,2.025,1.234,2.48,2.589,0.67,0.842
