"","Month","CNRMCCLM","CNRMRCA","ECEARTHCCLM","ECEARTHHIRHAM","ECEARTHRACMO","ECEARTHRCA","HADGEMRCA","IPSLRCA","MPICCLM","MPIRCA"
"1","Jan",1.391,1.522,2.137,2.356,1.448,1.625,1.52,2.815,1.027,0.957
"2","Feb",2.32,2.517,2.876,2.383,0.877,2.712,2.003,2.698,2.273,1.47
"3","Mar",2.622,2.883,2.162,2.91,1.251,2.881,2.724,2.707,1.61,1.72
"4","Apr",2.233,1.725,2.408,2.789,3.127,3.517,4.065,3.052,1.582,2.81
"5","May",1.718,4.085,1.755,2.162,2.122,4.96,3.899,3.914,1.538,2.841
"6","Jun",1.304,4.35,2.266,2.07,2.927,3.13,2.975,5.263,1.424,1.505
"7","Jul",1.528,2.208,2.267,1.626,1.924,2.499,2.907,2.968,1.293,1.512
"8","Aug",1.616,1.678,2.975,2.318,2.14,2.486,2.872,2.9,1.805,1.519
"9","Sep",1.851,1.947,2.667,2.047,2.225,2.592,3.122,3.175,1.648,1.813
"10","Oct",1.801,1.639,2.841,2.605,1.595,3.016,4.149,2.275,2.757,2.325
"11","Nov",1.715,1.468,2.523,2.026,2.591,2.253,1.843,2.47,2.137,2.069
"12","Dec",2.43,1.988,2.174,2.993,1.266,1.926,2.958,1.575,2.099,1.691
