"","Date","Obs","Month","CNRMCCLM","CNRMRCA","ECEARTHCCLM","ECEARTHHIRHAM","ECEARTHRACMO","ECEARTHRCA","HADGEMRCA","IPSLRCA","MPICCLM","MPIRCA"
"5114",1971-01-01,-9.05,"01",-7.659,-7.528,-6.913,-6.694,-7.602,-7.425,-7.53,-6.235,-8.023,-8.093
"5115",1971-01-02,-9.55,"01",-8.159,-8.028,-7.413,-7.194,-8.102,-7.925,-8.03,-6.735,-8.523,-8.593
"5116",1971-01-03,-8.65,"01",-7.259,-7.128,-6.513,-6.294,-7.202,-7.025,-7.13,-5.835,-7.623,-7.693
"5117",1971-01-04,-2.95,"01",-1.559,-1.428,-0.813,-0.594,-1.502,-1.325,-1.43,-0.135,-1.923,-1.993
"5118",1971-01-05,-0.15,"01",1.241,1.372,1.987,2.206,1.298,1.475,1.37,2.665,0.877,0.807
"5119",1971-01-06,-7.25,"01",-5.859,-5.728,-5.113,-4.894,-5.802,-5.625,-5.73,-4.435,-6.223,-6.293
"5120",1971-01-07,-7.65,"01",-6.259,-6.128,-5.513,-5.294,-6.202,-6.025,-6.13,-4.835,-6.623,-6.693
"5121",1971-01-08,0.95,"01",2.341,2.472,3.087,3.306,2.398,2.575,2.47,3.765,1.977,1.907
"5122",1971-01-09,4.35,"01",5.741,5.872,6.487,6.706,5.798,5.975,5.87,7.165,5.377,5.307
"5123",1971-01-10,4.55,"01",5.941,6.072,6.687,6.906,5.998,6.175,6.07,7.365,5.577,5.507
"5124",1971-01-11,3.25,"01",4.641,4.772,5.387,5.606,4.698,4.875,4.77,6.065,4.277,4.207
"5125",1971-01-12,1.45,"01",2.841,2.972,3.587,3.806,2.898,3.075,2.97,4.265,2.477,2.407
"5126",1971-01-13,0.15,"01",1.541,1.672,2.287,2.506,1.598,1.775,1.67,2.965,1.177,1.107
"5127",1971-01-14,-1.85,"01",-0.459,-0.328,0.287,0.506,-0.402,-0.225,-0.33,0.965,-0.823,-0.893
"5128",1971-01-15,-2.95,"01",-1.559,-1.428,-0.813,-0.594,-1.502,-1.325,-1.43,-0.135,-1.923,-1.993
"5129",1971-01-16,-1.15,"01",0.241,0.372,0.987,1.206,0.298,0.475,0.37,1.665,-0.123,-0.193
"5130",1971-01-17,-0.75,"01",0.641,0.772,1.387,1.606,0.698,0.875,0.77,2.065,0.277,0.207
"5131",1971-01-18,1.35,"01",2.741,2.872,3.487,3.706,2.798,2.975,2.87,4.165,2.377,2.307
"5132",1971-01-19,2.25,"01",3.641,3.772,4.387,4.606,3.698,3.875,3.77,5.065,3.277,3.207
"5133",1971-01-20,1.65,"01",3.041,3.172,3.787,4.006,3.098,3.275,3.17,4.465,2.677,2.607
"5134",1971-01-21,1.55,"01",2.941,3.072,3.687,3.906,2.998,3.175,3.07,4.365,2.577,2.507
"5135",1971-01-22,0.45,"01",1.841,1.972,2.587,2.806,1.898,2.075,1.97,3.265,1.477,1.407
"5136",1971-01-23,0.45,"01",1.841,1.972,2.587,2.806,1.898,2.075,1.97,3.265,1.477,1.407
"5137",1971-01-24,0.75,"01",2.141,2.272,2.887,3.106,2.198,2.375,2.27,3.565,1.777,1.707
"5138",1971-01-25,2.15,"01",3.541,3.672,4.287,4.506,3.598,3.775,3.67,4.965,3.177,3.107
"5139",1971-01-26,2.85,"01",4.241,4.372,4.987,5.206,4.298,4.475,4.37,5.665,3.877,3.807
"5140",1971-01-27,0.25,"01",1.641,1.772,2.387,2.606,1.698,1.875,1.77,3.065,1.277,1.207
