"","Date","Observed","CNRMCCLM","CNRMRCA","ECEARTHCCLM","ECEARTHHIRHAM","ECEARTHRACMO","ECEARTHRCA","HADGEMRCA","IPSLRCA","MPICCLM","MPIRCA"
"1","Jan",191.61,159.146666666667,174.313333333333,164.433333333333,196.19,176.85,181.216666666667,184.61,171.87,197.64,180.073333333333
"2","Feb",135.463333333333,152.843333333333,159.366666666667,126.6,154.756666666667,138.626666666667,141.1,148.953333333333,145.983333333333,151.026666666667,152.86
"3","Mar",136.193333333333,116.33,101.54,125.446666666667,109.59,115.106666666667,114.393333333333,109.226666666667,124.656666666667,125.25,122.753333333333
"4","Apr",75.4566666666667,98.84,103.136666666667,100.843333333333,102.973333333333,94.5033333333333,98.3333333333333,107.506666666667,91.76,88.3133333333333,101.206666666667
"5","May",81.1566666666667,123.733333333333,111.03,102.446666666667,92.1866666666667,111.05,96.9333333333333,93.4833333333333,88.7066666666667,98.7133333333333,84.7366666666667
"6","Jun",89.04,84.03,82.14,104.913333333333,104.37,116.81,96.5,84.5766666666667,100.82,100.476666666667,108.286666666667
"7","Jul",85.81,139.14,123.543333333333,145.266666666667,134.943333333333,103.076666666667,131.116666666667,131.263333333333,109.503333333333,133.793333333333,120.84
"8","Aug",126.066666666667,166.823333333333,151.89,146.42,155.436666666667,151.97,138.36,147.43,161.396666666667,145.183333333333,145.386666666667
"9","Sep",157.98,158.846666666667,163.413333333333,182.286666666667,159.6,183.153333333333,176.04,158.353333333333,130.44,172.386666666667,165.72
"10","Oct",187.723333333333,229.823333333333,219.013333333333,184.943333333333,194.266666666667,228.456666666667,186.906666666667,205.723333333333,236.116666666667,231.006666666667,239.37
"11","Nov",197.45,209.75,191.216666666667,218.46,207.666666666667,184.956666666667,214.28,224.47,190.116666666667,204.57,188.506666666667
"12","Dec",182.673333333333,189.003333333333,168.77,196.913333333333,192.85,174.69,184.48,192.623333333333,211.226666666667,188.503333333333,203.85
