"","fut","CNRMCCLM","CNRMRCA","ECEARTHCCLM","ECEARTHHIRHAM","ECEARTHRACMO","ECEARTHRCA","HADGEMRCA","IPSLRCA","MPICCLM","MPIRCA"
"1",2041-01-01,0.1,13.4111111111111,3.7,3.8,0,2.45,1.5,35.4092047930283,0.1,3.7
"2",2041-01-02,4.4,24.9727272727273,6.675,8.48571428571429,0,6.5,11.2976470588236,24.5805309734513,0.7,0
"3",2041-01-03,4.4,10.4,0,0.6,0,0,7.66,3.8,33.2095032397408,10.1
"4",2041-01-04,24.7238095238095,53.763740079365,3.5,29.1758620689655,0,0.95,0,0.5,20.4789473684211,5.2
"5",2041-01-05,0.3,8.5,0.1,10.4,0,9.87349397590363,13.24,0.5,23.325,2.1
"6",2041-01-06,0,0.4,0,6.96666666666667,0,0,45.7314142461963,0,19.8157894736842,16.09
"7",2041-01-07,0,0,5.275,0,0.2,8.5,5.6,0.25,0.2,7.42
"8",2041-01-08,0,0,0.4,11.1,0,2.8,0,4.8,0,0
"9",2041-01-09,4.1,0.166666666666606,0.1,0,4.7,0.1,0,32.8866666666667,0,0
"10",2041-01-10,0.1,3.8,6.3,0,0.1,3.2,4.93333333333333,3.2,0,0
"11",2041-01-11,1.2,22.1285714285714,2.9,0,0,0.25,10.3,24.1380530973451,0,8.3
"12",2041-01-12,11.2555555555556,0,1.3,0.1,1.7,10.3109589041097,0,5.2559322033898,0,9.35
"13",2041-01-13,50.5025510204081,32.7,7.4,1.5,18.76875,5.66,11.2976470588236,7.64285714285714,0,19.72
"14",2041-01-14,15.8668571428572,10.3,18.45,0,24.7357142857144,16.8533333333333,4.325,15.1,0,9.7
"15",2041-01-15,6.5,0,4.025,0,24.4142857142858,13.35,0,33.0733333333333,0,6.22
"16",2041-01-16,6.1,1.2,20.5782608695652,0,11.5666666666667,14.3675324675324,0,0.166666666666606,0,2.1
"17",2041-01-17,1.5,0.0666666666666667,0.4,0,0,0.2,0,41.8867667356797,0,3.9
"18",2041-01-18,0.4,0,0.8,0.2,0.3,0,0,21.5275862068966,0,0
"19",2041-01-19,0,0,6.55,0,0.5,3.72173913043479,0,6.06551724137929,0,0
"20",2041-01-20,0,0,0.7,0,16.9538461538462,0,0,26.63,0,0
"21",2041-01-21,0,0,0.4,7.42,0.95,0.3,0,14.26,0,0
"22",2041-01-22,0,0,2.03333333333333,0,36.7489537444934,1.5,5.06666666666667,6.14827586206893,0.0666666666666667,0
"23",2041-01-23,0,0,0,0,0,0,23.5823529411765,4.6,0,0.166666666666606
"24",2041-01-24,0.116666666666606,4.9,0,0.6,1.7,0,28.3989795918367,2.23333333333333,0,4.2
"25",2041-01-25,1.25217391304352,12.2,24.575,0.116666666666606,0,12.8,27.5908163265306,8.6,0,0
"26",2041-01-26,23.7714285714286,22.6047619047619,5.6,1.9,1.3,6.2,2.9,0.166666666666606,0,0
"27",2041-01-27,6.3,0,0.9,2.6,0,0.2,0.4,0,0.3,0
"28",2041-01-28,0.1,0,0,0,0.1,0,2,6.8,1.4,0
"29",2041-01-29,0,0,0,10.9,3.66000000000008,0.1,21.2,3.9,1.4,0
"30",2041-01-30,0,0,10.075,10.7,0.55,1.3,33.122641509434,10.9,0,0
"31",2041-01-31,0,0.0666666666666667,0.4,5.35,0.55,0,33.122641509434,1.8,0,0
"32",2041-02-01,39.044592875318,11,0,13.5333333333333,2.1,0,36.2084507042253,27.95,0,0
"33",2041-02-02,2.45,2.5,0,6.8,5.5,0,0.9,4.8,0,0
"34",2041-02-03,10.8714285714286,51.5407572751322,0.2,4.6,4.5,0,0.3,0,0,0
"35",2041-02-04,4.1,22.9272727272727,53.0110655737704,0,1,20.8,16.3076923076923,0,9.7,0.2
"36",2041-02-05,1.31538461538487,0.166666666666606,13.2,0.75,1.9,11.1,5.35,9.7,2.4,7.78
"37",2041-02-06,6.4,4.7,15.8333333333333,27.832584269663,0.1,29.8820512820513,8.4,0,0.6,0
"38",2041-02-07,31.2670588235294,57.4402116402116,17.0615384615385,0,0,5.9,26.9846938775511,3.3,0.0666666666666667,0
"39",2041-02-08,1.5,7.9,1,3.2,0,0,0.3,0.1,0.166666666666606,0
"40",2041-02-09,14.6098591549295,17.1692307692308,7.7,10.5,0,39.5605296343001,2.75,1.5,0.0666666666666667,0
"41",2041-02-10,7.81428571428571,17.1692307692308,13.2,0,0,15.6089552238806,1.8,11.9153846153846,6.3,0.166666666666606
