"pktID" "longitude" "latitude"
1761570 64500 6525500
1762765 64500 6524500
1762766 65500 6524500
1762767 66500 6524500
1762768 67500 6524500
1762769 68500 6524500
1762770 69500 6524500
1763959 63500 6523500
1763960 64500 6523500
1763961 65500 6523500
1763962 66500 6523500
1763963 67500 6523500
1763964 68500 6523500
1763965 69500 6523500
1763966 70500 6523500
1765154 63500 6522500
1765155 64500 6522500
1765156 65500 6522500
1765157 66500 6522500
1765158 67500 6522500
1765159 68500 6522500
1765160 69500 6522500
1765161 70500 6522500
1766348 62500 6521500
1766349 63500 6521500
1766350 64500 6521500
1766351 65500 6521500
1766352 66500 6521500
1766353 67500 6521500
1766354 68500 6521500
1766355 69500 6521500
1766356 70500 6521500
1767543 62500 6520500
1767544 63500 6520500
1767545 64500 6520500
1767546 65500 6520500
1767547 66500 6520500
1767548 67500 6520500
1767549 68500 6520500
1767550 69500 6520500
1767551 70500 6520500
1768738 62500 6519500
1768739 63500 6519500
1768740 64500 6519500
1768741 65500 6519500
1768742 66500 6519500
1768743 67500 6519500
1768744 68500 6519500
1768745 69500 6519500
1768746 70500 6519500
1769934 63500 6518500
1769935 64500 6518500
1769936 65500 6518500
1769937 66500 6518500
1769938 67500 6518500
1769939 68500 6518500
1769940 69500 6518500
1769941 70500 6518500
1771129 63500 6517500
1771130 64500 6517500
1771131 65500 6517500
1771132 66500 6517500
1771133 67500 6517500
1771134 68500 6517500
1771135 69500 6517500
1771136 70500 6517500
1771137 71500 6517500
1772325 64500 6516500
1772326 65500 6516500
1772327 66500 6516500
1772328 67500 6516500
1772329 68500 6516500
1772330 69500 6516500
1772331 70500 6516500
1772332 71500 6516500
1772333 72500 6516500
1773520 64500 6515500
1773521 65500 6515500
1773522 66500 6515500
1773523 67500 6515500
1773524 68500 6515500
1773525 69500 6515500
1773526 70500 6515500
1773527 71500 6515500
1773528 72500 6515500
1774715 64500 6514500
1774716 65500 6514500
1774717 66500 6514500
1774718 67500 6514500
1774719 68500 6514500
1774720 69500 6514500
1774721 70500 6514500
1774722 71500 6514500
1775910 64500 6513500
1775911 65500 6513500
1775912 66500 6513500
1775913 67500 6513500
1775914 68500 6513500
1775915 69500 6513500
1775916 70500 6513500
1775917 71500 6513500
1777105 64500 6512500
1777106 65500 6512500
1777107 66500 6512500
1777108 67500 6512500
1777109 68500 6512500
1777110 69500 6512500
1777111 70500 6512500
1777112 71500 6512500
1778301 65500 6511500
1778302 66500 6511500
1778303 67500 6511500
1778304 68500 6511500
1778305 69500 6511500
1778306 70500 6511500
1778307 71500 6511500
1779495 64500 6510500
1779496 65500 6510500
1779497 66500 6510500
1779498 67500 6510500
1779499 68500 6510500
1779500 69500 6510500
1779501 70500 6510500
1779502 71500 6510500
1780691 65500 6509500
1780692 66500 6509500
1780693 67500 6509500
1780694 68500 6509500
1780695 69500 6509500
1780696 70500 6509500
1780697 71500 6509500
1780698 72500 6509500
1781886 65500 6508500
1781887 66500 6508500
1781888 67500 6508500
1781889 68500 6508500
1781890 69500 6508500
1781891 70500 6508500
1781892 71500 6508500
1781893 72500 6508500
1781894 73500 6508500
1783081 65500 6507500
1783082 66500 6507500
1783083 67500 6507500
1783084 68500 6507500
1783085 69500 6507500
1783086 70500 6507500
1783087 71500 6507500
1783088 72500 6507500
1783089 73500 6507500
1784276 65500 6506500
1784277 66500 6506500
1784278 67500 6506500
1784279 68500 6506500
1784280 69500 6506500
1784281 70500 6506500
1784282 71500 6506500
1784283 72500 6506500
1784284 73500 6506500
1785470 64500 6505500
1785471 65500 6505500
1785472 66500 6505500
1785473 67500 6505500
1785474 68500 6505500
1785475 69500 6505500
1785476 70500 6505500
1785477 71500 6505500
1785478 72500 6505500
1786666 65500 6504500
1786667 66500 6504500
1786668 67500 6504500
1786669 68500 6504500
1786670 69500 6504500
1786671 70500 6504500
1786672 71500 6504500
1786673 72500 6504500
1787861 65500 6503500
1787862 66500 6503500
1787863 67500 6503500
1787864 68500 6503500
1787867 71500 6503500
1787868 72500 6503500
1789058 67500 6502500
1789059 68500 6502500
