date        time     1OBSRUNOF 1SIMRUNOF 
dd.mm.yyyy  hh:mm:ss        mm        mm 
01.09.1999  00:00:00     1.803     0.000 
02.09.1999  00:00:00     1.390     0.060 
03.09.1999  00:00:00     1.190     0.118 
04.09.1999  00:00:00     1.039     0.106 
05.09.1999  00:00:00     0.921     0.096 
06.09.1999  00:00:00     0.791     0.084 
07.09.1999  00:00:00     0.705     0.074 
08.09.1999  00:00:00     0.650     0.140 
09.09.1999  00:00:00     0.622     0.210 
10.09.1999  00:00:00     0.656     0.390 
11.09.1999  00:00:00     0.727     0.523 
12.09.1999  00:00:00     0.797     0.445 
13.09.1999  00:00:00     0.882     0.374 
14.09.1999  00:00:00     0.807     0.305 
15.09.1999  00:00:00     0.786     0.360 
16.09.1999  00:00:00     0.804     0.702 
17.09.1999  00:00:00     1.129     1.209 
18.09.1999  00:00:00     3.079     1.963 
19.09.1999  00:00:00     6.825     3.377 
20.09.1999  00:00:00     9.005     4.583 
21.09.1999  00:00:00     8.254     5.712 
22.09.1999  00:00:00    11.869     6.733 
23.09.1999  00:00:00    13.876     7.193 
24.09.1999  00:00:00    11.873     6.888 
25.09.1999  00:00:00    10.954     8.020 
26.09.1999  00:00:00    10.523     8.017 
27.09.1999  00:00:00    10.694     7.549 
28.09.1999  00:00:00     8.538     6.972 
29.09.1999  00:00:00     6.603     5.259 
30.09.1999  00:00:00     5.913     4.258 
01.10.1999  00:00:00     5.808     4.444 
02.10.1999  00:00:00     6.334     7.456 
03.10.1999  00:00:00     8.230    10.239 
04.10.1999  00:00:00     9.525    10.318 
05.10.1999  00:00:00     8.143     8.653 
06.10.1999  00:00:00     5.774     6.267 
07.10.1999  00:00:00     4.150     4.346 
08.10.1999  00:00:00     3.245     3.829 
09.10.1999  00:00:00     2.648     3.362 
10.10.1999  00:00:00     2.301     2.513 
11.10.1999  00:00:00     2.148     2.493 
12.10.1999  00:00:00     2.837     4.883 
13.10.1999  00:00:00     3.939     5.746 
14.10.1999  00:00:00     4.378     3.962 
15.10.1999  00:00:00     3.676     2.774 
16.10.1999  00:00:00     2.878     2.370 
17.10.1999  00:00:00     2.302     2.129 
18.10.1999  00:00:00     1.879     1.910 
19.10.1999  00:00:00     1.598     1.712 
20.10.1999  00:00:00     1.378     1.532 
21.10.1999  00:00:00     1.205     1.368 
22.10.1999  00:00:00     1.148     1.289 
23.10.1999  00:00:00     1.225     1.568 
24.10.1999  00:00:00     1.807     2.863 
25.10.1999  00:00:00     4.997     5.266 
26.10.1999  00:00:00    11.143     7.938 
27.10.1999  00:00:00    11.252     8.281 
28.10.1999  00:00:00     8.455     6.135 
29.10.1999  00:00:00     5.193     4.551 
30.10.1999  00:00:00     3.807     3.177 
31.10.1999  00:00:00     4.318     5.322 
01.11.1999  00:00:00     7.034     7.819 
02.11.1999  00:00:00    11.323     9.635 
03.11.1999  00:00:00    11.179    10.189 
04.11.1999  00:00:00     8.020     7.869 
05.11.1999  00:00:00     5.585     5.990 
06.11.1999  00:00:00     5.403     5.002 
07.11.1999  00:00:00     9.717     6.844 
08.11.1999  00:00:00    10.145     7.617 
09.11.1999  00:00:00     7.128     5.986 
10.11.1999  00:00:00     4.958     4.631 
11.11.1999  00:00:00     3.667     3.218 
12.11.1999  00:00:00     2.863     2.538 
13.11.1999  00:00:00     2.320     2.307 
14.11.1999  00:00:00     1.969     2.105 
15.11.1999  00:00:00     1.689     1.909 
16.11.1999  00:00:00     1.521     1.821 
17.11.1999  00:00:00     1.378     1.735 
18.11.1999  00:00:00     1.273     1.563 
19.11.1999  00:00:00     1.238     1.415 
20.11.1999  00:00:00     1.095     1.281 
21.11.1999  00:00:00     0.913     1.152 
22.11.1999  00:00:00     0.889     1.074 
23.11.1999  00:00:00     0.841     1.062 
24.11.1999  00:00:00     0.912     1.395 
25.11.1999  00:00:00     2.092     2.914 
26.11.1999  00:00:00     4.027     5.042 
27.11.1999  00:00:00     7.093     7.736 
28.11.1999  00:00:00    10.036     9.619 
29.11.1999  00:00:00    18.670    15.232 
30.11.1999  00:00:00    18.408    14.922 
01.12.1999  00:00:00    16.047    16.601 
02.12.1999  00:00:00    11.799    15.179 
03.12.1999  00:00:00     7.586     8.973 
04.12.1999  00:00:00     5.033     6.246 
05.12.1999  00:00:00     3.509     4.344 
06.12.1999  00:00:00     2.900     3.037 
07.12.1999  00:00:00     4.700     3.834 
08.12.1999  00:00:00     6.463     6.231 
09.12.1999  00:00:00    10.681     8.727 
10.12.1999  00:00:00    18.884    15.793 
11.12.1999  00:00:00    14.091    14.899 
12.12.1999  00:00:00     8.040     8.920 
13.12.1999  00:00:00     4.961     6.214 
14.12.1999  00:00:00     3.826     4.327 
15.12.1999  00:00:00     2.973     3.034 
16.12.1999  00:00:00     2.130     2.539 
17.12.1999  00:00:00     2.136     2.296 
18.12.1999  00:00:00     2.567     2.082 
19.12.1999  00:00:00     2.567     1.887 
20.12.1999  00:00:00     2.567     1.706 
21.12.1999  00:00:00     2.567     1.543 
22.12.1999  00:00:00     2.102     1.395 
23.12.1999  00:00:00     1.631     1.292 
24.12.1999  00:00:00     4.849     2.429 
25.12.1999  00:00:00    20.935    18.132 
26.12.1999  00:00:00    23.239    36.303 
27.12.1999  00:00:00    13.891    27.126 
28.12.1999  00:00:00     7.910    13.000 
29.12.1999  00:00:00     4.993     8.302 
30.12.1999  00:00:00     3.613     5.787 
31.12.1999  00:00:00     2.914     4.034 
01.01.2000  00:00:00     2.342     2.976 
02.01.2000  00:00:00     2.338     3.202 
03.01.2000  00:00:00     3.178     5.692 
04.01.2000  00:00:00     4.949     8.794 
05.01.2000  00:00:00     5.143     8.600 
06.01.2000  00:00:00     8.008     9.501 
07.01.2000  00:00:00    14.712    13.769 
08.01.2000  00:00:00    15.897    17.561 
09.01.2000  00:00:00    15.616    18.297 
10.01.2000  00:00:00    11.103    12.818 
11.01.2000  00:00:00     7.674     9.467 
12.01.2000  00:00:00     7.036    10.025 
13.01.2000  00:00:00     7.216    10.145 
14.01.2000  00:00:00     6.140     8.407 
15.01.2000  00:00:00     4.631     6.264 
16.01.2000  00:00:00     3.422     4.367 
17.01.2000  00:00:00     3.029     3.736 
18.01.2000  00:00:00     3.375     3.999 
19.01.2000  00:00:00     3.710     3.481 
20.01.2000  00:00:00     3.822     2.672 
21.01.2000  00:00:00     3.225     2.433 
22.01.2000  00:00:00     2.796     2.214 
23.01.2000  00:00:00     2.402     2.001 
24.01.2000  00:00:00     2.009     1.809 
25.01.2000  00:00:00     1.616     1.635 
26.01.2000  00:00:00     1.241     1.478 
27.01.2000  00:00:00     1.093     1.377 
28.01.2000  00:00:00     1.013     1.465 
29.01.2000  00:00:00     1.307     1.659 
30.01.2000  00:00:00     2.501     4.406 
31.01.2000  00:00:00     3.304     6.982 
01.02.2000  00:00:00     3.381     4.866 
02.02.2000  00:00:00     2.723     3.392 
03.02.2000  00:00:00     2.352     2.643 
04.02.2000  00:00:00     2.101     2.420 
05.02.2000  00:00:00     3.547     2.741 
06.02.2000  00:00:00     6.968     5.183 
07.02.2000  00:00:00    11.288     9.354 
08.02.2000  00:00:00    12.203    12.343 
09.02.2000  00:00:00     9.036    10.716 
10.02.2000  00:00:00     6.738     8.408 
11.02.2000  00:00:00     8.726    11.237 
12.02.2000  00:00:00     9.785    16.232 
13.02.2000  00:00:00    10.139    12.832 
14.02.2000  00:00:00     7.458     8.954 
15.02.2000  00:00:00     5.082     6.251 
16.02.2000  00:00:00     3.745     4.358 
17.02.2000  00:00:00     2.835     3.059 
18.02.2000  00:00:00     2.298     2.558 
19.02.2000  00:00:00     1.941     2.313 
20.02.2000  00:00:00     1.727     2.092 
21.02.2000  00:00:00     1.618     1.892 
22.02.2000  00:00:00     1.440     1.711 
23.02.2000  00:00:00     1.194     1.547 
24.02.2000  00:00:00     1.152     1.401 
25.02.2000  00:00:00     1.137     1.339 
26.02.2000  00:00:00     1.049     1.355 
27.02.2000  00:00:00     1.208     1.449 
28.02.2000  00:00:00     6.357     7.017 
29.02.2000  00:00:00    11.828    16.478 
01.03.2000  00:00:00     9.539    12.278 
02.03.2000  00:00:00     6.290     8.260 
03.03.2000  00:00:00     4.766     5.887 
04.03.2000  00:00:00     3.569     4.160 
05.03.2000  00:00:00     2.621     2.957 
06.03.2000  00:00:00     2.778     2.556 
07.03.2000  00:00:00     5.507     4.251 
08.03.2000  00:00:00     6.900     6.454 
09.03.2000  00:00:00     6.176     6.741 
10.03.2000  00:00:00     4.869     5.842 
11.03.2000  00:00:00     3.822     4.073 
12.03.2000  00:00:00     3.032     2.902 
