Dato	Time	P_mm_256moh	T_minC_256moh	T_maxC_256moh	Q_Myglevatn
dd.mm.yyyy	hh:mm:ss	mm	grC	grC	m3/s
01.01.2071	00.00.00	13.4	1.75	1.75	0.0
02.01.2071	00.00.00	0.0	0.35	0.35	0.0
03.01.2071	00.00.00	1.0	1.55	1.55	0.0
04.01.2071	00.00.00	0.0	1.05	1.05	0.0
05.01.2071	00.00.00	0.0	-2.525	-2.525	0.0
06.01.2071	00.00.00	27.5925	0.45	0.45	0.0
07.01.2071	00.00.00	22.6090909090909	2.65	2.65	0.0
08.01.2071	00.00.00	0.0	3.01666666666667	3.01666666666667	0.0
09.01.2071	00.00.00	4.7	2.55	2.55	0.0
10.01.2071	00.00.00	0.0	2.65	2.65	0.0
11.01.2071	00.00.00	0.0	2.25	2.25	0.0
12.01.2071	00.00.00	3.4	2.55	2.55	0.0
13.01.2071	00.00.00	0.116666666666606	3.45	3.45	0.0
14.01.2071	00.00.00	35.7466284987277	3.08333333333333	3.08333333333333	0.0
15.01.2071	00.00.00	6.7	5.18333333333333	5.18333333333333	0.0
16.01.2071	00.00.00	0.0	4.45	4.45	0.0
17.01.2071	00.00.00	5.2	1.95	1.95	0.0
18.01.2071	00.00.00	14.1028169014084	2.35	2.35	0.0
19.01.2071	00.00.00	1.56666666666667	1.6	1.6	0.0
20.01.2071	00.00.00	7.1	0.35	0.35	0.0
21.01.2071	00.00.00	30.8058823529412	2.55	2.55	0.0
22.01.2071	00.00.00	2.0	2.75	2.75	0.0
23.01.2071	00.00.00	4.5	2.95	2.95	0.0
24.01.2071	00.00.00	2.6	1.05	1.05	0.0
25.01.2071	00.00.00	2.0	1.85	1.85	0.0
26.01.2071	00.00.00	11.5666666666667	2.75	2.75	0.0
27.01.2071	00.00.00	0.0	1.85	1.85	0.0
28.01.2071	00.00.00	0.0	1.6	1.6	0.0
29.01.2071	00.00.00	12.3	1.6	1.6	0.0
30.01.2071	00.00.00	13.5	3.55	3.55	0.0
31.01.2071	00.00.00	0.0	2.15	2.15	0.0
01.02.2071	00.00.00	0.0	-0.25	-0.25	0.0
02.02.2071	00.00.00	5.2	0.75	0.75	0.0
03.02.2071	00.00.00	23.1761904761905	2.35	2.35	0.0
04.02.2071	00.00.00	0.0	0.75	0.75	0.0
05.02.2071	00.00.00	0.0	1.05	1.05	0.0
06.02.2071	00.00.00	31.3823529411765	1.25	1.25	0.0
07.02.2071	00.00.00	20.525	1.75	1.75	0.0
08.02.2071	00.00.00	9.11666666666667	2.75	2.75	0.0
09.02.2071	00.00.00	0.0	-0.65	-0.65	0.0
10.02.2071	00.00.00	0.4	-1.65	-1.65	0.0
11.02.2071	00.00.00	8.31666666666667	-1.75	-1.75	0.0
12.02.2071	00.00.00	22.9380952380952	-2.75	-2.75	0.0
13.02.2071	00.00.00	0.0	-6.50555555555556	-6.50555555555556	0.0
14.02.2071	00.00.00	0.0	-8.28846153846154	-8.28846153846154	0.0
15.02.2071	00.00.00	0.0	-4.05	-4.05	0.0
16.02.2071	00.00.00	24.9619047619048	1.15	1.15	0.0
17.02.2071	00.00.00	0.0	2.05	2.05	0.0
18.02.2071	00.00.00	0.0666666666666667	0.25	0.25	0.0
19.02.2071	00.00.00	0.0	-2.01666666666667	-2.01666666666667	0.0
20.02.2071	00.00.00	0.0	-5.32272727272728	-5.32272727272728	0.0
21.02.2071	00.00.00	0.1	-5.43181818181818	-5.43181818181818	0.0
22.02.2071	00.00.00	0.0	0.45	0.45	0.0
23.02.2071	00.00.00	1.31538461538487	2.25	2.25	0.0
