Dato	Time	P_mm_256moh	T_minC_256moh	T_maxC_256moh	Q_Myglevatn
dd.mm.yyyy	hh:mm:ss	mm	grC	grC	m3/s
01.01.2041	00.00.00	21.7	3.55	3.55	0.0
02.01.2041	00.00.00	22.8190476190476	3.35	3.35	0.0
03.01.2041	00.00.00	11.1777777777778	3.55	3.55	0.0
04.01.2041	00.00.00	0.1	3.08333333333333	3.08333333333333	0.0
05.01.2041	00.00.00	0.116666666666606	1.25	1.25	0.0
06.01.2041	00.00.00	3.6	2.95	2.95	0.0
07.01.2041	00.00.00	3.9	2.3	2.3	0.0
08.01.2041	00.00.00	17.94	-1.88333333333333	-1.88333333333333	0.0
09.01.2041	00.00.00	24.247619047619	-5.85	-5.85	0.0
10.01.2041	00.00.00	21.9727272727273	-6.50555555555556	-6.50555555555556	0.0
11.01.2041	00.00.00	9.8	-2.75	-2.75	0.0
12.01.2041	00.00.00	0.0	2.45	2.45	0.0
13.01.2041	00.00.00	0.0	1.55	1.55	0.0
14.01.2041	00.00.00	28.0875	2.25	2.25	0.0
15.01.2041	00.00.00	3.9	-0.05	-0.05	0.0
16.01.2041	00.00.00	3.1	-7.41	-7.41	0.0
17.01.2041	00.00.00	1.1	-8.45769230769231	-8.45769230769231	0.0
18.01.2041	00.00.00	0.9	-10.3052083333333	-10.3052083333333	0.0
19.01.2041	00.00.00	8.74285714285714	-8.37307692307692	-8.37307692307692	0.0
20.01.2041	00.00.00	0.0	-7.59	-7.59	0.0
21.01.2041	00.00.00	0.0	-12.5571197411003	-12.5571197411003	0.0
22.01.2041	00.00.00	0.65	-13.4563915857605	-13.4563915857605	0.0
23.01.2041	00.00.00	9.7	-6.73888888888889	-6.73888888888889	0.0
24.01.2041	00.00.00	3.8	-2.15	-2.15	0.0
25.01.2041	00.00.00	2.7	0.05	0.05	0.0
26.01.2041	00.00.00	3.6	0.25	0.25	0.0
27.01.2041	00.00.00	13.5	0.85	0.85	0.0
28.01.2041	00.00.00	0.0	0.15	0.15	0.0
29.01.2041	00.00.00	0.0	-2.75	-2.75	0.0
30.01.2041	00.00.00	4.7	-2.15	-2.15	0.0
31.01.2041	00.00.00	0.7	1.35	1.35	0.0
01.02.2041	00.00.00	0.0	2.55	2.55	0.0
