Dato	Time	P_mm_256moh	T_minC_256moh	T_maxC_256moh	Q_Myglevatn
dd.mm.yyyy	hh:mm:ss	mm	grC	grC	m3/s
14.10.1998	00.00.00	6.1	5.35	5.35	2.7476675
15.10.1998	00.00.00	10.4	5.85	5.85	3.507267
16.10.1998	00.00.00	6	3.65	3.65	5.235802
17.10.1998	00.00.00	20.9	2.95	2.95	8.36375
18.10.1998	00.00.00	7	2.45	2.45	10.06442
19.10.1998	00.00.00	8.7	2.75	2.75	9.950961
20.10.1998	00.00.00	6.3	1.75	1.75	10.63165
21.10.1998	00.00.00	2.1	1.75	1.75	11.99874
22.10.1998	00.00.00	34.4	5.55	5.55	21.86854
23.10.1998	00.00.00	20.2	9.55	9.55	34.30282
24.10.1998	00.00.00	22.5	6.75	6.75	42.50227
25.10.1998	00.00.00	26.8	5.65	5.65	54.76233
26.10.1998	00.00.00	28.7	6.95	6.95	61.17377
27.10.1998	00.00.00	0	3.55	3.55	38.96422
28.10.1998	00.00.00	25.8	1.85	1.85	27.06881
29.10.1998	00.00.00	11.4	3.25	3.25	19.78451
30.10.1998	00.00.00	0.1	4.25	4.25	16.16388
31.10.1998	00.00.00	0	3.75	3.75	13.03938
01.11.1998	00.00.00	1.2	2.85	2.85	10.70075
02.11.1998	00.00.00	0	1.45	1.45	8.478548
03.11.1998	00.00.00	0	-0.65	-0.65	6.320354
04.11.1998	00.00.00	0	-2.45	-2.45	5.143915
05.11.1998	00.00.00	3.4	-3.25	-3.25	4.340948
06.11.1998	00.00.00	0.9	-1.45	-1.45	3.497897
07.11.1998	00.00.00	0	-1.15	-1.15	2.911309
08.11.1998	00.00.00	8.8	-0.85	-0.85	2.71731
09.11.1998	00.00.00	4	0.75	0.75	2.666502
10.11.1998	00.00.00	17.1	1.65	1.65	3.133701
11.11.1998	00.00.00	10.7	1.65	1.65	4.141976
12.11.1998	00.00.00	0	-0.85	-0.85	4.613547
13.11.1998	00.00.00	0	-2.45	-2.45	4.713454
14.11.1998	00.00.00	4.8	-0.65	-0.65	4.555269
15.11.1998	00.00.00	0.8	-0.15	-0.15	3.97419
16.11.1998	00.00.00	0	-2.55	-2.55	3.391632
17.11.1998	00.00.00	0	-5.95	-5.95	2.894569
18.11.1998	00.00.00	0	-8.25	-8.25	2.509991
19.11.1998	00.00.00	0	-8.35	-8.35	2.13008
20.11.1998	00.00.00	0	-8.45	-8.45	1.815652
21.11.1998	00.00.00	3.1	-4.65	-4.65	1.554807
22.11.1998	00.00.00	8.2	2.35	2.35	1.678427
23.11.1998	00.00.00	1.3	2.85	2.85	4.242724166666668
24.11.1998	00.00.00	0.3	0.05	0.05	5.740454583333332
25.11.1998	00.00.00	6.1	0.25	0.25	6.429959583333337
26.11.1998	00.00.00	5.4	0.85	0.85	6.193028749999999
27.11.1998	00.00.00	11.7	1.85	1.85	5.969248874999999
28.11.1998	00.00.00	0.1	0.85	0.85	5.399118208333334
29.11.1998	00.00.00	2.2	0.65	0.65	4.931376583333335
30.11.1998	00.00.00	0.9	0.85	0.85	4.541698916666667
01.12.1998	00.00.00	0	0.75	0.75	4.142403666666667
02.12.1998	00.00.00	0.3	1.85	1.85	3.942352166666667
03.12.1998	00.00.00	0	2.75	2.75	4.553103500000002
04.12.1998	00.00.00	1.1	0.25	0.25	5.399241166666667
05.12.1998	00.00.00	0	-1.65	-1.65	5.626716041666665
06.12.1998	00.00.00	0	-3.15	-3.15	5.005656134441709
07.12.1998	00.00.00	0	-5.55	-5.55	4.613110687192118
08.12.1998	00.00.00	0	-8.35	-8.35	4.313166844827585
09.12.1998	00.00.00	3.4	-6.15	-6.15	4.131950773399014
10.12.1998	00.00.00	3.3	-1.35	-1.35	3.807011610837438
11.12.1998	00.00.00	0.2	-0.85	-0.85	3.507067768472906
12.12.1998	00.00.00	0	-2.45	-2.45	3.207123926108374
13.12.1998	00.00.00	3	-1.95	-1.95	2.907180083743842
14.12.1998	00.00.00	1.3	0.15	0.15	2.457264320197044
15.12.1998	00.00.00	10.8	2.55	2.55	2.53493789596059
16.12.1998	00.00.00	5.1	4.25	4.25	3.541904875000001
17.12.1998	00.00.00	2.5	4.05	4.05	6.271847416666667
18.12.1998	00.00.00	5.4	5.95	5.95	16.572888125
19.12.1998	00.00.00	2	3.45	3.45	23.97922625
20.12.1998	00.00.00	0	0.05	0.05	18.0636525
21.12.1998	00.00.00	0	-1.75	-1.75	12.22337237893082
22.12.1998	00.00.00	2.1	-3.85	-3.85	9.224495452830189
23.12.1998	00.00.00	4.4	-1.95	-1.95	6.594981751572329
24.12.1998	00.00.00	5.6	0.75	0.75	5.508122041666668
25.12.1998	00.00.00	13.7	2.05	2.05	5.743473562499998
26.12.1998	00.00.00	12.1	3.25	3.25	7.474674666666664
27.12.1998	00.00.00	38.3	1.05	1.05	9.356524347490348
28.12.1998	00.00.00	19.4	2.45	2.45	15.95912162162162
29.12.1998	00.00.00	4.5	1.45	1.45	16.9507690990991
30.12.1998	00.00.00	0	0.25	0.25	12.57108104166667
31.12.1998	00.00.00	10.8	1.65	1.65	10.85669333333333
01.01.1999	00.00.00	3.6	0.95	0.95	9.893376916666668
02.01.1999	00.00.00	7.2	1.05	1.05	9.04445125
03.01.1999	00.00.00	28.3	2.25	2.25	11.36232333333333
04.01.1999	00.00.00	5.4	2.75	2.75	15.037120625
05.01.1999	00.00.00	43.8	3.25	3.25	26.02916645833334
06.01.1999	00.00.00	17.7	2.85	2.85	28.71278166666667
07.01.1999	00.00.00	3.4	0.65	0.65	20.70426583333333
08.01.1999	00.00.00	3.2	-1.25	-1.25	13.86692797682709
09.01.1999	00.00.00	0	-5.95	-5.95	11.50562638235294
10.01.1999	00.00.00	0	-9.75	-9.75	10.55321384759358
11.01.1999	00.00.00	0.7	-8.45	-8.45	9.600801312834225
12.01.1999	00.00.00	0	-7.45	-7.45	8.648388778074866
13.01.1999	00.00.00	0.2	-7.35	-7.35	7.695976243315507
14.01.1999	00.00.00	4.7	-7.55	-7.55	6.743563708556148
15.01.1999	00.00.00	7.9	-7.25	-7.25	5.79115117379679
16.01.1999	00.00.00	46.8	-3.25	-3.25	4.932292951648843
17.01.1999	00.00.00	11.6	0.95	0.95	5.591109916666666
18.01.1999	00.00.00	10.7	2.25	2.25	7.59515033333333
19.01.1999	00.00.00	22.2	3.15	3.15	18.20289316666667
20.01.1999	00.00.00	26.1	5.15	5.15	49.86135958333332
21.01.1999	00.00.00	2.6	4.35	4.35	47.34409875000001
22.01.1999	00.00.00	3.2	2.55	2.55	31.93387625
23.01.1999	00.00.00	5	2.25	2.25	22.44759833333333
24.01.1999	00.00.00	14	3.55	3.55	21.28439583333333
25.01.1999	00.00.00	5.3	3.35	3.35	22.03953999999999
26.01.1999	00.00.00	12.1	0.95	0.95	17.56272916666667
27.01.1999	00.00.00	2.8	-0.85	-0.85	12.66767148958333
28.01.1999	00.00.00	0.7	-4.45	-4.45	10.16776601785714
29.01.1999	00.00.00	0	-10.05	-10.05	8.348275446428572
30.01.1999	00.00.00	0	-9.05	-9.05	6.528784875
31.01.1999	00.00.00	4.4	-2.45	-2.45	5.103968691964288
01.02.1999	00.00.00	0	4.25	4.25	4.937838077380951
02.02.1999	00.00.00	0	3.65	3.65	5.212755791666667
03.02.1999	00.00.00	0	3.65	3.65	5.838342166666664
04.02.1999	00.00.00	5	4.85	4.85	10.31074022916667
05.02.1999	00.00.00	12.8	2.65	2.65	22.43450104166666
06.02.1999	00.00.00	0	0.15	0.15	21.75279166666667
07.02.1999	00.00.00	0	-2.95	-2.95	14.9777910130719
08.02.1999	00.00.00	0	-6.65	-6.65	12.84962723856209
09.02.1999	00.00.00	0	-9.65	-9.65	11.04788810130719
10.02.1999	00.00.00	0.2	-9.05	-9.05	9.246148964052287
11.02.1999	00.00.00	0	-9.15	-9.15	7.444409826797384
12.02.1999	00.00.00	0	-7.75	-7.75	5.642670689542483
13.02.1999	00.00.00	1.9	-2.85	-2.85	3.880786583333333
14.02.1999	00.00.00	0	1.15	1.15	3.136774333333333
15.02.1999	00.00.00	4	1.55	1.55	3.060793791666667
16.02.1999	00.00.00	21.7	1.95	1.95	4.141597083333333
17.02.1999	00.00.00	1.7	-3.15	-3.15	4.77066875
18.02.1999	00.00.00	0	-4.35	-4.35	5.153577375
19.02.1999	00.00.00	5.4	-2.85	-2.85	4.922556541666668
20.02.1999	00.00.00	2.6	0.35	0.35	4.541568000000001
21.02.1999	00.00.00	1.9	0.25	0.25	4.210601357142855
22.02.1999	00.00.00	14	-0.85	-0.85	3.789737750000002
23.02.1999	00.00.00	2.8	-2.45	-2.45	3.473009916666667
24.02.1999	00.00.00	0	-6.15	-6.15	3.128315166666667
25.02.1999	00.00.00	0	-6.55	-6.55	2.918712
26.02.1999	00.00.00	4.2	-1.55	-1.55	2.664386333333332
27.02.1999	00.00.00	0.6	1.45	1.45	2.512022749999999
28.02.1999	00.00.00	3.5	0.85	0.85	2.785797041666667
01.03.1999	00.00.00	39.2	1.05	1.05	3.428033
02.03.1999	00.00.00	2.2	1.05	1.05	3.428033
03.03.1999	00.00.00	11	0.75	0.75	3.428033
04.03.1999	00.00.00	39	-0.25	-0.25	3.441171375
05.03.1999	00.00.00	4.1	0.45	0.45	3.268727187500002
06.03.1999	00.00.00	1.2	0.95	0.95	3.128315166666667
07.03.1999	00.00.00	0.7	0.95	0.95	2.9436205
08.03.1999	00.00.00	6.4	1.05	1.05	2.819077999999999
09.03.1999	00.00.00	1	1.25	1.25	2.713236333333333
10.03.1999	00.00.00	0.1	-1.85	-1.85	2.623677999999999
11.03.1999	00.00.00	0.1	-3.45	-3.45	2.621855057142857
12.03.1999	00.00.00	0	-3.65	-3.65	2.432268999999998
13.03.1999	00.00.00	0	-2.05	-2.05	2.432268999999998
14.03.1999	00.00.00	14.2	-1.35	-1.35	2.408858874999999
15.03.1999	00.00.00	5.6	-0.65	-0.65	2.244988
16.03.1999	00.00.00	5.8	-0.35	-0.35	2.284004874999999
17.03.1999	00.00.00	22.4	0.65	0.65	2.432268999999998
18.03.1999	00.00.00	0.6	2.05	2.05	2.624675749999998
19.03.1999	00.00.00	5.4	0.95	0.95	3.154765125000001
20.03.1999	00.00.00	0	1.45	1.45	3.7462205
21.03.1999	00.00.00	2.3	0.55	0.55	4.276056479166667
22.03.1999	00.00.00	6.2	0.45	0.45	4.5035245
