Dato	Time	P_mm_256moh	T_minC_256moh	T_maxC_256moh	Q_catchmentexample
dd.mm.yyyy	hh.mm.ss	mm	grC	grC	m3/s
01.01.1971	00.00.00	4.0	-2.016667	-2.016667	0.0
02.01.1971	00.00.00	0.0	-3.375	-3.375	0.0
03.01.1971	00.00.00	0.0	-1.45	-1.45	0.0
04.01.1971	00.00.00	0.0	-3.225	-3.225	0.0
05.01.1971	00.00.00	48.655765	1.75	1.75	0.0
06.01.1971	00.00.00	0.2	-0.25	-0.25	0.0
07.01.1971	00.00.00	0.0	-0.8	-0.8	0.0
08.01.1971	00.00.00	0.066667	3.45	3.45	0.0
09.01.1971	00.00.00	0.3	1.35	1.35	0.0
10.01.1971	00.00.00	19.186667	1.55	1.55	0.0
11.01.1971	00.00.00	21.609091	1.95	1.95	0.0
12.01.1971	00.00.00	0.0	-0.116667	-0.116667	0.0
13.01.1971	00.00.00	2.45	0.35	0.35	0.0
14.01.1971	00.00.00	1.5	1.15	1.15	0.0
15.01.1971	00.00.00	0.0	-3.65	-3.65	0.0
16.01.1971	00.00.00	1.566667	-3.75	-3.75	0.0
17.01.1971	00.00.00	6.2	-2.016667	-2.016667	0.0
18.01.1971	00.00.00	4.1	-1.383333	-1.383333	0.0
19.01.1971	00.00.00	13.9	2.95	2.95	0.0
20.01.1971	00.00.00	0.0	1.35	1.35	0.0
21.01.1971	00.00.00	0.0	-2.525	-2.525	0.0
22.01.1971	00.00.00	1.0	-3.45	-3.45	0.0
23.01.1971	00.00.00	20.972727	1.85	1.85	0.0
24.01.1971	00.00.00	2.8	1.75	1.75	0.0
25.01.1971	00.00.00	0.0	0.05	0.05	0.0
26.01.1971	00.00.00	0.0	-3.225	-3.225	0.0
27.01.1971	00.00.00	0.0	-5.431818	-5.431818	0.0
28.01.1971	00.00.00	0.0	-6.505556	-6.505556	0.0
29.01.1971	00.00.00	0.116667	-5.95	-5.95	0.0
30.01.1971	00.00.00	1.5	-3.75	-3.75	0.0
31.01.1971	00.00.00	0.0	-4.629104	-4.629104	0.0
01.02.1971	00.00.00	0.0	-8.542308	-8.542308	0.0
02.02.1971	00.00.00	3.6	-4.35	-4.35	0.0
03.02.1971	00.00.00	34.73187	-2.016667	-2.016667	0.0
04.02.1971	00.00.00	1.566667	0.65	0.65	0.0
05.02.1971	00.00.00	24.485714	0.45	0.45	0.0
06.02.1971	00.00.00	4.5	0.45	0.45	0.0
07.02.1971	00.00.00	0.0	-2.016667	-2.016667	0.0
08.02.1971	00.00.00	4.3	-0.35	-0.35	0.0
09.02.1971	00.00.00	0.7	0.75	0.75	0.0
10.02.1971	00.00.00	20.881818	2.25	2.25	0.0
11.02.1971	00.00.00	1.9	0.65	0.65	0.0
12.02.1971	00.00.00	10.0	1.15	1.15	0.0
13.02.1971	00.00.00	0.0	-2.35	-2.35	0.0
14.02.1971	00.00.00	0.0	-3.3	-3.3	0.0
15.02.1971	00.00.00	0.0	-3.55	-3.55	0.0
16.02.1971	00.00.00	0.0	-5.540909	-5.540909	0.0
17.02.1971	00.00.00	0.0	-7.77	-7.77	0.0
18.02.1971	00.00.00	0.0	-4.995455	-4.995455	0.0
19.02.1971	00.00.00	19.186667	0.45	0.45	0.0
20.02.1971	00.00.00	5.5	3.65	3.65	0.0
21.02.1971	00.00.00	5.2	3.65	3.65	0.0
22.02.1971	00.00.00	2.8	3.75	3.75	0.0
23.02.1971	00.00.00	0.4	2.95	2.95	0.0
24.02.1971	00.00.00	3.2	1.15	1.15	0.0
25.02.1971	00.00.00	1.633333	-0.8	-0.8	0.0
26.02.1971	00.00.00	26.52	1.15	1.15	0.0
27.02.1971	00.00.00	2.45	1.15	1.15	0.0
28.02.1971	00.00.00	0.0	-1.65	-1.65	0.0
01.03.1971	00.00.00	0.0	-7.05	-7.05	0.0
02.03.1971	00.00.00	0.0	-8.626923	-8.626923	0.0
