Dato	Time	P_mm_256moh	T_minC_256moh	T_maxC_256moh	Q_catchmentexample
dd.mm.yyyy	hh.mm.ss	mm	grC	grC	m3/s
01.01.1971	00.00.00	6.44	-0.45	-0.45	0.0
02.01.1971	00.00.00	0.0	-4.15	-4.15	0.0
03.01.1971	00.00.00	0.0	-6.116667	-6.116667	0.0
04.01.1971	00.00.00	0.0	-5.183333	-5.183333	0.0
05.01.1971	00.00.00	7.1	-1.95	-1.95	0.0
06.01.1971	00.00.00	1.9	-0.05	-0.05	0.0
07.01.1971	00.00.00	1.4	0.75	0.75	0.0
08.01.1971	00.00.00	0.2	5.05	5.05	0.0
09.01.1971	00.00.00	0.3	4.55	4.55	0.0
10.01.1971	00.00.00	0.8	2.35	2.35	0.0
11.01.1971	00.00.00	18.882286	1.15	1.15	0.0
12.01.1971	00.00.00	6.065517	-0.65	-0.65	0.0
13.01.1971	00.00.00	0.0	-2.85	-2.85	0.0
14.01.1971	00.00.00	0.0	-4.45	-4.45	0.0
15.01.1971	00.00.00	0.0	-3.05	-3.05	0.0
16.01.1971	00.00.00	0.7	-4.25	-4.25	0.0
17.01.1971	00.00.00	0.1	-1.75	-1.75	0.0
18.01.1971	00.00.00	5.425	-1.85	-1.85	0.0
19.01.1971	00.00.00	6.8	1.75	1.75	0.0
20.01.1971	00.00.00	0.2	-0.45	-0.45	0.0
21.01.1971	00.00.00	0.0	-2.55	-2.55	0.0
22.01.1971	00.00.00	0.2	-3.45	-3.45	0.0
23.01.1971	00.00.00	15.375	-0.05	-0.05	0.0
24.01.1971	00.00.00	14.009091	1.25	1.25	0.0
25.01.1971	00.00.00	0.0	-1.45	-1.45	0.0
26.01.1971	00.00.00	0.0	-2.25	-2.25	0.0
27.01.1971	00.00.00	0.0	-6.233333	-6.233333	0.0
28.01.1971	00.00.00	0.0	-4.45	-4.45	0.0
29.01.1971	00.00.00	0.1	-5.3	-5.3	0.0
30.01.1971	00.00.00	0.166667	-4.05	-4.05	0.0
31.01.1971	00.00.00	0.0	-6.505556	-6.505556	0.0
01.02.1971	00.00.00	0.0	-7.59	-7.59	0.0
02.02.1971	00.00.00	4.0	-0.55	-0.55	0.0
03.02.1971	00.00.00	7.9	-1.316667	-1.316667	0.0
04.02.1971	00.00.00	44.102315	1.25	1.25	0.0
05.02.1971	00.00.00	7.1	-0.35	-0.35	0.0
06.02.1971	00.00.00	10.6	-0.116667	-0.116667	0.0
07.02.1971	00.00.00	4.2	0.65	0.65	0.0
08.02.1971	00.00.00	19.232	1.25	1.25	0.0
09.02.1971	00.00.00	4.9	1.55	1.55	0.0
10.02.1971	00.00.00	2.6	1.55	1.55	0.0
11.02.1971	00.00.00	0.0	-0.55	-0.55	0.0
12.02.1971	00.00.00	10.9	-0.65	-0.65	0.0
13.02.1971	00.00.00	9.0	2.05	2.05	0.0
14.02.1971	00.00.00	0.7	-0.75	-0.75	0.0
15.02.1971	00.00.00	0.0	-0.75	-0.75	0.0
16.02.1971	00.00.00	0.0	-2.95	-2.95	0.0
17.02.1971	00.00.00	0.0	-8.56875	-8.56875	0.0
18.02.1971	00.00.00	5.8	-7.95	-7.95	0.0
19.02.1971	00.00.00	10.128571	2.25	2.25	0.0
