Dato	Time	P_mm_256moh	T_minC_256moh	T_maxC_256moh	Q_catchmentexample
dd.mm.yyyy	hh.mm.ss	mm	grC	grC	m3/s
01.01.2041	00.00.00	52.395751	4.9	4.9	0.0
02.01.2041	00.00.00	46.752794	3.35	3.35	0.0
03.01.2041	00.00.00	29.55	3.05	3.05	0.0
04.01.2041	00.00.00	23.154545	3.05	3.05	0.0
05.01.2041	00.00.00	1.7	2.85	2.85	0.0
06.01.2041	00.00.00	0.8	2.25	2.25	0.0
07.01.2041	00.00.00	11.7	1.35	1.35	0.0
08.01.2041	00.00.00	2.5	2.05	2.05	0.0
09.01.2041	00.00.00	19.67665	2.45	2.45	0.0
10.01.2041	00.00.00	23.495455	2.85	2.85	0.0
11.01.2041	00.00.00	13.411111	4.65	4.65	0.0
12.01.2041	00.00.00	8.9	3.55	3.55	0.0
13.01.2041	00.00.00	1.0	2.75	2.75	0.0
14.01.2041	00.00.00	16.738462	2.3	2.3	0.0
15.01.2041	00.00.00	0.8	-0.75	-0.75	0.0
16.01.2041	00.00.00	0.066667	-6.116667	-6.116667	0.0
17.01.2041	00.00.00	0.0	-9.528175	-9.528175	0.0
18.01.2041	00.00.00	0.066667	-9.05	-9.05	0.0
19.01.2041	00.00.00	0.1	-7.41	-7.41	0.0
20.01.2041	00.00.00	0.0	-7.86	-7.86	0.0
21.01.2041	00.00.00	0.0	-10.006349	-10.006349	0.0
22.01.2041	00.00.00	0.0	-9.336905	-9.336905	0.0
23.01.2041	00.00.00	0.3	-5.766667	-5.766667	0.0
24.01.2041	00.00.00	0.5	-1.85	-1.85	0.0
25.01.2041	00.00.00	1.8	0.45	0.45	0.0
26.01.2041	00.00.00	7.66	2.15	2.15	0.0
27.01.2041	00.00.00	4.8	1.55	1.55	0.0
28.01.2041	00.00.00	0.0	0.05	0.05	0.0
29.01.2041	00.00.00	0.0	-2.85	-2.85	0.0
30.01.2041	00.00.00	0.5	-4.05	-4.05	0.0
31.01.2041	00.00.00	2.0	-0.75	-0.75	0.0
01.02.2041	00.00.00	34.298198	3.35	3.35	0.0
02.02.2041	00.00.00	0.0	1.35	1.35	0.0
03.02.2041	00.00.00	0.0	-0.65	-0.65	0.0
04.02.2041	00.00.00	0.0	-2.05	-2.05	0.0
05.02.2041	00.00.00	1.0	-0.183333	-0.183333	0.0
06.02.2041	00.00.00	6.68	0.35	0.35	0.0
07.02.2041	00.00.00	1.2	-0.183333	-0.183333	0.0
08.02.2041	00.00.00	1.4	-0.05	-0.05	0.0
09.02.2041	00.00.00	3.7	0.05	0.05	0.0
10.02.2041	00.00.00	1.7	0.95	0.95	0.0
11.02.2041	00.00.00	0.1	1.05	1.05	0.0
12.02.2041	00.00.00	9.1	1.35	1.35	0.0
13.02.2041	00.00.00	16.953846	1.65	1.65	0.0
14.02.2041	00.00.00	0.9	1.65	1.65	0.0
15.02.2041	00.00.00	0.0	-0.116667	-0.116667	0.0
16.02.2041	00.00.00	0.0	-3.15	-3.15	0.0
17.02.2041	00.00.00	0.0	-4.15	-4.15	0.0
18.02.2041	00.00.00	0.0	-2.95	-2.95	0.0
19.02.2041	00.00.00	0.0	-3.75	-3.75	0.0
20.02.2041	00.00.00	0.0	-7.32	-7.32	0.0
21.02.2041	00.00.00	0.0	-5.183333	-5.183333	0.0
22.02.2041	00.00.00	0.0	-4.45	-4.45	0.0
23.02.2041	00.00.00	0.0	-8.01875	-8.01875	0.0
24.02.2041	00.00.00	0.166667	-3.85	-3.85	0.0
25.02.2041	00.00.00	0.0	-5.416667	-5.416667	0.0
26.02.2041	00.00.00	2.6	-1.95	-1.95	0.0
27.02.2041	00.00.00	0.0	-3.15	-3.15	0.0
28.02.2041	00.00.00	0.0	-3.3	-3.3	0.0
01.03.2041	00.00.00	0.166667	-3.75	-3.75	0.0
02.03.2041	00.00.00	0.0	-1.95	-1.95	0.0
03.03.2041	00.00.00	4.8	-0.35	-0.35	0.0
04.03.2041	00.00.00	0.0	2.05	2.05	0.0
05.03.2041	00.00.00	0.9	-2.25	-2.25	0.0
06.03.2041	00.00.00	16.523077	2.35	2.35	0.0
07.03.2041	00.00.00	11.2	2.65	2.65	0.0
08.03.2041	00.00.00	5.8	2.25	2.25	0.0
09.03.2041	00.00.00	0.066667	2.55	2.55	0.0
10.03.2041	00.00.00	1.0	1.15	1.15	0.0
11.03.2041	00.00.00	1.4	2.3	2.3	0.0
12.03.2041	00.00.00	4.6	1.35	1.35	0.0
13.03.2041	00.00.00	30.6	3.15	3.15	0.0
14.03.2041	00.00.00	4.0	2.95	2.95	0.0
15.03.2041	00.00.00	8.9	2.95	2.95	0.0
16.03.2041	00.00.00	6.56	3.15	3.15	0.0
17.03.2041	00.00.00	0.066667	1.05	1.05	0.0
18.03.2041	00.00.00	22.128571	2.95	2.95	0.0
19.03.2041	00.00.00	7.66	2.75	2.75	0.0
20.03.2041	00.00.00	3.0	3.05	3.05	0.0
21.03.2041	00.00.00	10.3	2.55	2.55	0.0
22.03.2041	00.00.00	3.8	2.75	2.75	0.0
23.03.2041	00.00.00	0.0	1.15	1.15	0.0
24.03.2041	00.00.00	23.722727	2.95	2.95	0.0
25.03.2041	00.00.00	34.859572	3.75	3.75	0.0
26.03.2041	00.00.00	1.3	3.15	3.15	0.0
27.03.2041	00.00.00	0.066667	2.35	2.35	0.0
28.03.2041	00.00.00	0.0	-0.116667	-0.116667	0.0
29.03.2041	00.00.00	0.0	-2.65	-2.65	0.0
30.03.2041	00.00.00	0.0	-1.95	-1.95	0.0
31.03.2041	00.00.00	8.0	2.45	2.45	0.0
01.04.2041	00.00.00	6.231034	2.95	2.95	0.0
02.04.2041	00.00.00	0.5	3.15	3.15	0.0
03.04.2041	00.00.00	23.381818	3.65	3.65	0.0
04.04.2041	00.00.00	0.9	4.05	4.05	0.0
05.04.2041	00.00.00	0.0	2.85	2.85	0.0
06.04.2041	00.00.00	0.0	2.55	2.55	0.0
07.04.2041	00.00.00	0.066667	3.95	3.95	0.0
08.04.2041	00.00.00	0.3	4.25	4.25	0.0
09.04.2041	00.00.00	0.0	2.85	2.85	0.0
10.04.2041	00.00.00	0.0	2.65	2.65	0.0
11.04.2041	00.00.00	0.0	1.65	1.65	0.0
12.04.2041	00.00.00	0.0	1.05	1.05	0.0
13.04.2041	00.00.00	0.0	0.55	0.55	0.0
14.04.2041	00.00.00	0.75	2.35	2.35	0.0
15.04.2041	00.00.00	16.523077	4.9	4.9	0.0
16.04.2041	00.00.00	8.9	3.95	3.95	0.0
17.04.2041	00.00.00	0.0	2.05	2.05	0.0
18.04.2041	00.00.00	0.0	1.55	1.55	0.0
19.04.2041	00.00.00	18.299429	3.15	3.15	0.0
20.04.2041	00.00.00	0.0	3.35	3.35	0.0
21.04.2041	00.00.00	0.0	1.85	1.85	0.0
22.04.2041	00.00.00	0.0	1.55	1.55	0.0
23.04.2041	00.00.00	0.0	0.75	0.75	0.0
24.04.2041	00.00.00	0.0	1.25	1.25	0.0
25.04.2041	00.00.00	0.1	2.05	2.05	0.0
26.04.2041	00.00.00	4.2	3.55	3.55	0.0
27.04.2041	00.00.00	4.4	4.55	4.55	0.0
28.04.2041	00.00.00	0.0	2.75	2.75	0.0
29.04.2041	00.00.00	0.0	3.05	3.05	0.0
30.04.2041	00.00.00	0.0	2.85	2.85	0.0
01.05.2041	00.00.00	0.0	5.85	5.85	0.0
02.05.2041	00.00.00	0.0	4.25	4.25	0.0
