Dato	Time	P_mm_256moh	T_minC_256moh	T_maxC_256moh	Q_catchmentexample
dd.mm.yyyy	hh.mm.ss	mm	grC	grC	m3/s
01.01.1971	00.00.00	0.116667	1.55	1.55	0.0
02.01.1971	00.00.00	0.0	-0.372581	-0.372581	0.0
03.01.1971	00.00.00	0.0	-1.383333	-1.383333	0.0
04.01.1971	00.00.00	14.227273	-0.132759	-0.132759	0.0
05.01.1971	00.00.00	0.1	-7.14	-7.14	0.0
06.01.1971	00.00.00	0.0	-9.719444	-9.719444	0.0
07.01.1971	00.00.00	0.0	-7.14	-7.14	0.0
08.01.1971	00.00.00	0.0	-11.957605	-11.957605	0.0
09.01.1971	00.00.00	7.3	-5.55	-5.55	0.0
10.01.1971	00.00.00	0.2	-2.45	-2.45	0.0
11.01.1971	00.00.00	0.0	-2.65	-2.65	0.0
12.01.1971	00.00.00	2.75	3.65	3.65	0.0
13.01.1971	00.00.00	18.875	1.95	1.95	0.0
14.01.1971	00.00.00	23.95	2.95	2.95	0.0
15.01.1971	00.00.00	0.0	-6.0	-6.0	0.0
16.01.1971	00.00.00	0.0	-11.657848	-11.657848	0.0
17.01.1971	00.00.00	20.273913	-0.45	-0.45	0.0
18.01.1971	00.00.00	0.0	0.9	0.9	0.0
19.01.1971	00.00.00	4.8	-0.372581	-0.372581	0.0
20.01.1971	00.00.00	6.3	-2.91	-2.91	0.0
21.01.1971	00.00.00	2.1	-5.25	-5.25	0.0
22.01.1971	00.00.00	30.062208	0.45	0.45	0.0
23.01.1971	00.00.00	10.0	1.6	1.6	0.0
24.01.1971	00.00.00	1.5	1.15	1.15	0.0
25.01.1971	00.00.00	3.3	0.75	0.75	0.0
26.01.1971	00.00.00	15.741667	-0.95	-0.95	0.0
27.01.1971	00.00.00	0.5	-2.83	-2.83	0.0
28.01.1971	00.00.00	0.1	-2.83	-2.83	0.0
29.01.1971	00.00.00	2.3	-3.7	-3.7	0.0
30.01.1971	00.00.00	0.0	-7.86	-7.86	0.0
31.01.1971	00.00.00	12.618182	-9.831019	-9.831019	0.0
