Dato	Time	P_mm_256moh	T_minC_256moh	T_maxC_256moh	Q_catchmentexample
dd.mm.yyyy	hh.mm.ss	mm	grC	grC	m3/s
01.01.2041	00.00.00	0.0	0.95	0.95	0.0
02.01.2041	00.00.00	0.1	1.05	1.05	0.0
03.01.2041	00.00.00	7.0	-0.85	-0.85	0.0
04.01.2041	00.00.00	0.3	-0.45	-0.45	0.0
05.01.2041	00.00.00	5.35	-0.05	-0.05	0.0
06.01.2041	00.00.00	7.983333	-1.55	-1.55	0.0
07.01.2041	00.00.00	2.3	-0.05	-0.05	0.0
08.01.2041	00.00.00	0.0	-1.05	-1.05	0.0
09.01.2041	00.00.00	2.6	-1.316667	-1.316667	0.0
10.01.2041	00.00.00	0.0	-1.25	-1.25	0.0
11.01.2041	00.00.00	2.6	-0.05	-0.05	0.0
12.01.2041	00.00.00	0.116667	3.05	3.05	0.0
13.01.2041	00.00.00	19.604348	4.65	4.65	0.0
14.01.2041	00.00.00	0.0	0.55	0.55	0.0
15.01.2041	00.00.00	0.8	1.75	1.75	0.0
16.01.2041	00.00.00	6.22	4.35	4.35	0.0
17.01.2041	00.00.00	28.690513	5.05	5.05	0.0
18.01.2041	00.00.00	0.0	1.85	1.85	0.0
19.01.2041	00.00.00	0.0	1.55	1.55	0.0
20.01.2041	00.00.00	0.0	-0.45	-0.45	0.0
21.01.2041	00.00.00	30.885226	-0.295161	-0.295161	0.0
22.01.2041	00.00.00	24.45	-0.132759	-0.132759	0.0
23.01.2041	00.00.00	5.35	0.9	0.9	0.0
24.01.2041	00.00.00	0.0	-1.45	-1.45	0.0
25.01.2041	00.00.00	12.163636	-2.05	-2.05	0.0
26.01.2041	00.00.00	3.7	-0.65	-0.65	0.0
27.01.2041	00.00.00	0.1	-0.65	-0.65	0.0
28.01.2041	00.00.00	0.0	-4.35	-4.35	0.0
29.01.2041	00.00.00	0.8	-0.85	-0.85	0.0
30.01.2041	00.00.00	32.53126	0.95	0.95	0.0
31.01.2041	00.00.00	11.981818	-0.215517	-0.215517	0.0
01.02.2041	00.00.00	25.2	-0.75	-0.75	0.0
02.02.2041	00.00.00	0.5	-0.75	-0.75	0.0
03.02.2041	00.00.00	0.0	-1.85	-1.85	0.0
04.02.2041	00.00.00	0.116667	-1.383333	-1.383333	0.0
05.02.2041	00.00.00	4.8	0.35	0.35	0.0
06.02.2041	00.00.00	0.0	-1.45	-1.45	0.0
07.02.2041	00.00.00	0.0	-1.75	-1.75	0.0
08.02.2041	00.00.00	0.0	-2.45	-2.45	0.0
09.02.2041	00.00.00	0.6	-1.05	-1.05	0.0
10.02.2041	00.00.00	0.3	-0.55	-0.55	0.0
11.02.2041	00.00.00	4.325	1.35	1.35	0.0
12.02.2041	00.00.00	0.0	-2.75	-2.75	0.0
13.02.2041	00.00.00	0.7	1.05	1.05	0.0
14.02.2041	00.00.00	0.116667	0.35	0.35	0.0
15.02.2041	00.00.00	0.0	-0.95	-0.95	0.0
16.02.2041	00.00.00	0.1	-2.55	-2.55	0.0
17.02.2041	00.00.00	0.0	-0.65	-0.65	0.0
18.02.2041	00.00.00	4.933333	0.4	0.4	0.0
19.02.2041	00.00.00	0.3	1.65	1.65	0.0
20.02.2041	00.00.00	4.325	2.75	2.75	0.0
21.02.2041	00.00.00	4.4	4.65	4.65	0.0
22.02.2041	00.00.00	0.0	7.0	7.0	0.0
23.02.2041	00.00.00	0.0	5.35	5.35	0.0
24.02.2041	00.00.00	0.2	2.05	2.05	0.0
25.02.2041	00.00.00	0.0	2.95	2.95	0.0
26.02.2041	00.00.00	0.0	2.3	2.3	0.0
27.02.2041	00.00.00	1.7	2.55	2.55	0.0
28.02.2041	00.00.00	0.0	4.416667	4.416667	0.0
01.03.2041	00.00.00	0.0	4.35	4.35	0.0
02.03.2041	00.00.00	0.0	0.45	0.45	0.0
03.03.2041	00.00.00	0.0	-1.95	-1.95	0.0
04.03.2041	00.00.00	0.0	-2.35	-2.35	0.0
05.03.2041	00.00.00	0.0	-2.15	-2.15	0.0
06.03.2041	00.00.00	0.0	-1.383333	-1.383333	0.0
07.03.2041	00.00.00	0.0	-2.75	-2.75	0.0
08.03.2041	00.00.00	0.0	-2.83	-2.83	0.0
09.03.2041	00.00.00	0.0	-0.215517	-0.215517	0.0
10.03.2041	00.00.00	0.0	0.05	0.05	0.0
11.03.2041	00.00.00	0.0	-1.383333	-1.383333	0.0
12.03.2041	00.00.00	0.116667	0.05	0.05	0.0
13.03.2041	00.00.00	37.632547	3.65	3.65	0.0
14.03.2041	00.00.00	4.325	4.416667	4.416667	0.0
15.03.2041	00.00.00	6.06	3.95	3.95	0.0
16.03.2041	00.00.00	0.5	3.95	3.95	0.0
17.03.2041	00.00.00	0.116667	3.25	3.25	0.0
18.03.2041	00.00.00	0.1	4.416667	4.416667	0.0
19.03.2041	00.00.00	0.6	4.65	4.65	0.0
20.03.2041	00.00.00	0.0	1.45	1.45	0.0
21.03.2041	00.00.00	0.0	0.05	0.05	0.0
22.03.2041	00.00.00	0.0	2.35	2.35	0.0
23.03.2041	00.00.00	0.0	8.35	8.35	0.0
24.03.2041	00.00.00	0.0	7.9	7.9	0.0
25.03.2041	00.00.00	0.0	5.55	5.55	0.0
