Dato	Time	P_mm_256moh	T_minC_256moh	T_maxC_256moh	Q_catchmentexample
dd.mm.yyyy	hh.mm.ss	mm	grC	grC	m3/s
01.01.2071	00.00.00	0.7	0.4	0.4	0.0
02.01.2071	00.00.00	0.0	-0.45	-0.45	0.0
03.01.2071	00.00.00	0.0	-1.45	-1.45	0.0
04.01.2071	00.00.00	5.82	-0.372581	-0.372581	0.0
05.01.2071	00.00.00	12.55	0.4	0.4	0.0
06.01.2071	00.00.00	28.609262	1.15	1.15	0.0
07.01.2071	00.00.00	8.9	2.683333	2.683333	0.0
08.01.2071	00.00.00	32.13928	1.85	1.85	0.0
09.01.2071	00.00.00	10.528571	1.983333	1.983333	0.0
10.01.2071	00.00.00	0.166667	-3.95	-3.95	0.0
11.01.2071	00.00.00	9.7	-1.85	-1.85	0.0
12.01.2071	00.00.00	0.0	-0.516667	-0.516667	0.0
13.01.2071	00.00.00	15.184615	1.05	1.05	0.0
14.01.2071	00.00.00	10.985714	1.65	1.65	0.0
15.01.2071	00.00.00	0.3	0.25	0.25	0.0
16.01.2071	00.00.00	0.5	3.15	3.15	0.0
17.01.2071	00.00.00	0.0	1.916667	1.916667	0.0
18.01.2071	00.00.00	0.2	0.05	0.05	0.0
19.01.2071	00.00.00	0.0	-0.8	-0.8	0.0
20.01.2071	00.00.00	0.0	-5.555618	-5.555618	0.0
21.01.2071	00.00.00	0.0	-9.413774	-9.413774	0.0
22.01.2071	00.00.00	0.0	-6.0	-6.0	0.0
23.01.2071	00.00.00	0.0	-0.8	-0.8	0.0
24.01.2071	00.00.00	0.0	-2.85	-2.85	0.0
25.01.2071	00.00.00	0.0	-3.05	-3.05	0.0
26.01.2071	00.00.00	0.0	-5.272472	-5.272472	0.0
27.01.2071	00.00.00	0.0	-6.45	-6.45	0.0
28.01.2071	00.00.00	0.0	-6.55	-6.55	0.0
29.01.2071	00.00.00	1.4	-4.989326	-4.989326	0.0
30.01.2071	00.00.00	3.5	-3.05	-3.05	0.0
31.01.2071	00.00.00	1.0	-3.05	-3.05	0.0
01.02.2071	00.00.00	10.757143	-2.675	-2.675	0.0
02.02.2071	00.00.00	8.5	-1.316667	-1.316667	0.0
03.02.2071	00.00.00	15.0	-0.295161	-0.295161	0.0
04.02.2071	00.00.00	27.23965	2.25	2.25	0.0
05.02.2071	00.00.00	0.1	2.05	2.05	0.0
06.02.2071	00.00.00	0.9	0.25	0.25	0.0
07.02.2071	00.00.00	4.175	-2.35	-2.35	0.0
08.02.2071	00.00.00	16.030769	-0.8	-0.8	0.0
09.02.2071	00.00.00	22.296639	-0.516667	-0.516667	0.0
10.02.2071	00.00.00	0.0	-6.55	-6.55	0.0
11.02.2071	00.00.00	0.0	-8.203846	-8.203846	0.0
12.02.2071	00.00.00	3.3	-2.6	-2.6	0.0
13.02.2071	00.00.00	0.55	1.55	1.55	0.0
14.02.2071	00.00.00	0.0	1.35	1.35	0.0
15.02.2071	00.00.00	0.9	-6.45	-6.45	0.0
16.02.2071	00.00.00	0.0	-6.116667	-6.116667	0.0
17.02.2071	00.00.00	0.0	-12.583499	-12.583499	0.0
18.02.2071	00.00.00	0.0	-11.050755	-11.050755	0.0
19.02.2071	00.00.00	0.0	-9.05	-9.05	0.0
20.02.2071	00.00.00	0.0	-11.199315	-11.199315	0.0
21.02.2071	00.00.00	0.0	-9.504717	-9.504717	0.0
22.02.2071	00.00.00	0.0	-8.880769	-8.880769	0.0
23.02.2071	00.00.00	0.95	-7.295455	-7.295455	0.0
24.02.2071	00.00.00	0.0	-4.989326	-4.989326	0.0
25.02.2071	00.00.00	0.0	-7.377273	-7.377273	0.0
26.02.2071	00.00.00	0.0	-4.629104	-4.629104	0.0
27.02.2071	00.00.00	0.0	0.4	0.4	0.0
28.02.2071	00.00.00	0.0	-3.05	-3.05	0.0
01.03.2071	00.00.00	4.175	0.65	0.65	0.0
02.03.2071	00.00.00	15.353846	1.6	1.6	0.0
03.03.2071	00.00.00	6.3	1.85	1.85	0.0
04.03.2071	00.00.00	11.8	1.6	1.6	0.0
05.03.2071	00.00.00	6.883333	1.983333	1.983333	0.0
06.03.2071	00.00.00	0.95	1.65	1.65	0.0
07.03.2071	00.00.00	3.0	1.916667	1.916667	0.0
08.03.2071	00.00.00	3.4	1.45	1.45	0.0
09.03.2071	00.00.00	0.0	-1.15	-1.15	0.0
10.03.2071	00.00.00	0.0	-0.05	-0.05	0.0
11.03.2071	00.00.00	4.6	3.45	3.45	0.0
12.03.2071	00.00.00	0.0	4.85	4.85	0.0
13.03.2071	00.00.00	0.0	0.95	0.95	0.0
14.03.2071	00.00.00	0.0	-1.85	-1.85	0.0
15.03.2071	00.00.00	0.0	-1.75	-1.75	0.0
16.03.2071	00.00.00	0.0	-2.05	-2.05	0.0
17.03.2071	00.00.00	0.0	-0.8	-0.8	0.0
18.03.2071	00.00.00	0.0	1.05	1.05	0.0
19.03.2071	00.00.00	3.58	-0.132759	-0.132759	0.0
20.03.2071	00.00.00	3.74	1.85	1.85	0.0
21.03.2071	00.00.00	0.0	1.6	1.6	0.0
22.03.2071	00.00.00	22.195798	0.15	0.15	0.0
23.03.2071	00.00.00	23.557143	1.983333	1.983333	0.0
24.03.2071	00.00.00	4.175	3.05	3.05	0.0
25.03.2071	00.00.00	0.3	2.55	2.55	0.0
26.03.2071	00.00.00	0.55	3.15	3.15	0.0
27.03.2071	00.00.00	0.0	2.35	2.35	0.0
28.03.2071	00.00.00	0.0	3.35	3.35	0.0
29.03.2071	00.00.00	0.0	5.716667	5.716667	0.0
30.03.2071	00.00.00	0.0	4.283333	4.283333	0.0
31.03.2071	00.00.00	0.2	3.95	3.95	0.0
01.04.2071	00.00.00	0.55	8.05	8.05	0.0
02.04.2071	00.00.00	0.1	9.05	9.05	0.0
03.04.2071	00.00.00	0.0	9.15	9.15	0.0
04.04.2071	00.00.00	0.0	7.65	7.65	0.0
05.04.2071	00.00.00	0.1	7.55	7.55	0.0
06.04.2071	00.00.00	0.0	10.15	10.15	0.0
07.04.2071	00.00.00	0.0	11.45	11.45	0.0
08.04.2071	00.00.00	0.1	11.104167	11.104167	0.0
09.04.2071	00.00.00	5.74	12.716667	12.716667	0.0
10.04.2071	00.00.00	0.166667	6.95	6.95	0.0
11.04.2071	00.00.00	0.0	4.216667	4.216667	0.0
12.04.2071	00.00.00	5.425	3.95	3.95	0.0
13.04.2071	00.00.00	0.0	7.05	7.05	0.0
14.04.2071	00.00.00	0.0	7.65	7.65	0.0
15.04.2071	00.00.00	0.0	7.45	7.45	0.0
16.04.2071	00.00.00	0.0	9.883333	9.883333	0.0
17.04.2071	00.00.00	1.2	8.65	8.65	0.0
18.04.2071	00.00.00	1.2	9.883333	9.883333	0.0
19.04.2071	00.00.00	3.66	9.35	9.35	0.0
20.04.2071	00.00.00	0.0	10.216667	10.216667	0.0
21.04.2071	00.00.00	0.0	10.958333	10.958333	0.0
22.04.2071	00.00.00	0.1	6.55	6.55	0.0
23.04.2071	00.00.00	0.55	6.45	6.45	0.0
24.04.2071	00.00.00	0.0	7.45	7.45	0.0
25.04.2071	00.00.00	0.0	6.55	6.55	0.0
26.04.2071	00.00.00	0.55	5.783333	5.783333	0.0
27.04.2071	00.00.00	0.0	6.45	6.45	0.0
28.04.2071	00.00.00	0.0	6.75	6.75	0.0
29.04.2071	00.00.00	0.0	5.783333	5.783333	0.0
30.04.2071	00.00.00	0.0	6.35	6.35	0.0
01.05.2071	00.00.00	10.15	6.55	6.55	0.0
02.05.2071	00.00.00	0.8	8.65	8.65	0.0
03.05.2071	00.00.00	0.0	6.95	6.95	0.0
04.05.2071	00.00.00	0.0	6.0	6.0	0.0
05.05.2071	00.00.00	0.0	7.15	7.15	0.0
06.05.2071	00.00.00	0.0	7.25	7.25	0.0
07.05.2071	00.00.00	0.0	7.35	7.35	0.0
08.05.2071	00.00.00	9.0	6.216667	6.216667	0.0
09.05.2071	00.00.00	17.061538	8.65	8.65	0.0
10.05.2071	00.00.00	0.0	11.35	11.35	0.0
11.05.2071	00.00.00	25.969679	8.35	8.35	0.0
12.05.2071	00.00.00	1.2	10.854167	10.854167	0.0
13.05.2071	00.00.00	33.349571	9.883333	9.883333	0.0
14.05.2071	00.00.00	0.0	11.75	11.75	0.0
15.05.2071	00.00.00	0.6	10.35	10.35	0.0
16.05.2071	00.00.00	0.0	11.55	11.55	0.0
17.05.2071	00.00.00	0.0	11.104167	11.104167	0.0
18.05.2071	00.00.00	13.655556	9.35	9.35	0.0
19.05.2071	00.00.00	8.7	9.65	9.65	0.0
20.05.2071	00.00.00	0.0	12.35	12.35	0.0
21.05.2071	00.00.00	0.0	13.05	13.05	0.0
22.05.2071	00.00.00	4.5	13.85	13.85	0.0
23.05.2071	00.00.00	8.114286	11.25	11.25	0.0
24.05.2071	00.00.00	10.871429	10.216667	10.216667	0.0
25.05.2071	00.00.00	0.0	12.05	12.05	0.0
26.05.2071	00.00.00	1.6	11.35	11.35	0.0
27.05.2071	00.00.00	0.0	11.45	11.45	0.0
28.05.2071	00.00.00	1.2	10.35	10.35	0.0
29.05.2071	00.00.00	1.2	12.65	12.65	0.0
30.05.2071	00.00.00	0.166667	11.75	11.75	0.0
31.05.2071	00.00.00	12.425	10.15	10.15	0.0
01.06.2071	00.00.00	3.3	10.75	10.75	0.0
02.06.2071	00.00.00	13.9	12.05	12.05	0.0
03.06.2071	00.00.00	0.8	12.35	12.35	0.0
04.06.2071	00.00.00	0.0	14.35	14.35	0.0
