Dato	Time	P_mm_256moh	T_minC_256moh	T_maxC_256moh	Q_catchmentexample
dd.mm.yyyy	hh.mm.ss	mm	grC	grC	m3/s
01.01.1971	00.00.00	6.2	2.05	2.05	0.0
02.01.1971	00.00.00	0.0	-0.55	-0.55	0.0
03.01.1971	00.00.00	2.9	-1.25	-1.25	0.0
04.01.1971	00.00.00	12.022222	0.25	0.25	0.0
05.01.1971	00.00.00	0.0	-6.466667	-6.466667	0.0
06.01.1971	00.00.00	0.0	-8.394371	-8.394371	0.0
07.01.1971	00.00.00	0.0	-5.883333	-5.883333	0.0
08.01.1971	00.00.00	0.0	-10.140238	-10.140238	0.0
09.01.1971	00.00.00	4.533333	-6.0	-6.0	0.0
10.01.1971	00.00.00	0.0	-1.75	-1.75	0.0
11.01.1971	00.00.00	0.1	-1.883333	-1.883333	0.0
12.01.1971	00.00.00	1.25	4.35	4.35	0.0
13.01.1971	00.00.00	2.014286	1.6	1.6	0.0
14.01.1971	00.00.00	9.7	3.65	3.65	0.0
15.01.1971	00.00.00	0.0	-6.116667	-6.116667	0.0
16.01.1971	00.00.00	0.0	-10.255	-10.255	0.0
17.01.1971	00.00.00	3.721739	-0.15	-0.15	0.0
18.01.1971	00.00.00	0.116667	0.95	0.95	0.0
19.01.1971	00.00.00	7.1	1.05	1.05	0.0
20.01.1971	00.00.00	13.02	-1.383333	-1.383333	0.0
21.01.1971	00.00.00	0.2	-5.416667	-5.416667	0.0
22.01.1971	00.00.00	29.379487	0.65	0.65	0.0
23.01.1971	00.00.00	5.66	1.75	1.75	0.0
24.01.1971	00.00.00	1.5	0.65	0.65	0.0
25.01.1971	00.00.00	20.535294	1.15	1.15	0.0
26.01.1971	00.00.00	10.220482	-0.15	-0.15	0.0
27.01.1971	00.00.00	8.6	-0.85	-0.85	0.0
28.01.1971	00.00.00	0.0	-6.7	-6.7	0.0
29.01.1971	00.00.00	0.0	-10.82881	-10.82881	0.0
30.01.1971	00.00.00	0.2	-13.495833	-13.495833	0.0
31.01.1971	00.00.00	6.4	-6.816667	-6.816667	0.0
01.02.1971	00.00.00	3.476923	-1.45	-1.45	0.0
02.02.1971	00.00.00	0.25	-2.35	-2.35	0.0
03.02.1971	00.00.00	0.0	-10.025476	-10.025476	0.0
04.02.1971	00.00.00	9.6	0.25	0.25	0.0
05.02.1971	00.00.00	0.3	-0.95	-0.95	0.0
06.02.1971	00.00.00	8.7	-1.65	-1.65	0.0
07.02.1971	00.00.00	10.220482	0.85	0.85	0.0
08.02.1971	00.00.00	9.786747	0.75	0.75	0.0
09.02.1971	00.00.00	2.7	0.25	0.25	0.0
10.02.1971	00.00.00	11.8	0.35	0.35	0.0
11.02.1971	00.00.00	43.153062	5.25	5.25	0.0
12.02.1971	00.00.00	7.5	2.25	2.25	0.0
13.02.1971	00.00.00	0.1	-0.85	-0.85	0.0
14.02.1971	00.00.00	4.4	-1.25	-1.25	0.0
15.02.1971	00.00.00	48.479996	4.05	4.05	0.0
16.02.1971	00.00.00	4.325	0.55	0.55	0.0
17.02.1971	00.00.00	13.993506	-0.45	-0.45	0.0
18.02.1971	00.00.00	26.342308	0.45	0.45	0.0
19.02.1971	00.00.00	47.414609	1.6	1.6	0.0
20.02.1971	00.00.00	0.65	0.95	0.95	0.0
21.02.1971	00.00.00	1.775	1.15	1.15	0.0
22.02.1971	00.00.00	14.554545	1.85	1.85	0.0
23.02.1971	00.00.00	0.0	-0.95	-0.95	0.0
24.02.1971	00.00.00	0.0	-4.116667	-4.116667	0.0
25.02.1971	00.00.00	0.0	-6.7	-6.7	0.0
26.02.1971	00.00.00	0.0	-2.45	-2.45	0.0
27.02.1971	00.00.00	0.5	0.75	0.75	0.0
28.02.1971	00.00.00	0.0	1.6	1.6	0.0
01.03.1971	00.00.00	1.928571	2.55	2.55	0.0
02.03.1971	00.00.00	2.45	2.25	2.25	0.0
03.03.1971	00.00.00	0.0	-0.25	-0.25	0.0
04.03.1971	00.00.00	0.0	-5.3	-5.3	0.0
05.03.1971	00.00.00	0.0	-7.756542	-7.756542	0.0
06.03.1971	00.00.00	0.0	-7.05	-7.05	0.0
07.03.1971	00.00.00	0.0	-4.55	-4.55	0.0
08.03.1971	00.00.00	0.0	-5.883333	-5.883333	0.0
09.03.1971	00.00.00	0.0	-7.857477	-7.857477	0.0
10.03.1971	00.00.00	0.0	-9.006291	-9.006291	0.0
