Dato	Time	P_mm_256moh	T_minC_256moh	T_maxC_256moh	Q_catchmentexample
dd.mm.yyyy	hh.mm.ss	mm	grC	grC	m3/s
01.01.1971	00.00.00	0.0	-9.75	-9.75	0.0
02.01.1971	00.00.00	2.5	-8.735714	-8.735714	0.0
03.01.1971	00.00.00	5.275	3.45	3.45	0.0
04.01.1971	00.00.00	0.0	-2.85	-2.85	0.0
05.01.1971	00.00.00	0.0	-5.533333	-5.533333	0.0
06.01.1971	00.00.00	0.3	-8.892857	-8.892857	0.0
07.01.1971	00.00.00	8.4	-1.6	-1.6	0.0
08.01.1971	00.00.00	0.7	-0.15	-0.15	0.0
09.01.1971	00.00.00	4.4	-1.883333	-1.883333	0.0
10.01.1971	00.00.00	3.1	-2.45	-2.45	0.0
11.01.1971	00.00.00	2.0	-0.05	-0.05	0.0
12.01.1971	00.00.00	3.2	0.65	0.65	0.0
13.01.1971	00.00.00	7.983333	-0.35	-0.35	0.0
14.01.1971	00.00.00	0.0	-6.45	-6.45	0.0
15.01.1971	00.00.00	0.0	-6.55	-6.55	0.0
16.01.1971	00.00.00	0.0	-5.65	-5.65	0.0
17.01.1971	00.00.00	0.0	-6.0	-6.0	0.0
18.01.1971	00.00.00	14.26	-2.65	-2.65	0.0
19.01.1971	00.00.00	0.0	-6.233333	-6.233333	0.0
20.01.1971	00.00.00	2.5	-6.0	-6.0	0.0
21.01.1971	00.00.00	16.042857	-0.25	-0.25	0.0
22.01.1971	00.00.00	0.75	-0.516667	-0.516667	0.0
23.01.1971	00.00.00	5.9	-2.85	-2.85	0.0
24.01.1971	00.00.00	3.9	-1.675	-1.675	0.0
25.01.1971	00.00.00	2.75	0.9	0.9	0.0
26.01.1971	00.00.00	2.1	-2.25	-2.25	0.0
27.01.1971	00.00.00	7.175	-4.366667	-4.366667	0.0
28.01.1971	00.00.00	1.6	-4.116667	-4.116667	0.0
29.01.1971	00.00.00	0.0	-11.05	-11.05	0.0
30.01.1971	00.00.00	0.0	-11.341739	-11.341739	0.0
31.01.1971	00.00.00	0.0	-11.341739	-11.341739	0.0
01.02.1971	00.00.00	0.0	-10.15	-10.15	0.0
