Dato	Time	P_mm_256moh	T_minC_256moh	T_maxC_256moh	Q_catchmentexample
dd.mm.yyyy	hh.mm.ss	mm	grC	grC	m3/s
01.01.2041	00.00.00	0.0	-7.704545	-7.704545	0.0
02.01.2041	00.00.00	0.0	-8.421429	-8.421429	0.0
03.01.2041	00.00.00	0.0	-6.65	-6.65	0.0
04.01.2041	00.00.00	0.0	-4.116667	-4.116667	0.0
05.01.2041	00.00.00	0.0	-3.7	-3.7	0.0
06.01.2041	00.00.00	0.0	-3.05	-3.05	0.0
07.01.2041	00.00.00	0.0	-4.2	-4.2	0.0
08.01.2041	00.00.00	0.0	-6.85	-6.85	0.0
09.01.2041	00.00.00	0.166667	-6.95	-6.95	0.0
10.01.2041	00.00.00	2.1	-1.883333	-1.883333	0.0
11.01.2041	00.00.00	1.1	-1.45	-1.45	0.0
12.01.2041	00.00.00	0.0	-3.825	-3.825	0.0
13.01.2041	00.00.00	4.6	-1.316667	-1.316667	0.0
14.01.2041	00.00.00	2.4	-1.883333	-1.883333	0.0
15.01.2041	00.00.00	0.0	-4.75	-4.75	0.0
16.01.2041	00.00.00	0.166667	-4.116667	-4.116667	0.0
17.01.2041	00.00.00	5.6	-3.39	-3.39	0.0
18.01.2041	00.00.00	0.0	-4.2	-4.2	0.0
19.01.2041	00.00.00	0.0	-5.883333	-5.883333	0.0
20.01.2041	00.00.00	0.0	-7.459091	-7.459091	0.0
21.01.2041	00.00.00	0.8	-6.65	-6.65	0.0
22.01.2041	00.00.00	21.8	0.15	0.15	0.0
23.01.2041	00.00.00	11.692941	0.9	0.9	0.0
24.01.2041	00.00.00	0.4	2.15	2.15	0.0
25.01.2041	00.00.00	3.3	0.35	0.35	0.0
26.01.2041	00.00.00	0.0	2.15	2.15	0.0
27.01.2041	00.00.00	0.5	0.35	0.35	0.0
28.01.2041	00.00.00	0.0	1.15	1.15	0.0
29.01.2041	00.00.00	2.5	0.05	0.05	0.0
30.01.2041	00.00.00	2.3	4.483333	4.483333	0.0
31.01.2041	00.00.00	2.3	4.483333	4.483333	0.0
01.02.2041	00.00.00	7.175	2.95	2.95	0.0
02.02.2041	00.00.00	6.1	1.35	1.35	0.0
03.02.2041	00.00.00	0.0	-0.583333	-0.583333	0.0
04.02.2041	00.00.00	0.0	-3.7	-3.7	0.0
05.02.2041	00.00.00	8.52	-1.45	-1.45	0.0
06.02.2041	00.00.00	0.0	-4.283333	-4.283333	0.0
07.02.2041	00.00.00	0.1	-2.25	-2.25	0.0
08.02.2041	00.00.00	0.0	-4.55	-4.55	0.0
09.02.2041	00.00.00	0.0	-7.459091	-7.459091	0.0
10.02.2041	00.00.00	0.0	-7.213636	-7.213636	0.0
11.02.2041	00.00.00	0.0	-6.45	-6.45	0.0
12.02.2041	00.00.00	20.8	0.95	0.95	0.0
13.02.2041	00.00.00	9.85	3.25	3.25	0.0
14.02.2041	00.00.00	35.623357	3.65	3.65	0.0
15.02.2041	00.00.00	0.5	1.55	1.55	0.0
16.02.2041	00.00.00	38.314789	0.65	0.65	0.0
17.02.2041	00.00.00	1.8	0.45	0.45	0.0
18.02.2041	00.00.00	6.633333	0.85	0.85	0.0
19.02.2041	00.00.00	11.396471	3.25	3.25	0.0
