Dato	Time	P_mm_256moh	T_minC_256moh	T_maxC_256moh	Q_catchmentexample
dd.mm.yyyy	hh.mm.ss	mm	grC	grC	m3/s
01.01.1971	00.00.00	7.814286	-1.316667	-1.316667	0.0
02.01.1971	00.00.00	20.791954	0.45	0.45	0.0
03.01.1971	00.00.00	3.6	-0.383333	-0.383333	0.0
04.01.1971	00.00.00	3.8	2.25	2.25	0.0
05.01.1971	00.00.00	1.9	-0.316667	-0.316667	0.0
06.01.1971	00.00.00	0.1	-2.883333	-2.883333	0.0
07.01.1971	00.00.00	4.1	-0.65	-0.65	0.0
08.01.1971	00.00.00	11.5	0.85	0.85	0.0
09.01.1971	00.00.00	2.0	0.85	0.85	0.0
10.01.1971	00.00.00	0.0	-1.6	-1.6	0.0
11.01.1971	00.00.00	0.0	-5.7375	-5.7375	0.0
12.01.1971	00.00.00	0.0	-8.373077	-8.373077	0.0
13.01.1971	00.00.00	0.0	-8.796154	-8.796154	0.0
14.01.1971	00.00.00	0.0	-11.724123	-11.724123	0.0
15.01.1971	00.00.00	0.0	-16.152027	-16.152027	0.0
16.01.1971	00.00.00	0.0	-17.884684	-17.884684	0.0
17.01.1971	00.00.00	0.0	-19.232307	-19.232307	0.0
18.01.1971	00.00.00	0.0	-20.868706	-20.868706	0.0
19.01.1971	00.00.00	0.0	-21.35	-21.35	0.0
20.01.1971	00.00.00	0.1	-17.499649	-17.499649	0.0
21.01.1971	00.00.00	0.1	-13.745557	-13.745557	0.0
22.01.1971	00.00.00	10.5	-6.65	-6.65	0.0
23.01.1971	00.00.00	3.2	-1.05	-1.05	0.0
24.01.1971	00.00.00	0.0	-1.6	-1.6	0.0
25.01.1971	00.00.00	0.0	-6.65	-6.65	0.0
26.01.1971	00.00.00	0.0	-9.572022	-9.572022	0.0
27.01.1971	00.00.00	0.0	-10.790072	-10.790072	0.0
28.01.1971	00.00.00	0.0	-6.55	-6.55	0.0
29.01.1971	00.00.00	4.2	-0.383333	-0.383333	0.0
30.01.1971	00.00.00	1.8	0.35	0.35	0.0
31.01.1971	00.00.00	0.25	-1.45	-1.45	0.0
01.02.1971	00.00.00	0.0	-3.7	-3.7	0.0
02.02.1971	00.00.00	16.2	-0.95	-0.95	0.0
03.02.1971	00.00.00	32.42	3.45	3.45	0.0
04.02.1971	00.00.00	7.642857	1.65	1.65	0.0
05.02.1971	00.00.00	6.56	1.75	1.75	0.0
06.02.1971	00.00.00	29.246667	1.75	1.75	0.0
07.02.1971	00.00.00	3.2	2.25	2.25	0.0
08.02.1971	00.00.00	4.4	2.65	2.65	0.0
09.02.1971	00.00.00	0.0	0.4	0.4	0.0
10.02.1971	00.00.00	0.8	-0.383333	-0.383333	0.0
11.02.1971	00.00.00	17.384615	1.95	1.95	0.0
12.02.1971	00.00.00	4.8	3.55	3.55	0.0
13.02.1971	00.00.00	12.844	5.15	5.15	0.0
14.02.1971	00.00.00	0.75	3.55	3.55	0.0
15.02.1971	00.00.00	6.9	0.45	0.45	0.0
16.02.1971	00.00.00	11.915385	1.35	1.35	0.0
17.02.1971	00.00.00	0.0	-1.6	-1.6	0.0
18.02.1971	00.00.00	0.1	-4.866667	-4.866667	0.0
19.02.1971	00.00.00	0.0	-4.05	-4.05	0.0
20.02.1971	00.00.00	0.0	-5.51	-5.51	0.0
21.02.1971	00.00.00	0.0	-5.23	-5.23	0.0
22.02.1971	00.00.00	0.166667	-8.373077	-8.373077	0.0
23.02.1971	00.00.00	1.2	-3.575	-3.575	0.0
24.02.1971	00.00.00	8.2	-2.883333	-2.883333	0.0
25.02.1971	00.00.00	1.3	-3.225	-3.225	0.0
26.02.1971	00.00.00	0.0	-9.311011	-9.311011	0.0
27.02.1971	00.00.00	0.0	-10.703069	-10.703069	0.0
28.02.1971	00.00.00	1.6	-2.05	-2.05	0.0
01.03.1971	00.00.00	4.3	1.45	1.45	0.0
02.03.1971	00.00.00	0.75	-1.75	-1.75	0.0
03.03.1971	00.00.00	0.166667	-2.15	-2.15	0.0
04.03.1971	00.00.00	0.0	-5.37	-5.37	0.0
05.03.1971	00.00.00	0.1	-7.45	-7.45	0.0
06.03.1971	00.00.00	7.471429	0.35	0.35	0.0
07.03.1971	00.00.00	0.166667	2.95	2.95	0.0
08.03.1971	00.00.00	0.0	0.45	0.45	0.0
