Dato	Time	P_mm_256moh	T_minC_256moh	T_maxC_256moh	Q_catchmentexample
dd.mm.yyyy	hh.mm.ss	mm	grC	grC	m3/s
01.01.2041	00.00.00	0.1	-1.883333	-1.883333	0.0
02.01.2041	00.00.00	0.7	-3.95	-3.95	0.0
03.01.2041	00.00.00	33.209503	-2.016667	-2.016667	0.0
04.01.2041	00.00.00	20.478947	-1.25	-1.25	0.0
05.01.2041	00.00.00	23.325	-0.516667	-0.516667	0.0
06.01.2041	00.00.00	19.815789	-3.15	-3.15	0.0
07.01.2041	00.00.00	0.2	-10.621739	-10.621739	0.0
08.01.2041	00.00.00	0.0	-15.933333	-15.933333	0.0
09.01.2041	00.00.00	0.0	-17.016667	-17.016667	0.0
10.01.2041	00.00.00	0.0	-14.091667	-14.091667	0.0
11.01.2041	00.00.00	0.0	-10.097826	-10.097826	0.0
12.01.2041	00.00.00	0.0	-8.25	-8.25	0.0
13.01.2041	00.00.00	0.0	-7.8375	-7.8375	0.0
14.01.2041	00.00.00	0.0	-8.35	-8.35	0.0
15.01.2041	00.00.00	0.0	-8.75	-8.75	0.0
16.01.2041	00.00.00	0.0	-7.6125	-7.6125	0.0
17.01.2041	00.00.00	0.0	-3.616667	-3.616667	0.0
18.01.2041	00.00.00	0.0	-6.116667	-6.116667	0.0
19.01.2041	00.00.00	0.0	-6.7	-6.7	0.0
20.01.2041	00.00.00	0.0	-6.35	-6.35	0.0
21.01.2041	00.00.00	0.0	-7.1625	-7.1625	0.0
22.01.2041	00.00.00	0.066667	-3.225	-3.225	0.0
23.01.2041	00.00.00	0.0	-3.95	-3.95	0.0
24.01.2041	00.00.00	0.0	-9.137319	-9.137319	0.0
25.01.2041	00.00.00	0.0	-9.224638	-9.224638	0.0
26.01.2041	00.00.00	0.0	-6.0	-6.0	0.0
27.01.2041	00.00.00	0.3	-2.85	-2.85	0.0
28.01.2041	00.00.00	1.4	-4.05	-4.05	0.0
29.01.2041	00.00.00	1.4	-6.35	-6.35	0.0
30.01.2041	00.00.00	0.0	-9.137319	-9.137319	0.0
31.01.2041	00.00.00	0.0	-11.166667	-11.166667	0.0
01.02.2041	00.00.00	0.0	-11.058333	-11.058333	0.0
02.02.2041	00.00.00	0.0	-9.573913	-9.573913	0.0
03.02.2041	00.00.00	0.0	-6.0	-6.0	0.0
04.02.2041	00.00.00	9.7	-4.95	-4.95	0.0
05.02.2041	00.00.00	2.4	-3.05	-3.05	0.0
06.02.2041	00.00.00	0.6	-3.375	-3.375	0.0
07.02.2041	00.00.00	0.066667	1.05	1.05	0.0
08.02.2041	00.00.00	0.166667	0.65	0.65	0.0
09.02.2041	00.00.00	0.066667	-7.05	-7.05	0.0
10.02.2041	00.00.00	6.3	-7.5	-7.5	0.0
11.02.2041	00.00.00	6.633333	-5.883333	-5.883333	0.0
12.02.2041	00.00.00	40.925742	-5.883333	-5.883333	0.0
13.02.2041	00.00.00	37.838258	-7.725	-7.725	0.0
14.02.2041	00.00.00	7.983333	-2.65	-2.65	0.0
15.02.2041	00.00.00	17.016667	0.15	0.15	0.0
16.02.2041	00.00.00	26.180805	-0.15	-0.15	0.0
17.02.2041	00.00.00	15.184615	-0.05	-0.05	0.0
18.02.2041	00.00.00	21.752632	-1.883333	-1.883333	0.0
19.02.2041	00.00.00	8.316667	-1.55	-1.55	0.0
20.02.2041	00.00.00	7.4	0.4	0.4	0.0
21.02.2041	00.00.00	0.7	1.45	1.45	0.0
22.02.2041	00.00.00	3.6	0.35	0.35	0.0
23.02.2041	00.00.00	1.266667	-0.35	-0.35	0.0
24.02.2041	00.00.00	1.4	-0.15	-0.15	0.0
25.02.2041	00.00.00	0.2	0.15	0.15	0.0
26.02.2041	00.00.00	18.34375	0.35	0.35	0.0
27.02.2041	00.00.00	7.0	1.55	1.55	0.0
28.02.2041	00.00.00	14.4	1.55	1.55	0.0
01.03.2041	00.00.00	10.0	1.25	1.25	0.0
02.03.2041	00.00.00	0.0	1.15	1.15	0.0
03.03.2041	00.00.00	0.0	0.75	0.75	0.0
04.03.2041	00.00.00	1.6	1.45	1.45	0.0
05.03.2041	00.00.00	4.025	1.35	1.35	0.0
06.03.2041	00.00.00	18.76875	1.25	1.25	0.0
07.03.2041	00.00.00	12.8	1.6	1.6	0.0
08.03.2041	00.00.00	19.594737	2.05	2.05	0.0
09.03.2041	00.00.00	8.7	1.85	1.85	0.0
10.03.2041	00.00.00	0.3	2.55	2.55	0.0
11.03.2041	00.00.00	0.0	1.65	1.65	0.0
12.03.2041	00.00.00	0.166667	2.45	2.45	0.0
13.03.2041	00.00.00	0.0	2.25	2.25	0.0
14.03.2041	00.00.00	6.383333	1.55	1.55	0.0
15.03.2041	00.00.00	6.0	1.35	1.35	0.0
16.03.2041	00.00.00	8.9	1.25	1.25	0.0
17.03.2041	00.00.00	11.692941	1.6	1.6	0.0
18.03.2041	00.00.00	1.2	1.45	1.45	0.0
