Dato	Time	P_mm_256moh	T_minC_256moh	T_maxC_256moh	Q_catchmentexample
dd.mm.yyyy	hh.mm.ss	mm	grC	grC	m3/s
01.01.1971	00.00.00	0.2	-2.75	-2.75	0.0
02.01.1971	00.00.00	14.02	-0.05	-0.05	0.0
03.01.1971	00.00.00	15.21	2.565385	2.565385	0.0
04.01.1971	00.00.00	0.4	2.25	2.25	0.0
05.01.1971	00.00.00	0.0	-0.15	-0.15	0.0
06.01.1971	00.00.00	1.0	-1.65	-1.65	0.0
07.01.1971	00.00.00	15.65	2.3	2.3	0.0
08.01.1971	00.00.00	8.3	2.05	2.05	0.0
09.01.1971	00.00.00	0.0	-2.35	-2.35	0.0
10.01.1971	00.00.00	0.0	-3.7	-3.7	0.0
11.01.1971	00.00.00	5.275	-0.65	-0.65	0.0
12.01.1971	00.00.00	18.62	0.55	0.55	0.0
13.01.1971	00.00.00	0.0	-1.316667	-1.316667	0.0
14.01.1971	00.00.00	0.4	-2.883333	-2.883333	0.0
15.01.1971	00.00.00	1.0	-2.75	-2.75	0.0
16.01.1971	00.00.00	0.0	-4.533333	-4.533333	0.0
17.01.1971	00.00.00	0.0	-6.7875	-6.7875	0.0
18.01.1971	00.00.00	0.0	-7.131818	-7.131818	0.0
19.01.1971	00.00.00	0.0	-6.7875	-6.7875	0.0
20.01.1971	00.00.00	16.2	-2.15	-2.15	0.0
21.01.1971	00.00.00	0.0	-3.575	-3.575	0.0
22.01.1971	00.00.00	0.0	-8.288462	-8.288462	0.0
23.01.1971	00.00.00	15.54	-5.93	-5.93	0.0
24.01.1971	00.00.00	3.9	0.35	0.35	0.0
25.01.1971	00.00.00	18.96	-0.95	-0.95	0.0
26.01.1971	00.00.00	0.5	-2.15	-2.15	0.0
27.01.1971	00.00.00	18.733333	-0.8	-0.8	0.0
28.01.1971	00.00.00	10.757143	0.65	0.65	0.0
29.01.1971	00.00.00	0.166667	-1.65	-1.65	0.0
30.01.1971	00.00.00	7.54	-3.016667	-3.016667	0.0
31.01.1971	00.00.00	0.0	-1.95	-1.95	0.0
01.02.1971	00.00.00	0.0	-7.213636	-7.213636	0.0
02.02.1971	00.00.00	0.0	-8.203846	-8.203846	0.0
03.02.1971	00.00.00	0.5	-5.05	-5.05	0.0
04.02.1971	00.00.00	6.3	2.35	2.35	0.0
05.02.1971	00.00.00	26.750914	2.3	2.3	0.0
06.02.1971	00.00.00	0.6	0.9	0.9	0.0
07.02.1971	00.00.00	0.6	-1.15	-1.15	0.0
08.02.1971	00.00.00	0.0	-3.016667	-3.016667	0.0
09.02.1971	00.00.00	15.76	-3.15	-3.15	0.0
10.02.1971	00.00.00	6.55	-1.75	-1.75	0.0
11.02.1971	00.00.00	0.2	-1.65	-1.65	0.0
12.02.1971	00.00.00	2.4	-3.45	-3.45	0.0
13.02.1971	00.00.00	0.0	-5.65	-5.65	0.0
14.02.1971	00.00.00	2.75	-3.375	-3.375	0.0
15.02.1971	00.00.00	0.0	-5.15	-5.15	0.0
16.02.1971	00.00.00	0.0	-10.388889	-10.388889	0.0
17.02.1971	00.00.00	0.0	-12.344792	-12.344792	0.0
18.02.1971	00.00.00	0.0	-11.517783	-11.517783	0.0
19.02.1971	00.00.00	0.0	-11.425893	-11.425893	0.0
20.02.1971	00.00.00	0.0	-11.517783	-11.517783	0.0
21.02.1971	00.00.00	0.0	-9.496296	-9.496296	0.0
22.02.1971	00.00.00	1.4	-6.21	-6.21	0.0
23.02.1971	00.00.00	10.985714	-2.75	-2.75	0.0
24.02.1971	00.00.00	1.1	-2.35	-2.35	0.0
25.02.1971	00.00.00	4.0	-0.383333	-0.383333	0.0
26.02.1971	00.00.00	3.35	-1.05	-1.05	0.0
27.02.1971	00.00.00	5.82	0.15	0.15	0.0
28.02.1971	00.00.00	0.0	-4.783333	-4.783333	0.0
01.03.1971	00.00.00	0.0	-10.054167	-10.054167	0.0
02.03.1971	00.00.00	0.0	-10.054167	-10.054167	0.0
03.03.1971	00.00.00	0.0	-7.295455	-7.295455	0.0
04.03.1971	00.00.00	0.0	-4.533333	-4.533333	0.0
05.03.1971	00.00.00	0.6	-4.866667	-4.866667	0.0
06.03.1971	00.00.00	3.425	-0.55	-0.55	0.0
07.03.1971	00.00.00	0.9	1.15	1.15	0.0
08.03.1971	00.00.00	3.2	-3.225	-3.225	0.0
09.03.1971	00.00.00	0.0	-3.3	-3.3	0.0
10.03.1971	00.00.00	19.51	-0.45	-0.45	0.0
11.03.1971	00.00.00	9.175	3.15	3.15	0.0
12.03.1971	00.00.00	0.0	-2.25	-2.25	0.0
13.03.1971	00.00.00	0.0	-7.131818	-7.131818	0.0
14.03.1971	00.00.00	0.0	-8.880769	-8.880769	0.0
15.03.1971	00.00.00	0.0	-7.540909	-7.540909	0.0
16.03.1971	00.00.00	0.0	-5.55	-5.55	0.0
17.03.1971	00.00.00	0.1	-1.45	-1.45	0.0
18.03.1971	00.00.00	5.66	0.05	0.05	0.0
19.03.1971	00.00.00	0.0	-2.75	-2.75	0.0
20.03.1971	00.00.00	0.0	-3.825	-3.825	0.0
21.03.1971	00.00.00	0.0	-3.7	-3.7	0.0
22.03.1971	00.00.00	0.0	-4.616667	-4.616667	0.0
23.03.1971	00.00.00	0.1	-3.15	-3.15	0.0
24.03.1971	00.00.00	2.75	-0.45	-0.45	0.0
25.03.1971	00.00.00	14.02	0.85	0.85	0.0
26.03.1971	00.00.00	7.66	1.95	1.95	0.0
27.03.1971	00.00.00	13.808333	3.55	3.55	0.0
28.03.1971	00.00.00	4.3	2.565385	2.565385	0.0
29.03.1971	00.00.00	7.05	2.25	2.25	0.0
30.03.1971	00.00.00	0.1	1.05	1.05	0.0
31.03.1971	00.00.00	0.0	-1.383333	-1.383333	0.0
01.04.1971	00.00.00	0.0	-1.55	-1.55	0.0
02.04.1971	00.00.00	0.0	-2.35	-2.35	0.0
03.04.1971	00.00.00	0.0	-4.616667	-4.616667	0.0
04.04.1971	00.00.00	1.4	-2.35	-2.35	0.0
05.04.1971	00.00.00	8.2	1.45	1.45	0.0
06.04.1971	00.00.00	0.3	4.016667	4.016667	0.0
07.04.1971	00.00.00	15.1	3.45	3.45	0.0
08.04.1971	00.00.00	0.4	0.65	0.65	0.0
09.04.1971	00.00.00	0.166667	1.55	1.55	0.0
10.04.1971	00.00.00	5.275	-0.316667	-0.316667	0.0
11.04.1971	00.00.00	22.45	2.75	2.75	0.0
12.04.1971	00.00.00	3.6	2.35	2.35	0.0
13.04.1971	00.00.00	0.0	2.95	2.95	0.0
14.04.1971	00.00.00	0.0	0.95	0.95	0.0
15.04.1971	00.00.00	0.1	1.6	1.6	0.0
16.04.1971	00.00.00	0.7	2.85	2.85	0.0
17.04.1971	00.00.00	0.0	4.45	4.45	0.0
18.04.1971	00.00.00	0.0	5.55	5.55	0.0
19.04.1971	00.00.00	0.1	2.15	2.15	0.0
20.04.1971	00.00.00	0.0	-0.25	-0.25	0.0
21.04.1971	00.00.00	0.0	-0.25	-0.25	0.0
22.04.1971	00.00.00	0.0	0.05	0.05	0.0
