Dato	Time	P_mm_256moh	T_minC_256moh	T_maxC_256moh	Q_catchmentexample
dd.mm.yyyy	hh.mm.ss	mm	grC	grC	m3/s
01.01.1971	00.00.00	0.0	-9.05	-9.05	0.0
02.01.1971	00.00.00	0.0	-9.55	-9.55	0.0
03.01.1971	00.00.00	0.0	-8.65	-8.65	0.0
04.01.1971	00.00.00	0.2	-2.95	-2.95	0.0
05.01.1971	00.00.00	0.1	-0.15	-0.15	0.0
06.01.1971	00.00.00	0.0	-7.25	-7.25	0.0
07.01.1971	00.00.00	5.7	-7.65	-7.65	0.0
08.01.1971	00.00.00	32.2	0.95	0.95	0.0
09.01.1971	00.00.00	4.2	4.35	4.35	0.0
10.01.1971	00.00.00	2.8	4.55	4.55	0.0
11.01.1971	00.00.00	0.0	3.25	3.25	0.0
12.01.1971	00.00.00	0.0	1.45	1.45	0.0
13.01.1971	00.00.00	0.0	0.15	0.15	0.0
14.01.1971	00.00.00	0.0	-1.85	-1.85	0.0
15.01.1971	00.00.00	0.0	-2.95	-2.95	0.0
16.01.1971	00.00.00	0.0	-1.15	-1.15	0.0
17.01.1971	00.00.00	0.3	-0.75	-0.75	0.0
18.01.1971	00.00.00	2.3	1.35	1.35	0.0
19.01.1971	00.00.00	2.0	2.25	2.25	0.0
20.01.1971	00.00.00	20.9	1.65	1.65	0.0
21.01.1971	00.00.00	11.3	1.55	1.55	0.0
22.01.1971	00.00.00	2.8	0.45	0.45	0.0
23.01.1971	00.00.00	0.8	0.45	0.45	0.0
24.01.1971	00.00.00	13.8	0.75	0.75	0.0
25.01.1971	00.00.00	10.7	2.15	2.15	0.0
26.01.1971	00.00.00	11.7	2.85	2.85	0.0
27.01.1971	00.00.00	0.5	0.25	0.25	0.0
28.01.1971	00.00.00	0.0	-0.65	-0.65	0.0
29.01.1971	00.00.00	0.0	-2.15	-2.15	0.0
30.01.1971	00.00.00	0.0	-4.65	-4.65	0.0
31.01.1971	00.00.00	17.4	-5.45	-5.45	0.0
01.02.1971	00.00.00	1.9	-6.45	-6.45	0.0
02.02.1971	00.00.00	0.0	-8.05	-8.05	0.0
03.02.1971	00.00.00	2.9	-2.15	-2.15	0.0
04.02.1971	00.00.00	0.0	2.85	2.85	0.0
05.02.1971	00.00.00	0.0	4.05	4.05	0.0
06.02.1971	00.00.00	0.0	3.85	3.85	0.0
07.02.1971	00.00.00	0.0	3.95	3.95	0.0
08.02.1971	00.00.00	0.0	4.05	4.05	0.0
09.02.1971	00.00.00	0.0	4.55	4.55	0.0
10.02.1971	00.00.00	0.0	1.95	1.95	0.0
11.02.1971	00.00.00	0.1	0.85	0.85	0.0
12.02.1971	00.00.00	4.0	2.15	2.15	0.0
13.02.1971	00.00.00	27.3	3.55	3.55	0.0
14.02.1971	00.00.00	21.3	2.35	2.35	0.0
15.02.1971	00.00.00	19.4	0.05	0.05	0.0
16.02.1971	00.00.00	53.7	1.05	1.05	0.0
17.02.1971	00.00.00	42.2	0.75	0.75	0.0
18.02.1971	00.00.00	17.6	0.15	0.15	0.0
19.02.1971	00.00.00	3.9	0.25	0.25	0.0
20.02.1971	00.00.00	0.0	-2.85	-2.85	0.0
21.02.1971	00.00.00	9.8	-3.35	-3.35	0.0
22.02.1971	00.00.00	2.9	-0.25	-0.25	0.0
23.02.1971	00.00.00	0.0	-1.65	-1.65	0.0
24.02.1971	00.00.00	0.0	-0.65	-0.65	0.0
25.02.1971	00.00.00	0.0	2.95	2.95	0.0
26.02.1971	00.00.00	0.0	-2.85	-2.85	0.0
27.02.1971	00.00.00	0.0	-7.25	-7.25	0.0
28.02.1971	00.00.00	0.0	-8.25	-8.25	0.0
01.03.1971	00.00.00	0.0	-7.15	-7.15	0.0
02.03.1971	00.00.00	0.0	-9.25	-9.25	0.0
03.03.1971	00.00.00	0.4	-9.15	-9.15	0.0
04.03.1971	00.00.00	0.0	-11.25	-11.25	0.0
05.03.1971	00.00.00	0.0	-12.65	-12.65	0.0
06.03.1971	00.00.00	0.0	-9.55	-9.55	0.0
07.03.1971	00.00.00	0.0	-4.45	-4.45	0.0
08.03.1971	00.00.00	0.0	1.55	1.55	0.0
09.03.1971	00.00.00	0.1	3.85	3.85	0.0
10.03.1971	00.00.00	0.0	-1.25	-1.25	0.0
11.03.1971	00.00.00	1.3	-4.75	-4.75	0.0
12.03.1971	00.00.00	1.3	-5.05	-5.05	0.0
13.03.1971	00.00.00	11.5	-2.25	-2.25	0.0
14.03.1971	00.00.00	0.0	2.05	2.05	0.0
15.03.1971	00.00.00	3.8	1.05	1.05	0.0
16.03.1971	00.00.00	4.1	1.05	1.05	0.0
17.03.1971	00.00.00	22.3	1.35	1.35	0.0
18.03.1971	00.00.00	3.5	0.75	0.75	0.0
19.03.1971	00.00.00	6.6	0.25	0.25	0.0
20.03.1971	00.00.00	29.8	0.15	0.15	0.0
21.03.1971	00.00.00	0.0	1.15	1.15	0.0
22.03.1971	00.00.00	0.0	-0.25	-0.25	0.0
23.03.1971	00.00.00	0.0	-1.75	-1.75	0.0
24.03.1971	00.00.00	4.1	-1.85	-1.85	0.0
25.03.1971	00.00.00	2.8	2.05	2.05	0.0
26.03.1971	00.00.00	0.0	2.15	2.15	0.0
27.03.1971	00.00.00	0.0	0.95	0.95	0.0
28.03.1971	00.00.00	0.0	-1.75	-1.75	0.0
29.03.1971	00.00.00	0.0	-2.15	-2.15	0.0
30.03.1971	00.00.00	0.0	0.45	0.45	0.0
31.03.1971	00.00.00	0.0	-0.35	-0.35	0.0
01.04.1971	00.00.00	0.7	0.25	0.25	0.0
02.04.1971	00.00.00	5.7	1.15	1.15	0.0
03.04.1971	00.00.00	0.2	2.55	2.55	0.0
04.04.1971	00.00.00	0.0	2.85	2.85	0.0
05.04.1971	00.00.00	0.0	2.25	2.25	0.0
06.04.1971	00.00.00	0.0	1.55	1.55	0.0
07.04.1971	00.00.00	1.9	2.55	2.55	0.0
08.04.1971	00.00.00	5.6	3.15	3.15	0.0
09.04.1971	00.00.00	0.0	3.35	3.35	0.0
10.04.1971	00.00.00	0.0	4.65	4.65	0.0
11.04.1971	00.00.00	0.0	3.95	3.95	0.0
12.04.1971	00.00.00	0.0	4.85	4.85	0.0
13.04.1971	00.00.00	0.0	6.95	6.95	0.0
14.04.1971	00.00.00	0.0	5.45	5.45	0.0
15.04.1971	00.00.00	0.0	5.45	5.45	0.0
16.04.1971	00.00.00	0.0	5.55	5.55	0.0
17.04.1971	00.00.00	3.0	2.95	2.95	0.0
18.04.1971	00.00.00	1.9	3.25	3.25	0.0
19.04.1971	00.00.00	5.3	4.35	4.35	0.0
20.04.1971	00.00.00	0.3	4.45	4.45	0.0
21.04.1971	00.00.00	0.0	4.35	4.35	0.0
22.04.1971	00.00.00	0.0	4.85	4.85	0.0
23.04.1971	00.00.00	0.0	5.65	5.65	0.0
24.04.1971	00.00.00	0.0	5.45	5.45	0.0
25.04.1971	00.00.00	0.0	3.35	3.35	0.0
26.04.1971	00.00.00	5.2	0.75	0.75	0.0
27.04.1971	00.00.00	0.0	0.05	0.05	0.0
28.04.1971	00.00.00	0.3	0.65	0.65	0.0
29.04.1971	00.00.00	1.6	0.75	0.75	0.0
30.04.1971	00.00.00	0.0	1.85	1.85	0.0
01.05.1971	00.00.00	0.0	2.15	2.15	0.0
02.05.1971	00.00.00	0.0	3.05	3.05	0.0
03.05.1971	00.00.00	0.0	5.65	5.65	0.0
04.05.1971	00.00.00	0.0	6.75	6.75	0.0
05.05.1971	00.00.00	0.0	7.45	7.45	0.0
06.05.1971	00.00.00	0.0	6.65	6.65	0.0
07.05.1971	00.00.00	0.0	7.85	7.85	0.0
08.05.1971	00.00.00	0.0	8.45	8.45	0.0
09.05.1971	00.00.00	1.2	9.85	9.85	0.0
10.05.1971	00.00.00	0.0	10.85	10.85	0.0
11.05.1971	00.00.00	0.1	9.45	9.45	0.0
12.05.1971	00.00.00	0.0	11.15	11.15	0.0
13.05.1971	00.00.00	0.3	9.75	9.75	0.0
14.05.1971	00.00.00	0.0	10.85	10.85	0.0
15.05.1971	00.00.00	0.0	10.25	10.25	0.0
16.05.1971	00.00.00	0.2	9.35	9.35	0.0
17.05.1971	00.00.00	8.8	8.75	8.75	0.0
18.05.1971	00.00.00	7.0	10.05	10.05	0.0
19.05.1971	00.00.00	0.0	8.45	8.45	0.0
20.05.1971	00.00.00	0.4	7.75	7.75	0.0
21.05.1971	00.00.00	0.3	7.35	7.35	0.0
22.05.1971	00.00.00	0.0	10.15	10.15	0.0
23.05.1971	00.00.00	0.0	8.75	8.75	0.0
24.05.1971	00.00.00	0.0	8.25	8.25	0.0
25.05.1971	00.00.00	0.0	7.45	7.45	0.0
26.05.1971	00.00.00	0.0	7.15	7.15	0.0
27.05.1971	00.00.00	0.0	6.25	6.25	0.0
28.05.1971	00.00.00	0.5	7.35	7.35	0.0
29.05.1971	00.00.00	51.3	11.75	11.75	0.0
30.05.1971	00.00.00	25.8	10.65	10.65	0.0
31.05.1971	00.00.00	0.0	11.75	11.75	0.0
01.06.1971	00.00.00	0.0	14.05	14.05	0.0
02.06.1971	00.00.00	0.0	15.25	15.25	0.0
03.06.1971	00.00.00	0.0	16.55	16.55	0.0
04.06.1971	00.00.00	0.0	16.65	16.65	0.0
05.06.1971	00.00.00	0.0	16.25	16.25	0.0
06.06.1971	00.00.00	0.0	15.35	15.35	0.0
07.06.1971	00.00.00	0.0	15.15	15.15	0.0
08.06.1971	00.00.00	0.0	14.15	14.15	0.0
09.06.1971	00.00.00	1.9	10.45	10.45	0.0
10.06.1971	00.00.00	0.2	9.65	9.65	0.0
11.06.1971	00.00.00	0.0	10.25	10.25	0.0
12.06.1971	00.00.00	0.0	13.55	13.55	0.0
13.06.1971	00.00.00	0.0	13.95	13.95	0.0
14.06.1971	00.00.00	0.0	12.15	12.15	0.0
15.06.1971	00.00.00	0.0	9.15	9.15	0.0
