Dato	Time	P_mm_256moh	T_minC_256moh	T_maxC_256moh	Q_catchmentexample
dd.mm.yyyy	hh.mm.ss	mm	grC	grC	m3/s
01.01.1971	00.00.00	0.0	-7.807	-7.807	0.0
02.01.1971	00.00.00	0.0	-8.307	-8.307	0.0
03.01.1971	00.00.00	0.0	-7.407	-7.407	0.0
04.01.1971	00.00.00	0.2302	-1.707	-1.707	0.0
05.01.1971	00.00.00	0.1151	1.093	1.093	0.0
06.01.1971	00.00.00	0.0	-6.007	-6.007	0.0
07.01.1971	00.00.00	6.5607	-6.407	-6.407	0.0
08.01.1971	00.00.00	37.0622	2.193	2.193	0.0
09.01.1971	00.00.00	4.8342	5.593	5.593	0.0
10.01.1971	00.00.00	3.2228	5.793	5.793	0.0
11.01.1971	00.00.00	0.0	4.493	4.493	0.0
12.01.1971	00.00.00	0.0	2.693	2.693	0.0
13.01.1971	00.00.00	0.0	1.393	1.393	0.0
14.01.1971	00.00.00	0.0	-0.607	-0.607	0.0
15.01.1971	00.00.00	0.0	-1.707	-1.707	0.0
16.01.1971	00.00.00	0.0	0.093	0.093	0.0
17.01.1971	00.00.00	0.3453	0.493	0.493	0.0
18.01.1971	00.00.00	2.6473	2.593	2.593	0.0
19.01.1971	00.00.00	2.302	3.493	3.493	0.0
20.01.1971	00.00.00	24.0559	2.893	2.893	0.0
21.01.1971	00.00.00	13.0063	2.793	2.793	0.0
22.01.1971	00.00.00	3.2228	1.693	1.693	0.0
23.01.1971	00.00.00	0.9208	1.693	1.693	0.0
24.01.1971	00.00.00	15.8838	1.993	1.993	0.0
25.01.1971	00.00.00	12.3157	3.393	3.393	0.0
26.01.1971	00.00.00	13.4667	4.093	4.093	0.0
27.01.1971	00.00.00	0.5755	1.493	1.493	0.0
28.01.1971	00.00.00	0.0	0.593	0.593	0.0
29.01.1971	00.00.00	0.0	-0.907	-0.907	0.0
30.01.1971	00.00.00	0.0	-3.407	-3.407	0.0
31.01.1971	00.00.00	20.0274	-4.207	-4.207	0.0
01.02.1971	00.00.00	1.6587	-5.004	-5.004	0.0
02.02.1971	00.00.00	0.0	-6.604	-6.604	0.0
03.02.1971	00.00.00	2.5317	-0.704	-0.704	0.0
04.02.1971	00.00.00	0.0	4.296	4.296	0.0
05.02.1971	00.00.00	0.0	5.496	5.496	0.0
06.02.1971	00.00.00	0.0	5.296	5.296	0.0
07.02.1971	00.00.00	0.0	5.396	5.396	0.0
08.02.1971	00.00.00	0.0	5.496	5.496	0.0
09.02.1971	00.00.00	0.0	5.996	5.996	0.0
10.02.1971	00.00.00	0.0	3.396	3.396	0.0
11.02.1971	00.00.00	0.0873	2.296	2.296	0.0
12.02.1971	00.00.00	3.492	3.596	3.596	0.0
13.02.1971	00.00.00	23.8329	4.996	4.996	0.0
14.02.1971	00.00.00	18.5949	3.796	3.796	0.0
15.02.1971	00.00.00	16.9362	1.496	1.496	0.0
16.02.1971	00.00.00	46.8801	2.496	2.496	0.0
17.02.1971	00.00.00	36.8406	2.196	2.196	0.0
18.02.1971	00.00.00	15.3648	1.596	1.596	0.0
19.02.1971	00.00.00	3.4047	1.696	1.696	0.0
20.02.1971	00.00.00	0.0	-1.404	-1.404	0.0
21.02.1971	00.00.00	8.5554	-1.904	-1.904	0.0
22.02.1971	00.00.00	2.5317	1.196	1.196	0.0
23.02.1971	00.00.00	0.0	-0.204	-0.204	0.0
24.02.1971	00.00.00	0.0	0.796	0.796	0.0
25.02.1971	00.00.00	0.0	4.396	4.396	0.0
26.02.1971	00.00.00	0.0	-1.404	-1.404	0.0
27.02.1971	00.00.00	0.0	-5.804	-5.804	0.0
28.02.1971	00.00.00	0.0	-6.804	-6.804	0.0
01.03.1971	00.00.00	0.0	-4.881	-4.881	0.0
02.03.1971	00.00.00	0.0	-6.981	-6.981	0.0
03.03.1971	00.00.00	0.4944	-6.881	-6.881	0.0
04.03.1971	00.00.00	0.0	-8.981	-8.981	0.0
05.03.1971	00.00.00	0.0	-10.381	-10.381	0.0
06.03.1971	00.00.00	0.0	-7.281	-7.281	0.0
07.03.1971	00.00.00	0.0	-2.181	-2.181	0.0
08.03.1971	00.00.00	0.0	3.819	3.819	0.0
09.03.1971	00.00.00	0.1236	6.119	6.119	0.0
10.03.1971	00.00.00	0.0	1.019	1.019	0.0
11.03.1971	00.00.00	1.6068	-2.481	-2.481	0.0
12.03.1971	00.00.00	1.6068	-2.781	-2.781	0.0
13.03.1971	00.00.00	14.214	0.019	0.019	0.0
14.03.1971	00.00.00	0.0	4.319	4.319	0.0
15.03.1971	00.00.00	4.6968	3.319	3.319	0.0
16.03.1971	00.00.00	5.0676	3.319	3.319	0.0
17.03.1971	00.00.00	27.5628	3.619	3.619	0.0
18.03.1971	00.00.00	4.326	3.019	3.019	0.0
19.03.1971	00.00.00	8.1576	2.519	2.519	0.0
20.03.1971	00.00.00	36.8328	2.419	2.419	0.0
21.03.1971	00.00.00	0.0	3.419	3.419	0.0
22.03.1971	00.00.00	0.0	2.019	2.019	0.0
23.03.1971	00.00.00	0.0	0.519	0.519	0.0
24.03.1971	00.00.00	5.0676	0.419	0.419	0.0
25.03.1971	00.00.00	3.4608	4.319	4.319	0.0
26.03.1971	00.00.00	0.0	4.419	4.419	0.0
27.03.1971	00.00.00	0.0	3.219	3.219	0.0
28.03.1971	00.00.00	0.0	0.519	0.519	0.0
29.03.1971	00.00.00	0.0	0.119	0.119	0.0
30.03.1971	00.00.00	0.0	2.719	2.719	0.0
31.03.1971	00.00.00	0.0	1.919	1.919	0.0
01.04.1971	00.00.00	0.7126	2.344	2.344	0.0
02.04.1971	00.00.00	5.8026	3.244	3.244	0.0
03.04.1971	00.00.00	0.2036	4.644	4.644	0.0
04.04.1971	00.00.00	0.0	4.944	4.944	0.0
05.04.1971	00.00.00	0.0	4.344	4.344	0.0
06.04.1971	00.00.00	0.0	3.644	3.644	0.0
07.04.1971	00.00.00	1.9342	4.644	4.644	0.0
08.04.1971	00.00.00	5.7008	5.244	5.244	0.0
09.04.1971	00.00.00	0.0	5.444	5.444	0.0
10.04.1971	00.00.00	0.0	6.744	6.744	0.0
11.04.1971	00.00.00	0.0	6.044	6.044	0.0
12.04.1971	00.00.00	0.0	6.944	6.944	0.0
13.04.1971	00.00.00	0.0	9.044	9.044	0.0
14.04.1971	00.00.00	0.0	7.544	7.544	0.0
15.04.1971	00.00.00	0.0	7.544	7.544	0.0
16.04.1971	00.00.00	0.0	7.644	7.644	0.0
17.04.1971	00.00.00	3.054	5.044	5.044	0.0
18.04.1971	00.00.00	1.9342	5.344	5.344	0.0
19.04.1971	00.00.00	5.3954	6.444	6.444	0.0
20.04.1971	00.00.00	0.3054	6.544	6.544	0.0
21.04.1971	00.00.00	0.0	6.444	6.444	0.0
22.04.1971	00.00.00	0.0	6.944	6.944	0.0
23.04.1971	00.00.00	0.0	7.744	7.744	0.0
24.04.1971	00.00.00	0.0	7.544	7.544	0.0
25.04.1971	00.00.00	0.0	5.444	5.444	0.0
26.04.1971	00.00.00	5.2936	2.844	2.844	0.0
27.04.1971	00.00.00	0.0	2.144	2.144	0.0
28.04.1971	00.00.00	0.3054	2.744	2.744	0.0
29.04.1971	00.00.00	1.6288	2.844	2.844	0.0
30.04.1971	00.00.00	0.0	3.944	3.944	0.0
01.05.1971	00.00.00	0.0	3.853	3.853	0.0
02.05.1971	00.00.00	0.0	4.753	4.753	0.0
03.05.1971	00.00.00	0.0	7.353	7.353	0.0
04.05.1971	00.00.00	0.0	8.453	8.453	0.0
05.05.1971	00.00.00	0.0	9.153	9.153	0.0
06.05.1971	00.00.00	0.0	8.353	8.353	0.0
07.05.1971	00.00.00	0.0	9.553	9.553	0.0
08.05.1971	00.00.00	0.0	10.153	10.153	0.0
09.05.1971	00.00.00	0.9228	11.553	11.553	0.0
10.05.1971	00.00.00	0.0	12.553	12.553	0.0
11.05.1971	00.00.00	0.0769	11.153	11.153	0.0
12.05.1971	00.00.00	0.0	12.853	12.853	0.0
13.05.1971	00.00.00	0.2307	11.453	11.453	0.0
14.05.1971	00.00.00	0.0	12.553	12.553	0.0
15.05.1971	00.00.00	0.0	11.953	11.953	0.0
16.05.1971	00.00.00	0.1538	11.053	11.053	0.0
17.05.1971	00.00.00	6.7672	10.453	10.453	0.0
18.05.1971	00.00.00	5.383	11.753	11.753	0.0
19.05.1971	00.00.00	0.0	10.153	10.153	0.0
20.05.1971	00.00.00	0.3076	9.453	9.453	0.0
21.05.1971	00.00.00	0.2307	9.053	9.053	0.0
22.05.1971	00.00.00	0.0	11.853	11.853	0.0
23.05.1971	00.00.00	0.0	10.453	10.453	0.0
24.05.1971	00.00.00	0.0	9.953	9.953	0.0
25.05.1971	00.00.00	0.0	9.153	9.153	0.0
26.05.1971	00.00.00	0.0	8.853	8.853	0.0
27.05.1971	00.00.00	0.0	7.953	7.953	0.0
28.05.1971	00.00.00	0.3845	9.053	9.053	0.0
29.05.1971	00.00.00	39.4497	13.453	13.453	0.0
30.05.1971	00.00.00	19.8402	12.353	12.353	0.0
31.05.1971	00.00.00	0.0	13.453	13.453	0.0
