Dato	Time	P_mm_256moh	T_minC_256moh	T_maxC_256moh	Q_catchmentexample
dd.mm.yyyy	hh:mm:ss	mm	grC	grC	m3/s
01.01.1971	00.00.00	6.43999999999995	-0.45	-0.45	0.0
02.01.1971	00.00.00	0.0	-4.15	-4.15	0.0
03.01.1971	00.00.00	0.0	-6.11666666666667	-6.11666666666667	0.0
04.01.1971	00.00.00	0.0	-5.18333333333333	-5.18333333333333	0.0
05.01.1971	00.00.00	7.1	-1.95	-1.95	0.0
06.01.1971	00.00.00	1.9	-0.05	-0.05	0.0
07.01.1971	00.00.00	1.4	0.75	0.75	0.0
08.01.1971	00.00.00	0.2	5.05	5.05	0.0
09.01.1971	00.00.00	0.3	4.55	4.55	0.0
10.01.1971	00.00.00	0.8	2.35	2.35	0.0
11.01.1971	00.00.00	18.8822857142857	1.15	1.15	0.0
12.01.1971	00.00.00	6.06551724137929	-0.65	-0.65	0.0
13.01.1971	00.00.00	0.0	-2.85	-2.85	0.0
14.01.1971	00.00.00	0.0	-4.45	-4.45	0.0
15.01.1971	00.00.00	0.0	-3.05	-3.05	0.0
16.01.1971	00.00.00	0.7	-4.25	-4.25	0.0
17.01.1971	00.00.00	0.1	-1.75	-1.75	0.0
18.01.1971	00.00.00	5.425	-1.85	-1.85	0.0
19.01.1971	00.00.00	6.8	1.75	1.75	0.0
20.01.1971	00.00.00	0.2	-0.45	-0.45	0.0
21.01.1971	00.00.00	0.0	-2.55	-2.55	0.0
22.01.1971	00.00.00	0.2	-3.45	-3.45	0.0
23.01.1971	00.00.00	15.375	-0.05	-0.05	0.0
24.01.1971	00.00.00	14.0090909090909	1.25	1.25	0.0
25.01.1971	00.00.00	0.0	-1.45	-1.45	0.0
26.01.1971	00.00.00	0.0	-2.25	-2.25	0.0
27.01.1971	00.00.00	0.0	-6.23333333333333	-6.23333333333333	0.0
28.01.1971	00.00.00	0.0	-4.45	-4.45	0.0
29.01.1971	00.00.00	0.1	-5.3	-5.3	0.0
30.01.1971	00.00.00	0.166666666666606	-4.05	-4.05	0.0
31.01.1971	00.00.00	0.0	-6.50555555555556	-6.50555555555556	0.0
01.02.1971	00.00.00	0.0	-7.59	-7.59	0.0
02.02.1971	00.00.00	4.0	-0.55	-0.55	0.0
03.02.1971	00.00.00	7.9	-1.31666666666667	-1.31666666666667	0.0
04.02.1971	00.00.00	44.1023148148147	1.25	1.25	0.0
05.02.1971	00.00.00	7.1	-0.35	-0.35	0.0
06.02.1971	00.00.00	10.6	-0.116666666666667	-0.116666666666667	0.0
07.02.1971	00.00.00	4.2	0.65	0.65	0.0
08.02.1971	00.00.00	19.2319999999999	1.25	1.25	0.0
09.02.1971	00.00.00	4.9	1.55	1.55	0.0
10.02.1971	00.00.00	2.6	1.55	1.55	0.0
11.02.1971	00.00.00	0.0	-0.55	-0.55	0.0
12.02.1971	00.00.00	10.9	-0.65	-0.65	0.0
13.02.1971	00.00.00	9.0	2.05	2.05	0.0
14.02.1971	00.00.00	0.7	-0.75	-0.75	0.0
15.02.1971	00.00.00	0.0	-0.75	-0.75	0.0
16.02.1971	00.00.00	0.0	-2.95	-2.95	0.0
17.02.1971	00.00.00	0.0	-8.56875	-8.56875	0.0
18.02.1971	00.00.00	5.8	-7.95	-7.95	0.0
19.02.1971	00.00.00	10.1285714285714	2.25	2.25	0.0
20.02.1971	00.00.00	10.6	5.05	5.05	0.0
21.02.1971	00.00.00	10.2142857142857	5.05	5.05	0.0
22.02.1971	00.00.00	8.3	3.55	3.55	0.0
23.02.1971	00.00.00	0.0	0.95	0.95	0.0
24.02.1971	00.00.00	0.0	-1.45	-1.45	0.0
25.02.1971	00.00.00	0.5	-1.75	-1.75	0.0
26.02.1971	00.00.00	24.6318181818182	0.65	0.65	0.0
27.02.1971	00.00.00	0.0666666666666667	0.55	0.55	0.0
28.02.1971	00.00.00	0.0	-1.95	-1.95	0.0
01.03.1971	00.00.00	0.0	-4.61666666666667	-4.61666666666667	0.0
02.03.1971	00.00.00	0.0	-10.0063492063492	-10.0063492063492	0.0
03.03.1971	00.00.00	0.0	-11.3610294117647	-11.3610294117647	0.0
04.03.1971	00.00.00	0.0	-10.1019841269841	-10.1019841269841	0.0
05.03.1971	00.00.00	3.35	-7.41	-7.41	0.0
06.03.1971	00.00.00	2.75	-1.38333333333333	-1.38333333333333	0.0
07.03.1971	00.00.00	0.1	-4.7	-4.7	0.0
08.03.1971	00.00.00	0.0	-3.3	-3.3	0.0
09.03.1971	00.00.00	0.1	-3.15	-3.15	0.0
10.03.1971	00.00.00	4.7	4.15	4.15	0.0
11.03.1971	00.00.00	13.4111111111111	4.55	4.55	0.0
12.03.1971	00.00.00	41.4837837837837	5.05	5.05	0.0
13.03.1971	00.00.00	3.1	1.35	1.35	0.0
14.03.1971	00.00.00	2.16666666666667	-1.1	-1.1	0.0
15.03.1971	00.00.00	5.425	-0.95	-0.95	0.0
16.03.1971	00.00.00	0.0	-3.45	-3.45	0.0
17.03.1971	00.00.00	0.0	-4.78333333333333	-4.78333333333333	0.0
18.03.1971	00.00.00	4.7	-2.65	-2.65	0.0
19.03.1971	00.00.00	0.0	-1.45	-1.45	0.0
20.03.1971	00.00.00	0.0	-4.86666666666667	-4.86666666666667	0.0
21.03.1971	00.00.00	0.0	-3.75	-3.75	0.0
22.03.1971	00.00.00	0.0	-4.05	-4.05	0.0
23.03.1971	00.00.00	0.0	-5.41666666666667	-5.41666666666667	0.0
24.03.1971	00.00.00	0.0	-4.7	-4.7	0.0
25.03.1971	00.00.00	0.0	-2.05	-2.05	0.0
26.03.1971	00.00.00	0.0	0.55	0.55	0.0
27.03.1971	00.00.00	0.0	-1.25	-1.25	0.0
28.03.1971	00.00.00	0.0	-2.45	-2.45	0.0
29.03.1971	00.00.00	0.0	-2.15	-2.15	0.0
30.03.1971	00.00.00	0.0	-1.95	-1.95	0.0
31.03.1971	00.00.00	0.0666666666666667	-0.45	-0.45	0.0
01.04.1971	00.00.00	1.9	1.65	1.65	0.0
02.04.1971	00.00.00	8.4	3.35	3.35	0.0
03.04.1971	00.00.00	3.6	5.65	5.65	0.0
04.04.1971	00.00.00	40.4733108108107	7.35	7.35	0.0
05.04.1971	00.00.00	0.2	6.95	6.95	0.0
06.04.1971	00.00.00	0.0	3.95	3.95	0.0
07.04.1971	00.00.00	0.0	1.6	1.6	0.0
08.04.1971	00.00.00	0.0	1.55	1.55	0.0
09.04.1971	00.00.00	0.0	2.95	2.95	0.0
10.04.1971	00.00.00	0.0	1.65	1.65	0.0
11.04.1971	00.00.00	0.0	5.25	5.25	0.0
12.04.1971	00.00.00	0.0	7.65	7.65	0.0
13.04.1971	00.00.00	0.3	6.85	6.85	0.0
14.04.1971	00.00.00	4.1	7.15	7.15	0.0
15.04.1971	00.00.00	4.0	8.35	8.35	0.0
16.04.1971	00.00.00	0.0666666666666667	5.55	5.55	0.0
17.04.1971	00.00.00	0.0	1.75	1.75	0.0
18.04.1971	00.00.00	0.0	3.65	3.65	0.0
19.04.1971	00.00.00	5.1	3.15	3.15	0.0
20.04.1971	00.00.00	1.8	9.35	9.35	0.0
21.04.1971	00.00.00	0.2	9.61666666666667	9.61666666666667	0.0
22.04.1971	00.00.00	0.9	7.55	7.55	0.0
23.04.1971	00.00.00	14.1181818181818	7.25	7.25	0.0
24.04.1971	00.00.00	2.23333333333333	6.45	6.45	0.0
25.04.1971	00.00.00	0.2	10.8541666666667	10.8541666666667	0.0
26.04.1971	00.00.00	5.8	10.35	10.35	0.0
27.04.1971	00.00.00	8.1	7.9	7.9	0.0
28.04.1971	00.00.00	0.75	6.45	6.45	0.0
29.04.1971	00.00.00	7.2	4.45	4.45	0.0
30.04.1971	00.00.00	1.0	2.75	2.75	0.0
01.05.1971	00.00.00	0.0	4.65	4.65	0.0
02.05.1971	00.00.00	1.4	2.15	2.15	0.0
03.05.1971	00.00.00	20.7	7.48333333333333	7.48333333333333	0.0
04.05.1971	00.00.00	39.9119369369368	10.65	10.65	0.0
05.05.1971	00.00.00	5.7	9.75	9.75	0.0
06.05.1971	00.00.00	1.2	9.15	9.15	0.0
07.05.1971	00.00.00	0.0	6.21666666666667	6.21666666666667	0.0
08.05.1971	00.00.00	0.2	9.55	9.55	0.0
09.05.1971	00.00.00	0.0	8.95	8.95	0.0
10.05.1971	00.00.00	0.0	5.15	5.15	0.0
11.05.1971	00.00.00	0.0	4.25	4.25	0.0
12.05.1971	00.00.00	0.0	7.41666666666667	7.41666666666667	0.0
13.05.1971	00.00.00	0.0	5.65	5.65	0.0
14.05.1971	00.00.00	0.0	5.35	5.35	0.0
15.05.1971	00.00.00	0.0	4.15	4.15	0.0
16.05.1971	00.00.00	0.5	7.75	7.75	0.0
17.05.1971	00.00.00	0.0	6.15	6.15	0.0
18.05.1971	00.00.00	0.0	7.35	7.35	0.0
19.05.1971	00.00.00	0.7	5.55	5.55	0.0
20.05.1971	00.00.00	0.0	8.85	8.85	0.0
21.05.1971	00.00.00	0.166666666666606	7.35	7.35	0.0
22.05.1971	00.00.00	0.0	8.50000000000004	8.50000000000004	0.0
23.05.1971	00.00.00	0.0	9.75	9.75	0.0
24.05.1971	00.00.00	0.0	10.0833333333333	10.0833333333333	0.0
25.05.1971	00.00.00	0.0	10.35	10.35	0.0
26.05.1971	00.00.00	0.0	10.9583333333334	10.9583333333334	0.0
27.05.1971	00.00.00	0.0	11.45	11.45	0.0
28.05.1971	00.00.00	14.0090909090909	11.65	11.65	0.0
29.05.1971	00.00.00	0.166666666666606	11.25	11.25	0.0
30.05.1971	00.00.00	0.0	13.05	13.05	0.0
31.05.1971	00.00.00	0.0	13.9166666666667	13.9166666666667	0.0
01.06.1971	00.00.00	0.0	11.85	11.85	0.0
02.06.1971	00.00.00	0.0	11.45	11.45	0.0
03.06.1971	00.00.00	0.166666666666606	11.85	11.85	0.0
04.06.1971	00.00.00	4.9	11.55	11.55	0.0
05.06.1971	00.00.00	0.0	12.05	12.05	0.0
06.06.1971	00.00.00	1.2	12.15	12.15	0.0
07.06.1971	00.00.00	0.166666666666606	12.95	12.95	0.0
08.06.1971	00.00.00	0.0	14.35	14.35	0.0
09.06.1971	00.00.00	0.0	14.75	14.75	0.0
10.06.1971	00.00.00	0.0	14.9	14.9	0.0
11.06.1971	00.00.00	0.0	14.75	14.75	0.0
12.06.1971	00.00.00	0.0	14.6166666666667	14.6166666666667	0.0
13.06.1971	00.00.00	0.0	13.65	13.65	0.0
14.06.1971	00.00.00	0.0	12.1	12.1	0.0
15.06.1971	00.00.00	0.75	11.85	11.85	0.0
