Dato	Time	P_mm_256moh	T_minC_256moh	T_maxC_256moh	Q_catchmentexample
dd.mm.yyyy	hh.mm.ss	mm	grC	grC	m3/s
01.01.1971	00.00.00	0.0	-6.854	-6.854	0.0
02.01.1971	00.00.00	0.0	-7.354	-7.354	0.0
03.01.1971	00.00.00	0.0	-6.454	-6.454	0.0
04.01.1971	00.00.00	0.2666	-0.754	-0.754	0.0
05.01.1971	00.00.00	0.1333	2.046	2.046	0.0
06.01.1971	00.00.00	0.0	-5.054	-5.054	0.0
07.01.1971	00.00.00	7.5981	-5.454	-5.454	0.0
08.01.1971	00.00.00	42.9226	3.146	3.146	0.0
09.01.1971	00.00.00	5.5986	6.546	6.546	0.0
10.01.1971	00.00.00	3.7324	6.746	6.746	0.0
11.01.1971	00.00.00	0.0	5.446	5.446	0.0
12.01.1971	00.00.00	0.0	3.646	3.646	0.0
13.01.1971	00.00.00	0.0	2.346	2.346	0.0
14.01.1971	00.00.00	0.0	0.346	0.346	0.0
15.01.1971	00.00.00	0.0	-0.754	-0.754	0.0
16.01.1971	00.00.00	0.0	1.046	1.046	0.0
17.01.1971	00.00.00	0.3999	1.446	1.446	0.0
18.01.1971	00.00.00	3.0659	3.546	3.546	0.0
19.01.1971	00.00.00	2.666	4.446	4.446	0.0
20.01.1971	00.00.00	27.8597	3.846	3.846	0.0
21.01.1971	00.00.00	15.0629	3.746	3.746	0.0
22.01.1971	00.00.00	3.7324	2.646	2.646	0.0
23.01.1971	00.00.00	1.0664	2.646	2.646	0.0
24.01.1971	00.00.00	18.3954	2.946	2.946	0.0
25.01.1971	00.00.00	14.2631	4.346	4.346	0.0
26.01.1971	00.00.00	15.5961	5.046	5.046	0.0
27.01.1971	00.00.00	0.6665	2.446	2.446	0.0
28.01.1971	00.00.00	0.0	1.546	1.546	0.0
29.01.1971	00.00.00	0.0	0.046	0.046	0.0
30.01.1971	00.00.00	0.0	-2.454	-2.454	0.0
31.01.1971	00.00.00	23.1942	-3.254	-3.254	0.0
01.02.1971	00.00.00	2.4757	-4.08	-4.08	0.0
02.02.1971	00.00.00	0.0	-5.68	-5.68	0.0
03.02.1971	00.00.00	3.7787	0.22	0.22	0.0
04.02.1971	00.00.00	0.0	5.22	5.22	0.0
05.02.1971	00.00.00	0.0	6.42	6.42	0.0
06.02.1971	00.00.00	0.0	6.22	6.22	0.0
07.02.1971	00.00.00	0.0	6.32	6.32	0.0
08.02.1971	00.00.00	0.0	6.42	6.42	0.0
09.02.1971	00.00.00	0.0	6.92	6.92	0.0
10.02.1971	00.00.00	0.0	4.32	4.32	0.0
11.02.1971	00.00.00	0.1303	3.22	3.22	0.0
12.02.1971	00.00.00	5.212	4.52	4.52	0.0
13.02.1971	00.00.00	35.5719	5.92	5.92	0.0
14.02.1971	00.00.00	27.7539	4.72	4.72	0.0
15.02.1971	00.00.00	25.2782	2.42	2.42	0.0
16.02.1971	00.00.00	69.9711	3.42	3.42	0.0
17.02.1971	00.00.00	54.9866	3.12	3.12	0.0
18.02.1971	00.00.00	22.9328	2.52	2.52	0.0
19.02.1971	00.00.00	5.0817	2.62	2.62	0.0
20.02.1971	00.00.00	0.0	-0.48	-0.48	0.0
21.02.1971	00.00.00	12.7694	-0.98	-0.98	0.0
22.02.1971	00.00.00	3.7787	2.12	2.12	0.0
23.02.1971	00.00.00	0.0	0.72	0.72	0.0
24.02.1971	00.00.00	0.0	1.72	1.72	0.0
25.02.1971	00.00.00	0.0	5.32	5.32	0.0
26.02.1971	00.00.00	0.0	-0.48	-0.48	0.0
27.02.1971	00.00.00	0.0	-4.88	-4.88	0.0
28.02.1971	00.00.00	0.0	-5.88	-5.88	0.0
01.03.1971	00.00.00	0.0	-4.663	-4.663	0.0
02.03.1971	00.00.00	0.0	-6.763	-6.763	0.0
03.03.1971	00.00.00	0.4804	-6.663	-6.663	0.0
04.03.1971	00.00.00	0.0	-8.763	-8.763	0.0
05.03.1971	00.00.00	0.0	-10.163	-10.163	0.0
06.03.1971	00.00.00	0.0	-7.063	-7.063	0.0
07.03.1971	00.00.00	0.0	-1.963	-1.963	0.0
08.03.1971	00.00.00	0.0	4.037	4.037	0.0
09.03.1971	00.00.00	0.1201	6.337	6.337	0.0
10.03.1971	00.00.00	0.0	1.237	1.237	0.0
11.03.1971	00.00.00	1.5613	-2.263	-2.263	0.0
12.03.1971	00.00.00	1.5613	-2.563	-2.563	0.0
13.03.1971	00.00.00	13.8115	0.237	0.237	0.0
14.03.1971	00.00.00	0.0	4.537	4.537	0.0
15.03.1971	00.00.00	4.5638	3.537	3.537	0.0
16.03.1971	00.00.00	4.9241	3.537	3.537	0.0
17.03.1971	00.00.00	26.7823	3.837	3.837	0.0
18.03.1971	00.00.00	4.2035	3.237	3.237	0.0
19.03.1971	00.00.00	7.9266	2.737	2.737	0.0
20.03.1971	00.00.00	35.7898	2.637	2.637	0.0
21.03.1971	00.00.00	0.0	3.637	3.637	0.0
22.03.1971	00.00.00	0.0	2.237	2.237	0.0
23.03.1971	00.00.00	0.0	0.737	0.737	0.0
24.03.1971	00.00.00	4.9241	0.637	0.637	0.0
25.03.1971	00.00.00	3.3628	4.537	4.537	0.0
26.03.1971	00.00.00	0.0	4.637	4.637	0.0
27.03.1971	00.00.00	0.0	3.437	3.437	0.0
28.03.1971	00.00.00	0.0	0.737	0.737	0.0
29.03.1971	00.00.00	0.0	0.337	0.337	0.0
30.03.1971	00.00.00	0.0	2.937	2.937	0.0
31.03.1971	00.00.00	0.0	2.137	2.137	0.0
01.04.1971	00.00.00	0.8386	2.827	2.827	0.0
